代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
404001,蓝盾退债,49.719,0.0,400194,R蓝盾1,0.12,0.0,0.0,0.22,54.55,-8.85,CC,0.15,0.29,64.8,2024-08-13,0.652,0.97,0.0,0.0,179.76,40.87
118017,深科转债,152.254,8.4,688328,深科达,41.29,8.0,4.8,26.68,154.76,-1.62,A+,18.68,34.68,10.1,2028-08-08,4.641,2.004,135378.56,451.91,-4.96,150.63
113591,胜达转债,123.679,0.12,603687,大胜达,10.81,0.09,2.08,8.68,124.54,-0.69,AA-,6.08,11.28,0.4,2026-07-01,,0.21,13357.4,509.71,,122.99
113604,多伦转债,119.727,-1.37,603528,多伦科技,9.4,-1.26,4.01,7.8,120.51,-0.65,AA-,5.46,10.14,0.7,2026-10-13,,0.474,3408.99,59.63,,119.08
128030,Z康转债,120.86,-1.82,002100,天康生物,8.73,-1.02,1.65,7.18,121.59,-0.6,AA,5.03,9.33,0.5,2023-12-22,0.008,0.604,8451.88,115.26,-1297.61,120.26
118021,新致转债,213.366,5.04,688590,新致软件,22.92,5.38,4.39,10.68,214.61,-0.58,A,7.48,13.88,5.3,2028-09-27,4.778,3.003,153575.57,239.65,-11.91,212.79
113535,大业转债,125.459,-0.05,603278,大业股份,12.1,0.33,2.14,9.59,126.17,-0.57,AA-,6.71,12.47,1.8,2024-05-09,,0.723,3618.3,40.01,,124.89
118046,诺泰转债,100.0,0.0,688076,诺泰生物,42.95,4.99,4.65,42.73,100.52,-0.51,A+,29.91,55.55,6.9,2029-12-14,5.992,4.34,0.0,0.0,3.12,99.49
113595,花王转债,110.831,3.42,603007,ST花王,4.99,3.53,5.45,4.48,111.38,-0.5,B-,3.14,5.83,8.9,2026-07-21,2.589,1.557,31414.66,182.69,4.19,110.33
128106,华统转债,228.0,-0.35,002840,华统股份,20.2,0.35,5.36,8.82,229.03,-0.45,AA,6.17,11.47,3.1,2026-04-10,2.31,2.867,16171.18,24.76,-27.06,227.55
110045,海澜转债,123.129,-0.69,600398,海澜之家,7.53,-0.26,2.14,6.1,123.44,-0.25,AA+,4.27,7.93,8.3,2024-07-13,0.567,26.882,2791.2,0.84,-21.67,122.88
132018,G三峡EB1,152.06,0.06,600900,长江电力,23.05,-0.09,2.86,15.1,152.65,-0.16,AAA,10.57,18.12,1.7,2024-04-09,0.307,93.551,31236.25,2.2,-93.9,151.9
113066,平煤转债,129.162,-0.11,601666,平煤股份,11.72,-0.34,1.09,9.06,129.36,-0.15,AAA,6.34,11.78,10.4,2029-03-16,5.244,28.147,9169.92,2.53,-2.86,129.01
123164,法本转债,111.2,1.09,300925,法本信息,12.35,0.41,3.29,11.09,111.36,-0.15,A+,7.76,14.42,3.1,2028-10-21,,0.941,5985.28,57.33,,111.05
110083,苏租转债,147.869,-0.43,600901,江苏金租,4.99,-0.2,1.23,3.37,148.07,-0.14,AAA,,4.38,22.5,2027-11-11,3.899,47.555,1999.03,0.28,-7.41,147.73
113044,大秦转债,115.606,-0.42,601006,大秦铁路,7.2,-0.14,0.82,6.22,115.76,-0.13,AAA,4.35,7.46,24.5,2026-12-14,2.989,270.784,24385.33,0.78,-0.95,115.48
127101,豪鹏转债,100.0,0.0,001283,豪鹏科技,50.71,1.46,1.8,50.65,100.12,-0.12,AA-,35.46,65.85,37.9,2029-12-21,6.0,11.0,0.0,0.0,2.73,99.88
127012,招路转债,124.744,-0.31,001965,招商公路,9.82,0.0,0.98,7.87,124.78,-0.03,AAA,5.51,10.23,7.9,2025-03-22,1.258,47.833,4095.99,0.69,-11.96,124.71
110061,川投转债,173.209,-0.7,600674,川投能源,14.55,-0.75,1.82,8.4,173.21,0.0,AAA,5.88,10.92,4.5,2025-11-11,1.899,29.447,4787.47,0.94,-22.28,173.21
111012,福新转债,133.057,2.78,605488,福莱新材,18.23,0.11,3.04,13.73,132.78,0.21,A+,9.61,17.85,34.9,2029-01-04,5.049,3.213,96301.46,228.18,-1.83,133.27
110077,洪城转债,156.053,-0.16,600461,洪城环境,9.0,-0.22,1.31,5.78,155.71,0.22,AA+,4.05,7.51,17.7,2026-11-20,2.923,16.016,1348.03,0.54,-10.74,156.27
127058,科伦转债,181.88,-0.15,002422,科伦药业,29.1,-0.21,2.29,16.04,181.42,0.25,AA+,11.23,20.85,5.1,2028-03-18,4.249,17.555,9143.2,2.88,-10.89,182.13
127006,敖东转债,108.01,-0.54,000623,吉林敖东,15.3,-0.65,0.66,14.21,107.67,0.32,AA+,9.95,18.47,13.1,2024-03-13,0.233,23.309,5300.37,2.1,-11.97,108.33
123194,百洋转债,137.173,-1.31,301015,百洋医药,36.73,-1.13,7.58,26.88,136.64,0.39,AA-,18.82,34.94,19.5,2029-04-14,5.323,8.463,7994.69,6.84,-2.79,137.56
113534,鼎胜转债,153.44,-0.84,603876,鼎胜新材,11.96,-0.58,1.65,7.84,152.55,0.58,AA-,5.49,10.19,3.5,2025-04-09,1.307,3.691,6942.15,12.17,-21.77,154.02
128049,华源转债,127.553,0.2,002787,华源控股,9.32,0.22,2.05,7.37,126.46,0.87,AA-,5.16,9.58,8.8,2024-11-27,0.943,2.008,2231.93,8.7,-14.6,128.42
