日期,收盘价,纯债价值,转股价值,纯债溢价率,转股溢价率
2023-06-28,,83.2734010955,91.0004568296,20.08636453,9.8895582329
2023-06-29,,83.2441475589,92.5308359982,20.12856511,8.0720809677
2023-06-30,,83.3344578357,93.0561900411,19.99838074,7.4619538537
2023-07-03,,83.4622719479,94.106898127,19.81461523,6.2621359223
2023-07-04,,83.513543848,96.8707172225,19.74105683,3.2303701957
2023-07-05,,83.5023670717,96.962083143,19.75708415,3.1330977621
2023-07-06,,83.5185177323,97.2590223847,19.73392574,2.8182245186
2023-07-07,,83.4740750041,95.363179534,19.7976737,4.8622754491
2023-07-10,,83.5375292664,94.9748743719,19.7066766,5.291005291
2023-07-11,,83.6420862916,101.2105984468,19.55703693,-1.1961182577
2023-07-12,,83.6377478255,101.3704888077,19.56323861,-1.3519603425
2023-07-13,,83.6868113169,104.8652352672,19.49314166,-4.6395120889
2023-07-14,,83.636377027,104.2028323435,19.56519825,-4.0333187199
2023-07-17,,83.8024730707,103.1978072179,19.32822068,-3.0987162461
2023-07-18,,83.8112510151,104.636820466,19.31572288,-4.4313468675
2023-07-19,,83.8765684337,105.185015989,19.22280783,-4.9294245385
2023-07-20,145.631,83.7941151508,99.4974874372,73.79621437,46.366510101
2023-07-21,140.008,83.8460157034,97.5559616263,66.98229346,43.5155757434
2023-07-24,137.756,83.8745093702,94.2439470078,64.24060306,46.1695996122
2023-07-25,138.593,83.8913197899,95.6829602558,65.20541141,44.8460620673
2023-07-26,138.078,83.7335428545,93.1247144815,64.90165744,48.2721324503
2023-07-27,135.229,83.6573393006,91.959798995,61.64630758,47.0523005464
2023-07-28,138.455,83.7734498966,92.9648241206,65.27312671,48.9326756757
2023-07-31,139.391,83.7373191319,94.106898127,66.46221953,48.1198538835
2023-08-01,138.285,83.6463206543,93.398812243,65.32107918,48.0586280264
2023-08-02,139.892,83.7861255617,93.7871174052,66.9632043,49.1590784218
2023-08-03,139.316,83.7678681266,93.2389218821,66.3119799,49.4182871142
2023-08-04,140.368,83.7896675929,94.5408862494,67.52423542,48.473327857
2023-08-07,138.379,83.8870196872,92.7364093193,64.95877493,49.2175522167
2023-08-08,138.973,83.9158072367,93.6500685244,65.6100377,48.3960473171
2023-08-09,138.377,84.0722226072,92.0968478757,64.5930079,50.2516135913
2023-08-10,138.031,84.0879925399,92.507994518,64.15066626,49.2098069136
2023-08-11,137.925,84.1614939206,89.9497487437,63.88135901,53.3356145251
2023-08-14,134.913,84.2027115753,89.6756509822,60.2240563,50.4455206317
2023-08-15,132.615,84.2654053932,88.6934673367,57.37775114,49.5205949008
2023-08-16,130.507,84.3914232159,86.6605756053,54.64486203,50.5955840801
2023-08-17,132.78,84.4340279897,88.8990406578,57.258872,49.3604419322
2023-08-18,133.345,84.5104632714,88.7391502969,57.78519587,50.2662574003
2023-08-21,133.353,84.5841851487,89.5386021014,57.65713149,48.9335290816
2023-08-22,131.425,84.752871388,90.2466879854,55.06849249,45.6286130094
2023-08-23,129.484,84.7684769296,88.7848332572,52.75017871,45.8402243375
2023-08-24,129.816,84.7976331159,87.6199177707,53.08917859,48.1580938478
2023-08-25,126.653,84.7989613851,82.4577432618,49.35678212,53.5974609418
2023-08-28,126.761,84.8407238901,82.0465966195,49.41055921,54.4987912027
2023-08-29,130.47,84.7650208984,88.1452718136,53.91962229,48.0170147707
2023-08-30,134.358,83.6166178709,91.5486523527,60.68337063,46.7613083832
2023-08-31,134.604,84.6992099245,92.0511649155,58.9200184,46.2273727047
2023-09-01,134.529,84.7505560354,91.5486523527,58.73524174,46.9480943114
2023-09-04,136.356,84.7083055733,92.2567382366,60.97122836,47.8005862837
2023-09-05,135.486,84.611628478,92.8962996802,60.12692633,45.8464981559
2023-09-06,136.075,84.5878531768,94.5637277296,60.86825104,43.8976690821
2023-09-07,132.615,84.4567818366,92.142530836,57.02113805,43.9237654933
2023-09-08,132.658,84.4952843923,93.6957514847,57.00047755,41.5837942467
2023-09-11,131.803,84.4522230146,94.5637277296,56.06812384,39.3800806763
2023-09-12,130.946,84.4996708087,93.741434445,54.96628418,39.6884961014
2023-09-13,129.298,84.6109665137,91.7313841937,52.81470633,40.9528496016
2023-09-14,128.33,84.7106060258,90.0182731841,51.49224639,42.5599441766
2023-09-15,129.231,84.7718226669,91.0461397899,52.44570181,41.9401199197
2023-09-18,129.6,84.834757012,88.579259936,52.76757377,46.3096441465
2023-09-19,127.403,84.8081209871,87.3001370489,50.22500029,45.9367697541
2023-09-20,126.763,84.8821776225,85.9524897213,49.33994809,47.4803119851
2023-09-21,125.924,84.9383484836,85.2672453175,48.25341233,47.6815622823
2023-09-22,128.309,84.9528013399,89.0132480585,51.03563152,44.1459589428
2023-09-25,127.38,84.9987142038,87.8254910918,49.86109048,45.0376176853
2023-09-26,127.463,84.9950666843,87.7112836912,49.96517442,45.3210973958
