时间,前值,现值,发布日期
2023年12月,5.4,,2024-01-31
2023年09月,6.0,5.4,2023-10-25
2023年06月,7.0,6.0,2023-07-26
2023年03月,7.8,7.0,2023-04-26
2022年12月,7.3,7.8,2023-01-25
2022年09月,6.1,7.3,2022-10-26
2022年06月,5.1,6.1,2022-07-27
2022年03月,3.5,5.1,2022-04-27
2021年12月,3.0,3.5,2022-01-25
2021年09月,3.8,3.0,2021-10-27
2021年06月,1.1,3.8,2021-07-28
2021年03月,0.9,1.1,2021-04-30
2020年12月,1.6,0.9,2021-01-27
2020年09月,-0.3,1.6,2020-10-28
2020年06月,2.2,-0.3,2020-07-29
2020年03月,1.8,2.2,2020-04-29
2019年12月,1.7,1.8,2020-01-29
2019年09月,1.6,1.7,2019-10-30
2019年06月,1.3,1.6,2019-07-31
2019年03月,1.8,1.3,2019-04-24
2018年12月,1.9,1.8,2019-01-30
2018年09月,2.1,1.9,2018-10-31
2018年06月,1.9,2.1,2018-07-25
2018年03月,1.9,1.9,2018-04-24
2017年12月,1.8,1.9,2018-01-31
2017年09月,1.9,1.8,2017-10-25
2017年06月,2.1,1.9,2017-07-26
2017年03月,1.5,2.1,2017-04-26
2016年12月,1.3,1.5,2017-01-25
2016年09月,1.0,1.3,2016-10-26
2016年06月,1.3,1.0,2016-07-27
2016年03月,1.7,1.3,2016-04-27
2015年12月,1.5,1.7,2016-01-27
2015年09月,1.5,1.5,2015-10-28
2015年06月,1.3,1.5,2015-07-22
2015年03月,1.7,1.3,2015-04-22
2014年12月,2.3,1.7,2015-01-28
2014年09月,3.0,2.3,2014-10-22
2014年06月,2.9,3.0,2014-07-23
2014年03月,2.7,2.9,2014-04-23
2013年12月,2.2,2.7,2014-01-22
2013年09月,2.4,2.2,2013-10-23
2013年06月,2.5,2.4,2013-07-24
2013年03月,2.2,2.5,2013-04-26
2012年12月,2.0,2.2,2013-01-26
2012年09月,1.2,2.0,2012-10-27
2012年06月,1.6,1.2,2012-07-27
2012年03月,3.0,1.6,2012-04-26
2011年12月,3.4,3.0,2012-01-26
2011年09月,3.5,3.4,2011-10-27
2011年06月,3.3,3.5,2011-07-27
2011年03月,2.8,3.3,2011-04-26
2010年12月,2.9,2.8,2011-01-26
2010年09月,3.1,2.9,2010-10-27
2010年06月,2.9,3.1,2010-07-27
2010年03月,2.1,2.9,2010-04-26
2009年12月,1.2,2.1,2010-01-26
2009年09月,1.4,1.2,2009-10-27
2009年06月,2.4,1.4,2009-07-27
2009年03月,3.7,2.4,2009-04-26
2008年12月,5.0,3.7,2009-01-26
2008年09月,4.4,5.0,2008-10-27
2008年06月,4.3,4.4,2008-07-27
2008年03月,2.9,4.3,2008-04-26
