季度,国内生产总值-绝对值,国内生产总值-同比增长,第一产业-绝对值,第一产业-同比增长,第二产业-绝对值,第二产业-同比增长,第三产业-绝对值,第三产业-同比增长
2023年第1-3季度,913027.0,5.2,56374.0,4.0,353659.0,4.4,502993.0,6.0
2023年第1-2季度,593034.2,5.5,30416.2,3.7,230681.5,4.3,331936.5,6.4
2023年第1季度,284996.6,4.5,11575.0,3.7,107946.7,3.3,165474.9,5.4
2022年第1-4季度,1210207.2,3.0,88345.1,4.1,483164.5,3.8,638697.6,2.3
2022年第1-3季度,874699.3,3.0,54848.5,4.2,350563.8,3.9,469286.9,2.3
2022年第1-2季度,565428.7,2.5,29165.2,5.0,228921.7,3.2,307341.9,1.8
2022年第1季度,271509.2,4.8,10950.0,6.0,106283.4,5.8,154275.8,4.0
2021年第1-4季度,1149237.0,8.1,83216.5,7.1,451544.1,8.2,614476.4,8.2
2021年第1-3季度,823337.5,9.8,51677.3,7.4,320611.7,10.6,451048.5,9.5
2021年第1-2季度,532049.4,12.7,28534.8,7.8,206978.8,14.8,296535.8,11.8
2021年第1季度,249200.2,18.3,11369.3,8.1,92520.7,24.4,145310.3,15.6
2020年第1-4季度,1013567.0,2.3,78030.9,3.0,383562.4,2.6,551973.7,2.1
2020年第1-3季度,717948.2,0.7,48315.2,2.3,269843.2,0.9,399789.9,0.4
2020年第1-2季度,453592.5,-1.6,26157.1,0.9,169945.7,-1.9,257489.7,-1.6
2020年第1季度,205244.8,-6.8,10222.5,-3.2,72415.9,-9.6,122606.3,-5.2
2019年第1-4季度,986515.2,6.1,70473.6,3.1,380670.6,5.7,535371.0,6.9
2019年第1-3季度,709717.2,6.2,43009.1,2.9,272940.5,5.6,393767.5,7.0
2019年第1-2季度,458670.9,6.3,23208.2,3.0,176520.4,5.8,258942.3,7.0
2019年第1季度,217168.3,6.4,8768.3,2.7,80596.7,6.1,127803.3,7.0
2018年第1-4季度,919281.1,6.6,64745.2,3.5,364835.2,5.8,489700.8,7.6
2018年第1-3季度,660472.2,6.7,39806.4,3.4,260811.3,5.8,359854.5,7.7
2018年第1-2季度,425997.9,6.8,21579.5,3.2,167698.8,6.1,236719.7,7.6
2018年第1季度,202035.7,6.8,8575.7,3.2,76598.2,6.3,116861.8,7.5
2017年第1-4季度,832035.9,6.9,62099.5,3.9,331580.5,6.1,438355.9,8.0
2017年第1-3季度,596607.3,6.9,39106.6,3.7,236212.5,6.3,321288.2,7.8
2017年第1-2季度,383818.0,6.9,20850.8,3.5,151638.4,6.4,211328.7,7.7
2017年第1季度,181867.7,6.9,8205.9,3.0,69315.5,6.4,104346.3,7.7
2016年第1-4季度,746395.1,6.7,60139.2,3.3,295427.8,6.3,390828.1,7.7
2016年第1-3季度,534828.9,6.7,38411.0,3.5,209923.7,6.3,286494.1,7.5
2016年第1-2季度,343818.2,6.7,20868.7,3.0,134523.3,6.2,188426.3,7.5
2016年第1季度,162410.0,6.7,8312.7,2.9,61106.8,6.0,92990.5,7.5
2015年第1-4季度,688858.2,6.9,57774.6,3.9,281338.9,6.2,349744.7,8.2
2015年第1-3季度,496285.3,6.9,36398.5,3.8,202982.7,6.2,256904.1,8.2
2015年第1-2季度,319687.6,7.0,19225.5,3.5,131455.9,6.3,169006.2,8.1
2015年第1季度,151137.9,7.0,7373.2,3.1,60505.9,6.4,83258.8,7.8
2014年第1-4季度,643563.1,7.3,55626.3,4.1,277282.8,7.4,310654.0,7.8
2014年第1-3季度,462734.2,7.3,35104.3,4.1,199556.9,7.6,228073.0,7.6
2014年第1-2季度,297249.5,7.4,18249.4,3.7,128585.8,7.7,150414.3,7.6
2014年第1季度,140759.8,7.4,7140.0,3.2,59127.4,7.6,74492.4,7.6
2013年第1-4季度,592963.2,7.8,53028.1,3.8,261951.6,8.0,277983.5,8.3
2013年第1-3季度,425190.9,7.8,33163.7,3.3,187740.2,7.9,204287.0,8.4
2013年第1-2季度,272968.2,7.7,17258.8,2.8,120991.5,7.7,134717.9,8.3
2013年第1季度,129449.6,7.9,6869.1,3.0,55861.2,7.8,66719.3,8.4
2012年第1-4季度,538580.0,7.9,49084.6,4.5,244639.1,8.4,244856.2,8.0
2012年第1-3季度,386767.9,7.8,31013.4,4.2,176005.6,8.3,179749.0,7.8
2012年第1-2季度,248678.3,7.9,16357.3,4.3,113749.4,8.7,118571.6,7.6
2012年第1季度,117357.6,8.1,6446.0,3.7,52316.2,9.5,58595.5,7.3
2011年第1-4季度,487940.2,9.5,44781.5,4.2,227035.1,10.7,216123.6,9.5
2011年第1-3季度,349928.0,9.8,28591.7,3.5,162700.5,11.0,158635.9,9.9
2011年第1-2季度,223365.8,10.1,14736.1,2.9,104077.9,11.1,104551.8,10.1
2011年第1季度,104469.9,10.2,5592.8,3.2,47194.0,11.3,51683.2,9.9
2010年第1-4季度,412119.3,10.6,38430.8,4.3,191626.5,12.7,182061.9,9.7
2010年第1-3季度,292812.4,10.9,24245.4,4.0,135693.0,13.1,132874.0,9.7
2010年第1-2季度,186848.7,11.4,12611.6,3.7,86786.5,14.0,87450.6,9.8
2010年第1季度,87501.3,12.2,4826.0,3.9,39364.2,15.4,43311.1,10.0
2009年第1-4季度,348517.7,9.4,33583.8,4.0,160168.8,10.3,154765.1,9.6
2009年第1-3季度,247691.9,8.5,21227.9,3.9,113240.6,8.7,113223.4,9.1
2009年第1-2季度,157845.0,7.3,11233.1,3.7,71927.6,7.1,74684.3,8.1
2009年第1季度,73979.2,6.4,4364.8,3.8,32549.0,5.8,37065.4,7.2
2008年第1-4季度,319244.6,9.7,32464.1,5.2,149952.9,9.8,136827.5,10.5
2008年第1-3季度,230545.6,10.6,21024.0,4.4,108756.6,11.1,100765.1,11.3
2008年第1-2季度,148085.5,11.2,11198.7,3.4,69861.6,12.2,67025.2,11.5
2008年第1季度,69373.6,11.5,4367.5,2.7,31613.2,12.7,33392.9,11.4
2007年第1-4季度,270092.3,14.2,27674.1,3.5,126630.5,15.1,115787.7,16.1
2007年第1-3季度,191423.1,14.4,17335.7,4.0,89769.5,15.3,84317.9,15.6
2007年第1-2季度,121940.9,14.4,8983.1,3.9,57109.3,15.6,55848.5,15.0
2007年第1季度,57159.3,13.8,3473.0,4.1,25983.1,14.8,27703.2,14.1
2006年第1-4季度,219438.5,12.7,23317.0,4.8,104359.2,13.5,91762.2,14.1
