序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
1,300395,菲利华,8.9,536.81,24285.15,2023年3季度股票投资明细
2,002025,航天电器,7.99,382.3,21806.54,2023年3季度股票投资明细
3,688281,华秦科技,7.24,113.24,19759.96,2023年3季度股票投资明细
4,600862,中航高科,6.66,733.11,18173.74,2023年3季度股票投资明细
5,300034,钢研高纳,6.23,699.32,17000.44,2023年3季度股票投资明细
6,300593,新雷能,5.69,849.71,15532.66,2023年3季度股票投资明细
7,600519,贵州茅台,2.54,3.85,6924.42,2023年3季度股票投资明细
8,600378,昊华科技,2.35,194.32,6412.71,2023年3季度股票投资明细
9,000738,航发控制,2.12,269.21,5779.83,2023年3季度股票投资明细
10,603259,药明康德,1.61,50.92,4388.23,2023年3季度股票投资明细
11,300395,菲利华,9.03,536.81,26410.9,2023年2季度股票投资明细
12,002025,航天电器,8.19,375.42,23951.96,2023年2季度股票投资明细
13,688281,华秦科技,7.59,109.61,22197.0,2023年2季度股票投资明细
14,300593,新雷能,6.66,849.71,19466.8,2023年2季度股票投资明细
15,600862,中航高科,5.53,638.98,16172.52,2023年2季度股票投资明细
16,300034,钢研高纳,4.84,359.17,14147.58,2023年2季度股票投资明细
17,000738,航发控制,2.43,291.35,7108.82,2023年2季度股票投资明细
18,600519,贵州茅台,2.23,3.85,6510.35,2023年2季度股票投资明细
19,600378,昊华科技,2.12,164.78,6202.49,2023年2季度股票投资明细
20,600760,中航沈飞,1.83,119.0,5355.0,2023年2季度股票投资明细
21,000333,美的集团,1.58,78.36,4616.97,2023年2季度股票投资明细
22,603259,药明康德,1.26,59.14,3684.97,2023年2季度股票投资明细
23,600276,恒瑞医药,1.05,63.99,3065.12,2023年2季度股票投资明细
24,600048,保利发展,0.92,207.4,2702.46,2023年2季度股票投资明细
25,000963,华东医药,0.89,59.85,2595.87,2023年2季度股票投资明细
26,002126,银轮股份,0.69,114.32,2023.46,2023年2季度股票投资明细
27,600690,海尔智家,0.66,82.1,1927.73,2023年2季度股票投资明细
28,300750,宁德时代,0.65,8.3,1898.5,2023年2季度股票投资明细
29,000807,云铝股份,0.6,138.48,1762.85,2023年2季度股票投资明细
30,002920,德赛西威,0.58,10.79,1681.19,2023年2季度股票投资明细
31,603180,金牌厨柜,0.57,49.35,1654.11,2023年2季度股票投资明细
32,603801,志邦家居,0.56,49.9,1647.58,2023年2季度股票投资明细
33,300760,迈瑞医疗,0.56,5.49,1645.9,2023年2季度股票投资明细
34,688036,传音控股,0.56,11.04,1622.89,2023年2季度股票投资明细
35,000729,燕京啤酒,0.51,120.61,1504.01,2023年2季度股票投资明细
36,000999,华润三九,0.49,23.8,1443.71,2023年2季度股票投资明细
37,002594,比亚迪,0.49,5.53,1428.23,2023年2季度股票投资明细
38,002997,瑞鹄模具,0.47,46.32,1377.09,2023年2季度股票投资明细
39,600325,华发股份,0.47,138.55,1364.72,2023年2季度股票投资明细
40,600079,人福医药,0.44,47.73,1285.9,2023年2季度股票投资明细
41,300896,爱美客,0.42,2.74,1220.5,2023年2季度股票投资明细
42,600129,太极集团,0.42,20.44,1215.74,2023年2季度股票投资明细
43,601857,中国石油,0.39,153.9,1149.63,2023年2季度股票投资明细
44,688012,中微公司,0.39,7.31,1143.07,2023年2季度股票投资明细
45,603589,口子窖,0.39,23.11,1140.44,2023年2季度股票投资明细
46,600438,通威股份,0.38,32.43,1112.67,2023年2季度股票投资明细
47,300059,东方财富,0.38,77.45,1099.76,2023年2季度股票投资明细
48,300633,开立医疗,0.36,19.46,1060.57,2023年2季度股票投资明细
49,600938,中国海油,0.36,57.68,1045.16,2023年2季度股票投资明细
50,002531,天顺风能,0.35,67.49,1027.87,2023年2季度股票投资明细
51,688120,华海清科,0.35,4.06,1022.82,2023年2季度股票投资明细
52,605168,三人行,0.35,11.89,1021.83,2023年2季度股票投资明细
53,601800,中国交建,0.34,89.97,981.57,2023年2季度股票投资明细
