日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2008-08-04,2759.8,2687.55,2759.8,2683.91,5972906,5436500480.0,0.0,0.0,0.0,0.0
2008-08-05,2683.84,2582.16,2695.04,2575.85,8046384,7688378880.0,4.43,-3.92,-105.39,0.0
2008-08-06,2597.73,2590.76,2614.61,2550.19,6838590,5979063808.0,2.49,0.33,8.6,0.0
2008-08-07,2589.28,2592.37,2612.05,2562.19,5549979,5082008064.0,1.92,0.06,1.61,0.0
2008-08-08,2591.63,2455.95,2591.63,2450.83,6933512,6239303680.0,5.43,-5.26,-136.42,0.0
2008-08-11,2449.03,2326.84,2451.26,2310.3,7688190,6428604928.0,5.74,-5.26,-129.11,0.0
2008-08-12,2310.76,2360.44,2377.0,2298.09,6584794,5591300608.0,3.39,1.44,33.6,0.0
2008-08-13,2350.22,2376.1,2398.05,2300.95,6198864,5099921408.0,4.11,0.66,15.66,0.0
2008-08-14,2360.38,2375.97,2396.96,2345.39,4353338,3820727040.0,2.17,-0.01,-0.13,0.0
2008-08-15,2374.71,2368.55,2400.0,2342.03,4466511,3753341184.0,2.44,-0.31,-7.42,0.0
2008-08-18,2376.1,2228.15,2378.26,2227.33,5237596,4227633152.0,6.37,-5.93,-140.4,0.0
2008-08-19,2199.78,2262.47,2267.42,2188.66,4365054,3409381376.0,3.53,1.54,34.32,0.0
2008-08-20,2251.57,2418.71,2422.51,2223.46,10513312,8515867648.0,8.8,6.91,156.24,0.0
2008-08-21,2377.53,2318.93,2413.26,2312.2,8552673,7069864960.0,4.18,-4.13,-99.78,0.0
2008-08-22,2297.75,2273.84,2311.75,2239.3,5482280,4343411200.0,3.12,-1.94,-45.09,0.0
2008-08-25,2269.93,2254.34,2290.74,2232.31,4025363,3222877440.0,2.57,-0.86,-19.5,0.0
2008-08-26,2232.55,2167.12,2232.65,2148.0,5121225,3918358784.0,3.75,-3.87,-87.22,0.0
2008-08-27,2160.91,2157.4,2191.2,2118.82,4685519,3554079744.0,3.34,-0.45,-9.72,0.0
2008-08-28,2155.26,2173.05,2182.46,2144.64,4233004,3328524800.0,1.75,0.73,15.65,0.0
