date,open,high,low,close,volume,amount
2004-01-02,10452.7402,10554.96,10367.4102,10409.8496,168890000,1764270000000
2004-01-05,10411.8496,10575.9199,10411.8496,10544.0703,221290000,2320430000000
2004-01-06,10543.8496,10584.0703,10454.3701,10538.6602,191460000,2016120000000
2004-01-07,10535.46,10587.5498,10432.0,10529.0303,225490000,2372380000000
2004-01-08,10530.0703,10651.9902,10480.5898,10592.4404,237770000,2511750000000
2004-01-09,10589.25,10603.4805,10420.5195,10458.8896,223250000,2348150000000
2004-01-12,10461.5498,10543.0303,10389.8496,10485.1797,197960000,2072620000000
2004-01-13,10485.1797,10539.25,10341.1904,10427.1797,197310000,2061530000000
2004-01-14,10428.6699,10573.8496,10426.8896,10538.3701,186280000,1954440000000
2004-01-15,10534.5195,10639.0303,10454.5195,10553.8496,260090000,2742770000000
2004-01-16,10556.3701,10666.8799,10503.7002,10600.5098,254170000,2689590000000
2004-01-20,10601.4004,10676.96,10447.9199,10528.6602,224300000,2369450000000
2004-01-21,10522.7695,10665.7002,10453.1104,10623.6201,214920000,2270910000000
2004-01-22,10624.2197,10717.4004,10545.0303,10623.1797,219720000,2335060000000
2004-01-23,10625.25,10691.7695,10490.1396,10568.29,234260000,2481720000000
2004-01-26,10568.0,10725.1797,10510.4404,10702.5098,186170000,1978340000000
2004-01-27,10701.0996,10748.8096,10579.3301,10609.9199,206560000,2201890000000
2004-01-28,10610.0703,10703.25,10412.4404,10468.3701,247660000,2612450000000
2004-01-29,10467.4102,10611.5596,10369.9199,10510.29,273970000,2873890000000
2004-01-30,10510.2197,10551.0303,10385.5596,10488.0703,208990000,2190990000000
2004-02-02,10487.7803,10614.4404,10395.5498,10499.1797,224800000,2360230000000
2004-02-03,10499.4805,10571.4805,10414.1504,10505.1797,183810000,1929560000000
2004-02-04,10503.1104,10567.8496,10394.8096,10470.7402,227760000,2387860000000
2004-02-05,10469.3301,10566.3701,10399.9199,10495.5498,187810000,1968770000000
2004-02-06,10494.8896,10634.8096,10433.7002,10593.0303,182880000,1927390000000
2004-02-09,10592.0,10634.8096,10433.7002,10579.0303,160720000,1697180000000
2004-02-10,10578.7402,10667.0303,10511.1797,10613.8496,160590000,1701080000000
2004-02-11,10605.4805,10779.4004,10561.5498,10737.7002,277850000,2964950000000
2004-02-12,10735.1797,10775.0303,10636.4404,10694.0703,197560000,2115900000000
2004-02-13,10696.2197,10755.4697,10578.6602,10627.8496,208340000,2221850000000
2004-02-17,10628.8799,10762.0703,10628.8799,10714.8799,169730000,1813340000000
2004-02-18,10706.6797,10764.3604,10623.6201,10671.9902,164370000,1757390000000
2004-02-19,10674.5898,10794.9502,10626.4404,10664.7305,219890000,2350660000000
2004-02-20,10666.29,10722.7695,10559.1104,10619.0303,220560000,2347160000000
2004-02-23,10619.5498,10711.8398,10508.8896,10609.6201,229950000,2440340000000
2004-02-24,10609.5498,10681.4004,10479.3301,10566.3701,225670000,2388530000000
2004-02-25,10566.5898,10660.7305,10509.4004,10601.6201,192420000,2036690000000
2004-02-26,10598.1396,10652.96,10493.7002,10580.1396,223230000,2362050000000
2004-02-27,10581.5498,10689.5498,10519.0303,10583.9199,200050000,2119230000000
2004-03-01,10582.25,10720.1396,10568.7402,10678.1396,185030000,1968220000000
2004-03-02,10678.3604,10713.9199,10539.4004,10591.4805,215580000,2291790000000
2004-03-03,10588.5898,10651.0303,10506.6602,10593.1104,188800000,1998420000000
2004-03-04,10593.4805,10645.3301,10522.5898,10588.0,161050000,1705090000000
2004-03-05,10582.5898,10681.4004,10497.1104,10595.5498,223550000,2367210000000
2004-03-08,10595.3701,10677.8496,10505.8496,10529.4805,199300000,2108020000000
2004-03-09,10529.5195,10567.0303,10391.4805,10456.96,246270000,2582450000000
2004-03-10,10457.5898,10523.1104,10259.3398,10296.8896,259000000,2689520000000
2004-03-11,10288.8496,10356.2197,10102.75,10128.3799,292050000,2984470000000
2004-03-12,10130.6699,10281.6299,10097.04,10240.0801,223350000,2275350000000
2004-03-15,10238.4502,10252.6797,10066.0801,10102.8896,219150000,2227670000000
2004-03-16,10103.4102,10253.2598,10085.3398,10184.6699,194560000,1976080000000
2004-03-17,10184.2998,10356.5898,10184.2998,10300.2998,181210000,1858560000000
2004-03-18,10298.96,10355.04,10187.7803,10295.7803,218820000,2250430000000
2004-03-19,10295.8496,10355.4102,10163.71,10186.5996,261590000,2681400000000
2004-03-22,10185.9297,10185.9297,9985.1904,10064.75,248930000,2515550000000
2004-03-23,10066.6699,10177.04,10020.75,10063.6396,215260000,2170260000000
2004-03-24,10065.4102,10140.2305,9975.8604,10048.2305,224310000,2255980000000
2004-03-25,10049.5596,10246.1504,10049.5596,10218.8203,216420000,2194720000000
2004-03-26,10218.3701,10306.2197,10145.6299,10212.9697,198830000,2032200000000
2004-03-29,10212.9102,10389.9297,10212.9102,10329.6299,197150000,2027950000000
2004-03-30,10327.6299,10411.4102,10264.1504,10381.7002,189060000,1956060000000
2004-03-31,10380.8896,10428.5898,10287.1104,10357.7002,207400000,2149400000000
2004-04-01,10357.5195,10449.3301,10299.4805,10373.3301,218660000,2267490000000
2004-04-02,10375.3301,10548.7402,10375.3301,10470.5898,243070000,2538260000000
2004-04-05,10470.5898,10582.2197,10423.3301,10558.3701,182130000,1913940000000
2004-04-06,10553.7598,10596.3701,10467.2598,10570.8096,175720000,1853330000000
2004-04-07,10569.2598,10580.5098,10422.7402,10480.1504,218040000,2292290000000
2004-04-08,10482.7695,10590.1504,10383.8398,10442.0303,187730000,1966420000000
2004-04-12,10444.3799,10559.2803,10439.2695,10515.5596,142190000,1491520000000
2004-04-13,10516.0498,10572.1299,10343.1699,10381.2803,202540000,2117180000000
2004-04-14,10378.0996,10453.3896,10259.3496,10377.9502,230460000,2389220000000
2004-04-15,10377.9502,10481.21,10279.3701,10397.46,262880000,2729750000000
2004-04-16,10398.3203,10500.5703,10343.7402,10451.9697,234660000,2446010000000
2004-04-19,10451.6201,10501.79,10351.9697,10437.8496,173340000,1808940000000
2004-04-20,10437.8496,10530.6104,10297.3896,10314.5,204710000,2127980000000
2004-04-21,10311.8701,10398.5303,10200.3799,10317.2695,232630000,2397720000000
2004-04-22,10314.9902,10529.1201,10255.8799,10461.2002,265740000,2761120000000
2004-04-23,10463.1104,10543.9502,10362.9697,10472.8398,277070000,2898350000000
2004-04-26,10472.9102,10540.2598,10396.75,10444.7305,183040000,1915270000000
2004-04-27,10445.3799,10570.9199,10410.5195,10478.1602,213410000,2235740000000
2004-04-28,10476.6699,10479.5801,10301.6504,10342.5996,232090000,2413770000000
2004-04-29,10339.4102,10443.8096,10199.3096,10272.2695,231880000,2391540000000
2004-04-30,10273.0596,10374.6104,10198.3896,10225.5703,218010000,2238510000000
2004-05-03,10227.2695,10365.7402,10199.6699,10314.0,198830000,2043310000000
2004-05-04,10314.3203,10403.1396,10232.3096,10317.2002,208020000,2146090000000
2004-05-05,10316.9805,10382.9805,10249.6299,10310.9502,172170000,1775960000000
2004-05-06,10308.2002,10332.0996,10147.21,10241.2598,202690000,2079030000000
2004-05-07,10240.6201,10302.9297,10086.9404,10117.3398,228140000,2324050000000
2004-05-10,10116.2803,10116.2803,9881.8604,9990.0195,272130000,2728410000000
2004-05-11,9989.2402,10092.7803,9928.9102,10019.4697,223650000,2238200000000
2004-05-12,10011.5195,10089.8701,9822.0996,10045.1602,246410000,2462170000000
2004-05-13,10044.3096,10100.2402,9924.9404,10010.7402,215300000,2157320000000
2004-05-14,10008.4297,10096.6904,9912.4502,10012.8701,175180000,1753130000000
2004-05-17,10009.9199,10009.9199,9827.21,9906.9102,199660000,1984320000000
2004-05-18,9906.71,10028.2695,9895.7695,9968.5098,191770000,1908080000000
2004-05-19,9962.5498,10124.79,9919.9004,9937.71,227420000,2271070000000
2004-05-20,9939.1201,10014.5,9867.7305,9937.6396,155570000,1546330000000
2004-05-21,9939.3398,10058.5,9910.8096,9966.7402,180980000,1804160000000
2004-05-24,9968.0195,10084.9102,9891.2197,9958.4297,187000000,1865450000000
2004-05-25,9958.0801,10139.2695,9895.4102,10117.6201,213950000,2145400000000
2004-05-26,10116.8398,10175.75,10034.1602,10109.8896,171700000,1735740000000
2004-05-27,10109.8896,10267.6602,10106.1299,10205.2002,186670000,1898850000000
2004-05-28,10205.8301,10250.2695,10137.1396,10188.4502,159560000,1626780000000
2004-06-01,10187.1797,10254.1699,10104.0703,10202.6504,166590000,1697060000000
2004-06-02,10199.7803,10310.0996,10170.5703,10262.9697,183540000,1878690000000
2004-06-03,10261.8496,10309.46,10163.4004,10195.9102,162840000,1666290000000
2004-06-04,10196.8301,10327.8398,10196.8301,10242.8203,161190000,1650760000000
2004-06-07,10243.3096,10410.8096,10243.3096,10391.0801,172490000,1780460000000
2004-06-08,10389.4102,10462.9697,10323.9404,10432.5195,170220000,1770660000000
2004-06-09,10431.0996,10466.5898,10325.0703,10368.4404,175090000,1820550000000
