"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-12-8","2,587.29","2,578.89","2,592.50","2,578.88","","0.30%"
"2023-12-7","2,579.54","2,587.68","2,587.68","2,574.36","","-0.01%"
"2023-12-6","2,579.90","2,604.23","2,607.72","2,579.53","","-0.59%"
"2023-12-5","2,595.23","2,592.23","2,603.06","2,591.00","","-0.08%"
"2023-12-4","2,597.19","2,588.83","2,604.88","2,587.43","","-0.20%"
"2023-12-1","2,602.38","2,571.10","2,603.32","2,567.11","","0.93%"
"2023-11-30","2,578.33","2,573.16","2,579.46","2,561.71","","0.62%"
"2023-11-29","2,562.47","2,558.00","2,567.31","2,551.57","","0.45%"
"2023-11-28","2,551.03","2,540.54","2,555.55","2,533.17","","0.00%"
"2023-11-27","2,551.14","2,555.78","2,560.74","2,550.09","","-0.37%"
"2023-11-24","2,560.68","2,558.29","2,567.61","2,556.66","","-0.08%"
"2023-11-23","2,562.70","2,562.26","2,572.08","2,561.80","","-0.02%"
"2023-11-22","2,563.11","2,563.09","2,570.07","2,553.84","","0.01%"
"2023-11-21","2,562.80","2,577.11","2,581.87","2,561.96","","-0.65%"
"2023-11-20","2,579.48","2,569.45","2,581.89","2,563.53","","0.35%"
"2023-11-17","2,570.46","2,563.56","2,574.79","2,561.29","","0.69%"
"2023-11-16","2,552.97","2,550.46","2,557.10","2,542.06","","0.01%"
"2023-11-15","2,552.59","2,554.21","2,562.66","2,549.75","","0.20%"
"2023-11-14","2,547.43","2,534.58","2,553.97","2,534.58","","1.42%"
"2023-11-13","2,511.67","2,499.48","2,518.42","2,495.77","","0.42%"
"2023-11-10","2,501.21","2,498.38","2,501.69","2,481.95","","0.31%"
"2023-11-9","2,493.36","2,496.03","2,518.86","2,492.76","","0.37%"
"2023-11-8","2,484.07","2,488.25","2,496.88","2,476.83","","-0.18%"
"2023-11-7","2,488.51","2,497.40","2,498.79","2,481.67","","-0.74%"
"2023-11-6","2,507.02","2,519.16","2,527.29","2,502.07","","-0.33%"
"2023-11-3","2,515.38","2,500.21","2,523.65","2,499.94","","0.92%"
"2023-11-2","2,492.46","2,429.21","2,494.28","2,429.21","","2.95%"
"2023-11-1","2,421.10","2,401.30","2,422.51","2,399.16","","1.05%"
"2023-10-31","2,395.93","2,397.35","2,401.10","2,387.63","","0.10%"
"2023-10-30","2,393.46","2,386.29","2,407.25","2,382.02","","0.66%"
"2023-10-27","2,377.76","2,404.43","2,404.62","2,372.86","","-0.84%"
"2023-10-26","2,397.93","2,400.94","2,411.88","2,389.22","","-0.25%"
"2023-10-25","2,403.95","2,402.04","2,422.10","2,399.76","","-0.19%"
"2023-10-24","2,408.54","2,421.59","2,428.78","2,403.47","","-0.42%"
"2023-10-23","2,418.59","2,412.71","2,436.96","2,405.41","","-0.34%"
"2023-10-20","2,426.94","2,449.00","2,450.87","2,426.86","","-1.22%"
"2023-10-19","2,456.88","2,467.66","2,477.07","2,454.05","","-0.54%"
"2023-10-18","2,470.24","2,491.24","2,496.94","2,467.89","","-1.23%"
"2023-10-17","2,501.10","2,484.50","2,511.13","2,484.50","","0.33%"
"2023-10-16","2,492.91","2,476.22","2,495.29","2,467.55","","0.88%"
"2023-10-13","2,471.26","2,494.78","2,498.13","2,467.09","","-0.25%"
"2023-10-12","2,477.51","2,500.63","2,500.63","2,465.84","","-0.72%"
"2023-10-11","2,495.42","2,483.56","2,496.16","2,480.06","","0.89%"
"2023-10-10","2,473.44","2,465.64","2,482.23","2,459.50","","1.35%"
"2023-10-6","2,440.53","2,421.75","2,445.52","2,398.84","","0.55%"
"2023-10-5","2,427.08","2,408.38","2,430.51","2,408.38","","0.49%"
"2023-10-4","2,415.22","2,413.08","2,417.53","2,390.45","","0.04%"
"2023-10-3","2,414.18","2,421.85","2,428.69","2,404.96","","-0.87%"
"2023-10-2","2,435.25","2,474.32","2,474.88","2,430.97","","-1.69%"
"2023-9-29","2,477.00","2,496.51","2,497.16","2,475.46","","-0.27%"
"2023-9-28","2,483.61","2,462.48","2,488.89","2,459.14","","0.86%"
"2023-9-27","2,462.50","2,487.33","2,487.85","2,450.40","","-0.63%"
"2023-9-26","2,478.00","2,496.00","2,503.04","2,477.61","","-1.12%"
"2023-9-25","2,505.95","2,495.39","2,511.68","2,488.27","","0.15%"
"2023-9-22","2,502.25","2,505.78","2,518.10","2,500.64","","-0.07%"
"2023-9-21","2,504.02","2,544.82","2,544.82","2,504.02","","-2.10%"
"2023-9-20","2,557.79","2,561.03","2,574.68","2,557.79","","-0.04%"
"2023-9-19","2,558.93","2,588.66","2,588.66","2,556.34","","-1.30%"
"2023-9-18","2,592.76","2,606.04","2,606.16","2,586.70","","-0.63%"
"2023-9-15","2,609.32","2,600.45","2,611.97","2,597.17","","0.29%"
"2023-9-14","2,601.66","2,574.17","2,603.40","2,574.17","","1.49%"
"2023-9-13","2,563.59","2,557.02","2,566.28","2,553.70","","0.30%"
"2023-9-12","2,555.86","2,548.29","2,561.30","2,547.20","","0.20%"
"2023-9-11","2,550.77","2,540.77","2,555.51","2,538.30","","0.55%"
"2023-9-8","2,536.91","2,541.66","2,547.39","2,534.35","","-0.26%"
