"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2024-1-5","2,500.63","2,497.06","2,507.00","2,489.61","","0.26%"
"2024-1-4","2,494.16","2,482.45","2,496.56","2,480.28","","0.92%"
"2024-1-3","2,471.48","2,482.77","2,482.93","2,469.40","","-0.45%"
"2024-1-2","2,482.62","2,490.43","2,493.25","2,465.07","","-0.31%"
"2024-1-1","2,490.37","2,489.69","2,500.06","2,484.88","","0.12%"
"2023-12-29","2,487.49","2,485.53","2,489.28","2,478.41","","0.00%"
"2023-12-28","2,487.49","2,480.70","2,489.33","2,475.98","","0.58%"
"2023-12-27","2,473.18","2,455.11","2,475.21","2,455.11","","0.77%"
"2023-12-26","2,454.32","2,446.09","2,457.56","2,441.86","","0.50%"
"2023-12-22","2,442.14","2,435.05","2,444.09","2,426.38","","0.63%"
"2023-12-21","2,426.94","2,397.93","2,430.34","2,388.42","","0.66%"
"2023-12-20","2,410.98","2,467.33","2,473.54","2,405.43","","-1.86%"
"2023-12-19","2,456.63","2,462.68","2,462.68","2,442.32","","0.09%"
"2023-12-18","2,454.53","2,453.73","2,461.24","2,444.78","","0.03%"
"2023-12-15","2,453.69","2,441.53","2,456.93","2,434.13","","1.02%"
"2023-12-14","2,429.00","2,419.27","2,432.27","2,417.44","","1.23%"
"2023-12-13","2,399.59","2,392.86","2,402.03","2,378.46","","0.33%"
"2023-12-12","2,391.61","2,406.02","2,407.33","2,383.95","","-0.47%"
"2023-12-11","2,402.83","2,396.16","2,403.74","2,395.51","","0.32%"
"2023-12-8","2,395.13","2,395.38","2,402.24","2,379.97","","0.10%"
"2023-12-7","2,392.70","2,393.47","2,395.25","2,384.51","","0.00%"
"2023-12-6","2,392.64","2,391.57","2,394.93","2,381.92","","0.47%"
"2023-12-5","2,381.56","2,374.41","2,382.49","2,363.60","","0.78%"
"2023-12-4","2,363.20","2,339.93","2,364.64","2,339.93","","1.78%"
"2023-12-1","2,321.93","2,315.79","2,324.37","2,315.79","","0.67%"
"2023-11-30","2,306.50","2,295.69","2,308.56","2,288.86","","0.49%"
"2023-11-29","2,295.19","2,285.82","2,295.98","2,284.70","","0.88%"
"2023-11-28","2,275.19","2,264.24","2,277.55","2,262.51","","0.63%"
"2023-11-24","2,261.04","2,265.05","2,266.88","2,259.73","","-0.11%"
"2023-11-23","2,263.56","2,268.37","2,271.46","2,262.12","","-0.07%"
"2023-11-22","2,265.12","2,260.04","2,266.00","2,251.91","","0.24%"
"2023-11-21","2,259.66","2,259.61","2,263.82","2,257.33","","0.32%"
"2023-11-20","2,252.46","2,258.23","2,259.90","2,250.48","","-0.23%"
"2023-11-17","2,257.56","2,251.64","2,265.16","2,250.64","","0.00%"
"2023-11-16","2,257.67","2,243.59","2,267.38","2,240.12","","0.56%"
"2023-11-15","2,245.20","2,227.30","2,246.89","2,227.30","","1.18%"
"2023-11-13","2,218.98","2,222.80","2,222.80","2,215.19","","0.19%"
"2023-11-10","2,214.78","2,206.42","2,217.02","2,202.05","","0.17%"
"2023-11-9","2,211.05","2,219.64","2,219.64","2,209.46","","-0.24%"
"2023-11-8","2,216.43","2,216.37","2,217.78","2,211.73","","0.31%"
"2023-11-7","2,209.49","2,206.27","2,211.11","2,200.43","","0.16%"
"2023-11-6","2,206.07","2,189.95","2,207.42","2,189.95","","0.95%"
"2023-11-3","2,185.31","2,183.66","2,188.12","2,182.63","","0.64%"
"2023-11-2","2,171.46","2,165.31","2,172.84","2,162.45","","0.97%"
"2023-11-1","2,150.61","2,162.02","2,164.91","2,148.91","","-0.50%"
"2023-10-31","2,161.37","2,167.75","2,175.47","2,158.71","","-0.19%"
"2023-10-30","2,165.47","2,159.90","2,166.68","2,143.96","","0.38%"
"2023-10-27","2,157.25","2,139.36","2,160.16","2,139.36","","1.23%"
"2023-10-26","2,130.97","2,150.57","2,150.57","2,125.89","","-1.33%"
"2023-10-25","2,159.62","2,176.04","2,185.73","2,151.49","","-0.78%"
"2023-10-23","2,176.55","2,207.52","2,211.73","2,173.32","","-1.51%"
"2023-10-20","2,209.81","2,215.22","2,218.40","2,207.85","","-0.55%"
"2023-10-19","2,222.13","2,218.74","2,226.84","2,208.85","","-0.29%"
"2023-10-18","2,228.64","2,245.75","2,247.06","2,227.43","","-0.70%"
"2023-10-17","2,244.43","2,246.72","2,247.96","2,241.01","","0.39%"
"2023-10-16","2,235.76","2,235.12","2,240.63","2,231.19","","-0.01%"
"2023-10-13","2,236.08","2,234.46","2,240.59","2,223.30","","-0.09%"
"2023-10-12","2,238.19","2,242.59","2,244.58","2,236.48","","-0.09%"
"2023-10-11","2,240.26","2,234.15","2,244.69","2,234.15","","0.62%"
"2023-10-10","2,226.53","2,212.12","2,228.85","2,212.12","","0.97%"
"2023-10-9","2,205.15","2,207.77","2,213.53","2,200.64","","-0.78%"
"2023-10-6","2,222.38","2,210.12","2,224.50","2,210.12","","0.59%"
"2023-10-5","2,209.29","2,208.89","2,212.16","2,203.30","","0.45%"
"2023-10-4","2,199.38","2,207.68","2,207.68","2,187.68","","-0.73%"
"2023-10-3","2,215.51","2,223.28","2,223.28","2,208.86","","-0.36%"
"2023-9-29","2,223.50","2,215.13","2,232.16","2,211.50","","0.71%"
"2023-9-28","2,207.83","2,238.12","2,238.63","2,204.27","","-1.18%"
"2023-9-27","2,234.19","2,226.65","2,235.43","2,218.46","","0.31%"
"2023-9-26","2,227.38","2,229.48","2,231.50","2,225.36","","-0.03%"
"2023-9-25","2,228.02","2,227.90","2,232.48","2,218.13","","0.06%"
