"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-12-8","1,283.22","1,268.14","1,283.42","1,268.14","","1.38%"
"2023-12-7","1,265.80","1,264.44","1,266.75","1,255.55","","-0.24%"
"2023-12-6","1,268.87","1,267.25","1,270.46","1,261.01","","0.26%"
"2023-12-5","1,265.57","1,267.52","1,272.24","1,262.53","","-0.32%"
"2023-12-4","1,269.69","1,273.55","1,278.05","1,265.36","","-0.05%"
"2023-12-1","1,270.33","1,264.32","1,271.08","1,262.54","","0.74%"
"2023-11-30","1,261.06","1,265.82","1,265.82","1,260.55","","-0.41%"
"2023-11-29","1,266.19","1,268.74","1,275.79","1,265.94","","0.20%"
"2023-11-28","1,263.63","1,266.46","1,266.61","1,257.48","","-0.23%"
"2023-11-27","1,266.56","1,265.51","1,270.11","1,261.30","","0.01%"
"2023-11-24","1,266.41","1,272.58","1,274.33","1,265.95","","-0.71%"
"2023-11-23","1,275.52","1,271.32","1,276.86","1,270.52","","-0.17%"
"2023-11-22","1,277.75","1,270.37","1,281.26","1,270.07","","0.54%"
"2023-11-21","1,270.86","1,280.56","1,280.57","1,269.25","","-0.72%"
"2023-11-20","1,280.06","1,282.34","1,282.35","1,274.49","","-0.46%"
"2023-11-17","1,286.02","1,283.95","1,287.90","1,280.21","","-0.17%"
"2023-11-16","1,288.25","1,287.34","1,293.46","1,279.06","","-0.14%"
"2023-11-15","1,290.12","1,288.44","1,292.70","1,277.88","","1.29%"
"2023-11-14","1,273.71","1,299.63","1,302.76","1,272.35","","-2.01%"
"2023-11-13","1,299.80","1,297.32","1,301.44","1,296.24","","0.14%"
"2023-11-10","1,297.94","1,299.37","1,299.69","1,291.74","","-0.56%"
"2023-11-9","1,305.28","1,302.62","1,311.40","1,302.62","","0.24%"
"2023-11-8","1,302.09","1,313.42","1,313.42","1,296.61","","-1.32%"
"2023-11-7","1,319.49","1,316.41","1,320.92","1,310.71","","-0.11%"
"2023-11-6","1,320.97","1,314.94","1,326.28","1,312.61","","0.99%"
"2023-11-3","1,307.97","1,286.62","1,308.66","1,286.61","","2.45%"
"2023-11-2","1,276.72","1,282.99","1,283.49","1,272.30","","0.21%"
"2023-11-1","1,273.99","1,275.19","1,279.31","1,270.91","","0.05%"
"2023-10-31","1,273.35","1,277.53","1,280.41","1,267.51","","0.04%"
"2023-10-30","1,272.86","1,263.12","1,272.99","1,260.34","","0.40%"
"2023-10-27","1,267.82","1,276.49","1,277.21","1,267.42","","-0.50%"
"2023-10-26","1,274.16","1,282.47","1,286.68","1,273.17","","-0.90%"
"2023-10-25","1,285.76","1,293.16","1,295.00","1,284.75","","-0.39%"
"2023-10-24","1,290.80","1,279.01","1,293.96","1,276.39","","1.11%"
"2023-10-23","1,276.62","1,281.34","1,285.26","1,273.04","","-0.64%"
"2023-10-20","1,284.79","1,287.60","1,294.66","1,282.07","","-0.74%"
"2023-10-19","1,294.37","1,299.81","1,299.82","1,294.00","","-1.15%"
"2023-10-18","1,309.48","1,324.16","1,324.16","1,309.42","","-1.19%"
"2023-10-17","1,325.26","1,329.56","1,332.49","1,322.58","","0.34%"
"2023-10-16","1,320.83","1,319.86","1,323.94","1,316.25","","-0.40%"
"2023-10-13","1,326.20","1,328.73","1,330.36","1,325.21","","-0.96%"
"2023-10-12","1,339.09","1,332.10","1,341.63","1,331.49","","0.83%"
"2023-10-11","1,328.08","1,335.31","1,335.32","1,324.48","","-0.01%"
"2023-10-10","1,328.21","1,315.07","1,330.89","1,314.08","","1.57%"
"2023-10-9","1,307.62","1,309.55","1,313.53","1,306.11","","-0.45%"
"2023-10-6","1,313.48","1,306.53","1,315.50","1,305.89","","0.64%"
"2023-10-5","1,305.13","1,299.78","1,310.13","1,298.67","","0.45%"
"2023-10-4","1,299.23","1,305.98","1,306.28","1,295.23","","-1.42%"
"2023-10-3","1,317.90","1,321.54","1,323.72","1,314.93","","-0.68%"
"2023-10-2","1,326.95","1,334.91","1,336.69","1,323.09","","-0.29%"
"2023-9-29","1,330.86","1,325.83","1,333.49","1,324.52","","0.66%"
"2023-9-28","1,322.18","1,316.74","1,322.85","1,315.08","","0.40%"
"2023-9-27","1,316.88","1,312.05","1,320.59","1,306.73","","-0.09%"
"2023-9-26","1,318.07","1,316.92","1,321.82","1,314.32","","-0.03%"
"2023-9-25","1,318.47","1,304.33","1,321.28","1,301.81","","1.05%"
"2023-9-22","1,304.73","1,298.02","1,308.34","1,295.17","","0.01%"
"2023-9-21","1,304.55","1,321.65","1,321.65","1,301.86","","-1.51%"
"2023-9-20","1,324.58","1,329.40","1,330.60","1,321.13","","-0.20%"
"2023-9-19","1,327.18","1,336.03","1,336.14","1,325.05","","-0.68%"
"2023-9-18","1,336.25","1,346.95","1,346.95","1,335.63","","-0.66%"
"2023-9-15","1,345.08","1,338.15","1,348.69","1,338.15","","0.95%"
"2023-9-14","1,332.42","1,320.21","1,333.01","1,319.52","","1.13%"
"2023-9-13","1,317.59","1,317.21","1,320.81","1,312.75","","0.15%"
"2023-9-12","1,315.66","1,317.23","1,317.24","1,311.69","","-0.12%"
"2023-9-11","1,317.22","1,312.69","1,319.19","1,308.72","","0.47%"
"2023-9-8","1,311.11","1,316.92","1,320.30","1,308.37","","-0.72%"
"2023-9-7","1,320.68","1,318.90","1,321.30","1,311.18","","0.02%"
"2023-9-6","1,320.44","1,324.47","1,327.04","1,312.32","","-0.01%"
"2023-9-5","1,320.62","1,325.38","1,326.18","1,318.46","","-0.58%"
"2023-9-4","1,328.30","1,328.36","1,330.07","1,326.00","","0.25%"
"2023-9-1","1,324.97","1,321.97","1,325.25","1,321.97","","0.22%"
"2023-8-31","1,322.05","1,316.95","1,325.54","1,315.76","","0.47%"
"2023-8-30","1,315.87","1,322.65","1,323.27","1,313.89","","-0.11%"
"2023-8-29","1,317.34","1,315.36","1,317.47","1,312.49","","0.49%"
"2023-8-28","1,310.97","1,305.82","1,315.53","1,305.81","","0.70%"
"2023-8-25","1,301.88","1,293.87","1,302.59","1,290.98","","0.41%"
"2023-8-24","1,296.58","1,303.52","1,306.74","1,296.57","","-0.13%"
"2023-8-23","1,298.24","1,285.89","1,298.95","1,283.53","","0.78%"
"2023-8-22","1,288.22","1,294.34","1,294.65","1,285.84","","-0.24%"
"2023-8-21","1,291.35","1,296.23","1,296.23","1,288.43","","-0.48%"
"2023-8-18","1,297.54","1,299.84","1,304.29","1,293.77","","-0.71%"
"2023-8-17","1,306.87","1,309.08","1,313.30","1,304.62","","-0.61%"
"2023-8-16","1,314.91","1,322.73","1,322.73","1,309.45","","-0.72%"
"2023-8-15","1,324.38","1,369.47","1,374.13","1,323.46","","-3.24%"
"2023-8-14","1,368.67","1,374.01","1,374.02","1,361.69","","-1.29%"
"2023-8-11","1,386.58","1,396.72","1,396.72","1,380.46","","-0.85%"
"2023-8-10","1,398.50","1,392.19","1,401.35","1,387.66","","0.43%"
"2023-8-9","1,392.53","1,395.52","1,395.98","1,392.48","","-0.25%"
"2023-8-8","1,396.05","1,399.01","1,399.90","1,393.02","","-0.03%"
"2023-8-7","1,396.40","1,395.15","1,400.02","1,393.87","","0.22%"
"2023-8-4","1,393.36","1,400.65","1,404.05","1,392.52","","-0.76%"
"2023-8-3","1,403.97","1,411.09","1,414.35","1,402.10","","-0.60%"
"2023-8-2","1,412.38","1,438.90","1,438.93","1,410.09","","-2.17%"
"2023-8-1","1,443.65","1,448.93","1,450.56","1,441.44","","-0.11%"
"2023-7-31","1,445.22","1,439.30","1,446.39","1,434.21","","0.60%"
"2023-7-28","1,436.60","1,418.84","1,436.64","1,415.78","","1.68%"
"2023-7-27","1,412.87","1,411.28","1,421.63","1,407.42","","0.73%"
"2023-7-26","1,402.59","1,390.08","1,405.03","1,389.84","","0.85%"
"2023-7-25","1,390.73","1,386.95","1,397.70","1,383.03","","0.57%"
"2023-7-24","1,382.91","1,388.74","1,390.46","1,378.13","","-0.38%"
