"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-12-8","151.69","150.53","151.98","150.45","","0.87%"
"2023-12-7","150.38","150.50","150.55","150.02","","-0.26%"
"2023-12-6","150.77","150.27","151.15","149.99","","0.59%"
"2023-12-5","149.89","148.79","150.02","148.79","","0.64%"
"2023-12-4","148.94","148.86","149.56","148.81","","-0.11%"
"2023-12-1","149.10","148.27","149.14","148.22","","0.87%"
"2023-11-30","147.82","147.46","148.10","147.13","","0.30%"
"2023-11-29","147.38","146.48","147.65","146.48","","0.61%"
"2023-11-28","146.48","146.36","146.53","145.83","","-0.30%"
"2023-11-27","146.92","147.37","147.61","146.90","","-0.35%"
"2023-11-24","147.44","147.02","147.51","146.85","","0.30%"
"2023-11-23","147.00","146.82","147.04","146.61","","0.26%"
"2023-11-22","146.62","146.19","146.87","146.19","","0.42%"
"2023-11-21","146.00","146.39","146.59","145.95","","-0.34%"
"2023-11-20","146.50","146.15","146.56","146.11","","0.25%"
"2023-11-17","146.14","145.14","146.46","145.14","","0.97%"
"2023-11-16","144.74","145.10","145.47","144.71","","-0.41%"
"2023-11-15","145.34","144.87","145.80","144.87","","0.51%"
"2023-11-14","144.60","142.55","144.86","142.31","","1.61%"
"2023-11-13","142.31","142.12","142.59","141.69","","0.70%"
"2023-11-10","141.32","141.79","142.03","140.64","","-0.82%"
"2023-11-9","142.49","141.18","142.61","140.87","","0.86%"
"2023-11-8","141.27","140.20","141.85","140.04","","0.53%"
"2023-11-7","140.53","140.18","140.87","140.07","","-0.12%"
"2023-11-6","140.70","141.44","141.53","140.49","","-0.24%"
"2023-11-3","141.04","140.98","141.63","140.66","","0.26%"
"2023-11-2","140.68","139.04","141.25","139.04","","1.93%"
"2023-11-1","138.02","137.63","138.34","136.87","","0.61%"
"2023-10-31","137.19","136.30","137.58","136.23","","0.85%"
"2023-10-30","136.03","135.86","136.69","135.86","","0.43%"
"2023-10-27","135.45","136.46","136.85","135.22","","-0.72%"
"2023-10-26","136.43","136.78","136.84","135.29","","-0.51%"
"2023-10-25","137.13","136.99","137.36","136.14","","0.07%"
"2023-10-24","137.04","136.48","137.31","135.88","","0.52%"
"2023-10-23","136.33","136.20","136.55","134.98","","0.12%"
