date,标普500指数,道琼斯工业平均指数,纳斯达克综合指数,香港恒生指数,中国上证指数,中国深证指数,沪深300指数,上证50,中证500,上证红利,中证红利,日经225指数,韩国KOSPI指数,MSCI新加坡指数,MSCI加拿大指数,MSCI欧盟指数
1990-05-14,,,,2976.44,,,,,,,,,,,,
1990-05-15,,,,2965.09,,,,,,,,,,,,
1990-05-16,,,,2948.89,,,,,,,,,,,,
1990-05-17,,,,2917.63,,,,,,,,,,,,
1990-05-18,,,,2925.89,,,,,,,,,,,,
1990-05-21,,,,2930.83,,,,,,,,,,,,
1990-05-22,,,,2970.87,,,,,,,,,,,,
1990-05-23,,,,3028.31,,,,,,,,,,,,
1990-05-24,,,,3048.01,,,,,,,,,,,,
1990-05-25,,,,3059.5,,,,,,,,,,,,
1990-05-29,,,,3048.55,,,,,,,,,,,,
1990-05-30,,,,3083.35,,,,,,,,,,,,
1990-05-31,,,,3132.32,,,,,,,,,,,,
1990-06-01,,,,3159.17,,,,,,,,,,,,
1990-06-04,,,,3153.22,,,,,,,,,,,,
1990-06-05,,,,3159.06,,,,,,,,,,,,
1990-06-06,,,,3172.49,,,,,,,,,,,,
1990-06-07,,,,3145.3,,,,,,,,,,,,
1990-06-08,,,,3174.33,,,,,,,,,,,,
1990-06-11,,,,3154.99,,,,,,,,,,,,
1990-06-12,,,,3203.0,,,,,,,,,,,,
1990-06-13,,,,3185.14,,,,,,,,,,,,
1990-06-14,,,,3191.55,,,,,,,,,,,,
1990-06-15,,,,3201.52,,,,,,,,,,,,
1990-06-19,,,,3229.02,,,,,,,,,,,,
1990-06-20,,,,3234.39,,,,,,,,,,,,
1990-06-21,,,,3246.21,,,,,,,,,,,,
1990-06-22,,,,3250.44,,,,,,,,,,,,
1990-06-25,,,,3276.44,,,,,,,,,,,,
1990-06-26,,,,3292.35,,,,,,,,,,,,
1990-06-27,,,,3284.47,,,,,,,,,,,,
1990-06-28,,,,3273.28,,,,,,,,,,,,
1990-06-29,,,,3278.24,,,,,,,,,,,,
1990-07-02,,,,3319.47,,,,,,,,,,,,
1990-07-03,,,,3356.55,,,,,,,,,,,,
1990-07-04,,,,3363.49,,,,,,,,,,,,
1990-07-05,,,,3356.44,,,,,,,,,,,,
1990-07-06,,,,3357.61,,,,,,,,,,,,
1990-07-09,,,,3385.15,,,,,,,,,,,,
1990-07-10,,,,3408.16,,,,,,,,,,,,
1990-07-11,,,,3440.93,,,,,,,,,,,,
1990-07-12,,,,3468.59,,,,,,,,,,,,
1990-07-13,,,,3507.16,,,,,,,,,,,,
1990-07-16,,,,3488.85,,,,,,,,,,,,
1990-07-17,,,,3463.94,,,,,,,,,,,,
1990-07-18,,,,3528.29,,,,,,,,,,,,
1990-07-19,,,,3523.58,,,,,,,,,,,,
