date,标普500指数,道琼斯工业平均指数,纳斯达克综合指数,香港恒生指数,中国上证指数,中国深证指数,沪深300指数,上证50,中证500,上证红利,中证红利,日经225指数,韩国KOSPI指数,MSCI新加坡指数,MSCI加拿大指数,MSCI欧盟指数,MSCI印度指数
1990-05-14,,,,380.98432,,,,,,,,,,,,,
1990-05-15,,,,379.53152,,,,,,,,,,,,,
1990-05-16,,,,377.45792,,,,,,,,,,,,,
1990-05-17,,,,373.4566400000001,,,,,,,,,,,,,
1990-05-18,,,,374.51392,,,,,,,,,,,,,
1990-05-21,,,,375.14624,,,,,,,,,,,,,
1990-05-22,,,,380.27136,,,,,,,,,,,,,
1990-05-23,,,,387.62368,,,,,,,,,,,,,
1990-05-24,,,,390.14528,,,,,,,,,,,,,
1990-05-25,,,,391.616,,,,,,,,,,,,,
1990-05-29,,,,390.2144,,,,,,,,,,,,,
1990-05-30,,,,394.6688,,,,,,,,,,,,,
1990-05-31,,,,400.93696000000006,,,,,,,,,,,,,
1990-06-01,,,,404.37376,,,,,,,,,,,,,
1990-06-04,,,,403.61216,,,,,,,,,,,,,
1990-06-05,,,,404.35968,,,,,,,,,,,,,
1990-06-06,,,,406.07872,,,,,,,,,,,,,
1990-06-07,,,,402.5984,,,,,,,,,,,,,
1990-06-08,,,,406.31424,,,,,,,,,,,,,
1990-06-11,,,,403.83872,,,,,,,,,,,,,
1990-06-12,,,,409.984,,,,,,,,,,,,,
1990-06-13,,,,407.69792,,,,,,,,,,,,,
1990-06-14,,,,408.5184,,,,,,,,,,,,,
1990-06-15,,,,409.79456,,,,,,,,,,,,,
1990-06-19,,,,413.31456,,,,,,,,,,,,,
1990-06-20,,,,414.00192,,,,,,,,,,,,,
1990-06-21,,,,415.51488,,,,,,,,,,,,,
1990-06-22,,,,416.05632,,,,,,,,,,,,,
1990-06-25,,,,419.38432,,,,,,,,,,,,,
1990-06-26,,,,421.4208,,,,,,,,,,,,,
1990-06-27,,,,420.41216,,,,,,,,,,,,,
1990-06-28,,,,418.97984,,,,,,,,,,,,,
1990-06-29,,,,419.61472,,,,,,,,,,,,,
1990-07-02,,,,424.89216,,,,,,,,,,,,,
1990-07-03,,,,429.6384000000001,,,,,,,,,,,,,
1990-07-04,,,,430.52672,,,,,,,,,,,,,
1990-07-05,,,,429.62432,,,,,,,,,,,,,
1990-07-06,,,,429.77408,,,,,,,,,,,,,
1990-07-09,,,,433.2992,,,,,,,,,,,,,
1990-07-10,,,,436.24448,,,,,,,,,,,,,
1990-07-11,,,,440.43904,,,,,,,,,,,,,
1990-07-12,,,,443.97952,,,,,,,,,,,,,
1990-07-13,,,,448.91648,,,,,,,,,,,,,
1990-07-16,,,,446.5728,,,,,,,,,,,,,
1990-07-17,,,,443.38432,,,,,,,,,,,,,
1990-07-18,,,,451.62112,,,,,,,,,,,,,
1990-07-19,,,,451.01824,,,,,,,,,,,,,
1990-07-20,,,,453.17504,,,,,,,,,,,,,
1990-07-23,,,,455.66592,,,,,,,,,,,,,
1990-07-24,,,,447.47136,,,,,,,,,,,,,
1990-07-25,,,,450.62912,,,,,,,,,,,,,
1990-07-26,,,,445.89952000000005,,,,,,,,,,,,,
1990-07-27,,,,446.1824,,,,,,,,,,,,,
1990-07-30,,,,441.01248,,,,,,,,,,,,,
1990-07-31,,,,440.12672,,,,,,,,,,,,,
1990-08-01,,,,443.98592,,,,,,,,,,,,,
1990-08-02,,,,437.14304,,,,,,,,,,,,,
1990-08-03,,,,429.6896,,,,,,,,,,,,,
1990-08-06,,,,397.82144,,,,,,,,,,,,,
1990-08-07,,,,396.63232,,,,,,,,,,,,,
1990-08-08,,,,402.63296,,,,,,,,,,,,,
1990-08-09,,,,395.66336,,,,,,,,,,,,,
1990-08-10,,,,394.10816,,,,,,,,,,,,,
1990-08-13,,,,389.15584,,,,,,,,,,,,,
1990-08-14,,,,392.64384,,,,,,,,,,,,,
1990-08-15,,,,406.81856,,,,,,,,,,,,,
1990-08-16,,,,407.46112,,,,,,,,,,,,,
1990-08-17,,,,399.69792,,,,,,,,,,,,,
1990-08-20,,,,390.76352,,,,,,,,,,,,,
1990-08-21,,,,389.12,,,,,,,,,,,,,
1990-08-22,,,,378.23104,,,,,,,,,,,,,
1990-08-23,,,,367.50592,,,,,,,,,,,,,
1990-08-24,,,,373.50528,,,,,,,,,,,,,
1990-08-28,,,,394.10432,,,,,,,,,,,,,
1990-08-29,,,,386.0416,,,,,,,,,,,,,
1990-08-30,,,,392.21632,,,,,,,,,,,,,
1990-08-31,,,,395.2,,,,,,,,,,,,,
1990-09-03,,,,392.55168,,,,,,,,,,,,,
1990-09-04,,,,390.93248,,,,,,,,,,,,,
1990-09-05,,,,389.08032,,,,,,,,,,,,,
1990-09-06,,,,388.2048,,,,,,,,,,,,,
1990-09-07,,,,390.13248,,,,,,,,,,,,,
1990-09-10,,,,395.23072,,,,,,,,,,,,,
1990-09-11,,,,394.6969600000001,,,,,,,,,,,,,
1990-09-12,,,,397.44512,,,,,,,,,,,,,
1990-09-13,,,,396.02816,,,,,,,,,,,,,
1990-09-14,,,,391.94112,,,,,,,,,,,,,
1990-09-17,,,,386.54336,,,,,,,,,,,,,
1990-09-18,,,,383.57248,,,,,,,,,,,,,
1990-09-19,,,,381.5616,,,,,,,,,,,,,
1990-09-20,,,,382.02112,,,,,,,,,,,,,
1990-09-21,,,,375.2780800000001,,,,,,,,,,,,,
1990-09-24,,,,366.30656,,,,,,,,,,,,,
1990-09-25,,,,359.36,,,,,,,,,,,,,
1990-09-26,,,,355.67872,,,,,,,,,,,,,
1990-09-27,,,,354.2976,,,,,,,,,,,,,
1990-09-28,,,,353.38496000000004,,,,,,,,,,,,,
1990-10-01,,,,357.28128000000004,,,,,,,,,,,,,
1990-10-02,,,,371.90144,,,,,,,,,,,,,
1990-10-03,,,,366.4064,,,,,,,,,,,,,
1990-10-05,,,,364.8576,,,,,,,,,,,,,
1990-10-08,,,,374.46144,,,,,,,,,,,,,
1990-10-09,,,,372.93056,,,,,,,,,,,,,
1990-10-10,,,,367.66848,,,,,,,,,,,,,
1990-10-11,,,,369.20448,,,,,,,,,,,,,
1990-10-12,,,,373.15328000000005,,,,,,,,,,,,,
1990-10-15,,,,373.29664,,,,,,,,,,,,,
1990-10-16,,,,377.54496,,,,,,,,,,,,,
1990-10-17,,,,378.69312,,,,,,,,,,,,,
1990-10-18,,,,377.66656,,,,,,,,,,,,,
1990-10-19,,,,382.9696,,,,,,,,,,,,,
1990-10-22,,,,385.99168,,,,,,,,,,,,,
1990-10-23,,,,394.39744,,,,,,,,,,,,,
1990-10-24,,,,389.38624,,,,,,,,,,,,,
1990-10-25,,,,390.51264,,,,,,,,,,,,,
1990-10-29,,,,392.13184,,,,,,,,,,,,,
1990-10-30,,,,385.4912,,,,,,,,,,,,,
1990-10-31,,,,382.84288,,,,,,,,,,,,,
1990-11-01,,,,379.99872,,,,,,,,,,,,,
1990-11-02,,,,381.30176,,,,,,,,,,,,,
1990-11-05,,,,379.80672,,,,,,,,,,,,,
1990-11-06,,,,379.73888,,,,,,,,,,,,,
1990-11-07,,,,378.26432,,,,,,,,,,,,,
1990-11-08,,,,375.35232,,,,,,,,,,,,,
1990-11-09,,,,375.41376,,,,,,,,,,,,,
1990-11-12,,,,377.54368,,,,,,,,,,,,,
1990-11-13,,,,383.86816,,,,,,,,,,,,,
1990-11-14,,,,384.87296,,,,,,,,,,,,,
1990-11-15,,,,382.78016,,,,,,,,,,,,,
1990-11-16,,,,385.10848,,,,,,,,,,,,,
1990-11-19,,,,389.45024,,,,,,,,,,,,,
1990-11-20,,,,388.08576,,,,,,,,,,,,,
1990-11-21,,,,385.74848,,,,,,,,,,,,,
1990-11-22,,,,386.95424,,,,,,,,,,,,,
1990-11-23,,,,386.05568,,,,,,,,,,,,,
1990-11-26,,,,383.42656,,,,,,,,,,,,,
1990-11-27,,,,383.86432,,,,,,,,,,,,,
1990-11-28,,,,382.25792,,,,,,,,,,,,,
1990-11-29,,,,381.2288,,,,,,,,,,,,,
1990-11-30,,,,379.52768,,,,,,,,,,,,,
1990-12-03,,,,386.58176,,,,,,,,,,,,,
1990-12-04,,,,386.66752,,,,,,,,,,,,,
1990-12-05,,,,392.47744,,,,,,,,,,,,,
1990-12-06,,,,400.22912,,,,,,,,,,,,,
1990-12-07,,,,404.95232,,,,,,,,,,,,,
1990-12-10,,,,403.08864,,,,,,,,,,,,,
1990-12-11,,,,402.51136,,,,,,,,,,,,,
1990-12-12,,,,404.58112,,,,,,,,,,,,,
1990-12-13,,,,403.21536,,,,,,,,,,,,,
1990-12-14,,,,400.08832,,,,,,,,,,,,,
1990-12-17,,,,390.64576,,,,,,,,,,,,,
1990-12-18,,,,392.5312,,,,,,,,,,,,,
1990-12-19,,,,394.68032,14.4971,,,,,,,,,,,,
1990-12-20,,,,394.01088,15.13655,,,,,,,,,,,,
1990-12-21,,,,394.19776,15.823849999999998,,,,,,,,,,,,
1990-12-24,,,,391.8016,16.60975,,,,,,,,,,,,
1990-12-25,,,,,17.436249999999998,,,,,,,,,,,,
1990-12-26,,,,,18.16415,,,,,,,,,,,,
1990-12-27,,,,392.53888,18.1656,,,,,,,,,,,,
1990-12-28,,,,390.87744,18.33525,,,,,,,,,,,,
1990-12-31,,,,387.1424,18.50345,,,,,,,,,,,,
1991-01-02,,,,388.01152,18.6818,,,,,,,,,,,,
1991-01-03,,,,384.62464,18.8703,,,,,,,,,,,,
1991-01-04,,,,389.96608,19.0588,,,,,,,,,,,,
1991-01-07,,,,387.39456,19.1487,,,,,,,,,,,,
1991-01-08,,,,385.20576,19.2386,,,,,,,,,,,,
1991-01-09,,,,387.5328,19.3343,,,,,,,,,,,,
1991-01-10,,,,388.54784,19.42565,,,,,,,,,,,,
1991-01-11,,,,391.47136,19.517,,,,,,,,,,,,
1991-01-14,,,,388.81536,19.527149999999995,,,,,,,,,,,,
1991-01-15,,,,384.10496,19.5373,,,,,,,,,,,,
1991-01-16,,,,381.95328000000006,19.4648,,,,,,,,,,,,
1991-01-17,,,,395.24224,19.46625,,,,,,,,,,,,
1991-01-18,,,,393.23776,19.4648,,,,,,,,,,,,
1991-01-21,,,,392.57344,19.4648,,,,,,,,,,,,
1991-01-22,,,,391.94624,19.3894,,,,,,,,,,,,
1991-01-23,,,,395.5712,19.30965,,,,,,,,,,,,
1991-01-24,,,,401.984,19.22845,,,,,,,,,,,,
1991-01-25,,,,410.41408,19.14725,,,,,,,,,,,,
1991-01-28,,,,409.38112,19.0617,,,,,,,,,,,,
1991-01-29,,,,408.6912,18.98775,,,,,,,,,,,,
1991-01-30,,,,409.71392,18.9138,,,,,,,,,,,,
1991-01-31,,,,415.1424,18.84565,,,,,,,,,,,,
1991-02-01,,,,412.60672,18.77895,,,,,,,,,,,,
1991-02-04,,,,416.05504,18.71225,,,,,,,,,,,,
1991-02-05,,,,428.21248,18.6441,,,,,,,,,,,,
1991-02-06,,,,430.77888,18.7253,,,,,,,,,,,,
1991-02-07,,,,426.74944,18.81955,,,,,,,,,,,,
1991-02-08,,,,429.96352,18.9051,,,,,,,,,,,,
1991-02-11,,,,434.44224,18.99065,,,,,,,,,,,,
1991-02-12,,,,434.56,19.04575,,,,,,,,,,,,
1991-02-13,,,,436.82048,19.1284,,,,,,,,,,,,
1991-02-14,,,,,19.21685,,,,,,,,,,,,
1991-02-18,,,,444.59776,,,,,,,,,,,,,
1991-02-19,,,,443.88352,19.30385,,,,,,,,,,,,
1991-02-20,,,,446.99648,19.38215,,,,,,,,,,,,
1991-02-21,,,,445.13408,19.4706,,,,,,,,,,,,
1991-02-22,,,,444.84352,19.55615,,,,,,,,,,,,
1991-02-25,,,,450.6176,19.488,,,,,,,,,,,,
1991-02-26,,,,452.15104,19.41985,,,,,,,,,,,,
1991-02-27,,,,449.63712,19.35315,,,,,,,,,,,,
1991-02-28,,,,454.67392,19.28645,,,,,,,,,,,,
1991-03-01,,,,454.70336,19.21685,,,,,,,,,,,,
1991-03-04,,,,456.23552,19.13855,,,,,,,,,,,,
1991-03-05,,,,460.86272,19.0617,,,,,,,,,,,,
1991-03-06,,,,466.85824,18.9863,,,,,,,,,,,,
1991-03-07,,,,468.25472,18.90945,,,,,,,,,,,,
1991-03-08,,,,467.60832,18.83405,,,,,,,,,,,,
1991-03-11,,,,469.63584,18.74995,,,,,,,,,,,,
1991-03-12,,,,468.2329600000001,18.67165,,,,,,,,,,,,
1991-03-13,,,,465.21344,18.29175,,,,,,,,,,,,
1991-03-14,,,,464.37248,18.21635,,,,,,,,,,,,
1991-03-15,,,,476.46592,18.14965,,,,,,,,,,,,
1991-03-18,,,,476.7168,18.08295,,,,,,,,,,,,
1991-03-19,,,,480.1792,18.011899999999997,,,,,,,,,,,,
1991-03-20,,,,471.47648,17.930699999999998,,,,,,,,,,,,
1991-03-21,,,,468.62848,17.8524,,,,,,,,,,,,
1991-03-22,,,,475.6672,17.779899999999998,,,,,,,,,,,,
1991-03-25,,,,475.97440000000006,17.7074,,,,,,,,,,,,
1991-03-26,,,,471.5392,17.6349,,,,,,,,,,,,
1991-03-27,,,,472.55296,17.5624,,,,,,,,,,,,
1991-03-28,,,,479.48416,17.48845,,,,,,,,,,,,
1991-03-29,,,,,17.42755,,,,,,,,,,,,
1991-04-01,,,,,17.50585,,,,,,,,,,,,
1991-04-02,,,,485.11872,17.575449999999996,,,,,,,,,,,,
1991-04-03,,,,495.3216,17.647949999999998,143.26725,,,,,,,,,,,
1991-04-04,,,,492.6912,17.6494,142.55095,,,,,,,,,,,
1991-04-05,,,,,17.6233,141.84914999999998,,,,,,,,,,,
1991-04-06,,,,,,141.14589999999998,,,,,,,,,,,
1991-04-08,,,,487.93728,17.558049999999998,140.44265,,,,,,,,,,,
1991-04-09,,,,480.9344,17.4899,139.74085,,,,,,,,,,,
1991-04-10,,,,483.53536,17.423199999999998,139.0376,,,,,,,,,,,
1991-04-11,,,,474.10304,17.3478,138.33435,,,,,,,,,,,
1991-04-12,,,,478.976,17.285449999999997,137.64995,,,,,,,,,,,
1991-04-13,,,,,,136.9641,,,,,,,,,,,
1991-04-15,,,,475.43936,17.221649999999997,136.2971,,,,,,,,,,,
1991-04-16,,,,475.83488,17.159299999999998,135.6301,,,,,,,,,,,
1991-04-17,,,,471.93728,17.0955,134.9631,,,,,,,,,,,
1991-04-18,,,,473.50528,17.03025,134.2961,,,,,,,,,,,
1991-04-19,,,,469.4272,16.976599999999998,133.6291,,,,,,,,,,,
1991-04-20,,,,,,132.9621,,,,,,,,,,,
1991-04-22,,,,458.55872,16.91135,132.2951,,,,,,,,,,,
1991-04-23,,,,456.91392,16.84755,131.6281,,,,,,,,,,,
1991-04-24,,,,461.47712,16.78955,130.97994999999997,,,,,,,,,,,
1991-04-25,,,,460.08064,16.7272,130.3318,,,,,,,,,,,
1991-04-26,,,,464.1024000000001,16.7562,129.6822,,,,,,,,,,,
1991-04-27,,,,,,129.03404999999998,,,,,,,,,,,
1991-04-29,,,,463.96416,16.638749999999998,128.38735,,,,,,,,,,,
1991-04-30,,,,459.31008,16.5213,127.7421,,,,,,,,,,,
1991-05-01,,,,464.79744,,,,,,,,,,,,,
1991-05-02,,,,476.94592,16.408199999999997,127.10265,,,,,,,,,,,
1991-05-03,,,,478.44864,16.299449999999997,126.4632,,,,,,,,,,,
1991-05-04,,,,,,125.82375,,,,,,,,,,,
1991-05-06,,,,474.16704,16.18345,125.18575,,,,,,,,,,,
1991-05-07,,,,478.91328,16.0689,124.56369999999998,,,,,,,,,,,
1991-05-08,,,,479.7184,15.95435,123.9431,,,,,,,,,,,
1991-05-09,,,,479.29088,15.84705,123.3225,,,,,,,,,,,
1991-05-10,,,,480.0256,15.73685,122.7019,,,,,,,,,,,
1991-05-11,,,,,,122.0813,,,,,,,,,,,
1991-05-13,,,,482.25664,15.6368,121.4607,,,,,,,,,,,
1991-05-14,,,,484.49792,15.54255,121.07645,,,,,,,,,,,
1991-05-15,,,,485.08032,15.452649999999998,120.7183,,,,,,,,,,,
1991-05-16,,,,494.03648,15.33665,120.35869999999998,,,,,,,,,,,
1991-05-17,,,,497.00352,15.47875,120.0194,,,,,,,,,,,
1991-05-18,,,,,,119.654,,,,,,,,,,,
1991-05-20,,,,501.38752000000005,15.6339,119.28714999999998,,,,,,,,,,,
1991-05-21,,,,490.22464,15.77745,118.92175,,,,,,,,,,,
1991-05-22,,,,489.80736,15.69625,118.55635,,,,,,,,,,,
1991-05-23,,,,483.68512,15.8166,117.97055,,,,,,,,,,,
1991-05-24,,,,474.10944,15.9616,117.3862,,,,,,,,,,,
1991-05-25,,,,,,116.8004,,,,,,,,,,,
1991-05-27,,,,457.66656,16.0457,116.2146,,,,,,,,,,,
1991-05-28,,,,460.13184,16.1936,115.7071,,,,,,,,,,,
1991-05-29,,,,464.04992,16.34875,115.21845,,,,,,,,,,,
1991-05-30,,,,471.00416,16.503899999999998,114.72835,,,,,,,,,,,
1991-05-31,,,,474.4972800000001,16.65035,114.23825,,,,,,,,,,,
1991-06-01,,,,,,113.7496,,,,,,,,,,,
1991-06-03,,,,472.08192,16.815649999999998,113.2595,,,,,,,,,,,
1991-06-04,,,,469.45536,16.9824,112.7694,,,,,,,,,,,
1991-06-05,,,,472.32128000000006,17.13465,112.28075,,,,,,,,,,,
1991-06-06,,,,470.80832,17.30575,111.8327,,,,,,,,,,,
1991-06-07,,,,465.63456,17.468149999999998,111.3832,,,,,,,,,,,
1991-06-08,,,,,,110.0173,,,,,,,,,,,
1991-06-10,,,,463.51232,17.642149999999997,106.37924999999998,,,,,,,,,,,
1991-06-11,,,,464.82944,17.819049999999997,109.69395,,,,,,,,,,,
1991-06-12,,,,464.3712,17.995949999999997,109.19369999999998,,,,,,,,,,,
1991-06-13,,,,464.9664,18.1743,108.1584,,,,,,,,,,,
1991-06-14,,,,465.8112,18.05685,106.67215,,,,,,,,,,,
1991-06-15,,,,,,105.6122,,,,,,,,,,,
1991-06-17,,,,,18.23665,104.545,,,,,,,,,,,
1991-06-18,,,,,18.41935,104.57545,,,,,,,,,,,
1991-06-19,,,,464.14464,18.60205,104.01285,,,,,,,,,,,
1991-06-20,,,,459.95264,18.78765,102.9674,,,,,,,,,,,
1991-06-21,,,,456.33792,18.9747,102.13944999999998,,,,,,,,,,,
1991-06-22,,,,,,101.25785,,,,,,,,,,,
1991-06-24,,,,456.90112,19.16465,100.01954999999998,,,,,,,,,,,
1991-06-25,,,,461.34528000000006,19.35605,100.06305,,,,,,,,,,,
1991-06-26,,,,465.23392,19.55035,100.6242,,,,,,,,,,,
1991-06-27,,,,464.61312,19.74755,100.7605,,,,,,,,,,,
1991-06-28,,,,469.58592,19.9462,100.25445,,,,,,,,,,,
1991-06-29,,,,,,100.1196,,,,,,,,,,,
1991-07-01,,,,478.5728,19.84325,99.18145,,,,,,,,,,,
1991-07-02,,,,482.93248,19.7142,97.17175,,,,,,,,,,,
1991-07-03,,,,485.96096000000006,19.61415,97.0137,,,,,,,,,,,
1991-07-04,,,,492.89088,19.81135,95.93345,,,,,,,,,,,
1991-07-05,,,,498.26688,19.7142,94.5951,,,,,,,,,,,
1991-07-06,,,,,,93.26255,,,,,,,,,,,
1991-07-08,,,,496.73344,19.6156,91.12525,,,,,,,,,,,
1991-07-09,,,,499.73632,19.5228,88.73854999999999,,,,,,,,,,,
1991-07-10,,,,499.35744,19.42855,89.16339999999998,,,,,,,,,,,
1991-07-11,,,,498.19136,19.3401,88.19914999999999,,,,,,,,,,,
1991-07-12,,,,501.14176,19.256,87.43789999999998,,,,,,,,,,,
1991-07-13,,,,,,87.39005,,,,,,,,,,,
1991-07-15,,,,504.97536,19.305299999999995,86.18509999999999,,,,,,,,,,,
1991-07-16,,,,511.70176,19.49815,84.80324999999999,,,,,,,,,,,
1991-07-17,,,,507.19488,19.69245,83.62875,,,,,,,,,,,
1991-07-18,,,,509.03424,19.88965,88.29194999999999,,,,,,,,,,,
1991-07-19,,,,513.1968,19.8215,89.42585,,,,,,,,,,,
1991-07-20,,,,,,87.42049999999999,,,,,,,,,,,
1991-07-22,,,,510.5088,20.02015,87.25519999999999,,,,,,,,,,,
1991-07-23,,,,513.25696,20.211549999999995,87.2755,,,,,,,,,,,
1991-07-24,,,,515.68256,20.3986,86.82744999999998,,,,,,,,,,,
1991-07-25,,,,513.61536,20.32755,86.21844999999999,,,,,,,,,,,
1991-07-26,,,,516.00512,20.3957,84.97144999999999,,,,,,,,,,,
1991-07-27,,,,,,84.89025,,,,,,,,,,,
1991-07-29,,,,514.08512,20.5204,84.06085,,,,,,,,,,,
1991-07-30,,,,510.95424,20.64655,83.68674999999999,,,,,,,,,,,
1991-07-31,,,,513.22624,20.851,83.87089999999999,,,,,,,,,,,
1991-08-01,,,,515.84128,21.0598,84.0014,,,,,,,,,,,
1991-08-02,,,,519.6032,21.2686,83.8042,,,,,,,,,,,
1991-08-03,,,,,,83.97095,,,,,,,,,,,
1991-08-05,,,,520.06528,21.48175,83.83609999999999,,,,,,,,,,,
1991-08-06,,,,514.72256,21.6949,83.64035,,,,,,,,,,,
1991-08-07,,,,519.84768,21.9124,83.56785,,,,,,,,,,,
1991-08-08,,,,517.95968,22.12845,83.30539999999999,,,,,,,,,,,
1991-08-09,,,,515.0732800000001,22.3445,83.05599999999998,,,,,,,,,,,
1991-08-10,,,,,,83.3924,,,,,,,,,,,
1991-08-12,,,,520.97792,22.5533,83.05454999999999,,,,,,,,,,,
1991-08-13,,,,518.7456,22.77515,82.853,,,,,,,,,,,
1991-08-14,,,,522.11328,23.00135,82.72829999999999,,,,,,,,,,,
1991-08-15,,,,521.38752,23.23045,82.46295,,,,,,,,,,,
1991-08-16,,,,520.0998400000001,23.432,82.7892,,,,,,,,,,,
1991-08-17,,,,,,64.84545,,,,,,,,,,,
1991-08-19,,,,476.512,23.66545,66.4129,,,,,,,,,,,
1991-08-20,,,,492.60032,23.9018,65.1195,,,,,,,,,,,
1991-08-21,,,,494.55104,24.14105,64.66855,,,,,,,,,,,
1991-08-22,,,,517.8329600000001,24.3832,63.4027,,,,,,,,,,,
1991-08-23,,,,514.69056,24.62245,63.16635,,,,,,,,,,,
1991-08-24,,,,,,64.40029999999999,,,,,,,,,,,
1991-08-26,,,,,24.86895,64.00445,,,,,,,,,,,
1991-08-27,,,,509.69088,25.11255,63.3766,,,,,,,,,,,
1991-08-28,,,,507.92192,25.363399999999995,63.22725,,,,,,,,,,,
1991-08-29,,,,506.90944,25.6157,63.12864999999999,,,,,,,,,,,
1991-08-30,,,,511.77728,25.87235,62.89665,,,,,,,,,,,
1991-08-31,,,,,,62.7734,,,,,,,,,,,
1991-09-02,,,,515.01312,26.1319,62.60955,,,,,,,,,,,
1991-09-03,,,,515.20896,26.38565,62.25285,,,,,,,,,,,
1991-09-04,,,,512.8256,26.63505,61.76855,,,,,,,,,,,
1991-09-05,,,,510.74048,26.89895,60.8391,,,,,,,,,,,
1991-09-06,,,,508.27648,27.1672,58.3625,,,,,,,,,,,
1991-09-07,,,,,,58.83375,,,,,,,,,,,
1991-09-09,,,,504.38912,27.4398,59.41519999999999,,,,,,,,,,,
1991-09-10,,,,506.78656,27.30785,59.5138,,,,,,,,,,,
1991-09-11,,,,507.76704,27.1469,60.54184999999999,,,,,,,,,,,
1991-09-12,,,,508.1728,27.0019,60.7608,,,,,,,,,,,
1991-09-13,,,,508.68736,27.22955,60.68395,,,,,,,,,,,
1991-09-14,,,,,,60.44179999999999,,,,,,,,,,,
1991-09-16,,,,506.05184,27.5007,60.0097,,,,,,,,,,,
1991-09-17,,,,504.15488,27.35425,59.81394999999999,,,,,,,,,,,
1991-09-18,,,,499.26144,27.20635,59.59355,,,,,,,,,,,
1991-09-19,,,,494.55104,27.0976,59.1861,,,,,,,,,,,
1991-09-20,,,,500.52352,26.9584,59.0933,,,,,,,,,,,
1991-09-21,,,,,,59.17885,,,,,,,,,,,
1991-09-23,,,,,26.825,59.22235,,,,,,,,,,,
1991-09-24,,,,499.73632,26.6916,59.00919999999999,,,,,,,,,,,
1991-09-25,,,,499.4496,26.56255,59.30935,,,,,,,,,,,
1991-09-26,,,,502.78144,26.43785,59.4964,,,,,,,,,,,
1991-09-27,,,,504.15616,26.3639,59.9981,,,,,,,,,,,
1991-09-28,,,,,,60.2446,,,,,,,,,,,
1991-09-29,,,,,,60.51865,,,,,,,,,,,
1991-09-30,,,,506.45632,26.2334,,,,,,,,,,,,
1991-10-01,,,,515.05536,,,,,,,,,,,,,
1991-10-02,,,,519.94496,,,,,,,,,,,,,
1991-10-03,,,,523.9564799999999,26.4596,64.09725,,,,,,,,,,,
1991-10-04,,,,520.66432,26.72205,63.56075,,,,,,,,,,,
1991-10-05,,,,,,64.12625,,,,,,,,,,,
1991-10-07,,,,519.72736,26.97,71.2327,,,,,,,,,,,
1991-10-08,,,,520.5568,27.18605,85.04105,,,,,,,,,,,
1991-10-09,,,,521.77664,27.4224,103.36325,,,,,,,,,,,
1991-10-10,,,,519.19616,27.696449999999995,93.00445,,,,,,,,,,,
1991-10-11,,,,514.30144,27.96325,96.85855,,,,,,,,,,,
1991-10-12,,,,,,99.644,,,,,,,,,,,
1991-10-14,,,,514.84288,28.227149999999995,100.34,,,,,,,,,,,
1991-10-15,,,,516.32,28.50845,95.23744999999998,,,,,,,,,,,
1991-10-16,,,,,28.79265,94.0731,,,,,,,,,,,
1991-10-17,,,,514.3590399999999,29.07395,97.45885,,,,,,,,,,,
1991-10-18,,,,514.03648,29.36395,97.9997,,,,,,,,,,,
1991-10-19,,,,,,97.7039,,,,,,,,,,,
1991-10-21,,,,511.83872,29.65685,97.2805,,,,,,,,,,,
1991-10-22,,,,509.65248,29.94685,95.58835,,,,,,,,,,,
1991-10-23,,,,514.7366400000001,30.19625,96.55115,,,,,,,,,,,
1991-10-24,,,,510.63552,30.460149999999995,97.58065,,,,,,,,,,,
1991-10-25,,,,508.4032,30.7197,97.89095,,,,,,,,,,,
1991-10-26,,,,,,97.81265,,,,,,,,,,,
1991-10-28,,,,510.5408,31.0271,102.64839999999998,,,,,,,,,,,
1991-10-29,,,,512.0064,31.2881,105.26275,,,,,,,,,,,
1991-10-30,,,,514.56512,31.38235,106.3865,,,,,,,,,,,
1991-10-31,,,,516.95872,31.697,113.07245,,,,,,,,,,,
1991-11-01,,,,516.84096,32.0044,120.90099999999998,,,,,,,,,,,
1991-11-02,,,,,,121.6115,,,,,,,,,,,
1991-11-04,,,,522.6291200000001,32.30165,133.12595,,,,,,,,,,,
1991-11-05,,,,530.75712,32.57425,133.26225,,,,,,,,,,,
1991-11-06,,,,534.21696,32.8976,127.484,,,,,,,,,,,
1991-11-07,,,,535.64672,33.194849999999995,130.44055,,,,,,,,,,,
1991-11-08,,,,542.28992,33.5269,132.6489,,,,,,,,,,,
1991-11-09,,,,,,139.96269999999998,,,,,,,,,,,
1991-11-11,,,,541.55648,33.86475,,,,,,,,,,,,
1991-11-12,,,,544.38656,34.191,162.7944,,,,,,,,,,,
1991-11-13,,,,542.75584,34.31715,166.74564999999998,,,,,,,,,,,
