序号,内部编号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
1,124,HSCASI,恒生A股软件开发指数,2851.84,56.89,2.04,2795.94,2867.66,2795.9,2794.95,0.0,20723763712.0
2,124,HSCASS,恒生A股软件服务指数,2379.64,42.6,1.82,2337.09,2393.64,2337.09,2337.04,0.0,42987914752.0
3,124,HSCEI2SI,恒生国企2倍短仓指数,2065.78,35.01,1.72,2057.38,2114.45,2057.03,2030.77,0.0,
4,124,HST2SI,恒生科指2倍短仓指数,601.4,8.81,1.49,601.54,616.87,597.46,592.59,0.0,
5,124,HSI2SI,恒指2倍短仓指数,370.3,5.3,1.45,368.95,378.6,368.95,365.0,0.0,
6,124,HSSCHES,恒生港股通医疗保健设备和服务,966.74,11.87,1.24,955.89,968.17,942.06,954.87,0.0,788704512.0
7,124,HSTECF2S,恒生科技指期货2倍短仓指数,2688.42,32.75,1.23,2689.82,2761.94,2678.52,2655.67,0.0,
8,125,SPHKG,标普香港创业板指数,20.57,0.19,0.93,20.42,20.57,20.31,20.38,0.0,
9,124,HSSCESI,恒生港股通医疗保健(可投资),967.9,8.74,0.91,960.32,968.8,943.87,959.16,0.0,754230192.0
10,124,HSCEFS,恒生中国企业期货短仓指数,25797.31,231.72,0.91,25729.84,26107.78,25693.84,25565.59,0.0,
11,124,HSCEISI,恒生国企短仓指数,968.81,8.33,0.87,966.82,980.33,966.74,960.48,0.0,
12,124,HSUNTRI,恒生公用事业分类指数(NTR),124795.85,1069.09,0.86,123392.62,124854.17,122916.88,123726.76,0.0,631784064.0
13,124,HSUGTRI,恒生公用事业分类指数(GTR),124896.67,1069.95,0.86,123492.31,124955.03,123016.18,123826.72,0.0,631784064.0
14,124,HSU,恒生公用事业指数,30233.76,259.0,0.86,29893.81,30247.89,29778.55,29974.76,31993838.0,631784064.0
15,124,HSTECHS,恒生科指短仓指数,802.99,5.97,0.75,803.08,813.4,800.34,797.02,0.0,
16,124,HSISI,恒指短仓指数,5999.75,43.56,0.73,5988.72,6067.6,5988.72,5956.19,0.0,
17,124,HSCAOF,恒生A股其他金融指数,2585.95,18.45,0.72,2565.03,2593.14,2560.25,2567.5,0.0,21010642944.0
18,124,HSCAITH,恒生A股资讯科技器材指数,2912.02,16.05,0.55,2898.97,2929.07,2884.49,2895.97,0.0,17505825280.0
19,124,HSBAIT,恒生沪深港通大湾区IT业指数,2951.59,15.7,0.53,2935.02,2968.27,2920.17,2935.89,0.0,10106786560.0
20,125,CESG10,中华博彩指数,2743.79,12.06,0.44,2732.28,2778.87,2690.03,2731.73,0.0,911935232.0
21,124,HSCAUI,恒生A股公用事业指数,3169.27,10.77,0.34,3156.5,3176.3,3147.59,3158.5,0.0,8137084416.0
22,124,HSCAHE,恒生A股家庭电器及用品指数,2604.87,7.13,0.27,2597.99,2613.91,2585.43,2597.74,0.0,6677954048.0
23,124,HSCAB,恒生A股银行指数,2285.16,4.99,0.22,2280.63,2291.91,2262.22,2280.17,0.0,12802755584.0
24,124,HSCAAP,恒生A股农业产品指数,2901.5,6.19,0.21,2887.43,2913.52,2864.56,2895.31,0.0,5717866496.0
25,124,HSMPI,恒生中国内地地产指数,1379.04,1.8,0.13,1375.78,1383.94,1355.88,1377.24,0.0,858222912.0
26,124,HSBAQL,恒生沪深港通大湾区优质生活指数,4265.4,5.05,0.12,4263.81,4276.5,4227.13,4260.35,0.0,13785652992.0
27,124,VHSI,恒指波幅指数,23.88,0.02,0.08,23.99,24.84,23.59,23.86,0.0,
28,124,HSSSHEC,恒生沪深港电子商贸指数,2781.28,2.14,0.08,2778.22,2787.6,2751.56,2779.14,0.0,21626949376.0
29,124,HSCIUT,恒生综合公用事业指数,4537.22,1.86,0.04,4525.62,4543.07,4495.23,4535.36,209911865.0,1200264016.0
30,124,SZHKT,恒生深港资讯科技指数,,,,,,,12196.34,,
31,124,SZHKRE,恒生深港房地产指数,,,,,,,3598.77,,
32,124,SZHKIF,恒生深港基建运输指数,,,,,,,3035.21,,
33,124,SZHKI,恒生深港基建运输指数,,,,,,,5167.32,,
34,124,SZHKF,恒生深港金融指数,,,,,,,5511.46,,
35,124,SZHKC,恒生深港消费类指数,,,,,,,3723.05,,
36,124,HSIDPI,恒指股息点指数,,,,,,,660.1,,
37,124,HSCNE,恒生中国新经济指数,,,,,,,6764.43,,
38,124,HSCEIDPI,恒生国企股息点指数,,,,,,,229.54,,
39,124,HSCAMSI,恒生A股动量智选指数,3877.59,-1.47,-0.04,3875.27,3890.7,3854.21,3879.06,0.0,173899579392.0
40,124,HSABA,恒生A股通大湾区指数,3434.72,-1.91,-0.06,3431.22,3448.32,3406.49,3436.63,0.0,32813921536.0
41,124,HSBAPC,恒生沪深港通大湾区地产建筑指数,1985.54,-1.19,-0.06,1980.7,1989.85,1965.38,1986.73,0.0,4451059456.0
42,124,HSBACG,恒生沪深港通大湾区消费品指数,6363.57,-3.86,-0.06,6373.07,6384.44,6319.85,6367.43,0.0,14507150592.0
