序号,行业,公司家数,行业指数,阶段涨跌幅,流入资金,流出资金,净额
1,传媒,134,2697.24,13.69%,164.7,171.67,-6.97
2,贸易,17,2643.93,12.92%,3.2,3.44,-0.24
3,汽车服务,11,1143.84,12.30%,6.97,4.65,2.32
4,非金属材料,12,15840.3,11.97%,1.17,1.88,-0.71
5,教育,19,4877.03,10.28%,8.4,7.27,1.14
6,计算机应用,261,11317.4,8.91%,299.89,245.26,54.63
7,其他社会服务,70,15166.1,8.80%,9.09,8.01,1.08
8,计算机设备,81,2965.63,8.29%,78.58,71.75,6.83
9,汽车零部件,231,4403.51,6.73%,91.45,101.0,-9.56
10,养殖业,27,2670.88,6.59%,8.81,9.14,-0.33
11,农业服务,16,7214.29,6.10%,0.88,1.04,-0.16
12,煤炭开采加工,35,2369.77,5.77%,24.08,23.93,0.15
13,食品加工制造,83,4869.17,5.19%,13.23,13.83,-0.6
14,仪器仪表,55,4158.71,5.08%,7.22,8.0,-0.77
15,包装印刷,48,3136.18,4.95%,12.98,14.63,-1.65
16,消费电子,99,6986.64,4.85%,97.1,95.63,1.46
17,小家电,26,3195.02,4.84%,5.27,6.14,-0.87
18,农产品加工,42,3810.34,4.58%,5.53,6.01,-0.48
19,金属新材料,27,7893.54,4.52%,4.28,4.18,0.1
20,中药,73,3808.17,4.27%,18.63,24.93,-6.31
21,通用设备,187,5014.28,4.08%,58.78,57.84,0.94
22,公路铁路运输,33,1108.67,4.03%,14.35,12.43,1.92
23,自动化设备,92,15811.0,3.99%,35.46,34.91,0.55
24,通信设备,88,4254.94,3.69%,121.32,107.54,13.78
25,零售,72,1548.28,3.64%,26.7,27.96,-1.26
26,景点及旅游,21,2613.03,3.50%,2.75,2.63,0.11
27,燃气,29,1341.74,3.46%,7.39,8.94,-1.55
28,专用设备,205,4633.73,3.29%,49.83,51.27,-1.44
29,医疗器械,126,10808.2,3.22%,22.15,26.19,-4.04
30,非汽车交运,46,2228.29,3.10%,9.28,9.29,-0.01
31,通信服务,47,2257.34,2.89%,51.62,43.14,8.48
32,综合,28,2107.41,2.87%,4.15,5.1,-0.95
33,化学制药,156,5254.75,2.71%,52.15,65.28,-13.13
34,酒店及餐饮,9,1656.08,2.44%,1.7,1.45,0.25
35,电子化学品,37,34255.0,2.38%,25.26,29.74,-4.48
36,生物制品,55,6427.04,2.17%,16.72,24.25,-7.53
37,黑色家电,10,3359.47,2.07%,17.76,15.28,2.48
38,纺织制造,35,1857.7,1.85%,4.83,5.17,-0.34
39,物流,47,4546.15,1.68%,12.94,14.82,-1.88
40,保险及其他,36,1684.15,1.50%,20.09,21.63,-1.54
41,互联网电商,22,6380.77,1.38%,12.45,11.62,0.83
42,港口航运,37,884.78,1.18%,11.76,11.43,0.33
43,化工合成材料,114,3981.0,1.06%,28.19,26.18,2.01
44,服装家纺,61,2286.38,0.98%,9.38,11.04,-1.66
45,光学光电子,107,3514.88,0.57%,73.68,77.38,-3.7
46,汽车整车,25,2486.94,0.56%,62.32,80.26,-17.94
47,钢铁,46,1348.43,0.53%,21.69,13.08,8.62
48,工业金属,60,2257.92,0.44%,24.24,25.01,-0.77
49,机场航运,13,1828.45,0.42%,3.03,4.01,-0.98
50,其他电子,35,9227.76,0.36%,29.16,31.19,-2.02
51,建筑装饰,156,3162.95,0.20%,59.77,52.84,6.93
52,家用轻工,109,3064.4,0.18%,15.91,16.84,-0.93
53,环保,146,3171.64,0.09%,16.55,16.45,0.09
54,电力,95,1423.09,-0.06%,38.93,42.0,-3.07
55,白色家电,35,4783.98,-0.13%,27.33,36.16,-8.83
56,贵金属,11,1898.42,-0.19%,8.54,5.78,2.76
57,化学原料,59,2431.92,-0.44%,13.47,12.84,0.63
58,种植业与林业,24,3336.53,-0.54%,4.0,3.59,0.41
59,化学制品,224,5163.42,-0.87%,33.94,38.31,-4.37
60,建筑材料,76,4058.45,-0.98%,21.76,23.22,-1.47
61,国防军工,140,1602.25,-1.05%,141.38,99.26,42.12
62,半导体及元件,202,7205.85,-1.26%,134.85,151.55,-16.7
63,造纸,24,1810.3,-1.33%,6.35,6.99,-0.64
64,油气开采及服务,20,1129.7,-1.52%,13.2,9.33,3.87
65,石油加工贸易,28,2905.03,-1.75%,11.97,10.94,1.03
66,厨卫电器,9,5367.93,-1.80%,0.74,1.17,-0.44
67,房地产开发,96,1530.09,-1.83%,33.73,41.65,-7.92
68,证券,50,1305.46,-1.87%,74.92,102.56,-27.64
69,小金属,42,3793.0,-2.00%,24.76,29.99,-5.23
70,医药商业,31,4852.0,-2.18%,21.31,24.18,-2.87
71,电力设备,366,4214.3,-2.21%,140.08,148.05,-7.97
72,银行,84,871.43,-2.34%,31.37,48.08,-16.72
73,美容护理,31,4393.43,-2.64%,4.84,7.16,-2.32
74,饮料制造,47,4167.87,-3.60%,35.35,46.92,-11.57
75,房地产服务,8,2770.95,-3.94%,2.5,1.84,0.66
76,医疗服务,52,16016.6,-4.91%,22.05,29.0,-6.94
