date,比特币,以太坊,泰达币,XRP,BNB,Solana
2013-06-05,121.9,,,,,
2013-06-06,119.0,,,,,
2013-06-07,111.0,,,,,
2013-06-08,107.9,,,,,
2013-06-09,100.4,,,,,
2013-06-10,106.3,,,,,
2013-06-11,109.0,,,,,
2013-06-12,108.8,,,,,
2013-06-13,103.9,,,,,
2013-06-14,100.0,,,,,
2013-06-15,99.8,,,,,
2013-06-16,99.9,,,,,
2013-06-17,101.9,,,,,
2013-06-18,107.3,,,,,
2013-06-19,108.3,,,,,
2013-06-20,111.3,,,,,
2013-06-21,109.5,,,,,
2013-06-22,108.2,,,,,
2013-06-23,107.9,,,,,
2013-06-24,102.1,,,,,
2013-06-25,103.3,,,,,
2013-06-26,104.0,,,,,
2013-06-27,101.7,,,,,
2013-06-28,94.7,,,,,
2013-06-29,95.0,,,,,
2013-06-30,97.5,,,,,
2013-07-01,88.1,,,,,
2013-07-02,90.4,,,,,
2013-07-03,78.9,,,,,
2013-07-04,80.0,,,,,
2013-07-05,68.5,,,,,
2013-07-06,69.7,,,,,
2013-07-07,76.5,,,,,
2013-07-08,76.0,,,,,
2013-07-09,76.7,,,,,
2013-07-10,88.0,,,,,
2013-07-11,89.0,,,,,
2013-07-12,94.0,,,,,
2013-07-13,98.3,,,,,
2013-07-14,94.4,,,,,
2013-07-15,98.9,,,,,
2013-07-16,97.1,,,,,
2013-07-17,98.5,,,,,
2013-07-18,90.1,,,,,
2013-07-19,92.0,,,,,
2013-07-20,89.8,,,,,
2013-07-21,92.0,,,,,
2013-07-22,91.6,,,,,
2013-07-23,95.6,,,,,
2013-07-24,95.1,,,,,
2013-07-25,96.9,,,,,
2013-07-26,96.0,,,,,
2013-07-27,94.4,,,,,
2013-07-28,98.8,,,,,
2013-07-29,101.5,,,,,
2013-07-30,108.0,,,,,
2013-07-31,106.2,,,,,
2013-08-01,104.0,,,,,
2013-08-02,104.5,,,,,
2013-08-03,104.9,,,,,
2013-08-04,105.1,,,,,
2013-08-05,106.7,,,,,
2013-08-06,106.6,,,,,
2013-08-07,106.0,,,,,
2013-08-08,103.1,,,,,
2013-08-09,102.8,,,,,
2013-08-10,103.0,,,,,
2013-08-11,105.0,,,,,
2013-08-12,106.8,,,,,
2013-08-13,109.6,,,,,
2013-08-14,112.6,,,,,
2013-08-15,110.0,,,,,
2013-08-16,109.0,,,,,
2013-08-17,112.8,,,,,
2013-08-18,113.4,,,,,
2013-08-19,118.5,,,,,
2013-08-20,121.2,,,,,
2013-08-21,123.3,,,,,
2013-08-22,122.0,,,,,
2013-08-23,118.5,,,,,
2013-08-24,119.6,,,,,
2013-08-25,122.1,,,,,
2013-08-26,120.1,,,,,
2013-08-27,131.3,,,,,
2013-08-28,128.8,,,,,
2013-08-29,129.3,,,,,
2013-08-30,138.0,,,,,
2013-08-31,141.0,,,,,
2013-09-01,146.0,,,,,
2013-09-02,144.0,,,,,
2013-09-03,144.0,,,,,
2013-09-04,132.5,,,,,
2013-09-05,130.2,,,,,
2013-09-06,121.9,,,,,
2013-09-07,129.0,,,,,
2013-09-08,126.3,,,,,
2013-09-09,133.1,,,,,
2013-09-10,132.6,,,,,
2013-09-11,142.1,,,,,
2013-09-12,139.4,,,,,
2013-09-13,140.7,,,,,
2013-09-14,136.7,,,,,
2013-09-15,138.3,,,,,
2013-09-16,139.4,,,,,
2013-09-17,139.1,,,,,
2013-09-18,140.4,,,,,
2013-09-19,135.1,,,,,
2013-09-20,133.8,,,,,
2013-09-21,134.4,,,,,
2013-09-22,134.0,,,,,
2013-09-23,133.4,,,,,
2013-09-24,134.8,,,,,
2013-09-25,135.0,,,,,
2013-09-26,137.1,,,,,
2013-09-27,138.9,,,,,
2013-09-28,142.5,,,,,
2013-09-29,143.9,,,,,
2013-09-30,141.9,,,,,
2013-10-01,140.3,,,,,
2013-10-02,123.0,,,,,
2013-10-03,131.0,,,,,
2013-10-04,136.8,,,,,
2013-10-05,136.7,,,,,
2013-10-06,137.8,,,,,
2013-10-07,135.8,,,,,
2013-10-08,136.5,,,,,
2013-10-09,139.5,,,,,
2013-10-10,140.4,,,,,
2013-10-11,140.1,,,,,
2013-10-12,142.9,,,,,
2013-10-13,147.5,,,,,
2013-10-14,151.4,,,,,
2013-10-15,158.1,,,,,
2013-10-16,152.8,,,,,
2013-10-17,157.6,,,,,
2013-10-18,168.3,,,,,
2013-10-19,183.1,,,,,
2013-10-20,186.1,,,,,
2013-10-21,192.8,,,,,
2013-10-22,203.0,,,,,
2013-10-23,228.0,,,,,
2013-10-24,207.0,,,,,
2013-10-25,197.9,,,,,
2013-10-26,188.6,,,,,
2013-10-27,206.9,,,,,
2013-10-28,206.9,,,,,
2013-10-29,216.0,,,,,
2013-10-30,208.0,,,,,
2013-10-31,211.2,,,,,
2013-11-01,213.4,,,,,
2013-11-02,211.7,,,,,
2013-11-03,224.0,,,,,
2013-11-04,238.2,,,,,
2013-11-05,251.3,,,,,
2013-11-06,264.1,,,,,
2013-11-07,309.6,,,,,
2013-11-08,355.0,,,,,
2013-11-09,367.8,,,,,
2013-11-10,336.3,,,,,
2013-11-11,363.0,,,,,
2013-11-12,380.0,,,,,
2013-11-13,434.9,,,,,
2013-11-14,433.4,,,,,
2013-11-15,433.9,,,,,
2013-11-16,462.0,,,,,
2013-11-17,528.3,,,,,
2013-11-18,785.4,,,,,
2013-11-19,645.7,,,,,
2013-11-20,638.0,,,,,
2013-11-21,764.9,,,,,
2013-11-22,802.0,,,,,
2013-11-23,832.5,,,,,
2013-11-24,795.0,,,,,
2013-11-25,830.0,,,,,
2013-11-26,970.0,,,,,
2013-11-27,1079.9,,,,,
2013-11-28,1101.4,,,,,
2013-11-29,1206.9,,,,,
2013-11-30,1205.7,,,,,
2013-12-01,1004.4,,,,,
2013-12-02,1096.6,,,,,
2013-12-03,1154.9,,,,,
2013-12-04,1237.6,,,,,
2013-12-05,1106.3,,,,,
2013-12-06,845.0,,,,,
2013-12-07,697.0,,,,,
2013-12-08,804.0,,,,,
2013-12-09,919.0,,,,,
2013-12-10,1033.7,,,,,
2013-12-11,919.9,,,,,
2013-12-12,900.0,,,,,
2013-12-13,936.8,,,,,
2013-12-14,908.9,,,,,
2013-12-15,919.9,,,,,
2013-12-16,759.9,,,,,
2013-12-17,715.0,,,,,
2013-12-18,541.0,,,,,
2013-12-19,732.0,,,,,
2013-12-20,650.0,,,,,
2013-12-21,640.5,,,,,
2013-12-22,639.5,,,,,
2013-12-23,713.2,,,,,
2013-12-24,702.8,,,,,
2013-12-25,707.3,,,,,
2013-12-26,802.0,,,,,
2013-12-27,803.0,,,,,
2013-12-28,762.0,,,,,
2013-12-29,785.0,,,,,
2013-12-30,804.8,,,,,
2013-12-31,805.9,,,,,
2014-01-01,815.9,,,,,
2014-01-02,856.9,,,,,
2014-01-03,884.3,,,,,
2014-01-04,924.7,,,,,
2014-01-05,1014.7,,,,,
2014-01-06,1012.7,,,,,
2014-01-07,879.9,,,,,
2014-01-08,938.8,,,,,
2014-01-09,937.0,,,,,
2014-01-10,957.8,,,,,
2014-01-11,1005.3,,,,,
2014-01-12,939.8,,,,,
2014-01-13,922.9,,,,,
2014-01-14,919.3,,,,,
2014-01-15,941.2,,,,,
2014-01-16,913.5,,,,,
2014-01-17,894.2,,,,,
2014-01-18,905.7,,,,,
2014-01-19,954.8,,,,,
2014-01-20,956.0,,,,,
2014-01-21,962.2,,,,,
2014-01-22,951.0,,,,,
2014-01-23,944.2,,,,,
2014-01-24,916.5,,,,,
2014-01-25,961.0,,,,,
2014-01-26,1007.0,,,,,
2014-01-27,943.5,,,,,
2014-01-28,932.7,,,,,
2014-01-29,925.7,,,,,
2014-01-30,941.4,,,,,
2014-01-31,938.8,,,,,
2014-02-01,940.4,,,,,
2014-02-02,953.3,,,,,
2014-02-03,931.7,,,,,
2014-02-04,926.6,,,,,
2014-02-05,904.5,,,,,
2014-02-06,828.9,,,,,
2014-02-07,695.7,,,,,
2014-02-08,648.8,,,,,
2014-02-09,659.6,,,,,
2014-02-10,582.6,,,,,
2014-02-11,579.0,,,,,
2014-02-12,531.1,,,,,
2014-02-13,451.4,,,,,
2014-02-14,427.7,,,,,
2014-02-15,371.1,,,,,
2014-02-16,299.8,,,,,
2014-02-17,272.3,,,,,
2014-02-18,294.0,,,,,
2014-02-19,261.5,,,,,
2014-02-20,111.9,,,,,
2014-02-21,111.6,,,,,
2014-02-22,255.6,,,,,
2014-02-23,310.2,,,,,
2014-02-24,174.0,,,,,
2014-02-25,135.8,,,,,
2014-02-26,593.1,,,,,
2014-02-27,596.5,,,,,
2014-02-28,573.9,,,,,
2014-03-01,557.4,,,,,
2014-03-02,544.6,,,,,
2014-03-03,662.2,,,,,
2014-03-04,661.8,,,,,
2014-03-05,658.3,,,,,
2014-03-06,648.3,,,,,
2014-03-07,616.7,,,,,
2014-03-08,609.2,,,,,
2014-03-09,627.0,,,,,
2014-03-10,613.0,,,,,
2014-03-11,608.7,,,,,
2014-03-12,619.4,,,,,
2014-03-13,625.0,,,,,
2014-03-14,614.0,,,,,
2014-03-15,624.0,,,,,
2014-03-16,619.1,,,,,
2014-03-17,606.4,,,,,
2014-03-18,598.9,,,,,
2014-03-19,595.0,,,,,
2014-03-20,566.0,,,,,
2014-03-21,549.6,,,,,
2014-03-22,564.3,,,,,
2014-03-23,551.2,,,,,
2014-03-24,567.6,,,,,
2014-03-25,562.9,,,,,
2014-03-26,562.5,,,,,
2014-03-27,460.5,,,,,
2014-03-28,482.6,,,,,
2014-03-29,477.1,,,,,
2014-03-30,446.9,,,,,
2014-03-31,444.7,,,,,
2014-04-01,463.5,,,,,
2014-04-02,424.4,,,,,
2014-04-03,436.3,,,,,
2014-04-04,444.4,,,,,
2014-04-05,456.6,,,,,
2014-04-06,455.7,,,,,
2014-04-07,462.4,,,,,
2014-04-08,466.6,,,,,
2014-04-09,457.3,,,,,
2014-04-10,384.6,,,,,
2014-04-11,435.1,,,,,
2014-04-12,437.6,,,,,
2014-04-13,427.6,,,,,
2014-04-14,478.4,,,,,
2014-04-15,526.4,,,,,
2014-04-16,537.0,,,,,
2014-04-17,502.0,,,,,
2014-04-18,485.5,,,,,
2014-04-19,506.0,,,,,
2014-04-20,498.5,,,,,
2014-04-21,495.2,,,,,
2014-04-22,487.9,,,,,
2014-04-23,487.3,,,,,
2014-04-24,500.3,,,,,
2014-04-25,464.5,,,,,
2014-04-26,457.9,,,,,
2014-04-27,443.2,,,,,
2014-04-28,441.9,,,,,
