代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
113697,应流转债,100.0,0.0,603308,应流股份,33.73,0.18,4.79,30.47,110.7,-9.67,AA+,21.329,39.611,6.5,2031-09-18,5.934,15.0,0.0,0.0,2.03,90.33
113699,金25转债,100.0,0.0,603979,金诚信,67.25,-1.22,4.28,63.46,105.97,-5.63,AA,44.422,82.498,4.8,2031-09-25,5.953,20.0,0.0,0.0,2.48,94.37
123146,中环转2,153.36,-8.84,300692,中环环保,9.72,-8.56,1.81,6.23,156.02,-1.7,AA-,4.361,8.099,20.5,2028-05-06,2.564,7.754,117229.99,96.13,-9.56,151.66
113689,洛凯转债,140.246,-4.07,603829,洛凯股份,21.77,-3.76,3.09,15.33,142.01,-1.24,AA-,10.731,19.929,11.3,2030-10-17,5.014,3.961,24938.37,45.47,-3.13,139.01
113668,鹿山转债,137.573,-4.43,603051,鹿山新材,22.3,-4.04,2.16,16.05,138.94,-0.98,A+,11.235,20.865,2.8,2029-03-27,,0.987,10839.2,79.98,,136.59
127097,Z羊转债,126.16,-3.84,001317,三羊马,47.69,-3.34,4.72,37.43,127.41,-0.98,A+,26.201,48.659,6.0,2029-10-26,,0.928,8641.72,73.55,,125.18
113628,晨丰转债,137.532,0.15,603685,晨丰科技,17.67,0.4,2.69,12.77,138.37,-0.61,A,8.939,16.601,8.8,2027-08-23,1.86,2.796,15188.75,39.9,-8.2,136.92
118049,汇成转债,240.899,-3.69,688403,汇成股份,18.43,-3.96,4.87,7.61,242.18,-0.53,AA-,5.327,9.893,6.1,2030-08-07,4.819,9.652,41962.85,18.02,-14.19,240.37
128130,景兴转债,183.166,-3.11,002067,景兴纸业,6.24,-3.11,1.51,3.39,184.07,-0.49,AA,2.712,4.407,1.8,2026-08-31,,1.426,30742.88,117.08,,182.68
123166,蒙泰转债,118.539,-2.51,300876,蒙泰高新,27.93,-2.65,3.63,23.47,119.0,-0.39,A,16.429,30.511,7.5,2028-11-02,,1.563,5264.03,28.3,,118.15
