债券代码,债券名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
110073,国投转债,4.03,129.0,-,-,-,4.992,0.0,-,-,-,-,124.008,10318912530,10318912530,1.110073,沪A,2025-08-29 09:22:46,2025-08-29
123059,银信转债,2.32,176.0,-,-,-,3.992,0.0,-,-,-,-,172.008,276190112,276190112,0.123059,深A,2025-08-29 09:22:42,2025-08-29
118058,微导转债,1.68,178.0,-,-,-,2.947,0.0,-,-,-,-,175.053,2082600000,2082600000,1.118058,沪A,2025-08-29 09:22:52,2025-08-29
118000,嘉元转债,1.66,129.5,-,-,-,2.111,0.0,-,-,-,-,127.389,1266954185,1266954185,1.118000,沪A,2025-08-29 09:22:49,2025-08-29
123034,通光转债,1.5,203.0,-,-,-,2.999,0.0,-,-,-,-,200.001,156582223,156582223,0.123034,深A,2025-08-29 09:22:51,2025-08-29
113687,振华转债,1.49,272.0,-,-,-,3.982,0.0,-,-,-,-,268.018,1104230240,1104230240,1.113687,沪A,2025-08-29 09:22:51,2025-08-29
118051,皓元转债,1.44,167.0,-,-,-,2.371,0.0,-,-,-,-,164.629,1372613414,1372613414,1.118051,沪A,2025-08-29 09:22:40,2025-08-29
123129,锦鸡转债,1.14,141.8,-,-,-,1.597,0.0,-,-,-,-,140.203,274723604,274723604,0.123129,深A,2025-08-29 09:22:51,2025-08-29
127107,领益转债,1.11,181.589,-,-,-,2.0,0.0,-,-,-,-,179.589,3870915825,3870915825,0.127107,深A,2025-08-29 09:22:51,2025-08-29
118043,福立转债,1.1,209.0,-,-,-,2.264,0.0,-,-,-,-,206.736,894787520,894787520,1.118043,沪A,2025-08-29 09:22:51,2025-08-29
113690,豪24转债,1.06,269.0,-,-,-,2.827,0.0,-,-,-,-,266.173,1030923939,1030923939,1.113690,沪A,2025-08-29 09:22:51,2025-08-29
113043,财通转债,0.88,138.0,-,-,-,1.203,0.0,-,-,-,-,136.797,5243199600,5243199600,1.113043,沪A,2025-08-29 09:22:39,2025-08-29
127053,豪美转债,0.75,269.5,-,-,-,2.012,0.0,-,-,-,-,267.488,696513318,696513318,0.127053,深A,2025-08-29 09:22:06,2025-08-29
123158,宙邦转债,0.72,139.607,-,-,-,1.0,0.0,-,-,-,-,138.607,2749419700,2749419700,0.123158,深A,2025-08-29 09:22:42,2025-08-29
113657,再22转债,0.65,148.2,-,-,-,0.957,0.0,-,-,-,-,147.243,755141244,755141244,1.113657,沪A,2025-08-29 09:22:51,2025-08-29
123185,能辉转债,0.63,130.416,-,-,-,0.816,0.0,-,-,-,-,129.6,453685442,453685442,0.123185,深A,2025-08-29 09:21:30,2025-08-29
118053,正帆转债,0.62,143.98,-,-,-,0.893,0.0,-,-,-,-,143.087,1498968581,1498968581,1.118053,沪A,2025-08-29 09:22:41,2025-08-29
118016,京源转债,0.6,157.266,-,-,-,0.931,0.0,-,-,-,-,156.335,263499655,263499655,1.118016,沪A,2025-08-29 09:22:52,2025-08-29
123255,鼎龙转债,0.58,154.488,-,-,-,0.896,0.0,-,-,-,-,153.592,1405840800,1405840800,0.123255,深A,2025-08-29 09:22:24,2025-08-29
123211,阳谷转债,0.56,173.97,-,-,-,0.97,0.0,-,-,-,-,173.0,534386433,534386433,0.123211,深A,2025-08-29 09:22:42,2025-08-29
127020,中金转债,0.56,132.65,-,-,-,0.74,0.0,-,-,-,-,131.91,4009372647,4009372647,0.127020,深A,2025-08-29 09:22:24,2025-08-29
127038,国微转债,0.56,129.325,-,-,-,0.718,0.0,-,-,-,-,128.607,1929605431,1929605431,0.127038,深A,2025-08-29 09:22:51,2025-08-29
113628,晨丰转债,0.55,149.666,-,-,-,0.826,0.0,-,-,-,-,148.84,620817561,620817561,1.113628,沪A,2025-08-29 09:22:50,2025-08-29
123203,明电转02,0.5,168.748,-,-,-,0.844,0.0,-,-,-,-,167.904,248373769,248373769,0.123203,深A,2025-08-29 09:22:42,2025-08-29
123187,超达转债,0.5,151.799,-,-,-,0.759,0.0,-,-,-,-,151.04,415046701,415046701,0.123187,深A,2025-08-29 09:21:48,2025-08-29
113621,彤程转债,0.5,145.49,-,-,-,0.723,0.0,-,-,-,-,144.767,780266798,780266798,1.113621,沪A,2025-08-29 09:22:51,2025-08-29
113616,韦尔转债,0.47,127.987,-,-,-,0.6,0.0,-,-,-,-,127.387,3113200967,3113200967,1.113616,沪A,2025-08-29 09:22:46,2025-08-29
118030,睿创转债,0.47,214.428,-,-,-,1.0,0.0,-,-,-,-,213.428,3150880082,3150880082,1.118030,沪A,2025-08-29 09:22:52,2025-08-29
118055,伟测转债,0.46,167.2,-,-,-,0.759,0.0,-,-,-,-,166.441,1964600000,1964600000,1.118055,沪A,2025-08-29 09:22:51,2025-08-29
128081,海亮转债,0.44,131.0,-,-,-,0.568,0.0,-,-,-,-,130.432,1279515907,1279515907,0.128081,深A,2025-08-29 09:22:06,2025-08-29
113047,旗滨转债,0.43,135.4,-,-,-,0.585,0.0,-,-,-,-,134.815,2028405736,2028405736,1.113047,沪A,2025-08-29 09:22:46,2025-08-29
123121,帝尔转债,0.43,134.981,-,-,-,0.581,0.0,-,-,-,-,134.4,1119887414,1119887414,0.123121,深A,2025-08-29 09:22:42,2025-08-29
123247,万凯转债,0.42,162.0,-,-,-,0.68,0.0,-,-,-,-,161.32,4189025484,4189025484,0.123247,深A,2025-08-29 09:22:51,2025-08-29
110090,爱迪转债,0.42,135.4,-,-,-,0.566,0.0,-,-,-,-,134.834,2125427960,2125427960,1.110090,沪A,2025-08-29 09:22:49,2025-08-29
128134,鸿路转债,0.4,119.9,-,-,-,0.483,0.0,-,-,-,-,119.417,1885718258,1885718258,0.128134,深A,2025-08-29 09:22:33,2025-08-29
110067,华安转债,0.39,137.0,-,-,-,0.53,0.0,-,-,-,-,136.47,3834871120,3834871120,1.110067,沪A,2025-08-29 09:22:50,2025-08-29
123251,华医转债,0.37,167.0,-,-,-,0.62,0.0,-,-,-,-,166.38,1171357706,1171357706,0.123251,深A,2025-08-29 09:22:24,2025-08-29
113615,金诚转债,0.36,576.0,-,-,-,2.09,0.0,-,-,-,-,573.91,2856608640,2856608640,1.113615,沪A,2025-08-29 09:22:52,2025-08-29
123256,恒帅转债,0.36,197.201,-,-,-,0.701,0.0,-,-,-,-,196.5,646010756,646010756,0.123256,深A,2025-08-29 09:22:51,2025-08-29
118038,金宏转债,0.35,128.638,-,-,-,0.454,0.0,-,-,-,-,128.184,1306816719,1306816719,1.118038,沪A,2025-08-29 09:22:25,2025-08-29
128076,金轮转债,0.34,140.12,-,-,-,0.478,0.0,-,-,-,-,139.642,257271670,257271670,0.128076,深A,2025-08-29 09:22:42,2025-08-29
128141,旺能转债,0.33,135.2,-,-,-,0.445,0.0,-,-,-,-,134.755,1565049377,1565049377,0.128141,深A,2025-08-29 09:22:42,2025-08-29
128101,联创转债,0.31,134.0,-,-,-,0.42,0.0,-,-,-,-,133.58,399808430,399808430,0.128101,深A,2025-08-29 09:22:15,2025-08-29
111013,新港转债,0.3,132.019,-,-,-,0.389,0.0,-,-,-,-,131.63,486012238,486012238,1.111013,沪A,2025-08-29 09:22:34,2025-08-29
123091,长海转债,0.3,132.4,-,-,-,0.4,0.0,-,-,-,-,132.0,727851656,727851656,0.123091,深A,2025-08-29 09:22:42,2025-08-29
110062,烽火转债,0.3,131.99,-,-,-,0.39,0.0,-,-,-,-,131.6,4074974786,4074974786,1.110062,沪A,2025-08-29 09:22:50,2025-08-29
111020,合顺转债,0.27,139.672,-,-,-,0.372,0.0,-,-,-,-,139.3,472066219,472066219,1.111020,沪A,2025-08-29 09:22:33,2025-08-29
113654,永02转债,0.25,135.77,-,-,-,0.34,0.0,-,-,-,-,135.43,828760446,828760446,1.113654,沪A,2025-08-29 09:22:49,2025-08-29
110075,南航转债,0.25,125.732,-,-,-,0.318,0.0,-,-,-,-,125.414,7413464249,7413464249,1.110075,沪A,2025-08-29 09:22:34,2025-08-29
118018,瑞科转债,0.25,118.911,-,-,-,0.3,0.0,-,-,-,-,118.611,511308976,511308976,1.118018,沪A,2025-08-29 09:22:49,2025-08-29
110081,闻泰转债,0.24,123.072,-,-,-,0.3,0.0,-,-,-,-,122.772,10580901424,10580901424,1.110081,沪A,2025-08-29 09:22:28,2025-08-29
113601,塞力转债,0.23,296.0,-,-,-,0.674,0.0,-,-,-,-,295.326,556651680,556651680,1.113601,沪A,2025-08-29 09:22:50,2025-08-29
123160,泰福转债,0.23,163.201,-,-,-,0.371,0.0,-,-,-,-,162.83,378088410,378088410,0.123160,深A,2025-08-29 09:22:42,2025-08-29
123197,光力转债,0.23,128.3,-,-,-,0.3,0.0,-,-,-,-,128.0,512613541,512613541,0.123197,深A,2025-08-29 09:22:51,2025-08-29
127026,超声转债,0.23,137.5,-,-,-,0.314,0.0,-,-,-,-,137.186,962053263,962053263,0.127026,深A,2025-08-29 09:22:15,2025-08-29
113685,升24转债,0.23,132.361,-,-,-,0.3,0.0,-,-,-,-,132.061,3363121205,3363121205,1.113685,沪A,2025-08-29 09:22:41,2025-08-29
113577,春秋转债,0.23,143.6,-,-,-,0.329,0.0,-,-,-,-,143.271,254879948,254879948,1.113577,沪A,2025-08-29 09:22:52,2025-08-29
128125,华阳转债,0.2,126.954,-,-,-,0.254,0.0,-,-,-,-,126.7,570882050,570882050,0.128125,深A,2025-08-29 09:22:36,2025-08-29
110092,三房转债,0.19,103.195,-,-,-,0.2,0.0,-,-,-,-,102.995,2578959660,2578959660,1.110092,沪A,2025-08-29 09:22:44,2025-08-29
113610,灵康转债,0.19,132.2,-,-,-,0.246,0.0,-,-,-,-,131.954,334425018,334425018,1.113610,沪A,2025-08-29 09:22:51,2025-08-29
118031,天23转债,0.19,121.999,-,-,-,0.227,0.0,-,-,-,-,121.772,10814589155,10814589155,1.118031,沪A,2025-08-29 09:22:52,2025-08-29
123221,力诺转债,0.19,150.66,-,-,-,0.291,0.0,-,-,-,-,150.369,611127732,611127732,0.123221,深A,2025-08-29 09:22:42,2025-08-29
127090,兴瑞转债,0.18,124.4,-,-,-,0.221,0.0,-,-,-,-,124.179,574267222,574267222,0.127090,深A,2025-08-29 09:22:15,2025-08-29
127094,红墙转债,0.18,139.424,-,-,-,0.244,0.0,-,-,-,-,139.18,419916088,419916088,0.127094,深A,2025-08-29 09:21:57,2025-08-29
113584,家悦转债,0.17,120.397,-,-,-,0.2,0.0,-,-,-,-,120.197,776416174,776416174,1.113584,沪A,2025-08-29 09:22:22,2025-08-29
113679,芯能转债,0.17,118.721,-,-,-,0.2,0.0,-,-,-,-,118.521,1044635577,1044635577,1.113679,沪A,2025-08-29 09:22:37,2025-08-29
128121,宏川转债,0.17,116.15,-,-,-,0.2,0.0,-,-,-,-,115.95,757338885,757338885,0.128121,深A,2025-08-29 09:22:24,2025-08-29
110063,鹰19转债,0.17,120.149,-,-,-,0.2,0.0,-,-,-,-,119.949,1531696698,1531696698,1.110063,沪A,2025-08-29 09:22:41,2025-08-29
118020,芳源转债,0.17,116.351,-,-,-,0.201,0.0,-,-,-,-,116.15,746690687,746690687,1.118020,沪A,2025-08-29 09:22:51,2025-08-29
127018,本钢转债,0.17,121.097,-,-,-,0.207,0.0,-,-,-,-,120.89,6818921330,6818921330,0.127018,深A,2025-08-29 09:22:33,2025-08-29
113563,柳药转债,0.17,112.199,-,-,-,0.194,0.0,-,-,-,-,112.005,899699097,899699097,1.113563,沪A,2025-08-29 09:22:33,2025-08-29
123194,百洋转债,0.16,128.225,-,-,-,0.2,0.0,-,-,-,-,128.025,1084688357,1084688357,0.123194,深A,2025-08-29 09:21:12,2025-08-29
