债券代码,债券名称,正股代码,正股名称,债券评级,申购日期,发行规模(亿),网上发行中签率(%),上市日期,到期日期,期限(年),利率说明
123258,胜蓝转02,300843,胜蓝股份,AA-,2025-08-28 00:00:00,4.5,0.0008167421,,2031-08-28 00:00:00,6,第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年1.90%、第六年2.30%。
127111,金威转债,002626,金达威,AA,2025-08-20 00:00:00,12.923948,0.0024488149,,2031-08-20 00:00:00,6,第一年0.10%、第二年0.30%、第三年0.60%、第四年1.00%、第五年1.50%、第六年2.00%。
113698,凯众转债,603037,凯众股份,AA-,2025-08-15 00:00:00,3.08447,0.00087715,,2031-08-15 00:00:00,6,本次发行的可转债票面利率设定为:第一年0.20%、第二年0.40%、第三年0.60%、第四年1.00%、第五年1.50%、第六年1.80%。
118058,微导转债,688147,微导纳米,AA,2025-08-06 00:00:00,11.7,0.0014953,2025-08-27 00:00:00,2031-08-06 00:00:00,6,本次发行的可转债票面利率设定为:第一年0.20%、第二年0.40%、第三年0.80%、第四年1.20%、第五年1.50%、第六年2.00%。
127110,广核转债,003816,中国广核,AAA,2025-07-09 00:00:00,49.0,0.0186422035,2025-07-25 00:00:00,2031-07-09 00:00:00,6,第一年为0.2%、第二年为0.4%、第三年为0.8%、第四年为1.2%、第五年为1.6%、第六年为2.0%。
111023,利柏转债,605167,利柏特,AA,2025-07-03 00:00:00,7.5,0.00173477,2025-07-22 00:00:00,2031-07-03 00:00:00,6,第一年0.10%、第二年0.30%、第三年0.60%、第四年1.20%、第五年1.80%、第六年2.00%。
113696,伯25转债,603596,伯特利,AA,2025-07-01 00:00:00,28.02,0.00894996,2025-07-28 00:00:00,2031-07-01 00:00:00,6,票面利率:第一年0.1%、第二年0.3%、第三年0.6%、第四年1.0%、第五年1.5%、第六年2.0%。
118057,甬矽转债,688362,甬矽电子,A+,2025-06-26 00:00:00,11.65,0.004213,2025-07-16 00:00:00,2031-06-26 00:00:00,6,"本次发行的可转换公司债券票面利率设定为:第一年0.20%,第二年0.40%,第三年0.80%,第四年1.50%,第五年2.00%,第六年2.50%。"
113695,华辰转债,603097,江苏华辰,A+,2025-06-20 00:00:00,4.6,0.0003492,2025-07-10 00:00:00,2031-06-20 00:00:00,6,本次发行的可转债票面利率为第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年2.00%、第六年2.50%。
111022,锡振转债,605319,无锡振华,AA-,2025-06-18 00:00:00,5.2,0.00091285,2025-07-14 00:00:00,2031-06-18 00:00:00,6,本次发行的可转换公司债券票面利率为第一年0.20%、第二年0.40%、第三年0.80%、第四年1.50%、第五年1.90%、第六年2.30%。到期赎回价为113元(含最后一期利息)。
