时间,前值,现值,发布日期
2008年01月,0.7,0.7,2008-02-25
2008年02月,0.7,1.0,2008-03-27
2008年03月,1.0,1.2,2008-04-25
2008年04月,1.2,0.8,2008-05-26
2008年05月,0.8,1.3,2008-06-25
2008年06月,1.3,2.0,2008-07-26
2008年07月,2.0,2.3,2008-08-25
2008年08月,2.3,2.1,2008-09-25
2008年09月,2.1,2.1,2008-10-26
2008年10月,2.1,1.7,2008-11-25
2008年11月,1.7,1.0,2008-12-26
2008年12月,1.0,0.4,2009-01-25
2009年01月,0.4,0.0,2009-02-25
2009年02月,0.0,-0.1,2009-03-28
2009年03月,-0.1,-0.3,2009-04-25
2009年04月,-0.3,-0.1,2009-05-26
2009年05月,-0.1,-1.1,2009-06-25
2009年06月,-1.1,-1.8,2009-07-26
2009年07月,-1.8,-2.2,2009-08-25
2009年08月,-2.2,-2.2,2009-09-25
2009年09月,-2.2,-2.2,2009-10-26
2009年10月,-2.2,-2.5,2009-11-25
2009年11月,-2.5,-1.9,2009-12-26
2009年12月,-1.9,-1.7,2010-01-25
2010年01月,-1.7,-1.3,2010-02-25
2010年02月,-1.3,-1.1,2010-03-28
2010年03月,-1.1,-1.1,2010-04-25
2010年04月,-1.1,-1.2,2010-05-26
2010年05月,-1.2,-0.9,2010-06-25
2010年06月,-0.9,-0.7,2010-07-26
2010年07月,-0.7,-0.9,2010-08-25
2010年08月,-0.9,-0.9,2010-09-25
2010年09月,-0.9,-0.6,2010-10-26
2010年10月,-0.6,0.2,2010-11-25
2010年11月,0.2,0.1,2010-12-26
2010年12月,0.1,0.0,2011-01-25
2011年01月,0.0,-0.6,2011-02-25
2011年02月,-0.6,-0.5,2011-03-28
2011年03月,-0.5,-0.5,2011-04-25
2011年04月,-0.5,-0.4,2011-05-26
2011年05月,-0.4,-0.4,2011-06-25
2011年06月,-0.4,-0.4,2011-07-26
2011年07月,-0.4,0.2,2011-08-25
2011年08月,0.2,0.2,2011-09-25
2011年09月,0.2,0.0,2011-10-26
2011年10月,0.0,-0.2,2011-11-25
2011年11月,-0.2,-0.5,2011-12-26
2011年12月,-0.5,-0.2,2012-01-25
2012年01月,-0.2,0.1,2012-02-25
2012年02月,0.1,0.3,2012-03-27
2012年03月,0.3,0.5,2012-04-25
2012年04月,0.5,0.4,2012-05-26
2012年05月,0.4,0.2,2012-06-25
2012年06月,0.2,-0.2,2012-07-26
2012年07月,-0.2,-0.4,2012-08-25
2012年08月,-0.4,-0.4,2012-09-25
2012年09月,-0.4,-0.3,2012-10-26
2012年10月,-0.3,-0.4,2012-11-25
2012年11月,-0.4,-0.2,2012-12-26
2012年12月,-0.2,-0.1,2013-01-25
2013年01月,-0.1,-0.3,2013-02-25
2013年02月,-0.3,-0.7,2013-03-28
2013年03月,-0.7,-0.9,2013-04-25
2013年04月,-0.9,-0.7,2013-05-26
2013年05月,-0.7,-0.3,2013-06-25
2013年06月,-0.3,0.2,2013-07-26
2013年07月,0.2,0.7,2013-08-25
2013年08月,0.7,0.9,2013-09-25
2013年09月,0.9,1.1,2013-10-26
2013年10月,1.1,1.1,2013-11-25
2013年11月,1.1,1.5,2013-12-26
2013年12月,1.5,1.6,2014-01-25
2014年01月,1.6,1.4,2014-02-25
2014年02月,1.4,1.5,2014-03-28
2014年03月,1.5,1.6,2014-04-25
2014年04月,1.6,3.4,2014-05-26
2014年05月,3.4,3.7,2014-06-25
2014年06月,3.7,3.6,2014-07-26
2014年07月,3.6,3.4,2014-08-25
2014年08月,3.4,3.3,2014-09-25
2014年09月,3.3,3.2,2014-10-26
2014年10月,3.2,2.9,2014-11-25
2014年11月,2.9,2.4,2014-12-26
2014年12月,2.4,2.4,2015-01-25
2015年01月,2.4,2.4,2015-02-25
2015年02月,2.4,2.2,2015-03-28
2015年03月,2.2,2.3,2015-04-25
2015年04月,2.3,0.6,2015-05-26
2015年05月,0.6,0.5,2015-06-26
2015年06月,0.5,0.4,2015-07-31
2015年07月,0.4,0.2,2015-08-28
2015年08月,0.2,0.2,2015-09-25
2015年09月,0.2,0.0,2015-10-30
2015年10月,0.0,0.3,2015-11-27
2015年11月,0.3,0.3,2015-12-25
2015年12月,0.3,0.2,2016-01-29
2016年01月,0.2,-0.1,2016-02-26
2016年02月,-0.1,0.2,2016-03-25
2016年03月,0.2,0.0,2016-04-28
2016年04月,0.0,-0.3,2016-05-27
2016年05月,-0.3,-0.5,2016-07-01
2016年06月,-0.5,-0.4,2016-07-29
2016年07月,-0.4,-0.4,2016-08-26
2016年08月,-0.4,-0.5,2016-09-30
2016年09月,-0.5,-0.5,2016-10-28
2016年10月,-0.5,0.1,2016-11-25
2016年11月,0.1,0.5,2016-12-27
2016年12月,0.5,0.3,2017-01-27
2017年01月,0.3,0.4,2017-03-03
2017年02月,0.4,0.3,2017-03-31
2017年03月,0.3,0.2,2017-04-28
2017年04月,0.2,0.4,2017-05-26
2017年05月,0.4,0.4,2017-06-30
2017年06月,0.4,0.4,2017-07-28
2017年07月,0.4,0.4,2017-08-25
2017年08月,0.4,0.7,2017-09-29
2017年09月,0.7,0.7,2017-10-27
2017年10月,0.7,0.2,2017-12-01
2017年11月,0.2,0.6,2017-12-26
2017年12月,0.6,1.0,2018-01-26
2018年01月,1.0,1.4,2018-03-02
2018年02月,1.4,1.5,2018-03-30
2018年03月,1.5,1.1,2018-04-30
2018年04月,1.1,0.6,2018-05-18
2018年05月,0.6,0.7,2018-06-22
2018年06月,0.7,0.7,2018-07-20
2018年07月,0.7,0.9,2018-08-24
2018年08月,0.9,1.3,2018-09-21
2018年09月,1.3,1.2,2018-10-19
2018年10月,1.2,1.4,2018-11-22
2018年11月,1.4,0.8,2018-12-21
2018年12月,0.8,0.3,2019-01-18
2019年01月,0.3,0.2,2019-02-22
2019年02月,0.2,0.2,2019-03-22
2019年03月,0.2,0.5,2019-04-19
2019年04月,0.5,0.9,2019-05-24
2019年05月,0.9,0.7,2019-06-21
2019年06月,0.7,0.7,2019-07-19
2019年07月,0.7,0.5,2019-08-23
2019年08月,0.5,0.3,2019-09-20
2019年09月,0.3,0.2,2019-10-18
2019年10月,0.2,0.2,2019-11-22
2019年11月,0.2,0.5,2019-12-20
2019年12月,0.5,0.8,2020-01-24
2020年01月,0.8,0.7,2020-02-21
2020年02月,0.7,0.4,2020-03-19
2020年03月,0.4,0.4,2020-04-24
2020年04月,0.4,0.1,2020-05-22
2020年05月,0.1,0.1,2020-06-19
2020年06月,0.1,0.1,2020-07-21
2020年07月,0.1,0.3,2020-08-21
2020年08月,0.3,0.2,2020-09-18
2020年09月,0.2,0.0,2020-10-23
2020年10月,0.0,-0.4,2020-11-20
2020年11月,-0.4,-0.9,2020-12-18
2020年12月,-0.9,-1.2,2021-01-22
2021年01月,-1.2,-0.7,2021-02-19
2021年02月,-0.7,-0.5,2021-03-19
2021年03月,-0.5,-0.4,2021-04-23
2021年04月,-0.4,-1.1,2021-05-21
2021年05月,-1.1,-0.8,2021-06-18
2021年06月,-0.8,-0.5,2021-07-20
2021年07月,-0.5,-0.3,2021-08-20
2021年08月,-0.3,-0.4,2021-09-24
2021年09月,-0.4,0.2,2021-10-22
2021年10月,0.2,0.1,2021-11-19
2021年11月,0.1,0.6,2021-12-24
2021年12月,0.6,0.8,2022-01-21
2022年01月,0.8,0.5,2022-02-18
2022年02月,0.5,0.9,2022-03-18
2023年02月,4.3,3.3,2022-03-24
2022年03月,0.9,1.2,2022-04-22
2022年04月,1.2,2.5,2022-05-20
2022年05月,2.5,2.5,2022-06-24
2022年06月,2.5,2.4,2022-07-22
2022年07月,2.4,2.6,2022-08-19
2022年08月,2.6,3.0,2022-09-20
2022年09月,3.0,3.0,2022-10-21
2022年10月,3.0,3.7,2022-11-18
2022年11月,3.7,3.8,2022-12-23
2022年12月,3.8,4.0,2023-01-20
2023年01月,4.0,4.3,2023-02-24
2023年03月,3.3,3.2,2023-04-21
2023年04月,3.2,3.5,2023-05-19
2023年05月,3.5,3.2,2023-06-23
2023年06月,3.2,3.3,2023-07-21
2023年07月,3.3,3.3,2023-08-18
2023年08月,3.3,3.2,2023-09-22
2023年09月,3.2,3.0,2023-10-20
2023年10月,3.0,3.3,2023-11-24
2023年11月,3.3,2.8,2023-12-22
2023年12月,2.8,2.6,2024-01-19
2024年01月,2.6,2.2,2024-02-27
2024年02月,2.2,2.8,2024-03-22
2024年03月,2.8,2.7,2024-04-19
2024年04月,2.7,2.5,2024-05-24
2024年05月,2.5,2.8,2024-06-21
2024年06月,2.8,2.8,2024-07-19
2024年07月,2.8,2.8,2024-08-23
2024年08月,2.8,3.0,2024-09-20
2024年09月,3.0,2.5,2024-10-18
2024年10月,2.5,2.3,2024-11-22
2024年11月,2.3,2.9,2024-12-20
2024年12月,2.9,3.6,2025-01-24
2025年01月,3.6,4.0,2025-02-21
2025年02月,4.0,3.7,2025-03-21
2025年03月,3.7,3.6,2025-04-18
2025年04月,3.6,3.6,2025-05-23
2025年05月,3.6,3.5,2025-06-20
2025年06月,3.5,3.3,2025-07-18
2025年07月,3.3,3.1,2025-08-22
2025年08月,3.1,2.7,2025-09-19
2025年09月,2.7,,2025-10-24
