代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额
sz169201,浙商鼎盈LOF,0.0,0.0,0.0,0.0,0.0,1.727,0.0,0.0,0.0,0,0
sz169106,东方红创优定开,0.0,0.0,0.0,0.0,0.0,1.113,0.0,0.0,0.0,0,0
sz169105,东方红睿华LOF,0.0,0.0,0.0,0.0,0.0,1.706,0.0,0.0,0.0,0,0
sz169104,东方红睿满LOF,0.0,0.0,0.0,0.0,0.0,2.025,0.0,0.0,0.0,0,0
sz169101,东方红睿丰LOF,0.0,0.0,0.0,0.0,0.0,1.875,0.0,0.0,0.0,0,0
sz168701,金融科技LOF,0.0,0.0,0.0,0.0,0.0,1.375,0.0,0.0,0.0,0,0
sz168401,红土创新精选LOF,0.0,0.0,0.0,3.309,3.309,3.223,0.0,0.0,0.0,0,0
sz168301,东海祥龙LOF,0.0,0.0,0.0,0.0,0.0,0.935,0.0,0.0,0.0,0,0
sz168204,煤炭LOF,0.0,0.0,0.0,1.74,1.74,1.737,0.0,0.0,0.0,0,0
sz168203,钢铁LOF,0.0,0.0,0.0,0.0,0.0,1.272,0.0,0.0,0.0,0,0
sz168105,九泰泰富LOF,0.0,0.0,0.0,1.667,1.667,1.668,0.0,0.0,0.0,0,0
sz168104,九泰锐丰LOF,0.0,0.0,0.0,0.0,0.0,0.955,0.0,0.0,0.0,0,0
sz168103,九泰锐益LOF,0.0,0.0,0.0,0.0,0.0,1.312,0.0,0.0,0.0,0,0
sz168102,九泰锐富LOF,0.0,0.0,0.0,0.0,0.0,1.157,0.0,0.0,0.0,0,0
sz168101,九泰锐智LOF,0.0,0.0,0.0,0.0,0.0,1.343,0.0,0.0,0.0,0,0
sz168002,国寿精选LOF,0.0,0.0,0.0,2.006,2.006,2.007,0.0,0.0,0.0,0,0
sz167508,安信价值发现定开,0.0,0.0,0.0,0.0,0.0,1.639,0.0,0.0,0.0,0,0
sz167506,安信深圳科技LOF,0.0,0.0,0.0,1.721,1.721,1.688,0.0,0.0,0.0,0,0
sz167503,安信一带一路,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
sz167302,大湾区LOF,0.0,0.0,0.0,0.0,0.0,1.034,0.0,0.0,0.0,0,0
sz167301,保险主题LOF,0.0,0.0,0.0,1.149,1.149,1.149,0.0,0.0,0.0,0,0
sz167003,鼎弘LOF,0.0,0.0,0.0,0.0,0.0,1.147,0.0,0.0,0.0,0,0
