序号,基金公司,成立时间,全部管理规模,全部基金数,全部经理数,更新日期
1,易方达基金管理有限公司,2001-04-17,20531.83,799,103,08-27
2,华夏基金管理有限公司,1998-04-09,19948.1,917,132,08-28
3,广发基金管理有限公司,2003-08-05,14545.14,821,93,08-22
4,南方基金管理股份有限公司,1998-03-06,13477.93,790,104,08-26
5,天弘基金管理有限公司,2004-11-08,12473.97,487,58,08-26
6,富国基金管理有限公司,1999-04-13,11622.24,773,99,08-28
7,嘉实基金管理有限公司,1999-03-25,11067.82,628,102,08-12
8,博时基金管理有限公司,1998-07-13,10855.77,741,106,08-25
9,汇添富基金管理股份有限公司,2005-02-03,9910.44,741,94,08-29
10,鹏华基金管理有限公司,1998-12-22,9456.9,705,82,08-27
11,建信基金管理有限责任公司,2005-09-19,9238.35,329,67,08-27
12,招商基金管理有限公司,2002-12-27,8887.36,620,91,08-25
13,工银瑞信基金管理有限公司,2005-06-21,7823.33,482,86,08-05
14,国泰基金管理有限公司,1998-03-05,7359.08,482,58,07-25
15,华安基金管理有限公司,1998-06-04,7115.08,524,77,08-18
16,兴证全球基金管理有限公司,2003-09-30,7047.2,141,44,07-23
17,华泰柏瑞基金管理有限公司,2004-11-18,6858.12,317,41,08-27
18,中银基金管理有限公司,2004-08-12,6735.94,299,48,08-15
19,景顺长城基金管理有限公司,2003-06-12,6531.17,382,54,08-27
20,平安基金管理有限公司,2011-01-07,6415.6,459,59,08-27
21,中欧基金管理有限公司,2006-07-19,6181.62,456,63,08-14
22,银华基金管理股份有限公司,2001-05-28,5769.32,377,74,08-22
23,永赢基金管理有限公司,2013-11-07,5465.63,326,46,08-26
24,万家基金管理有限公司,2002-08-23,5094.38,354,45,08-29
25,交银施罗德基金管理有限公司,2005-08-04,4997.97,265,44,08-20
26,兴业基金管理有限公司,2013-04-17,4500.07,202,27,08-26
27,大成基金管理有限公司,1999-04-12,4285.83,417,45,08-29
28,浦银安盛基金管理有限公司,2007-08-05,3629.94,208,36,08-21
29,长城基金管理有限公司,2001-12-27,3505.83,244,37,08-28
30,华宝基金管理有限公司,2003-03-07,3389.91,271,43,08-27
31,国寿安保基金管理有限公司,2013-10-29,3381.68,178,38,06-30
32,上银基金管理有限公司,2013-08-30,2509.11,106,20,08-26
33,国投瑞银基金管理有限公司,2002-06-13,2498.26,212,31,08-12
34,海富通基金管理有限公司,2003-04-18,2172.77,173,30,07-17
35,鑫元基金管理有限公司,2013-08-29,2135.58,167,21,08-25
36,农银汇理基金管理有限公司,2008-03-18,2098.25,132,26,07-22
37,长信基金管理有限责任公司,2003-05-09,1918.76,175,34,08-22
38,中金基金管理有限公司,2014-02-10,1915.81,101,43,06-30
39,诺安基金管理有限公司,2003-12-09,1886.43,120,31,06-30
40,摩根基金管理(中国)有限公司,2004-05-12,1878.47,231,30,08-06
41,上海东方证券资产管理有限公司,2010-06-08,1821.43,223,34,08-19
42,创金合信基金管理有限公司,2014-07-09,1750.4,204,49,07-21
43,民生加银基金管理有限公司,2008-11-03,1696.88,175,28,06-30
44,中信保诚基金管理有限公司,2005-09-30,1629.29,205,26,06-30
45,华泰证券(上海)资产管理有限公司,2014-10-16,1596.19,89,25,08-05
46,国联基金管理有限公司,2013-05-31,1577.18,180,31,06-30
47,融通基金管理有限公司,2001-05-22,1541.98,174,39,06-30
48,鹏扬基金管理有限公司,2016-07-06,1437.0,181,24,08-05
49,中加基金管理有限公司,2013-03-27,1411.93,135,19,08-05
50,泰康基金管理有限公司,2021-10-12,1334.69,163,23,08-12
51,中银国际证券股份有限公司,2002-02-28,1303.05,77,21,06-30
