序号,行业类别,占净值比例,市值,截止时间
1,制造业,69.53,189787.963063,2023-09-30
2,科学研究和技术服务业,1.61,4388.935702,2023-09-30
3,批发和零售业,1.43,3896.705281,2023-09-30
4,金融业,1.17,3195.4081,2023-09-30
5,采矿业,1.17,3194.7589,2023-09-30
6,房地产业,0.96,2629.99041,2023-09-30
7,租赁和商务服务业,0.62,1688.184585,2023-09-30
8,信息传输、软件和信息技术服务业,0.52,1423.173173,2023-09-30
9,建筑业,0.21,571.626784,2023-09-30
10,卫生和社会工作,0.2,538.414546,2023-09-30
11,水利、环境和公共设施管理业,0.0,4.560998,2023-09-30
12,电力、热力、燃气及水生产和供应业,0.0,3.356397,2023-09-30
13,制造业,68.81,201157.775395,2023-06-30
14,批发和零售业,1.41,4129.958752,2023-06-30
15,房地产业,1.39,4067.173378,2023-06-30
16,科学研究和技术服务业,1.26,3684.969783,2023-06-30
17,采矿业,0.93,2716.7913,2023-06-30
18,信息传输、软件和信息技术服务业,0.78,2268.536719,2023-06-30
19,金融业,0.67,1962.9876,2023-06-30
20,租赁和商务服务业,0.35,1021.8266,2023-06-30
21,建筑业,0.34,982.386764,2023-06-30
22,卫生和社会工作,0.33,972.647166,2023-06-30
23,电力、热力、燃气及水生产和供应业,0.18,525.067947,2023-06-30
24,水利、环境和公共设施管理业,0.0,2.256657,2023-06-30
25,制造业,65.89,193354.962582,2023-03-31
26,科学研究和技术服务业,3.92,11490.739335,2023-03-31
27,租赁和商务服务业,1.9,5584.1935,2023-03-31
28,信息传输、软件和信息技术服务业,1.45,4256.190176,2023-03-31
29,金融业,1.35,3952.02181,2023-03-31
30,批发和零售业,0.9,2635.42924,2023-03-31
31,房地产业,0.86,2519.415738,2023-03-31
32,建筑业,0.24,708.283312,2023-03-31
33,交通运输、仓储和邮政业,0.24,699.4494,2023-03-31
34,文化、体育和娱乐业,0.23,669.0614,2023-03-31
35,卫生和社会工作,0.2,596.362379,2023-03-31
36,电力、热力、燃气及水生产和供应业,0.01,36.16032,2023-03-31
37,水利、环境和公共设施管理业,0.0,10.346959,2023-03-31
