日期,单位净值,累计净值,涨跌幅
2025-08-27,1.2517,1.2517,-0.42
2025-08-26,1.257,1.257,-0.85
2025-08-25,1.2678,1.2678,3.15
2025-08-22,1.2291,1.2291,3.6
2025-08-21,1.1864,1.1864,-0.55
2025-08-20,1.193,1.193,0.15
2025-08-19,1.1912,1.1912,0.06
2025-08-18,1.1905,1.1905,3.02
2025-08-15,1.1556,1.1556,2.7
2025-08-14,1.1252,1.1252,-0.9
2025-08-13,1.1354,1.1354,4.13
2025-08-12,1.0904,1.0904,1.53
2025-08-11,1.074,1.074,2.1
2025-08-08,1.0519,1.0519,-0.33
2025-08-07,1.0554,1.0554,-0.78
2025-08-06,1.0637,1.0637,0.7
2025-08-05,1.0563,1.0563,0.39
2025-08-04,1.0522,1.0522,0.48
2025-08-01,1.0472,1.0472,-0.41
2025-07-31,1.0515,1.0515,-1.81
2025-07-30,1.0709,1.0709,-1.87
2025-07-29,1.0913,1.0913,2.2
2025-07-28,1.0678,1.0678,1.28
2025-07-25,1.0543,1.0543,-0.3
2025-07-24,1.0575,1.0575,1.31
2025-07-23,1.0438,1.0438,0.05
2025-07-22,1.0433,1.0433,0.54
2025-07-21,1.0377,1.0377,0.84
2025-07-18,1.0291,1.0291,0.29
2025-07-17,1.0261,1.0261,2.01
2025-07-16,1.0059,1.0059,-0.33
2025-07-15,1.0092,1.0092,2.14
2025-07-14,0.9881,0.9881,-0.64
2025-07-11,0.9945,0.9945,0.82
2025-07-10,0.9864,0.9864,0.33
2025-07-09,0.9832,0.9832,0.29
2025-07-08,0.9804,0.9804,2.65
2025-07-07,0.9551,0.9551,-1.42
2025-07-04,0.9689,0.9689,-0.28
2025-07-03,0.9716,0.9716,2.34
2025-07-02,0.9494,0.9494,-1.14
2025-07-01,0.9603,0.9603,-0.39
2025-06-30,0.9641,0.9641,1.41
2025-06-27,0.9507,0.9507,0.45
2025-06-26,0.9464,0.9464,-0.64
2025-06-25,0.9525,0.9525,3.58
2025-06-24,0.9196,0.9196,2.44
2025-06-23,0.8977,0.8977,0.31
2025-06-20,0.8949,0.8949,-0.91
2025-06-19,0.9031,0.9031,-1.37
2025-06-18,0.9156,0.9156,0.45
2025-06-17,0.9115,0.9115,-0.46
2025-06-16,0.9157,0.9157,1.01
2025-06-13,0.9065,0.9065,-0.89
2025-06-12,0.9146,0.9146,0.37
2025-06-11,0.9112,0.9112,1.31
2025-06-10,0.8994,0.8994,-1.18
2025-06-09,0.9101,0.9101,1.03
2025-06-06,0.9008,0.9008,-0.68
2025-06-05,0.907,0.907,1.44
2025-06-04,0.8941,0.8941,1.29
2025-06-03,0.8827,0.8827,0.2
2025-05-30,0.8809,0.8809,-1.02
2025-05-29,0.89,0.89,1.12
2025-05-28,0.8801,0.8801,-0.23
2025-05-27,0.8821,0.8821,-0.81
2025-05-26,0.8893,0.8893,-1.07
2025-05-23,0.8989,0.8989,-1.31
2025-05-22,0.9108,0.9108,-0.92
2025-05-21,0.9193,0.9193,1.18
2025-05-20,0.9086,0.9086,0.74
2025-05-19,0.9019,0.9019,-0.46
2025-05-16,0.9061,0.9061,-0.14
2025-05-15,0.9074,0.9074,-2.06
2025-05-14,0.9265,0.9265,1.29
2025-05-13,0.9147,0.9147,-0.14
2025-05-12,0.916,0.916,3.1
2025-05-09,0.8885,0.8885,-0.77
2025-05-08,0.8954,0.8954,2.07
2025-05-07,0.8772,0.8772,0.77
2025-05-06,0.8705,0.8705,1.98
2025-04-30,0.8536,0.8536,0.87
2025-04-29,0.8462,0.8462,-0.27
2025-04-28,0.8485,0.8485,-0.67
2025-04-25,0.8542,0.8542,0.91
2025-04-24,0.8465,0.8465,-0.65
2025-04-23,0.852,0.852,1.37
2025-04-22,0.8405,0.8405,-0.31
2025-04-21,0.8431,0.8431,1.63
2025-04-18,0.8296,0.8296,0.51
2025-04-17,0.8254,0.8254,0.07
2025-04-16,0.8248,0.8248,-1.23
2025-04-15,0.8351,0.8351,-0.01
2025-04-14,0.8352,0.8352,0.31
2025-04-11,0.8326,0.8326,1.55
2025-04-10,0.8199,0.8199,2.44
2025-04-09,0.8004,0.8004,0.63
2025-04-08,0.7954,0.7954,1.35
2025-04-07,0.7848,0.7848,-13.25
2025-04-03,0.9047,0.9047,-2.17
2025-04-02,0.9248,0.9248,0.2
2025-04-01,0.923,0.923,-0.37
2025-03-31,0.9264,0.9264,-1.23
2025-03-28,0.9379,0.9379,-0.76
2025-03-27,0.9451,0.9451,0.17
2025-03-26,0.9435,0.9435,-0.35
2025-03-25,0.9468,0.9468,-0.38
2025-03-24,0.9504,0.9504,0.13
2025-03-21,0.9492,0.9492,-2.33
2025-03-20,0.9718,0.9718,-1.18
2025-03-19,0.9834,0.9834,-0.06
2025-03-18,0.984,0.984,0.76
2025-03-17,0.9766,0.9766,-0.61
2025-03-14,0.9826,0.9826,3.21
2025-03-13,0.952,0.952,-1.21
2025-03-12,0.9637,0.9637,-0.38
2025-03-11,0.9674,0.9674,0.13
2025-03-10,0.9661,0.9661,-0.33
2025-03-07,0.9693,0.9693,-1.4
2025-03-06,0.9831,0.9831,1.94
2025-03-05,0.9644,0.9644,0.05
2025-03-04,0.9639,0.9639,-0.79
2025-03-03,0.9716,0.9716,1.25
2025-02-28,0.9596,0.9596,-3.95
2025-02-27,0.9991,0.9991,-0.49
2025-02-26,1.004,1.004,1.34
2025-02-25,0.9907,0.9907,-1.23
2025-02-24,1.003,1.003,-0.77
2025-02-21,1.0108,1.0108,2.53
2025-02-20,0.9859,0.9859,-0.27
2025-02-19,0.9886,0.9886,1.79
2025-02-18,0.9712,0.9712,-1.85
2025-02-17,0.9895,0.9895,0.9
2025-02-14,0.9807,0.9807,1.52
2025-02-13,0.966,0.966,-0.9
2025-02-12,0.9748,0.9748,1.63
2025-02-11,0.9592,0.9592,-1.55
2025-02-10,0.9743,0.9743,0.25
2025-02-07,0.9719,0.9719,2.79
2025-02-06,0.9455,0.9455,2.87
2025-02-05,0.9191,0.9191,-0.63
2025-01-27,0.9249,0.9249,-3.1
2025-01-24,0.9545,0.9545,1.63
2025-01-23,0.9392,0.9392,-0.39
2025-01-22,0.9429,0.9429,-0.5
2025-01-21,0.9476,0.9476,0.33
2025-01-20,0.9445,0.9445,2.2
2025-01-17,0.9242,0.9242,0.59
2025-01-16,0.9188,0.9188,0.86
2025-01-15,0.911,0.911,-1.96
2025-01-14,0.9292,0.9292,5.03
2025-01-13,0.8847,0.8847,0.26
2025-01-10,0.8824,0.8824,-1.81
2025-01-09,0.8987,0.8987,0.18
2025-01-08,0.8971,0.8971,-1.18
2025-01-07,0.9078,0.9078,0.58
2025-01-06,0.9026,0.9026,-0.1
2025-01-03,0.9035,0.9035,-2.12
2025-01-02,0.9231,0.9231,-3.84
2024-12-31,0.96,0.96,-3.07
2024-12-30,0.9904,0.9904,0.17
2024-12-27,0.9887,0.9887,-0.28
2024-12-26,0.9915,0.9915,0.28
2024-12-25,0.9887,0.9887,-0.42
2024-12-24,0.9929,0.9929,1.12
2024-12-23,0.9819,0.9819,-0.7
2024-12-20,0.9888,0.9888,-0.29
2024-12-19,0.9917,0.9917,0.5
2024-12-18,0.9868,0.9868,-0.08
2024-12-17,0.9876,0.9876,0.31
2024-12-16,0.9845,0.9845,-1.48
2024-12-13,0.9993,0.9993,-2.78
2024-12-12,1.0279,1.0279,1.55
2024-12-11,1.0122,1.0122,-0.24
2024-12-10,1.0146,1.0146,0.56
2024-12-09,1.009,1.009,-0.7
2024-12-06,1.0161,1.0161,2.25
2024-12-05,0.9937,0.9937,0.39
2024-12-04,0.9898,0.9898,-1.33
2024-12-03,1.0031,1.0031,-0.57
2024-12-02,1.0089,1.0089,1.39
2024-11-29,0.9951,0.9951,2.74
2024-11-28,0.9686,0.9686,-1.96
2024-11-27,0.988,0.988,2.8
2024-11-26,0.9611,0.9611,-1.28
2024-11-25,0.9736,0.9736,-0.09
2024-11-22,0.9745,0.9745,-3.99
2024-11-21,1.015,1.015,-0.11
2024-11-20,1.0161,1.0161,0.35
2024-11-19,1.0126,1.0126,3.19
2024-11-18,0.9813,0.9813,-2.36
2024-11-15,1.005,1.005,-4.19
2024-11-14,1.049,1.049,-3.36
2024-11-13,1.0855,1.0855,1.63
2024-11-12,1.0681,1.0681,0.19
2024-11-11,1.0661,1.0661,3.02
2024-11-08,1.0348,1.0348,-1.76
2024-11-07,1.0533,1.0533,4.09
2024-11-06,1.0119,1.0119,-1.36
2024-11-05,1.0258,1.0258,5.02
2024-11-04,0.9768,0.9768,3.06
2024-11-01,0.9478,0.9478,-1.84
2024-10-31,0.9656,0.9656,0.78
2024-10-30,0.9581,0.9581,-1.27
2024-10-29,0.9704,0.9704,-2.32
2024-10-28,0.9934,0.9934,-0.74
2024-10-25,1.0008,1.0008,3.21
2024-10-24,0.9697,0.9697,-1.34
2024-10-23,0.9829,0.9829,-0.84
2024-10-22,0.9912,0.9912,0.33
2024-10-21,0.9879,0.9879,0.43
2024-10-18,0.9837,0.9837,8.59
2024-10-17,0.9059,0.9059,-0.2
2024-10-16,0.9077,0.9077,-2.45
2024-10-15,0.9305,0.9305,-3.31
2024-10-14,0.9624,0.9624,2.6
2024-10-11,0.938,0.938,-5.04
2024-10-10,0.9878,0.9878,-3.46
2024-10-09,1.0232,1.0232,-10.3
2024-10-08,1.1407,1.1407,18.43
2024-09-30,0.9632,0.9632,15.51
2024-09-27,0.8339,0.8339,10.64
2024-09-26,0.7537,0.7537,4.3
2024-09-25,0.7226,0.7226,1.8
2024-09-24,0.7098,0.7098,5.94
2024-09-23,0.67,0.67,-0.24
2024-09-20,0.6716,0.6716,-0.58
2024-09-19,0.6755,0.6755,0.73
2024-09-18,0.6706,0.6706,0.07
2024-09-13,0.6701,0.6701,-0.93
2024-09-12,0.6764,0.6764,-0.16
2024-09-11,0.6775,0.6775,1.44
2024-09-10,0.6679,0.6679,-0.03
2024-09-09,0.6681,0.6681,0.27
2024-09-06,0.6663,0.6663,-1.62
2024-09-05,0.6773,0.6773,0.58
2024-09-04,0.6734,0.6734,-0.1
2024-09-03,0.6741,0.6741,1.28
