序号,基金公司,成立时间,全部管理规模,全部基金数,全部经理数,更新日期
1,易方达基金管理有限公司,2001-04-17,16631.64,643,82,12-06
2,广发基金管理有限公司,2003-08-05,12704.99,667,82,12-05
3,华夏基金管理有限公司,1998-04-09,12391.17,713,113,12-04
4,南方基金管理股份有限公司,1998-03-06,11048.09,610,85,12-05
5,天弘基金管理有限公司,2004-11-08,10489.57,336,47,12-04
6,博时基金管理有限公司,1998-07-13,9265.75,624,92,12-04
7,富国基金管理有限公司,1999-04-13,9038.73,583,90,12-05
8,嘉实基金管理有限公司,1999-03-25,8621.66,524,103,12-05
9,汇添富基金管理股份有限公司,2005-02-03,8616.59,611,80,12-05
10,鹏华基金管理有限公司,1998-12-22,8443.0,492,76,12-05
11,招商基金管理有限公司,2002-12-27,8374.29,520,73,12-04
12,工银瑞信基金管理有限公司,2005-06-21,7488.35,427,70,12-04
13,建信基金管理有限责任公司,2005-09-19,7336.49,274,67,11-21
14,国泰基金管理有限公司,1998-03-05,6458.18,396,56,11-09
15,兴证全球基金管理有限公司,2003-09-30,5927.27,107,35,12-04
16,华安基金管理有限公司,1998-06-04,5817.13,432,62,12-05
17,银华基金管理股份有限公司,2001-05-28,5458.79,289,59,12-05
18,平安基金管理有限公司,2011-01-07,5439.01,331,48,11-28
19,景顺长城基金管理有限公司,2003-06-12,5172.15,305,49,12-05
20,交银施罗德基金管理有限公司,2005-08-04,4924.47,218,36,10-27
21,中欧基金管理有限公司,2006-07-19,4710.19,332,44,11-28
22,中银基金管理有限公司,2004-08-12,4603.11,261,45,11-22
23,万家基金管理有限公司,2002-08-23,4061.05,266,40,11-28
24,华泰柏瑞基金管理有限公司,2004-11-18,3993.63,243,39,11-30
25,浦银安盛基金管理有限公司,2007-08-05,3493.13,194,24,12-06
26,永赢基金管理有限公司,2013-11-07,3333.0,207,38,10-25
27,华宝基金管理有限公司,2003-03-07,3196.02,226,44,09-30
28,兴业基金管理有限公司,2013-04-17,2887.15,145,24,09-30
29,长城基金管理有限公司,2001-12-27,2821.49,208,34,11-20
30,国寿安保基金管理有限公司,2013-10-29,2639.3,159,31,12-04
31,国投瑞银基金管理有限公司,2002-06-13,2628.94,164,27,11-22
32,大成基金管理有限公司,1999-04-12,2353.86,330,43,12-01
33,上海东方证券资产管理有限公司,2010-06-08,1869.26,176,33,11-28
34,诺安基金管理有限公司,2003-12-09,1736.11,99,32,09-30
35,长信基金管理有限责任公司,2003-05-09,1697.36,169,27,11-28
36,农银汇理基金管理有限公司,2008-03-18,1639.88,104,21,10-26
37,上银基金管理有限公司,2013-08-30,1532.42,79,18,09-30
38,民生加银基金管理有限公司,2008-11-03,1509.11,155,29,12-04
39,海富通基金管理有限公司,2003-04-18,1508.73,150,30,11-07
40,融通基金管理有限公司,2001-05-22,1379.64,141,27,11-07
41,中加基金管理有限公司,2013-03-27,1298.28,122,17,09-30
42,摩根基金管理(中国)有限公司,2004-05-12,1293.92,187,32,12-01
43,鑫元基金管理有限公司,2013-08-29,1291.02,117,15,12-04
44,华商基金管理有限公司,2005-12-20,1281.12,136,22,11-27
45,中银国际证券股份有限公司,2002-02-28,1274.44,87,16,12-04
