期货代码,期货名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
c2509,玉米2509,1.67,2250.0,2259.0,2224.0,2229.0,37.0,-,0.6,-,18328,411368400.0,2227.0,-,-,114.c2509,大商所,2025-08-28 09:24:07,2025-08-27
c2511,玉米2511,1.07,2182.0,2187.0,2166.0,2168.0,23.0,-,2.47,-,454535,9901044510.0,2164.0,-,-,114.c2511,大商所,2025-08-28 09:24:10,2025-08-27
cm,玉米主连,1.07,2182.0,2187.0,2166.0,2168.0,23.0,-,2.47,-,454535,9901044510.0,2164.0,-,-,114.cm,大商所,2025-08-28 09:24:10,2025-08-27
sc2806,原油2806,0.92,471.9,471.9,468.0,468.0,4.3,-,-,-,4,1876300.0,467.4,-,-,142.sc2806,上海能源期货交易所,2025-08-28 09:24:10,2025-08-27
APS,苹果次主连,0.7,8163.0,8168.0,8135.0,8144.0,57.0,-,3.32,-,3488,284306880.0,8152.0,-,-,115.APS,郑商所,2025-08-28 09:24:09,2025-08-27
UR510,尿素510,0.7,1731.0,1732.0,1716.0,1716.0,12.0,-,1.78,-,1287,44427240.0,1717.0,-,-,115.UR510,郑商所,2025-08-28 09:24:09,2025-08-27
AP601,苹果601,0.7,8163.0,8168.0,8135.0,8144.0,57.0,-,3.32,-,3488,284306880.0,8152.0,-,-,115.AP601,郑商所,2025-08-28 09:24:09,2025-08-27
c2601,玉米2601,0.69,2180.0,2184.0,2169.0,2169.0,15.0,-,2.09,-,100131,2180687820.0,2170.0,-,-,114.c2601,大商所,2025-08-28 09:24:10,2025-08-27
cs,玉米次主连,0.69,2180.0,2184.0,2169.0,2169.0,15.0,-,2.12,-,100131,2180687820.0,2170.0,-,-,114.cs,大商所,2025-08-28 09:24:10,2025-08-27
UR606,尿素606,0.68,1785.0,1785.0,1782.0,1782.0,12.0,-,-,-,3,106980.0,1774.0,-,-,115.UR606,郑商所,2025-08-28 09:24:07,2025-08-27
UR607,尿素607,0.67,1802.0,1802.0,1788.0,1790.0,12.0,-,-,-,4,143440.0,1793.0,-,-,115.UR607,郑商所,2025-08-28 09:24:07,2025-08-27
l2608,塑料2608,0.66,7438.0,7438.0,7378.0,7378.0,49.0,-,-,-,2,74080.0,7390.0,-,-,114.l2608,大商所,2025-08-28 09:23:57,2025-08-27
lu2603,低硫燃油2603,0.64,3443.0,3443.0,3437.0,3440.0,22.0,-,-,-,6,206450.0,3426.0,-,-,142.lu2603,上海能源期货交易所,2025-08-28 09:24:07,2025-08-27
c2603,玉米2603,0.6,2197.0,2203.0,2188.0,2188.0,13.0,-,2.06,-,18369,403410140.0,2189.0,-,-,114.c2603,大商所,2025-08-28 09:23:54,2025-08-27
