商品,日期,今值,预测值,前值
美国国内生产总值(GDP),2008-02-28,0.6,0.7,0.6
美国国内生产总值(GDP),2008-03-27,0.6,0.6,0.6
美国国内生产总值(GDP),2008-04-30,0.6,0.2,0.6
美国国内生产总值(GDP),2008-06-26,2.7,1.0,0.9
美国国内生产总值(GDP),2008-07-31,1.9,2.0,1.0
美国国内生产总值(GDP),2008-08-28,3.3,2.6,1.9
美国国内生产总值(GDP),2008-09-26,2.8,3.3,3.3
美国国内生产总值(GDP),2008-10-30,-0.3,-0.5,2.8
美国国内生产总值(GDP),2008-11-25,-0.5,-0.5,-0.3
美国国内生产总值(GDP),2008-12-23,-0.5,-0.5,-0.5
美国国内生产总值(GDP),2009-01-30,-3.8,-5.4,-0.5
美国国内生产总值(GDP),2009-02-27,-6.2,-5.4,-3.8
美国国内生产总值(GDP),2009-03-26,-6.3,-6.6,-6.2
美国国内生产总值(GDP),2009-04-29,-6.1,-4.9,-6.3
美国国内生产总值(GDP),2009-05-29,-5.7,-5.5,-6.1
美国国内生产总值(GDP),2009-06-25,-5.5,-5.7,-5.7
美国国内生产总值(GDP),2009-07-31,-1.0,-1.3,-6.4
美国国内生产总值(GDP),2009-08-27,-1.0,-1.3,-1.0
美国国内生产总值(GDP),2009-09-30,-0.7,-1.2,-1.0
美国国内生产总值(GDP),2009-10-29,3.5,3.1,-0.7
美国国内生产总值(GDP),2009-11-24,2.8,2.9,3.5
美国国内生产总值(GDP),2009-12-22,2.2,2.8,2.8
美国国内生产总值(GDP),2010-01-29,5.7,4.5,2.2
美国国内生产总值(GDP),2010-02-26,5.9,5.6,5.7
美国国内生产总值(GDP),2010-03-26,5.6,5.9,5.9
美国国内生产总值(GDP),2010-04-30,3.2,3.3,5.6
美国国内生产总值(GDP),2010-05-27,3.0,3.3,3.2
美国国内生产总值(GDP),2010-06-25,2.7,3.0,3.0
美国国内生产总值(GDP),2010-07-30,2.4,2.5,3.7
美国国内生产总值(GDP),2010-08-27,1.6,1.4,2.4
美国国内生产总值(GDP),2010-09-30,1.7,1.6,1.6
美国国内生产总值(GDP),2010-10-29,2.0,2.0,1.7
美国国内生产总值(GDP),2010-11-23,2.5,2.4,2.0
美国国内生产总值(GDP),2010-12-22,2.6,2.7,2.5
美国国内生产总值(GDP),2011-01-28,3.2,3.6,2.6
美国国内生产总值(GDP),2011-02-25,2.8,3.3,3.2
美国国内生产总值(GDP),2011-03-25,3.1,2.9,2.8
美国国内生产总值(GDP),2011-04-28,1.8,1.7,3.1
美国国内生产总值(GDP),2011-05-26,1.8,2.2,1.8
美国国内生产总值(GDP),2011-06-24,1.9,1.9,1.8
美国国内生产总值(GDP),2011-07-29,1.3,1.7,0.4
美国国内生产总值(GDP),2011-08-26,1.0,1.1,1.3
美国国内生产总值(GDP),2011-09-29,1.3,1.2,1.0
美国国内生产总值(GDP),2011-10-27,2.5,2.4,1.3
美国国内生产总值(GDP),2011-11-22,2.0,2.5,2.5
美国国内生产总值(GDP),2011-12-22,1.8,2.0,2.0
美国国内生产总值(GDP),2012-01-27,2.8,3.0,1.8
美国国内生产总值(GDP),2012-02-29,3.0,2.8,2.8
美国国内生产总值(GDP),2012-03-29,3.0,3.0,3.0
美国国内生产总值(GDP),2012-04-27,2.2,2.5,3.0
美国国内生产总值(GDP),2012-05-31,1.9,1.9,2.2
美国国内生产总值(GDP),2012-06-28,1.9,1.9,1.9
美国国内生产总值(GDP),2012-07-27,1.5,1.5,2.0
美国国内生产总值(GDP),2012-08-29,1.7,1.7,1.5
美国国内生产总值(GDP),2012-09-27,1.3,1.7,1.7
美国国内生产总值(GDP),2012-10-26,2.0,1.9,1.3
美国国内生产总值(GDP),2012-11-29,2.7,2.8,2.0
美国国内生产总值(GDP),2012-12-20,3.1,2.8,2.7
美国国内生产总值(GDP),2013-01-30,-0.1,1.1,3.1
美国国内生产总值(GDP),2013-02-28,0.1,0.5,-0.1
美国国内生产总值(GDP),2013-03-28,0.4,0.5,0.1
美国国内生产总值(GDP),2013-04-26,2.5,3.0,0.4
美国国内生产总值(GDP),2013-05-30,2.4,2.5,2.5
美国国内生产总值(GDP),2013-06-26,1.8,2.4,2.4
美国国内生产总值(GDP),2013-07-31,1.7,1.0,1.1
美国国内生产总值(GDP),2013-08-29,2.5,2.2,1.7
美国国内生产总值(GDP),2013-09-26,2.5,2.6,2.5
美国国内生产总值(GDP),2013-11-07,2.8,2.0,2.5
美国国内生产总值(GDP),2013-12-05,3.6,3.0,2.8
美国国内生产总值(GDP),2013-12-20,4.1,3.6,3.6
美国国内生产总值(GDP),2014-01-30,3.2,3.2,4.1
美国国内生产总值(GDP),2014-02-28,2.4,2.5,3.2
美国国内生产总值(GDP),2014-03-27,2.6,2.7,2.4
美国国内生产总值(GDP),2014-04-30,0.1,1.2,2.6
美国国内生产总值(GDP),2014-05-29,-1.0,-0.5,0.1
美国国内生产总值(GDP),2014-06-25,-2.9,-1.7,-1.0
美国国内生产总值(GDP),2014-07-30,4.0,3.0,-2.1
美国国内生产总值(GDP),2014-08-28,4.2,3.9,4.0
美国国内生产总值(GDP),2014-09-26,4.6,4.6,4.2
美国国内生产总值(GDP),2014-10-30,3.5,3.0,4.6
美国国内生产总值(GDP),2014-11-25,3.9,3.3,3.5
美国国内生产总值(GDP),2014-12-23,5.0,4.3,3.9
