日期,今值,预测值,前值
2008-02-28,0.0,0.6,0.7
2008-03-27,0.6,0.6,0.6
2008-04-30,0.6,0.9,0.2
2008-06-26,0.9,1.0,1.0
2008-07-31,1.0,1.9,2.0
2008-08-28,1.9,3.3,2.6
2008-09-26,3.3,2.8,3.3
2008-10-30,2.8,-0.3,-0.5
2008-11-25,-0.3,-0.5,-0.5
2008-12-23,-0.5,-0.5,-0.5
2009-01-30,-0.5,-3.8,-5.4
2009-02-27,-3.8,-6.2,-5.4
2009-03-26,-6.2,-6.3,-6.6
2009-04-29,-6.3,-6.1,-4.9
2009-05-29,-6.1,-5.7,-5.5
2009-06-25,-5.7,-5.5,-5.7
2009-07-31,-6.4,-1.0,-1.3
2009-08-27,-1.0,-1.0,-1.3
2009-09-30,-1.0,-0.7,-1.2
2009-10-29,-0.7,3.5,3.1
2009-11-24,3.5,2.8,2.9
2009-12-22,2.8,2.2,2.8
2010-01-29,2.2,5.7,4.5
2010-02-26,5.7,5.9,5.6
2010-03-26,5.9,5.6,5.9
2010-04-30,5.6,3.2,3.3
2010-05-27,3.2,3.0,3.3
2010-06-25,3.0,3.7,3.0
2010-07-30,3.7,2.4,2.5
2010-08-27,2.4,1.6,1.4
2010-09-30,1.6,1.7,1.6
2010-10-29,1.7,2.0,2.0
2010-11-23,2.0,2.5,2.4
2010-12-22,2.5,2.6,2.7
2011-01-28,2.6,3.2,3.6
2011-02-25,3.2,2.8,3.3
2011-03-25,2.8,3.1,2.9
2011-04-28,3.1,1.8,1.7
2011-05-26,1.8,1.8,2.2
2011-06-24,1.8,0.4,1.9
2011-07-29,0.4,1.3,1.7
2011-08-26,1.3,1.0,1.1
2011-09-29,1.0,1.3,1.2
2011-10-27,1.3,2.5,2.4
2011-11-22,2.5,2.0,2.5
2011-12-22,2.0,1.8,2.0
2012-01-27,1.8,2.8,3.0
2012-02-29,2.8,3.0,2.8
2012-03-29,3.0,3.0,3.0
2012-04-27,3.0,2.2,2.5
2012-05-31,2.2,1.9,1.9
2012-06-28,1.9,2.0,1.9
2012-07-27,2.0,1.5,1.5
2012-08-29,1.5,1.7,1.7
2012-09-27,1.7,1.3,1.7
2012-10-26,1.3,2.0,1.9
2012-11-29,2.0,2.7,2.8
2012-12-20,2.7,3.1,2.8
2013-01-30,3.1,-0.1,1.1
2013-02-28,-0.1,0.1,0.5
