日期,代码,名称,今开,最新价,最高,最低,振幅
1989-12-04,OMXC20,OMX哥本哈根20,107.25,107.25,107.25,107.25,0.0
1989-12-05,OMXC20,OMX哥本哈根20,107.33,107.33,107.33,107.33,0.0
1989-12-06,OMXC20,OMX哥本哈根20,107.26,107.26,107.26,107.26,0.0
1989-12-07,OMXC20,OMX哥本哈根20,105.88,105.88,105.88,105.88,0.0
1989-12-08,OMXC20,OMX哥本哈根20,105.03,105.03,105.03,105.03,0.0
1989-12-11,OMXC20,OMX哥本哈根20,105.07,105.07,105.07,105.07,0.0
1989-12-12,OMXC20,OMX哥本哈根20,104.08,104.08,104.08,104.08,0.0
1989-12-13,OMXC20,OMX哥本哈根20,104.55,104.55,104.55,104.55,0.0
1989-12-14,OMXC20,OMX哥本哈根20,104.93,104.93,104.93,104.93,0.0
1989-12-15,OMXC20,OMX哥本哈根20,105.32,105.32,105.32,105.32,0.0
1989-12-18,OMXC20,OMX哥本哈根20,105.42,105.42,105.42,105.42,0.0
1989-12-19,OMXC20,OMX哥本哈根20,104.44,104.44,104.44,104.44,0.0
1989-12-20,OMXC20,OMX哥本哈根20,104.02,104.02,104.02,104.02,0.0
1989-12-21,OMXC20,OMX哥本哈根20,103.69,103.69,103.69,103.69,0.0
1989-12-22,OMXC20,OMX哥本哈根20,104.22,104.22,104.22,104.22,0.0
1989-12-27,OMXC20,OMX哥本哈根20,104.64,104.64,104.64,104.64,0.0
1989-12-28,OMXC20,OMX哥本哈根20,105.21,105.21,105.21,105.21,0.0
1989-12-29,OMXC20,OMX哥本哈根20,104.75,104.75,104.75,104.75,0.0
1990-01-02,OMXC20,OMX哥本哈根20,103.7,103.7,103.7,103.7,0.0
1990-01-03,OMXC20,OMX哥本哈根20,105.11,105.11,105.11,105.11,0.0
1990-01-04,OMXC20,OMX哥本哈根20,105.62,105.62,105.62,105.62,0.0
1990-01-05,OMXC20,OMX哥本哈根20,105.71,105.71,105.71,105.71,0.0
1990-01-08,OMXC20,OMX哥本哈根20,106.23,106.23,106.23,106.23,0.0
1990-01-09,OMXC20,OMX哥本哈根20,106.6,106.6,106.6,106.6,0.0
1990-01-10,OMXC20,OMX哥本哈根20,106.93,106.93,106.93,106.93,0.0
1990-01-11,OMXC20,OMX哥本哈根20,107.42,107.42,107.42,107.42,0.0
1990-01-12,OMXC20,OMX哥本哈根20,107.3,107.3,107.3,107.3,0.0
1990-01-15,OMXC20,OMX哥本哈根20,107.06,107.06,107.06,107.06,0.0
1990-01-16,OMXC20,OMX哥本哈根20,106.8,106.8,106.8,106.8,0.0
1990-01-17,OMXC20,OMX哥本哈根20,107.22,107.22,107.22,107.22,0.0
1990-01-18,OMXC20,OMX哥本哈根20,106.99,106.99,106.99,106.99,0.0
1990-01-19,OMXC20,OMX哥本哈根20,106.51,106.51,106.51,106.51,0.0
1990-01-22,OMXC20,OMX哥本哈根20,106.61,106.61,106.61,106.61,0.0
1990-01-23,OMXC20,OMX哥本哈根20,106.34,106.34,106.34,106.34,0.0
1990-01-24,OMXC20,OMX哥本哈根20,104.17,104.17,104.17,104.17,0.0
1990-01-25,OMXC20,OMX哥本哈根20,104.5,104.5,104.5,104.5,0.0
1990-01-26,OMXC20,OMX哥本哈根20,104.03,104.03,104.03,104.03,0.0
1990-01-29,OMXC20,OMX哥本哈根20,104.43,104.43,104.43,104.43,0.0
1990-01-30,OMXC20,OMX哥本哈根20,105.63,105.63,105.63,105.63,0.0
1990-01-31,OMXC20,OMX哥本哈根20,106.51,106.51,106.51,106.51,0.0
1990-02-01,OMXC20,OMX哥本哈根20,107.87,107.87,107.87,107.87,0.0
1990-02-02,OMXC20,OMX哥本哈根20,108.62,108.62,108.62,108.62,0.0
1990-02-05,OMXC20,OMX哥本哈根20,110.43,110.43,110.43,110.43,0.0
1990-02-06,OMXC20,OMX哥本哈根20,110.07,110.07,110.07,110.07,0.0
1990-02-07,OMXC20,OMX哥本哈根20,109.21,109.21,109.21,109.21,0.0
1990-02-08,OMXC20,OMX哥本哈根20,109.12,109.12,109.12,109.12,0.0
1990-02-09,OMXC20,OMX哥本哈根20,109.38,109.38,109.38,109.38,0.0
1990-02-12,OMXC20,OMX哥本哈根20,108.21,108.21,108.21,108.21,0.0
1990-02-13,OMXC20,OMX哥本哈根20,107.91,107.91,107.91,107.91,0.0
1990-02-14,OMXC20,OMX哥本哈根20,108.51,108.51,108.51,108.51,0.0
1990-02-15,OMXC20,OMX哥本哈根20,108.3,108.3,108.3,108.3,0.0
1990-02-16,OMXC20,OMX哥本哈根20,109.06,109.06,109.06,109.06,0.0
1990-02-19,OMXC20,OMX哥本哈根20,107.09,107.09,107.09,107.09,0.0
1990-02-20,OMXC20,OMX哥本哈根20,106.7,106.7,106.7,106.7,0.0
1990-02-21,OMXC20,OMX哥本哈根20,106.72,106.72,106.72,106.72,0.0
1990-02-22,OMXC20,OMX哥本哈根20,106.99,106.99,106.99,106.99,0.0
1990-02-23,OMXC20,OMX哥本哈根20,106.44,106.44,106.44,106.44,0.0
1990-02-26,OMXC20,OMX哥本哈根20,105.73,105.73,105.73,105.73,0.0
1990-02-27,OMXC20,OMX哥本哈根20,107.07,107.07,107.07,107.07,0.0
1990-02-28,OMXC20,OMX哥本哈根20,105.94,105.94,105.94,105.94,0.0
1990-03-01,OMXC20,OMX哥本哈根20,105.38,105.38,105.38,105.38,0.0
1990-03-02,OMXC20,OMX哥本哈根20,106.34,106.34,106.34,106.34,0.0
