日期,代码,名称,今开,最新价,最高,最低,振幅
1990-12-19,000001,上证指数,96.05,99.98,99.98,95.79,0.0
1990-12-20,000001,上证指数,104.3,104.39,104.39,99.98,4.41
1990-12-21,000001,上证指数,109.07,109.13,109.13,103.73,5.17
1990-12-24,000001,上证指数,113.57,114.55,114.55,109.13,4.97
1990-12-25,000001,上证指数,120.09,120.25,120.25,114.55,4.98
1990-12-26,000001,上证指数,125.27,125.27,125.27,120.25,4.17
1990-12-27,000001,上证指数,125.27,125.28,125.28,125.27,0.01
1990-12-28,000001,上证指数,126.39,126.45,126.45,125.28,0.93
1990-12-31,000001,上证指数,126.56,127.61,127.61,126.48,0.89
1991-01-02,000001,上证指数,127.61,128.84,128.84,127.61,0.96
1991-01-03,000001,上证指数,128.84,130.14,130.14,128.84,1.01
1991-01-04,000001,上证指数,131.27,131.44,131.44,130.14,1.0
1991-01-07,000001,上证指数,131.99,132.06,132.06,131.45,0.46
1991-01-08,000001,上证指数,132.62,132.68,132.68,132.06,0.47
1991-01-09,000001,上证指数,133.3,133.34,133.34,132.68,0.5
1991-01-10,000001,上证指数,133.93,133.97,133.97,133.34,0.47
1991-01-11,000001,上证指数,134.61,134.6,134.61,134.51,0.07
1991-01-14,000001,上证指数,134.11,134.67,135.19,134.11,0.8
1991-01-15,000001,上证指数,134.21,134.74,134.74,134.19,0.41
1991-01-16,000001,上证指数,134.19,134.24,134.74,134.14,0.45
1991-01-17,000001,上证指数,133.67,134.25,134.25,133.65,0.45
1991-01-18,000001,上证指数,133.7,134.24,134.25,133.67,0.43
1991-01-21,000001,上证指数,133.7,134.24,134.24,133.66,0.43
1991-01-22,000001,上证指数,133.72,133.72,134.24,133.66,0.43
1991-01-23,000001,上证指数,133.17,133.17,133.72,133.14,0.43
1991-01-24,000001,上证指数,132.61,132.61,133.17,132.57,0.45
1991-01-25,000001,上证指数,132.05,132.05,132.07,132.03,0.03
1991-01-28,000001,上证指数,131.46,131.46,131.55,131.46,0.07
1991-01-29,000001,上证指数,130.95,130.95,130.97,130.95,0.02
1991-01-30,000001,上证指数,130.44,130.44,130.95,130.41,0.41
1991-01-31,000001,上证指数,129.93,129.97,130.46,129.93,0.41
1991-02-01,000001,上证指数,129.5,129.51,129.97,129.45,0.4
1991-02-04,000001,上证指数,129.05,129.05,129.58,129.05,0.41
1991-02-05,000001,上证指数,128.56,128.58,128.58,128.53,0.04
1991-02-06,000001,上证指数,129.13,129.14,129.15,128.06,0.85
1991-02-07,000001,上证指数,129.74,129.79,129.79,129.14,0.5
1991-02-08,000001,上证指数,130.36,130.38,130.39,129.79,0.46
1991-02-11,000001,上证指数,130.92,130.97,130.97,130.39,0.44
1991-02-12,000001,上证指数,131.54,131.35,131.56,130.97,0.45
1991-02-13,000001,上证指数,131.93,131.92,131.93,131.35,0.44
1991-02-14,000001,上证指数,132.53,132.53,132.53,132.3,0.17
1991-02-19,000001,上证指数,133.12,133.13,133.14,133.08,0.05
1991-02-20,000001,上证指数,133.63,133.67,133.67,133.13,0.41
1991-02-21,000001,上证指数,134.24,134.28,134.28,133.67,0.46
1991-02-22,000001,上证指数,134.85,134.87,134.87,134.28,0.44
1991-02-25,000001,上证指数,134.37,134.4,134.87,134.33,0.4
1991-02-26,000001,上证指数,133.9,133.93,134.44,133.9,0.4
1991-02-27,000001,上证指数,133.44,133.47,133.98,133.44,0.4
1991-02-28,000001,上证指数,132.99,133.01,133.52,132.98,0.4
1991-03-01,000001,上证指数,132.53,132.53,132.53,132.47,0.05
1991-03-04,000001,上证指数,132.09,131.99,132.09,131.98,0.08
1991-03-05,000001,上证指数,131.42,131.46,131.99,131.41,0.44
1991-03-06,000001,上证指数,130.89,130.94,130.95,130.89,0.05
1991-03-07,000001,上证指数,130.41,130.41,130.94,130.41,0.4
1991-03-08,000001,上证指数,129.84,129.89,130.41,129.84,0.44
1991-03-11,000001,上证指数,129.3,129.31,129.89,129.3,0.45
1991-03-12,000001,上证指数,128.73,128.77,129.31,128.73,0.45
1991-03-13,000001,上证指数,126.13,126.15,128.77,126.13,2.05
1991-03-14,000001,上证指数,125.61,125.63,126.15,125.61,0.43
1991-03-15,000001,上证指数,125.08,125.17,125.62,125.08,0.43
1991-03-18,000001,上证指数,124.7,124.71,125.17,124.69,0.38
1991-03-19,000001,上证指数,124.23,124.22,124.71,124.22,0.39
1991-03-20,000001,上证指数,123.66,123.66,124.21,123.63,0.47
1991-03-21,000001,上证指数,123.14,123.12,123.66,123.12,0.44
1991-03-22,000001,上证指数,122.62,122.62,123.12,122.62,0.41
1991-03-25,000001,上证指数,122.12,122.12,122.62,122.1,0.42
1991-03-26,000001,上证指数,121.62,121.62,122.14,121.62,0.43
1991-03-27,000001,上证指数,121.12,121.12,121.64,121.12,0.43
1991-03-28,000001,上证指数,120.65,120.61,121.15,120.61,0.45
1991-03-29,000001,上证指数,120.16,120.19,120.61,120.11,0.41
1991-04-01,000001,上证指数,120.69,120.73,120.73,119.68,0.87
1991-04-02,000001,上证指数,121.21,121.21,121.29,120.73,0.46
1991-04-03,000001,上证指数,121.71,121.71,121.71,121.21,0.41
1991-04-04,000001,上证指数,122.2,121.72,122.2,121.24,0.79
1991-04-05,000001,上证指数,121.07,121.54,121.73,121.03,0.58
1991-04-08,000001,上证指数,121.11,121.09,121.11,121.05,0.05
1991-04-09,000001,上证指数,120.6,120.62,121.1,120.6,0.41
1991-04-10,000001,上证指数,120.15,120.16,120.62,120.09,0.44
1991-04-11,000001,上证指数,119.64,119.64,120.16,119.62,0.45
1991-04-12,000001,上证指数,119.2,119.21,119.65,119.15,0.42
1991-04-15,000001,上证指数,118.73,118.77,119.22,118.72,0.42
1991-04-16,000001,上证指数,118.36,118.34,118.77,118.34,0.36
1991-04-17,000001,上证指数,117.92,117.9,118.34,117.89,0.38
1991-04-18,000001,上证指数,117.45,117.45,117.93,117.45,0.41
1991-04-19,000001,上证指数,117.08,117.08,117.5,117.05,0.38
1991-04-22,000001,上证指数,116.63,116.63,117.08,116.58,0.43
1991-04-23,000001,上证指数,116.21,116.19,116.63,116.15,0.41
1991-04-24,000001,上证指数,115.7,115.79,116.19,115.7,0.42
1991-04-25,000001,上证指数,115.38,115.36,115.79,115.33,0.4
1991-04-26,000001,上证指数,116.31,115.56,116.31,114.52,1.55
1991-04-29,000001,上证指数,114.86,114.75,116.29,114.75,1.33
1991-04-30,000001,上证指数,113.89,113.94,114.87,113.89,0.85
1991-05-02,000001,上证指数,113.04,113.16,113.2,113.03,0.15
1991-05-03,000001,上证指数,112.46,112.41,113.17,112.3,0.77
1991-05-06,000001,上证指数,111.65,111.61,112.41,111.57,0.75
1991-05-07,000001,上证指数,110.8,110.82,110.9,110.8,0.09
1991-05-08,000001,上证指数,110.16,110.03,110.82,110.0,0.74
1991-05-09,000001,上证指数,109.36,109.29,110.12,109.29,0.75
1991-05-10,000001,上证指数,108.61,108.53,109.4,108.53,0.8
1991-05-13,000001,上证指数,107.88,107.84,107.88,107.74,0.13
1991-05-14,000001,上证指数,107.21,107.19,107.84,107.06,0.72
