日期,代码,名称,今开,最新价,最高,最低,振幅
2006-01-24,399005,中小100,1457.22,1459.2,1471.2,1446.44,0.0
2006-01-25,399005,中小100,1456.09,1430.02,1463.72,1414.45,3.38
2006-02-06,399005,中小100,1433.44,1482.33,1482.33,1433.44,3.42
2006-02-07,399005,中小100,1483.45,1463.92,1485.69,1450.15,2.4
2006-02-08,399005,中小100,1459.67,1469.49,1469.49,1446.54,1.57
2006-02-09,399005,中小100,1470.1,1465.88,1481.8,1463.44,1.25
2006-02-10,399005,中小100,1468.72,1485.81,1485.81,1467.04,1.28
2006-02-13,399005,中小100,1488.59,1508.13,1511.61,1488.59,1.55
2006-02-14,399005,中小100,1508.67,1527.94,1529.09,1506.21,1.52
2006-02-15,399005,中小100,1529.76,1516.95,1533.5,1513.07,1.34
2006-02-16,399005,中小100,1517.42,1465.3,1517.8,1461.29,3.73
2006-02-17,399005,中小100,1463.23,1440.05,1473.73,1440.05,2.3
2006-02-20,399005,中小100,1432.93,1396.42,1436.11,1395.43,2.82
2006-02-21,399005,中小100,1389.61,1434.71,1434.71,1383.95,3.64
2006-02-22,399005,中小100,1437.23,1425.01,1445.28,1423.46,1.52
2006-02-23,399005,中小100,1421.52,1413.08,1425.8,1400.0,1.81
2006-02-24,399005,中小100,1412.94,1442.34,1445.91,1412.94,2.33
2006-02-27,399005,中小100,1444.14,1423.15,1444.14,1416.23,1.94
2006-02-28,399005,中小100,1421.18,1438.8,1438.8,1402.16,2.57
2006-03-01,399005,中小100,1439.1,1472.62,1477.53,1435.53,2.92
2006-03-02,399005,中小100,1472.09,1432.5,1472.09,1424.47,3.23
2006-03-03,399005,中小100,1430.02,1439.12,1440.65,1414.39,1.83
2006-03-06,399005,中小100,1439.78,1436.7,1447.48,1429.66,1.24
2006-03-07,399005,中小100,1435.28,1391.46,1435.28,1389.87,3.16
2006-03-08,399005,中小100,1387.41,1399.76,1405.07,1377.72,1.97
2006-03-09,399005,中小100,1398.59,1394.22,1406.91,1391.04,1.13
2006-03-10,399005,中小100,1395.39,1397.12,1404.75,1389.64,1.08
2006-03-13,399005,中小100,1393.58,1404.18,1410.6,1389.03,1.54
2006-03-14,399005,中小100,1403.57,1406.65,1409.25,1398.76,0.75
2006-03-15,399005,中小100,1405.41,1429.41,1430.89,1404.3,1.89
2006-03-16,399005,中小100,1429.59,1431.95,1432.06,1419.59,0.87
2006-03-17,399005,中小100,1433.13,1424.81,1435.06,1420.22,1.04
2006-03-20,399005,中小100,1426.16,1438.36,1438.36,1413.73,1.73
2006-03-21,399005,中小100,1439.14,1443.41,1452.01,1435.13,1.17
2006-03-22,399005,中小100,1443.6,1464.01,1464.01,1438.35,1.78
2006-03-23,399005,中小100,1462.74,1488.75,1492.54,1462.74,2.04
2006-03-24,399005,中小100,1488.73,1473.56,1491.39,1469.38,1.48
2006-03-27,399005,中小100,1476.54,1491.65,1491.65,1469.75,1.49
2006-03-28,399005,中小100,1494.36,1504.69,1507.82,1490.81,1.14
2006-03-29,399005,中小100,1504.51,1510.24,1522.46,1501.68,1.38
2006-03-30,399005,中小100,1508.17,1490.96,1514.27,1489.33,1.65
2006-03-31,399005,中小100,1488.64,1506.01,1506.64,1481.98,1.65
2006-04-03,399005,中小100,1505.26,1549.4,1549.4,1505.26,2.93
2006-04-04,399005,中小100,1556.18,1578.79,1578.79,1546.1,2.11
2006-04-05,399005,中小100,1582.29,1608.92,1622.68,1582.29,2.56
2006-04-06,399005,中小100,1607.52,1597.18,1620.66,1592.9,1.73
2006-04-07,399005,中小100,1596.53,1591.73,1599.35,1575.0,1.52
2006-04-10,399005,中小100,1595.62,1627.16,1631.23,1595.62,2.24
2006-04-11,399005,中小100,1629.26,1627.91,1635.93,1617.87,1.11
2006-04-12,399005,中小100,1627.97,1627.92,1641.44,1620.78,1.27
2006-04-13,399005,中小100,1626.04,1582.75,1643.77,1582.75,3.75
2006-04-14,399005,中小100,1571.25,1631.31,1632.16,1569.84,3.94
2006-04-17,399005,中小100,1630.54,1671.56,1685.68,1622.9,3.85
2006-04-18,399005,中小100,1675.51,1653.0,1675.61,1643.02,1.95
2006-04-19,399005,中小100,1650.67,1667.84,1669.46,1630.4,2.36
2006-04-20,399005,中小100,1665.8,1654.09,1669.32,1641.11,1.69
2006-04-21,399005,中小100,1646.3,1681.9,1691.18,1626.99,3.88
2006-04-24,399005,中小100,1681.5,1642.61,1681.75,1628.49,3.17
2006-04-25,399005,中小100,1632.94,1620.86,1638.5,1602.16,2.21
2006-04-26,399005,中小100,1618.06,1678.63,1683.66,1612.81,4.37
2006-04-27,399005,中小100,1678.87,1657.68,1680.29,1644.59,2.13
2006-04-28,399005,中小100,1638.91,1723.09,1738.94,1615.52,7.45
2006-05-08,399005,中小100,1724.51,1748.23,1750.02,1724.51,1.48
2006-05-09,399005,中小100,1753.17,1813.3,1823.99,1741.95,4.69
2006-05-10,399005,中小100,1854.32,1854.92,1862.09,1820.01,2.32
2006-05-11,399005,中小100,1855.96,1843.42,1930.22,1840.3,4.85
2006-05-12,399005,中小100,1842.65,1930.06,1930.06,1834.44,5.19
2006-05-15,399005,中小100,1977.01,2033.06,2033.06,1940.86,4.78
2006-05-16,399005,中小100,2038.43,1925.15,2043.87,1918.44,6.17
2006-05-17,399005,中小100,1921.32,1922.07,1962.84,1884.14,4.09
2006-05-18,399005,中小100,1916.03,1973.59,1980.83,1881.24,5.18
2006-05-19,399005,中小100,1979.85,2107.81,2110.12,1979.85,6.6
2006-05-22,399005,中小100,2135.32,2121.52,2175.0,2110.55,3.06
2006-05-23,399005,中小100,2096.7,1972.79,2096.7,1972.79,5.84
2006-05-24,399005,中小100,1973.19,1924.74,2015.72,1888.24,6.46
2006-05-25,399005,中小100,1920.19,1957.64,1967.27,1902.88,3.35
2006-05-26,399005,中小100,1970.86,2020.9,2024.15,1966.47,2.95
2006-05-29,399005,中小100,2047.9,2063.2,2072.88,2026.35,2.3
2006-05-30,399005,中小100,2074.85,2079.22,2079.46,2030.21,2.39
2006-05-31,399005,中小100,2078.19,2085.92,2106.69,2056.79,2.4
2006-06-01,399005,中小100,2089.11,2195.07,2195.07,2089.11,5.08
2006-06-02,399005,中小100,2215.14,2225.94,2238.62,2162.7,3.46
2006-06-05,399005,中小100,2233.87,2298.22,2305.74,2233.87,3.23
2006-06-06,399005,中小100,2286.61,2210.48,2286.61,2200.43,3.75
2006-06-07,399005,中小100,2203.8,2038.09,2206.45,2038.09,7.62
2006-06-08,399005,中小100,2005.84,2067.08,2067.08,1977.47,4.4
2006-06-09,399005,中小100,2069.98,2091.36,2129.54,2043.99,4.14
2006-06-12,399005,中小100,2083.31,2141.83,2145.42,2061.39,4.02
2006-06-13,399005,中小100,2152.92,2152.21,2171.86,2133.1,1.81
2006-06-14,399005,中小100,2141.46,2156.92,2157.45,2096.55,2.83
2006-06-15,399005,中小100,2154.86,2168.74,2197.47,2144.89,2.44
2006-06-16,399005,中小100,2177.24,2232.63,2232.63,2177.24,2.55
2006-06-19,399005,中小100,2230.5,2218.65,2245.65,2202.95,1.91
2006-06-20,399005,中小100,2205.68,2240.22,2243.88,2198.68,2.04
2006-06-21,399005,中小100,2242.13,2222.55,2245.58,2215.46,1.34
2006-06-22,399005,中小100,2254.94,2192.13,2254.94,2174.12,3.64
2006-06-23,399005,中小100,2183.52,2190.48,2190.56,2153.09,1.71
2006-06-26,399005,中小100,2182.41,2213.58,2216.14,2181.93,1.56
2006-06-27,399005,中小100,2221.53,2231.56,2235.3,2201.7,1.52
2006-06-28,399005,中小100,2231.42,2226.9,2243.69,2221.13,1.01
2006-06-29,399005,中小100,2225.16,2264.38,2264.67,2225.16,1.77
2006-06-30,399005,中小100,2269.11,2231.11,2274.57,2221.32,2.35
2006-07-03,399005,中小100,2230.99,2240.58,2240.58,2220.86,0.88
2006-07-04,399005,中小100,2241.41,2223.79,2246.72,2209.17,1.68
2006-07-05,399005,中小100,2219.05,2224.11,2231.27,2192.27,1.75
2006-07-06,399005,中小100,2223.12,2285.19,2289.7,2221.54,3.06
2006-07-07,399005,中小100,2291.63,2256.15,2297.06,2247.78,2.16
2006-07-10,399005,中小100,2248.73,2279.94,2282.79,2239.92,1.9
2006-07-11,399005,中小100,2277.87,2314.49,2319.07,2266.82,2.29
2006-07-12,399005,中小100,2306.41,2289.54,2320.28,2283.89,1.57
2006-07-13,399005,中小100,2281.47,2167.15,2286.25,2149.15,5.99
2006-07-14,399005,中小100,2141.53,2186.49,2205.49,2134.05,3.3
2006-07-17,399005,中小100,2172.82,2201.12,2201.12,2157.32,2.0
2006-07-18,399005,中小100,2198.61,2196.7,2199.72,2171.02,1.3
2006-07-19,399005,中小100,2195.95,2158.76,2195.95,2123.64,3.29
2006-07-20,399005,中小100,2152.13,2170.06,2177.1,2144.04,1.53
2006-07-21,399005,中小100,2169.45,2194.9,2198.59,2167.25,1.44
2006-07-24,399005,中小100,2170.81,2181.15,2185.82,2142.61,1.97
2006-07-25,399005,中小100,2173.64,2197.73,2207.54,2173.23,1.57
2006-07-26,399005,中小100,2198.27,2187.73,2205.86,2174.91,1.41
2006-07-27,399005,中小100,2183.98,2160.9,2187.67,2143.79,2.01
2006-07-28,399005,中小100,2155.38,2123.43,2159.67,2112.76,2.17
2006-07-31,399005,中小100,2115.14,2005.56,2115.14,2005.37,5.17
2006-08-01,399005,中小100,2006.86,1988.35,2022.96,1983.27,1.98
2006-08-02,399005,中小100,1988.78,1987.39,1999.67,1950.37,2.48
2006-08-03,399005,中小100,1983.18,1963.96,1995.54,1949.38,2.32
2006-08-04,399005,中小100,1959.72,1898.85,1964.04,1898.24,3.35
2006-08-07,399005,中小100,1891.57,1868.78,1909.66,1865.91,2.3
2006-08-08,399005,中小100,1865.16,1909.42,1909.42,1865.16,2.37
2006-08-09,399005,中小100,1908.8,1901.6,1908.8,1882.81,1.36
2006-08-10,399005,中小100,1896.24,1924.53,1924.53,1893.49,1.63
2006-08-11,399005,中小100,1945.23,1954.97,1956.65,1919.68,1.92
2006-08-14,399005,中小100,1949.69,1902.57,1972.99,1897.38,3.87
