日期,代码,名称,今开,最新价,最高,最低,振幅
1997-09-22,RTS,俄罗斯RTS,100.0,100.0,100.0,100.0,0.0
1997-09-23,RTS,俄罗斯RTS,100.67,100.67,100.67,100.67,0.0
1997-09-24,RTS,俄罗斯RTS,99.94,99.94,99.94,99.94,0.0
1997-09-25,RTS,俄罗斯RTS,99.46,99.46,99.46,99.46,0.0
1997-09-26,RTS,俄罗斯RTS,98.87,98.87,98.87,98.87,0.0
1997-09-29,RTS,俄罗斯RTS,99.14,99.14,99.14,99.14,0.0
1997-09-30,RTS,俄罗斯RTS,100.16,100.16,100.16,100.16,0.0
1997-10-01,RTS,俄罗斯RTS,101.21,101.21,101.21,101.21,0.0
1997-10-02,RTS,俄罗斯RTS,105.8,105.8,105.8,105.8,0.0
1997-10-03,RTS,俄罗斯RTS,110.73,110.73,110.73,110.73,0.0
1997-10-06,RTS,俄罗斯RTS,115.03,115.03,115.03,115.03,0.0
1997-10-07,RTS,俄罗斯RTS,112.67,112.67,112.67,112.67,0.0
1997-10-08,RTS,俄罗斯RTS,112.22,112.22,112.22,112.22,0.0
1997-10-09,RTS,俄罗斯RTS,107.89,107.89,107.89,107.89,0.0
1997-10-10,RTS,俄罗斯RTS,106.56,106.56,106.56,106.56,0.0
1997-10-13,RTS,俄罗斯RTS,108.54,108.54,108.54,108.54,0.0
1997-10-14,RTS,俄罗斯RTS,111.44,111.44,111.44,111.44,0.0
1997-10-15,RTS,俄罗斯RTS,109.65,109.65,109.65,109.65,0.0
1997-10-16,RTS,俄罗斯RTS,109.68,109.68,109.68,109.68,0.0
1997-10-17,RTS,俄罗斯RTS,107.9,107.9,107.9,107.9,0.0
1997-10-20,RTS,俄罗斯RTS,107.46,107.46,107.46,107.46,0.0
1997-10-21,RTS,俄罗斯RTS,109.39,109.39,109.39,109.39,0.0
1997-10-22,RTS,俄罗斯RTS,111.19,111.19,111.19,111.19,0.0
1997-10-23,RTS,俄罗斯RTS,106.82,106.82,106.82,106.82,0.0
1997-10-24,RTS,俄罗斯RTS,105.33,105.33,105.33,105.33,0.0
1997-10-27,RTS,俄罗斯RTS,99.65,99.65,99.65,99.65,0.0
1997-10-28,RTS,俄罗斯RTS,78.91,78.91,78.91,78.91,0.0
1997-10-29,RTS,俄罗斯RTS,94.73,94.73,94.73,94.73,0.0
1997-10-30,RTS,俄罗斯RTS,85.27,85.27,85.27,85.27,0.0
1997-10-31,RTS,俄罗斯RTS,86.46,86.46,86.46,86.46,0.0
1997-11-03,RTS,俄罗斯RTS,89.34,89.34,89.34,89.34,0.0
1997-11-04,RTS,俄罗斯RTS,89.34,89.34,89.34,89.34,0.0
1997-11-05,RTS,俄罗斯RTS,88.85,88.85,88.85,88.85,0.0
1997-11-06,RTS,俄罗斯RTS,88.6,88.6,88.6,88.6,0.0
1997-11-10,RTS,俄罗斯RTS,81.77,81.77,81.77,81.77,0.0
1997-11-11,RTS,俄罗斯RTS,77.2,77.2,77.2,77.2,0.0
1997-11-12,RTS,俄罗斯RTS,71.19,71.19,71.19,71.19,0.0
1997-11-13,RTS,俄罗斯RTS,68.23,68.23,68.23,68.23,0.0
1997-11-14,RTS,俄罗斯RTS,67.42,67.42,67.42,67.42,0.0
1997-11-17,RTS,俄罗斯RTS,68.06,68.06,68.06,68.06,0.0
1997-11-18,RTS,俄罗斯RTS,72.18,72.18,72.18,72.18,0.0
1997-11-19,RTS,俄罗斯RTS,70.51,70.51,70.51,70.51,0.0
1997-11-20,RTS,俄罗斯RTS,72.58,72.58,72.58,72.58,0.0
1997-11-21,RTS,俄罗斯RTS,77.52,77.52,77.52,77.52,0.0
1997-11-24,RTS,俄罗斯RTS,74.01,74.01,74.01,74.01,0.0
1997-11-25,RTS,俄罗斯RTS,69.49,69.49,69.49,69.49,0.0
1997-11-26,RTS,俄罗斯RTS,72.65,72.65,72.65,72.65,0.0
1997-11-27,RTS,俄罗斯RTS,70.2,70.2,70.2,70.2,0.0
1997-11-28,RTS,俄罗斯RTS,67.94,67.94,67.94,67.94,0.0
1997-12-01,RTS,俄罗斯RTS,66.66,66.66,66.66,66.66,0.0
1997-12-02,RTS,俄罗斯RTS,66.7,66.7,66.7,66.7,0.0
1997-12-03,RTS,俄罗斯RTS,70.05,70.05,70.05,70.05,0.0
1997-12-04,RTS,俄罗斯RTS,74.84,74.84,74.84,74.84,0.0
1997-12-05,RTS,俄罗斯RTS,79.16,79.16,79.16,79.16,0.0
1997-12-08,RTS,俄罗斯RTS,80.27,80.27,80.27,80.27,0.0
1997-12-09,RTS,俄罗斯RTS,80.89,80.89,80.89,80.89,0.0
1997-12-10,RTS,俄罗斯RTS,76.88,76.88,76.88,76.88,0.0
1997-12-11,RTS,俄罗斯RTS,71.06,71.06,71.06,71.06,0.0
1997-12-15,RTS,俄罗斯RTS,76.13,76.13,76.13,76.13,0.0
1997-12-16,RTS,俄罗斯RTS,79.05,79.05,79.05,79.05,0.0
1997-12-17,RTS,俄罗斯RTS,81.59,81.59,81.59,81.59,0.0
1997-12-18,RTS,俄罗斯RTS,80.16,80.16,80.16,80.16,0.0
1997-12-19,RTS,俄罗斯RTS,76.39,76.39,76.39,76.39,0.0
1997-12-22,RTS,俄罗斯RTS,76.75,76.75,76.75,76.75,0.0
1997-12-23,RTS,俄罗斯RTS,79.47,79.47,79.47,79.47,0.0
1997-12-24,RTS,俄罗斯RTS,78.72,78.72,78.72,78.72,0.0
1997-12-25,RTS,俄罗斯RTS,79.91,79.91,79.91,79.91,0.0
1997-12-26,RTS,俄罗斯RTS,80.98,80.98,80.98,80.98,0.0
1997-12-29,RTS,俄罗斯RTS,83.2,83.2,83.2,83.2,0.0
1997-12-30,RTS,俄罗斯RTS,85.05,85.05,85.05,85.05,0.0
1998-01-06,RTS,俄罗斯RTS,88.97,88.97,88.97,88.97,0.0
1998-01-08,RTS,俄罗斯RTS,83.56,83.56,83.56,83.56,0.0
1998-01-09,RTS,俄罗斯RTS,81.26,81.26,81.26,81.26,0.0
1998-01-12,RTS,俄罗斯RTS,70.61,70.61,70.61,70.61,0.0
1998-01-13,RTS,俄罗斯RTS,73.34,73.34,73.34,73.34,0.0
1998-01-14,RTS,俄罗斯RTS,74.16,74.16,74.16,74.16,0.0
1998-01-15,RTS,俄罗斯RTS,70.62,70.62,70.62,70.62,0.0
1998-01-16,RTS,俄罗斯RTS,70.61,70.61,70.61,70.61,0.0
1998-01-19,RTS,俄罗斯RTS,73.4,73.4,73.4,73.4,0.0
1998-01-20,RTS,俄罗斯RTS,73.33,73.33,73.33,73.33,0.0
1998-01-21,RTS,俄罗斯RTS,71.7,71.7,71.7,71.7,0.0
1998-01-22,RTS,俄罗斯RTS,67.75,67.75,67.75,67.75,0.0
1998-01-23,RTS,俄罗斯RTS,65.98,65.98,65.98,65.98,0.0
1998-01-26,RTS,俄罗斯RTS,60.34,60.34,60.34,60.34,0.0
1998-01-27,RTS,俄罗斯RTS,62.99,62.99,62.99,62.99,0.0
1998-01-28,RTS,俄罗斯RTS,62.71,62.71,62.71,62.71,0.0
1998-01-29,RTS,俄罗斯RTS,57.95,57.95,57.95,57.95,0.0
1998-01-30,RTS,俄罗斯RTS,62.21,62.21,62.21,62.21,0.0
1998-02-02,RTS,俄罗斯RTS,67.39,67.39,67.39,67.39,0.0
1998-02-03,RTS,俄罗斯RTS,65.96,65.96,65.96,65.96,0.0
1998-02-04,RTS,俄罗斯RTS,64.1,64.1,64.1,64.1,0.0
1998-02-05,RTS,俄罗斯RTS,67.48,67.48,67.48,67.48,0.0
1998-02-06,RTS,俄罗斯RTS,70.4,70.4,70.4,70.4,0.0
1998-02-09,RTS,俄罗斯RTS,71.36,71.36,71.36,71.36,0.0
1998-02-10,RTS,俄罗斯RTS,69.71,69.71,69.71,69.71,0.0
