日期,代码,名称,今开,最新价,最高,最低,振幅
1992-12-31,ICEXI,冰岛ICEX,395.42,395.42,395.42,395.42,0.0
1993-01-04,ICEXI,冰岛ICEX,395.42,395.42,395.42,395.42,0.0
1993-01-05,ICEXI,冰岛ICEX,395.42,395.42,395.42,395.42,0.0
1993-01-06,ICEXI,冰岛ICEX,395.42,395.42,395.42,395.42,0.0
1993-01-07,ICEXI,冰岛ICEX,395.42,395.42,395.42,395.42,0.0
1993-01-08,ICEXI,冰岛ICEX,390.25,390.25,390.25,390.25,0.0
1993-01-11,ICEXI,冰岛ICEX,390.25,390.25,390.25,390.25,0.0
1993-01-12,ICEXI,冰岛ICEX,390.25,390.25,390.25,390.25,0.0
1993-01-13,ICEXI,冰岛ICEX,390.25,390.25,390.25,390.25,0.0
1993-01-14,ICEXI,冰岛ICEX,390.25,390.25,390.25,390.25,0.0
1993-01-15,ICEXI,冰岛ICEX,390.25,390.25,390.25,390.25,0.0
1993-01-18,ICEXI,冰岛ICEX,378.48,378.48,378.48,378.48,0.0
1993-01-19,ICEXI,冰岛ICEX,378.48,378.48,378.48,378.48,0.0
1993-01-20,ICEXI,冰岛ICEX,378.48,378.48,378.48,378.48,0.0
1993-01-21,ICEXI,冰岛ICEX,378.48,378.48,378.48,378.48,0.0
1993-01-22,ICEXI,冰岛ICEX,378.48,378.48,378.48,378.48,0.0
1993-01-25,ICEXI,冰岛ICEX,377.02,377.02,377.02,377.02,0.0
1993-01-26,ICEXI,冰岛ICEX,377.02,377.02,377.02,377.02,0.0
1993-01-27,ICEXI,冰岛ICEX,377.02,377.02,377.02,377.02,0.0
1993-01-28,ICEXI,冰岛ICEX,377.02,377.02,377.02,377.02,0.0
1993-01-29,ICEXI,冰岛ICEX,377.02,377.02,377.02,377.02,0.0
1993-02-01,ICEXI,冰岛ICEX,377.02,377.02,377.02,377.02,0.0
1993-02-02,ICEXI,冰岛ICEX,377.14,377.14,377.14,377.14,0.0
1993-02-03,ICEXI,冰岛ICEX,370.63,370.63,370.63,370.63,0.0
1993-02-04,ICEXI,冰岛ICEX,370.63,370.63,370.63,370.63,0.0
1993-02-05,ICEXI,冰岛ICEX,363.67,363.67,363.67,363.67,0.0
1993-02-08,ICEXI,冰岛ICEX,363.67,363.67,363.67,363.67,0.0
1993-02-09,ICEXI,冰岛ICEX,367.63,367.63,367.63,367.63,0.0
1993-02-10,ICEXI,冰岛ICEX,367.51,367.51,367.51,367.51,0.0
1993-02-11,ICEXI,冰岛ICEX,367.51,367.51,367.51,367.51,0.0
1993-02-12,ICEXI,冰岛ICEX,367.51,367.51,367.51,367.51,0.0
1993-02-15,ICEXI,冰岛ICEX,367.4,367.4,367.4,367.4,0.0
1993-02-16,ICEXI,冰岛ICEX,367.4,367.4,367.4,367.4,0.0
