日期,代码,名称,今开,最新价,最高,最低,振幅
2010-06-01,399006,创业板指,986.02,973.23,994.79,948.12,0.0
2010-06-02,399006,创业板指,967.61,997.12,997.12,952.61,4.57
2010-06-03,399006,创业板指,1002.35,998.39,1026.7,997.78,2.9
2010-06-04,399006,创业板指,989.68,1027.68,1027.68,986.5,4.12
2010-06-07,399006,创业板指,1005.03,1069.47,1075.22,1001.7,7.15
2010-06-08,399006,创业板指,1067.32,1067.15,1075.5,1050.96,2.29
2010-06-09,399006,创业板指,1070.85,1077.82,1102.1,1069.43,3.06
2010-06-10,399006,创业板指,1077.68,1117.48,1119.11,1076.28,3.97
2010-06-11,399006,创业板指,1122.44,1122.2,1128.23,1118.71,0.85
2010-06-17,399006,创业板指,1126.13,1064.84,1129.69,1064.84,5.78
2010-06-18,399006,创业板指,1052.07,1000.28,1053.14,993.17,5.63
2010-06-21,399006,创业板指,991.96,1040.8,1043.16,976.41,6.67
2010-06-22,399006,创业板指,1037.04,1034.99,1057.36,1033.65,2.28
2010-06-23,399006,创业板指,1026.86,1047.34,1056.35,1023.74,3.15
2010-06-24,399006,创业板指,1046.76,1050.6,1059.75,1041.54,1.74
2010-06-25,399006,创业板指,1046.21,1016.28,1046.21,999.16,4.48
2010-06-28,399006,创业板指,1009.22,987.83,1014.41,984.22,2.97
2010-06-29,399006,创业板指,985.57,913.31,992.23,912.54,8.07
2010-06-30,399006,创业板指,898.29,919.31,921.81,881.36,4.43
2010-07-01,399006,创业板指,914.4,882.19,921.21,882.19,4.24
2010-07-02,399006,创业板指,878.95,873.12,885.34,832.62,5.98
2010-07-05,399006,创业板指,857.37,862.27,870.86,842.73,3.22
2010-07-06,399006,创业板指,859.26,893.72,898.45,857.8,4.71
2010-07-07,399006,创业板指,896.53,908.55,908.55,890.34,2.04
2010-07-08,399006,创业板指,912.0,905.51,914.3,887.03,3.0
2010-07-09,399006,创业板指,903.5,932.15,936.53,896.89,4.38
2010-07-12,399006,创业板指,931.53,930.17,941.07,924.06,1.82
2010-07-13,399006,创业板指,924.95,931.08,936.64,906.3,3.26
2010-07-14,399006,创业板指,929.75,922.36,937.93,916.07,2.35
2010-07-15,399006,创业板指,920.05,892.56,930.55,892.56,4.12
2010-07-16,399006,创业板指,885.07,892.3,895.06,869.02,2.92
2010-07-19,399006,创业板指,881.66,908.05,910.18,878.07,3.6
2010-07-20,399006,创业板指,909.54,937.02,937.54,909.54,3.08
2010-07-21,399006,创业板指,940.1,941.25,959.04,938.16,2.23
