日期,代码,名称,今开,最新价,最高,最低,振幅
1990-01-26,TSX,加拿大S&P/TSX,3749.4,3733.8,3757.17,3720.24,0.0
1990-01-29,TSX,加拿大S&P/TSX,3733.8,3722.6,3740.85,3720.03,0.56
1990-01-30,TSX,加拿大S&P/TSX,3722.6,3707.1,3722.6,3696.62,0.7
1990-01-31,TSX,加拿大S&P/TSX,3707.1,3704.5,3708.21,3690.45,0.48
1990-02-01,TSX,加拿大S&P/TSX,3704.5,3709.1,3714.01,3699.66,0.39
1990-02-02,TSX,加拿大S&P/TSX,3709.1,3719.6,3726.6,3703.78,0.62
1990-02-05,TSX,加拿大S&P/TSX,3719.6,3767.3,3767.3,3719.6,1.28
1990-02-06,TSX,加拿大S&P/TSX,3767.3,3769.1,3778.59,3759.8,0.5
1990-02-07,TSX,加拿大S&P/TSX,3769.1,3779.3,3783.29,3758.64,0.65
1990-02-08,TSX,加拿大S&P/TSX,3779.3,3783.4,3795.34,3779.3,0.42
1990-02-09,TSX,加拿大S&P/TSX,3783.4,3777.8,3785.53,3775.69,0.26
1990-02-12,TSX,加拿大S&P/TSX,3777.8,3766.3,3779.3,3764.69,0.39
1990-02-13,TSX,加拿大S&P/TSX,3766.3,3751.9,3766.3,3744.29,0.58
1990-02-14,TSX,加拿大S&P/TSX,3751.9,3750.4,3759.98,3749.71,0.27
1990-02-15,TSX,加拿大S&P/TSX,3750.4,3732.8,3750.4,3731.8,0.5
1990-02-16,TSX,加拿大S&P/TSX,3732.8,3731.7,3743.81,3730.8,0.35
1990-02-19,TSX,加拿大S&P/TSX,3731.7,3733.8,3737.5,3731.7,0.16
1990-02-20,TSX,加拿大S&P/TSX,3716.9,3692.3,3717.83,3682.88,0.94
1990-02-21,TSX,加拿大S&P/TSX,3692.3,3672.5,3692.3,3660.03,0.87
1990-02-22,TSX,加拿大S&P/TSX,3672.5,3668.7,3684.41,3667.86,0.45
1990-02-23,TSX,加拿大S&P/TSX,3668.7,3652.6,3668.7,3646.33,0.61
1990-02-26,TSX,加拿大S&P/TSX,3652.6,3649.5,3652.6,3628.43,0.66
1990-02-27,TSX,加拿大S&P/TSX,3649.5,3660.3,3667.19,3649.5,0.48
1990-02-28,TSX,加拿大S&P/TSX,3660.3,3686.8,3692.8,3659.59,0.91
1990-03-01,TSX,加拿大S&P/TSX,3686.8,3700.2,3709.51,3682.52,0.73
1990-03-02,TSX,加拿大S&P/TSX,3700.2,3707.5,3711.06,3699.35,0.32
1990-03-05,TSX,加拿大S&P/TSX,3707.5,3712.0,3717.59,3707.5,0.27
1990-03-06,TSX,加拿大S&P/TSX,3712.0,3723.2,3723.2,3706.07,0.46
1990-03-07,TSX,加拿大S&P/TSX,3723.2,3728.7,3734.8,3723.2,0.31
1990-03-08,TSX,加拿大S&P/TSX,3728.7,3752.1,3752.1,3728.7,0.63
1990-03-09,TSX,加拿大S&P/TSX,3752.1,3733.0,3752.1,3729.84,0.59
1990-03-12,TSX,加拿大S&P/TSX,3733.0,3740.3,3740.94,3728.52,0.33
1990-03-13,TSX,加拿大S&P/TSX,3740.3,3734.1,3740.3,3723.05,0.46
1990-03-14,TSX,加拿大S&P/TSX,3734.1,3734.7,3741.66,3727.52,0.38
1990-03-15,TSX,加拿大S&P/TSX,3734.7,3757.4,3757.4,3734.7,0.61
1990-03-16,TSX,加拿大S&P/TSX,3757.4,3760.8,3773.82,3757.4,0.44
1990-03-19,TSX,加拿大S&P/TSX,3760.8,3772.2,3772.2,3749.16,0.61
1990-03-20,TSX,加拿大S&P/TSX,3772.2,3744.7,3774.18,3739.1,0.93
1990-03-21,TSX,加拿大S&P/TSX,3744.7,3735.9,3747.61,3735.84,0.31
1990-03-22,TSX,加拿大S&P/TSX,3735.9,3705.0,3735.9,3696.3,1.06
1990-03-23,TSX,加拿大S&P/TSX,3705.0,3701.5,3718.2,3696.0,0.6
1990-03-26,TSX,加拿大S&P/TSX,3701.5,3667.5,3701.5,3666.2,0.95
1990-03-27,TSX,加拿大S&P/TSX,3667.5,3678.5,3679.8,3660.9,0.52
1990-03-28,TSX,加拿大S&P/TSX,3678.5,3677.4,3688.6,3673.6,0.41
1990-03-29,TSX,加拿大S&P/TSX,3677.4,3665.9,3691.5,3663.9,0.75
1990-03-30,TSX,加拿大S&P/TSX,3665.9,3639.6,3665.9,3633.1,0.89
1990-04-02,TSX,加拿大S&P/TSX,3639.6,3612.3,3639.6,3598.3,1.13
1990-04-03,TSX,加拿大S&P/TSX,3612.3,3648.2,3650.9,3612.3,1.07
1990-04-04,TSX,加拿大S&P/TSX,3648.2,3635.0,3654.79,3634.14,0.57
1990-04-05,TSX,加拿大S&P/TSX,3635.0,3630.7,3643.77,3630.37,0.37
1990-04-06,TSX,加拿大S&P/TSX,3630.63,3632.4,3637.16,3620.64,0.46
1990-04-09,TSX,加拿大S&P/TSX,3632.4,3613.7,3632.4,3612.61,0.54
1990-04-10,TSX,加拿大S&P/TSX,3613.7,3594.9,3613.7,3590.03,0.66
1990-04-11,TSX,加拿大S&P/TSX,3594.9,3565.8,3594.9,3565.77,0.81
1990-04-12,TSX,加拿大S&P/TSX,3565.8,3561.2,3570.67,3560.25,0.29
1990-04-16,TSX,加拿大S&P/TSX,3561.2,3549.3,3568.27,3549.29,0.53
1990-04-17,TSX,加拿大S&P/TSX,3549.29,3513.4,3549.29,3505.83,1.22
1990-04-18,TSX,加拿大S&P/TSX,3513.4,3476.5,3513.4,3475.18,1.09
1990-04-19,TSX,加拿大S&P/TSX,3476.5,3410.7,3476.5,3408.36,1.96
1990-04-20,TSX,加拿大S&P/TSX,3410.7,3355.7,3413.81,3338.91,2.2
1990-04-23,TSX,加拿大S&P/TSX,3355.7,3344.1,3355.7,3331.43,0.72
1990-04-24,TSX,加拿大S&P/TSX,3344.07,3341.0,3361.88,3340.96,0.63
1990-04-25,TSX,加拿大S&P/TSX,3340.96,3343.2,3344.27,3329.13,0.45
1990-04-26,TSX,加拿大S&P/TSX,3343.2,3369.5,3370.0,3343.2,0.8
1990-04-27,TSX,加拿大S&P/TSX,3369.5,3336.1,3372.64,3336.08,1.09
1990-04-30,TSX,加拿大S&P/TSX,3336.1,3341.0,3341.0,3323.29,0.53
1990-05-01,TSX,加拿大S&P/TSX,3341.0,3334.2,3349.12,3334.13,0.45
1990-05-02,TSX,加拿大S&P/TSX,3337.3,3340.4,3340.4,3324.6,0.47
1990-05-03,TSX,加拿大S&P/TSX,3340.4,3346.7,3355.52,3340.4,0.45
1990-05-04,TSX,加拿大S&P/TSX,3346.7,3367.9,3367.9,3346.7,0.63
1990-05-07,TSX,加拿大S&P/TSX,3367.9,3421.6,3423.44,3367.9,1.65
1990-05-08,TSX,加拿大S&P/TSX,3421.6,3438.0,3438.23,3421.6,0.49
1990-05-09,TSX,加拿大S&P/TSX,3438.0,3464.1,3464.1,3430.16,0.99
1990-05-10,TSX,加拿大S&P/TSX,3464.1,3486.5,3489.6,3464.1,0.74
1990-05-11,TSX,加拿大S&P/TSX,3486.5,3535.0,3536.27,3486.5,1.43
1990-05-14,TSX,加拿大S&P/TSX,3535.0,3526.6,3557.63,3526.5,0.88
1990-05-15,TSX,加拿大S&P/TSX,3526.6,3505.4,3526.6,3500.34,0.74
1990-05-16,TSX,加拿大S&P/TSX,3505.4,3486.8,3505.4,3479.21,0.75
1990-05-17,TSX,加拿大S&P/TSX,3486.8,3509.5,3510.03,3486.8,0.67
1990-05-18,TSX,加拿大S&P/TSX,3509.5,3521.3,3521.3,3497.0,0.69
