日期,代码,名称,今开,最新价,最高,最低,振幅
1997-07-01,JKSE,印尼雅加达综合,725.03,731.62,732.52,724.99,0.0
1997-07-02,JKSE,印尼雅加达综合,731.75,730.16,734.02,727.45,0.9
1997-07-03,JKSE,印尼雅加达综合,730.48,735.49,735.49,729.56,0.81
1997-07-04,JKSE,印尼雅加达综合,735.83,736.6,736.6,733.89,0.37
1997-07-07,JKSE,印尼雅加达综合,736.62,738.01,739.83,735.77,0.55
1997-07-08,JKSE,印尼雅加达综合,738.02,740.83,741.54,737.83,0.5
1997-07-09,JKSE,印尼雅加达综合,740.94,738.14,742.95,737.06,0.8
1997-07-10,JKSE,印尼雅加达综合,738.17,729.15,738.4,724.25,1.92
1997-07-11,JKSE,印尼雅加达综合,729.44,723.42,729.52,721.33,1.12
1997-07-14,JKSE,印尼雅加达综合,723.69,722.5,725.2,719.52,0.79
1997-07-15,JKSE,印尼雅加达综合,722.67,722.21,725.12,720.1,0.69
1997-07-16,JKSE,印尼雅加达综合,723.68,723.5,725.23,721.2,0.56
1997-07-18,JKSE,印尼雅加达综合,723.55,724.0,726.49,720.93,0.77
1997-07-21,JKSE,印尼雅加达综合,724.39,712.4,724.67,710.61,1.94
1997-07-22,JKSE,印尼雅加达综合,712.67,711.44,713.84,710.15,0.52
1997-07-23,JKSE,印尼雅加达综合,711.77,718.19,718.19,711.77,0.9
1997-07-24,JKSE,印尼雅加达综合,718.54,712.05,720.58,709.82,1.5
1997-07-25,JKSE,印尼雅加达综合,712.05,710.06,712.27,707.42,0.68
1997-07-28,JKSE,印尼雅加达综合,710.5,710.82,712.3,709.32,0.42
1997-07-29,JKSE,印尼雅加达综合,710.82,716.35,716.35,710.82,0.78
1997-07-30,JKSE,印尼雅加达综合,716.43,721.98,721.98,716.32,0.79
1997-07-31,JKSE,印尼雅加达综合,722.34,721.27,724.25,717.0,1.0
1997-08-01,JKSE,印尼雅加达综合,721.5,721.77,722.22,719.06,0.44
1997-08-04,JKSE,印尼雅加达综合,721.25,718.71,721.9,717.36,0.63
1997-08-05,JKSE,印尼雅加达综合,718.8,713.88,719.93,711.25,1.21
1997-08-06,JKSE,印尼雅加达综合,713.98,699.86,714.05,695.75,2.56
1997-08-07,JKSE,印尼雅加达综合,699.86,677.84,699.86,673.72,3.74
1997-08-08,JKSE,印尼雅加达综合,677.94,675.44,684.13,671.75,1.83
1997-08-11,JKSE,印尼雅加达综合,675.44,658.17,675.44,636.39,5.78
1997-08-12,JKSE,印尼雅加达综合,658.62,662.95,667.83,647.18,3.14
1997-08-13,JKSE,印尼雅加达综合,662.34,658.6,663.55,654.19,1.41
1997-08-14,JKSE,印尼雅加达综合,658.6,643.01,660.54,638.62,3.33
1997-08-15,JKSE,印尼雅加达综合,641.91,617.71,641.91,611.62,4.71
1997-08-18,JKSE,印尼雅加达综合,617.71,599.64,617.71,565.78,8.41
1997-08-19,JKSE,印尼雅加达综合,598.9,590.53,612.21,585.59,4.44
1997-08-20,JKSE,印尼雅加达综合,590.15,593.17,595.84,589.22,1.12
1997-08-21,JKSE,印尼雅加达综合,594.81,603.06,610.31,594.81,2.61
1997-08-22,JKSE,印尼雅加达综合,602.82,574.4,602.82,570.12,5.42
1997-08-25,JKSE,印尼雅加达综合,572.41,540.93,572.41,532.72,6.91
1997-08-26,JKSE,印尼雅加达综合,540.42,554.24,556.72,517.4,7.27
1997-08-27,JKSE,印尼雅加达综合,554.24,555.46,561.25,551.98,1.67
1997-08-28,JKSE,印尼雅加达综合,554.69,530.37,554.69,528.41,4.73
1997-08-29,JKSE,印尼雅加达综合,529.07,493.96,529.07,491.91,7.01
1997-09-01,JKSE,印尼雅加达综合,493.6,485.97,499.73,484.02,3.18
1997-09-02,JKSE,印尼雅加达综合,486.53,479.01,489.95,475.47,2.98
1997-09-03,JKSE,印尼雅加达综合,485.28,512.39,513.37,485.28,5.86
1997-09-04,JKSE,印尼雅加达综合,518.4,533.87,533.87,518.4,3.02
1997-09-05,JKSE,印尼雅加达综合,540.31,594.11,594.11,540.31,10.08
1997-09-08,JKSE,印尼雅加达综合,598.53,600.31,614.87,589.98,4.19
1997-09-09,JKSE,印尼雅加达综合,606.4,598.0,615.13,593.11,3.67
1997-09-10,JKSE,印尼雅加达综合,597.79,575.02,598.6,572.76,4.32
1997-09-11,JKSE,印尼雅加达综合,574.22,556.14,574.22,554.21,3.48
1997-09-12,JKSE,印尼雅加达综合,555.31,546.64,555.31,544.14,2.01
1997-09-15,JKSE,印尼雅加达综合,547.63,550.76,554.87,547.21,1.4
