日期,代码,名称,今开,最新价,最高,最低,振幅
1990-01-01,SENSEX,印度孟买SENSEX,783.35,783.35,783.35,783.35,0.0
1990-01-02,SENSEX,印度孟买SENSEX,780.01,780.01,780.01,780.01,0.0
1990-01-03,SENSEX,印度孟买SENSEX,763.22,763.22,763.22,763.22,0.0
1990-01-04,SENSEX,印度孟买SENSEX,760.8,760.8,760.8,760.8,0.0
1990-01-05,SENSEX,印度孟买SENSEX,774.58,774.58,774.58,774.58,0.0
1990-01-08,SENSEX,印度孟买SENSEX,778.33,778.33,778.33,778.33,0.0
1990-01-09,SENSEX,印度孟买SENSEX,774.5,774.5,774.5,774.5,0.0
1990-01-10,SENSEX,印度孟买SENSEX,782.48,782.48,782.48,782.48,0.0
1990-01-11,SENSEX,印度孟买SENSEX,780.34,780.34,780.34,780.34,0.0
1990-01-15,SENSEX,印度孟买SENSEX,763.55,763.55,763.55,763.55,0.0
1990-01-16,SENSEX,印度孟买SENSEX,755.58,755.58,755.58,755.58,0.0
1990-01-17,SENSEX,印度孟买SENSEX,745.19,745.19,745.19,745.19,0.0
1990-01-18,SENSEX,印度孟买SENSEX,738.58,738.58,738.58,738.58,0.0
1990-01-19,SENSEX,印度孟买SENSEX,710.75,710.75,710.75,710.75,0.0
1990-01-22,SENSEX,印度孟买SENSEX,706.85,706.85,706.85,706.85,0.0
1990-01-23,SENSEX,印度孟买SENSEX,722.01,722.01,722.01,722.01,0.0
1990-01-24,SENSEX,印度孟买SENSEX,718.95,718.95,718.95,718.95,0.0
1990-01-25,SENSEX,印度孟买SENSEX,716.23,716.23,716.23,716.23,0.0
1990-01-30,SENSEX,印度孟买SENSEX,701.08,701.08,701.08,701.08,0.0
1990-01-31,SENSEX,印度孟买SENSEX,683.32,683.32,683.32,683.32,0.0
1990-02-01,SENSEX,印度孟买SENSEX,692.41,692.41,692.41,692.41,0.0
1990-02-02,SENSEX,印度孟买SENSEX,684.48,684.48,684.48,684.48,0.0
1990-02-06,SENSEX,印度孟买SENSEX,674.26,674.26,674.26,674.26,0.0
1990-02-07,SENSEX,印度孟买SENSEX,674.47,674.47,674.47,674.47,0.0
1990-02-08,SENSEX,印度孟买SENSEX,659.3,659.3,659.3,659.3,0.0
1990-02-12,SENSEX,印度孟买SENSEX,673.27,673.27,673.27,673.27,0.0
1990-02-13,SENSEX,印度孟买SENSEX,673.26,673.26,673.26,673.26,0.0
1990-02-14,SENSEX,印度孟买SENSEX,679.69,679.69,679.69,679.69,0.0
1990-02-15,SENSEX,印度孟买SENSEX,690.07,690.07,690.07,690.07,0.0
1990-02-16,SENSEX,印度孟买SENSEX,689.98,689.98,689.98,689.98,0.0
1990-02-19,SENSEX,印度孟买SENSEX,679.53,679.53,679.53,679.53,0.0
