日期,代码,名称,今开,最新价,最高,最低,振幅
1992-03-12,TWII,台湾加权,4984.45,4984.85,5024.99,4979.72,0.0
1992-03-13,TWII,台湾加权,5009.04,5030.62,5039.39,4998.37,0.82
1992-03-16,TWII,台湾加权,5018.37,5012.96,5044.81,4993.12,1.03
1992-03-17,TWII,台湾加权,5009.81,4890.31,5009.81,4863.77,2.91
1992-03-18,TWII,台湾加权,4863.14,4851.95,4863.14,4818.02,0.92
1992-03-19,TWII,台湾加权,4853.12,4810.23,4870.66,4803.72,1.38
1992-03-20,TWII,台湾加权,4806.6,4818.18,4830.04,4784.43,0.95
1992-03-23,TWII,台湾加权,4722.6,4685.16,4733.81,4679.58,1.13
1992-03-24,TWII,台湾加权,4703.0,4790.1,4790.2,4690.54,2.13
1992-03-25,TWII,台湾加权,4778.6,4721.25,4778.6,4717.14,1.28
1992-03-26,TWII,台湾加权,4731.52,4792.54,4809.49,4731.52,1.65
1992-03-27,TWII,台湾加权,4802.46,4817.35,4843.18,4795.87,0.99
1992-03-31,TWII,台湾加权,4851.89,4800.93,4858.41,4800.75,1.2
1992-04-01,TWII,台湾加权,4806.91,4676.48,4806.91,4660.21,3.06
1992-04-02,TWII,台湾加权,4664.54,4733.96,4733.96,4635.68,2.1
1992-04-06,TWII,台湾加权,4710.98,4652.1,4710.98,4644.91,1.4
1992-04-07,TWII,台湾加权,4642.75,4613.74,4672.35,4606.14,1.42
1992-04-08,TWII,台湾加权,4569.75,4552.46,4569.75,4519.33,1.09
1992-04-09,TWII,台湾加权,4538.27,4528.04,4573.08,4527.91,0.99
1992-04-10,TWII,台湾加权,4543.27,4563.85,4593.62,4543.27,1.11
1992-04-13,TWII,台湾加权,4475.29,4405.43,4476.52,4404.22,1.58
1992-04-14,TWII,台湾加权,4408.72,4461.98,4461.98,4382.31,1.81
1992-04-15,TWII,台湾加权,4475.98,4439.66,4495.6,4433.5,1.39
1992-04-16,TWII,台湾加权,4468.24,4538.52,4538.52,4468.24,1.58
1992-04-17,TWII,台湾加权,4526.39,4503.22,4526.39,4492.0,0.76
1992-04-20,TWII,台湾加权,4534.41,4547.74,4547.74,4510.25,0.83
1992-04-21,TWII,台湾加权,4514.81,4556.08,4556.72,4503.21,1.18
1992-04-22,TWII,台湾加权,4536.1,4505.06,4547.41,4499.89,1.04
1992-04-23,TWII,台湾加权,4484.2,4470.31,4497.56,4463.89,0.75
1992-04-24,TWII,台湾加权,4517.95,4480.12,4536.87,4474.14,1.4
1992-04-27,TWII,台湾加权,4455.24,4486.45,4486.45,4443.75,0.95
1992-04-28,TWII,台湾加权,4493.25,4523.95,4546.54,4492.18,1.21
1992-04-29,TWII,台湾加权,4532.52,4513.18,4557.93,4499.75,1.29
1992-04-30,TWII,台湾加权,4503.58,4496.18,4518.14,4482.89,0.78
1992-05-01,TWII,台湾加权,4504.31,4545.18,4545.52,4504.16,0.92
1992-05-04,TWII,台湾加权,4546.39,4539.47,4553.31,4522.35,0.68
1992-05-05,TWII,台湾加权,4558.97,4536.52,4571.2,4533.85,0.82
1992-05-06,TWII,台湾加权,4540.25,4482.25,4540.25,4470.81,1.53
1992-05-08,TWII,台湾加权,4494.81,4462.6,4502.56,4454.23,1.08
1992-05-11,TWII,台湾加权,4373.14,4268.16,4373.14,4267.31,2.37
1992-05-12,TWII,台湾加权,4267.14,4289.24,4295.64,4253.29,0.99
1992-05-13,TWII,台湾加权,4288.99,4326.37,4329.24,4279.72,1.15
1992-05-14,TWII,台湾加权,4327.54,4300.6,4359.5,4298.39,1.41
1992-05-15,TWII,台湾加权,4297.85,4292.46,4327.04,4282.95,1.03
1992-05-18,TWII,台湾加权,4385.18,4437.62,4437.62,4382.58,1.28
1992-05-19,TWII,台湾加权,4459.43,4500.81,4513.98,4447.47,1.5
1992-05-20,TWII,台湾加权,4523.6,4560.0,4564.74,4505.1,1.33
1992-05-21,TWII,台湾加权,4576.37,4563.66,4607.33,4559.29,1.05
1992-05-22,TWII,台湾加权,4576.54,4623.93,4623.93,4547.79,1.67
1992-05-25,TWII,台湾加权,4642.35,4634.33,4659.62,4602.89,1.23
1992-05-26,TWII,台湾加权,4628.73,4540.0,4640.79,4540.0,2.17
1992-05-27,TWII,台湾加权,4552.45,4541.37,4572.89,4534.06,0.86
1992-05-28,TWII,台湾加权,4538.12,4501.02,4559.97,4494.39,1.44
1992-05-29,TWII,台湾加权,4504.06,4519.27,4519.27,4484.21,0.78
1992-06-01,TWII,台湾加权,4493.56,4456.85,4503.77,4452.31,1.14
