日期,代码,名称,今开,最新价,最高,最低,振幅
1993-07-15,HSCEI,国企指数,3964.65,3964.65,3964.65,3964.65,0.0
1993-07-16,HSCEI,国企指数,3909.59,3909.59,3909.59,3909.59,0.0
1993-07-19,HSCEI,国企指数,3771.94,3771.94,3771.94,3771.94,0.0
1993-07-20,HSCEI,国企指数,3771.94,3771.94,3771.94,3771.94,0.0
1993-07-21,HSCEI,国企指数,3854.53,3854.53,3854.53,3854.53,0.0
1993-07-22,HSCEI,国企指数,3827.0,3827.0,3827.0,3827.0,0.0
1993-07-23,HSCEI,国企指数,3827.0,3827.0,3827.0,3827.0,0.0
1993-07-26,HSCEI,国企指数,3937.12,3937.12,3937.12,3937.12,0.0
1993-07-27,HSCEI,国企指数,3878.72,3878.72,3878.72,3878.72,0.0
1993-07-28,HSCEI,国企指数,3861.39,3861.39,3861.39,3861.39,0.0
1993-07-29,HSCEI,国企指数,3760.78,3760.78,3760.78,3760.78,0.0
1993-07-30,HSCEI,国企指数,3676.97,3676.97,3676.97,3676.97,0.0
1993-08-02,HSCEI,国企指数,3702.37,3702.37,3702.37,3702.37,0.0
1993-08-03,HSCEI,国企指数,3761.34,3761.34,3761.34,3761.34,0.0
1993-08-04,HSCEI,国企指数,3880.89,3880.89,3880.89,3880.89,0.0
1993-08-05,HSCEI,国企指数,4076.69,4076.69,4076.69,4076.69,0.0
1993-08-06,HSCEI,国企指数,4232.45,4232.45,4232.45,4232.45,0.0
1993-08-09,HSCEI,国企指数,4397.02,4397.02,4397.02,4397.02,0.0
1993-08-10,HSCEI,国企指数,4538.32,4538.32,4538.32,4538.32,0.0
1993-08-11,HSCEI,国企指数,4793.13,4793.13,4793.13,4793.13,0.0
1993-08-12,HSCEI,国企指数,5284.86,5284.86,5284.86,5284.86,0.0
1993-08-13,HSCEI,国企指数,5061.1,5061.1,5061.1,5061.1,0.0
1993-08-16,HSCEI,国企指数,5117.59,5117.59,5117.59,5117.59,0.0
1993-08-17,HSCEI,国企指数,4921.23,4921.23,4921.23,4921.23,0.0
1993-08-18,HSCEI,国企指数,4850.71,4850.71,4850.71,4850.71,0.0
1993-08-19,HSCEI,国企指数,4867.6,4867.6,4867.6,4867.6,0.0
1993-08-20,HSCEI,国企指数,4954.19,4954.19,4954.19,4954.19,0.0
1993-08-23,HSCEI,国企指数,4960.05,4960.05,4960.05,4960.05,0.0
1993-08-24,HSCEI,国企指数,4924.96,4924.96,4924.96,4924.96,0.0
1993-08-25,HSCEI,国企指数,4973.34,4973.34,4973.34,4973.34,0.0
1993-08-26,HSCEI,国企指数,5172.04,5172.04,5172.04,5172.04,0.0
1993-08-27,HSCEI,国企指数,5310.56,5310.56,5310.56,5310.56,0.0
1993-08-31,HSCEI,国企指数,5350.77,5350.77,5350.77,5350.77,0.0
1993-09-01,HSCEI,国企指数,5242.82,5242.82,5242.82,5242.82,0.0
1993-09-02,HSCEI,国企指数,5152.55,5152.55,5152.55,5152.55,0.0
1993-09-03,HSCEI,国企指数,5173.43,5173.43,5173.43,5173.43,0.0
1993-09-06,HSCEI,国企指数,5159.84,5159.84,5159.84,5159.84,0.0
1993-09-07,HSCEI,国企指数,5197.58,5197.58,5197.58,5197.58,0.0
1993-09-08,HSCEI,国企指数,5209.17,5209.17,5209.17,5209.17,0.0
1993-09-09,HSCEI,国企指数,5068.3,5068.3,5068.3,5068.3,0.0
1993-09-10,HSCEI,国企指数,5107.3,5107.3,5107.3,5107.3,0.0
1993-09-13,HSCEI,国企指数,5012.68,5012.68,5012.68,5012.68,0.0
1993-09-14,HSCEI,国企指数,5084.11,5084.11,5084.11,5084.11,0.0
