日期,代码,名称,今开,最新价,最高,最低,振幅
1991-11-08,MXX,墨西哥BOLSA,1418.8,1418.8,1418.8,1418.8,0.0
1991-11-11,MXX,墨西哥BOLSA,1416.9,1416.9,1416.9,1416.9,0.0
1991-11-12,MXX,墨西哥BOLSA,1445.4,1445.4,1445.4,1445.4,0.0
1991-11-13,MXX,墨西哥BOLSA,1453.4,1453.4,1453.4,1453.4,0.0
1991-11-14,MXX,墨西哥BOLSA,1459.3,1459.3,1459.3,1459.3,0.0
1991-11-15,MXX,墨西哥BOLSA,1445.6,1445.6,1445.6,1445.6,0.0
1991-11-18,MXX,墨西哥BOLSA,1415.9,1415.9,1415.9,1415.9,0.0
1991-11-19,MXX,墨西哥BOLSA,1365.1,1365.1,1365.1,1365.1,0.0
1991-11-21,MXX,墨西哥BOLSA,1387.9,1387.9,1387.9,1387.9,0.0
1991-11-22,MXX,墨西哥BOLSA,1376.2,1376.2,1376.2,1376.2,0.0
1991-11-26,MXX,墨西哥BOLSA,1365.2,1365.2,1365.2,1365.2,0.0
1991-11-27,MXX,墨西哥BOLSA,1371.6,1371.6,1371.6,1371.6,0.0
1991-11-28,MXX,墨西哥BOLSA,1377.6,1377.6,1377.6,1377.6,0.0
1991-11-29,MXX,墨西哥BOLSA,1384.2,1384.2,1384.2,1384.2,0.0
1991-12-02,MXX,墨西哥BOLSA,1375.4,1375.4,1375.4,1375.4,0.0
1991-12-03,MXX,墨西哥BOLSA,1371.2,1371.2,1371.2,1371.2,0.0
1991-12-04,MXX,墨西哥BOLSA,1371.3,1371.3,1371.3,1371.3,0.0
1991-12-05,MXX,墨西哥BOLSA,1361.2,1361.2,1361.2,1361.2,0.0
1991-12-06,MXX,墨西哥BOLSA,1360.6,1360.6,1360.6,1360.6,0.0
1991-12-09,MXX,墨西哥BOLSA,1347.1,1347.1,1347.1,1347.1,0.0
1991-12-10,MXX,墨西哥BOLSA,1304.5,1304.5,1304.5,1304.5,0.0
1991-12-11,MXX,墨西哥BOLSA,1273.2,1273.2,1273.2,1273.2,0.0
1991-12-13,MXX,墨西哥BOLSA,1325.7,1325.7,1325.7,1325.7,0.0
1991-12-16,MXX,墨西哥BOLSA,1346.8,1346.8,1346.8,1346.8,0.0
1991-12-17,MXX,墨西哥BOLSA,1347.4,1347.4,1347.4,1347.4,0.0
1991-12-18,MXX,墨西哥BOLSA,1338.4,1338.4,1338.4,1338.4,0.0
1991-12-19,MXX,墨西哥BOLSA,1332.9,1332.9,1332.9,1332.9,0.0
1991-12-20,MXX,墨西哥BOLSA,1337.3,1337.3,1337.3,1337.3,0.0
1991-12-23,MXX,墨西哥BOLSA,1364.4,1364.4,1364.4,1364.4,0.0
1991-12-30,MXX,墨西哥BOLSA,1431.5,1431.5,1431.5,1431.5,0.0
1992-01-02,MXX,墨西哥BOLSA,1444.9,1444.9,1444.9,1444.9,0.0
1992-01-03,MXX,墨西哥BOLSA,1475.2,1475.2,1475.2,1475.2,0.0
1992-01-06,MXX,墨西哥BOLSA,1472.5,1472.5,1472.5,1472.5,0.0
1992-01-07,MXX,墨西哥BOLSA,1485.4,1485.4,1485.4,1485.4,0.0
1992-01-08,MXX,墨西哥BOLSA,1515.7,1515.7,1515.7,1515.7,0.0
1992-01-09,MXX,墨西哥BOLSA,1529.6,1529.6,1529.6,1529.6,0.0
1992-01-10,MXX,墨西哥BOLSA,1524.8,1524.8,1524.8,1524.8,0.0
1992-01-13,MXX,墨西哥BOLSA,1535.0,1535.0,1535.0,1535.0,0.0
1992-01-14,MXX,墨西哥BOLSA,1564.3,1564.3,1564.3,1564.3,0.0
1992-01-15,MXX,墨西哥BOLSA,1565.4,1565.4,1565.4,1565.4,0.0
1992-01-16,MXX,墨西哥BOLSA,1583.3,1583.3,1583.3,1583.3,0.0
1992-01-17,MXX,墨西哥BOLSA,1576.1,1576.1,1576.1,1576.1,0.0
1992-01-20,MXX,墨西哥BOLSA,1574.8,1574.8,1574.8,1574.8,0.0
1992-01-21,MXX,墨西哥BOLSA,1557.1,1557.1,1557.1,1557.1,0.0
1992-01-22,MXX,墨西哥BOLSA,1564.4,1564.4,1564.4,1564.4,0.0
