日期,代码,名称,今开,最新价,最高,最低,振幅
1986-01-08,ATX,奥地利ATX,666.96,666.96,666.96,666.96,0.0
1986-01-09,ATX,奥地利ATX,669.51,669.51,669.51,669.51,0.0
1986-01-10,ATX,奥地利ATX,655.25,655.25,655.25,655.25,0.0
1986-01-14,ATX,奥地利ATX,624.47,624.47,624.47,624.47,0.0
1986-01-15,ATX,奥地利ATX,621.29,621.29,621.29,621.29,0.0
1986-01-16,ATX,奥地利ATX,620.08,620.08,620.08,620.08,0.0
1986-01-17,ATX,奥地利ATX,618.09,618.09,618.09,618.09,0.0
1986-01-21,ATX,奥地利ATX,616.31,616.31,616.31,616.31,0.0
1986-01-22,ATX,奥地利ATX,603.19,603.19,603.19,603.19,0.0
1986-01-23,ATX,奥地利ATX,599.34,599.34,599.34,599.34,0.0
1986-01-24,ATX,奥地利ATX,583.62,583.62,583.62,583.62,0.0
1986-01-28,ATX,奥地利ATX,595.12,595.12,595.12,595.12,0.0
1986-01-29,ATX,奥地利ATX,593.2,593.2,593.2,593.2,0.0
1986-01-30,ATX,奥地利ATX,597.28,597.28,597.28,597.28,0.0
1986-01-31,ATX,奥地利ATX,588.98,588.98,588.98,588.98,0.0
1986-02-03,ATX,奥地利ATX,597.05,597.05,597.05,597.05,0.0
1986-02-04,ATX,奥地利ATX,596.76,596.76,596.76,596.76,0.0
1986-02-05,ATX,奥地利ATX,592.48,592.48,592.48,592.48,0.0
1986-02-06,ATX,奥地利ATX,585.77,585.77,585.77,585.77,0.0
1986-02-07,ATX,奥地利ATX,590.18,590.18,590.18,590.18,0.0
1986-02-10,ATX,奥地利ATX,588.88,588.88,588.88,588.88,0.0
1986-02-11,ATX,奥地利ATX,589.72,589.72,589.72,589.72,0.0
1986-02-12,ATX,奥地利ATX,595.65,595.65,595.65,595.65,0.0
1986-02-13,ATX,奥地利ATX,590.21,590.21,590.21,590.21,0.0
1986-02-14,ATX,奥地利ATX,589.69,589.69,589.69,589.69,0.0
1986-02-17,ATX,奥地利ATX,591.93,591.93,591.93,591.93,0.0
1986-02-18,ATX,奥地利ATX,592.24,592.24,592.24,592.24,0.0
1986-02-19,ATX,奥地利ATX,593.22,593.22,593.22,593.22,0.0
1986-02-20,ATX,奥地利ATX,600.46,600.46,600.46,600.46,0.0
1986-02-21,ATX,奥地利ATX,609.0,609.0,609.0,609.0,0.0
1986-02-24,ATX,奥地利ATX,615.07,615.07,615.07,615.07,0.0
1986-02-25,ATX,奥地利ATX,613.53,613.53,613.53,613.53,0.0
1986-02-26,ATX,奥地利ATX,612.62,612.62,612.62,612.62,0.0
1986-02-27,ATX,奥地利ATX,612.74,612.74,612.74,612.74,0.0
1986-02-28,ATX,奥地利ATX,610.74,610.74,610.74,610.74,0.0
1986-03-03,ATX,奥地利ATX,610.25,610.25,610.25,610.25,0.0
1986-03-04,ATX,奥地利ATX,610.26,610.26,610.26,610.26,0.0
1986-03-05,ATX,奥地利ATX,609.98,609.98,609.98,609.98,0.0
