日期,代码,名称,今开,最新价,最高,最低,振幅
2018-11-26,AXX,富时AIM全股,924.33,931.36,931.36,924.33,0.0
2018-11-27,AXX,富时AIM全股,932.84,925.2,932.84,924.45,0.9
2018-11-28,AXX,富时AIM全股,924.26,930.07,930.72,923.59,0.77
2018-11-29,AXX,富时AIM全股,929.08,932.39,937.43,929.08,0.9
2018-11-30,AXX,富时AIM全股,933.19,930.17,933.87,928.34,0.59
2018-12-03,AXX,富时AIM全股,932.74,938.27,942.18,932.74,1.01
2018-12-04,AXX,富时AIM全股,937.9,922.17,937.9,921.24,1.78
2018-12-05,AXX,富时AIM全股,919.85,911.31,919.85,911.31,0.93
2018-12-06,AXX,富时AIM全股,911.36,889.89,911.45,889.89,2.37
2018-12-07,AXX,富时AIM全股,891.82,896.76,898.97,891.12,0.88
2018-12-10,AXX,富时AIM全股,897.9,885.71,897.9,885.71,1.36
2018-12-11,AXX,富时AIM全股,886.81,886.21,888.6,881.91,0.76
2018-12-12,AXX,富时AIM全股,886.2,888.85,888.85,884.61,0.48
2018-12-13,AXX,富时AIM全股,889.58,888.88,892.08,887.37,0.53
2018-12-14,AXX,富时AIM全股,887.77,887.05,887.77,884.02,0.42
2018-12-17,AXX,富时AIM全股,885.05,860.37,888.45,858.89,3.33
2018-12-18,AXX,富时AIM全股,859.57,852.39,859.57,852.04,0.88
2018-12-19,AXX,富时AIM全股,852.24,857.24,858.78,851.89,0.81
2018-12-20,AXX,富时AIM全股,853.14,848.4,853.14,847.98,0.6
2018-12-21,AXX,富时AIM全股,850.59,849.78,850.79,846.56,0.5
2018-12-24,AXX,富时AIM全股,848.65,845.8,849.15,845.58,0.42
2018-12-27,AXX,富时AIM全股,846.61,842.4,855.7,841.56,1.67
2018-12-28,AXX,富时AIM全股,843.88,850.54,850.94,843.88,0.84
2018-12-31,AXX,富时AIM全股,851.2,858.61,858.61,851.2,0.87
2019-01-02,AXX,富时AIM全股,857.8,860.31,860.55,854.18,0.74
2019-01-03,AXX,富时AIM全股,860.34,861.85,864.8,860.34,0.52
2019-01-04,AXX,富时AIM全股,861.15,874.37,874.85,861.15,1.59
2019-01-07,AXX,富时AIM全股,876.0,887.46,888.05,876.0,1.38
2019-01-08,AXX,富时AIM全股,887.5,891.96,893.52,885.89,0.86
2019-01-09,AXX,富时AIM全股,893.01,903.63,904.68,893.01,1.31
2019-01-10,AXX,富时AIM全股,903.48,907.73,908.9,903.48,0.6
2019-01-11,AXX,富时AIM全股,909.97,910.2,912.42,907.85,0.5
2019-01-14,AXX,富时AIM全股,910.29,903.9,910.29,903.66,0.73
2019-01-15,AXX,富时AIM全股,906.03,900.28,907.48,897.13,1.15
2019-01-16,AXX,富时AIM全股,899.12,905.15,905.58,899.12,0.72
2019-01-17,AXX,富时AIM全股,904.63,904.47,907.47,903.37,0.45
2019-01-18,AXX,富时AIM全股,904.76,913.67,914.9,904.43,1.16
2019-01-21,AXX,富时AIM全股,914.8,914.56,914.8,911.84,0.32
2019-01-22,AXX,富时AIM全股,912.99,910.66,915.97,910.66,0.58
2019-01-23,AXX,富时AIM全股,910.65,906.98,910.65,905.94,0.52
2019-01-24,AXX,富时AIM全股,910.22,916.65,918.46,908.05,1.15
2019-01-25,AXX,富时AIM全股,912.66,911.82,915.11,911.07,0.44
2019-01-28,AXX,富时AIM全股,910.11,911.64,915.25,910.11,0.56
2019-01-29,AXX,富时AIM全股,912.16,908.91,912.2,908.8,0.37
2019-01-30,AXX,富时AIM全股,909.51,912.05,913.25,909.51,0.41
2019-01-31,AXX,富时AIM全股,913.39,919.14,919.14,910.48,0.95
2019-02-01,AXX,富时AIM全股,918.77,921.83,923.48,918.77,0.51
2019-02-04,AXX,富时AIM全股,923.67,922.21,923.67,919.41,0.46
2019-02-05,AXX,富时AIM全股,921.54,925.14,926.17,921.54,0.5
2019-02-06,AXX,富时AIM全股,924.89,924.13,925.49,922.48,0.33
2019-02-07,AXX,富时AIM全股,922.53,911.94,922.53,911.94,1.15
2019-02-08,AXX,富时AIM全股,912.87,904.91,912.87,904.91,0.87
2019-02-11,AXX,富时AIM全股,905.52,905.38,909.21,905.3,0.43
2019-02-12,AXX,富时AIM全股,904.63,908.29,909.02,904.63,0.48
2019-02-13,AXX,富时AIM全股,907.57,910.48,911.91,906.45,0.6
2019-02-14,AXX,富时AIM全股,909.03,911.66,915.52,909.03,0.71
2019-02-15,AXX,富时AIM全股,913.21,907.59,913.21,907.59,0.62
2019-02-18,AXX,富时AIM全股,908.84,908.13,910.83,907.31,0.39
2019-02-19,AXX,富时AIM全股,908.57,906.99,909.54,906.31,0.36
2019-02-20,AXX,富时AIM全股,907.37,910.14,910.57,905.44,0.57
2019-02-21,AXX,富时AIM全股,911.7,908.85,913.9,907.31,0.72
2019-02-22,AXX,富时AIM全股,907.99,910.09,910.43,907.81,0.29
2019-02-25,AXX,富时AIM全股,912.13,912.66,913.56,909.42,0.45
2019-02-26,AXX,富时AIM全股,912.87,913.04,913.04,908.94,0.45
2019-02-27,AXX,富时AIM全股,907.93,906.42,911.24,905.09,0.67
2019-02-28,AXX,富时AIM全股,907.59,909.34,909.34,904.4,0.55
2019-03-01,AXX,富时AIM全股,908.99,915.82,915.87,908.99,0.76
2019-03-04,AXX,富时AIM全股,918.09,915.29,919.92,915.27,0.51
2019-03-05,AXX,富时AIM全股,917.35,915.78,917.35,911.86,0.6
2019-03-06,AXX,富时AIM全股,914.69,916.56,918.62,914.69,0.43
2019-03-07,AXX,富时AIM全股,915.48,909.86,917.43,908.31,1.0
2019-03-08,AXX,富时AIM全股,909.66,904.68,909.66,904.68,0.55
2019-03-11,AXX,富时AIM全股,907.28,908.0,909.15,906.75,0.27
