日期,代码,名称,今开,最新价,最高,最低,振幅
1997-12-31,MIB,富时意大利MIB,24402.0,24402.0,24402.0,24402.0,0.0
1998-01-02,MIB,富时意大利MIB,24914.0,24914.0,24914.0,24914.0,0.0
1998-01-05,MIB,富时意大利MIB,25734.0,25734.0,25734.0,25734.0,0.0
1998-01-07,MIB,富时意大利MIB,25961.0,25961.0,25961.0,25961.0,0.0
1998-01-08,MIB,富时意大利MIB,25675.0,25675.0,25675.0,25675.0,0.0
1998-01-09,MIB,富时意大利MIB,25773.0,25773.0,25773.0,25773.0,0.0
1998-01-12,MIB,富时意大利MIB,25731.0,25731.0,25731.0,25731.0,0.0
1998-01-13,MIB,富时意大利MIB,26066.0,26066.0,26066.0,26066.0,0.0
1998-01-14,MIB,富时意大利MIB,26219.0,26219.0,26219.0,26219.0,0.0
1998-01-15,MIB,富时意大利MIB,26300.0,26300.0,26300.0,26300.0,0.0
1998-01-16,MIB,富时意大利MIB,26683.0,26683.0,26683.0,26683.0,0.0
1998-01-19,MIB,富时意大利MIB,26381.0,26381.0,26381.0,26381.0,0.0
1998-01-20,MIB,富时意大利MIB,26803.0,26803.0,26803.0,26803.0,0.0
1998-01-21,MIB,富时意大利MIB,26483.0,26483.0,26483.0,26483.0,0.0
1998-01-22,MIB,富时意大利MIB,26703.0,26703.0,26703.0,26703.0,0.0
1998-01-23,MIB,富时意大利MIB,26368.0,26368.0,26368.0,26368.0,0.0
1998-01-26,MIB,富时意大利MIB,26500.0,26500.0,26500.0,26500.0,0.0
1998-01-27,MIB,富时意大利MIB,26754.0,26754.0,26754.0,26754.0,0.0
1998-01-28,MIB,富时意大利MIB,26966.0,26966.0,26966.0,26966.0,0.0
1998-01-29,MIB,富时意大利MIB,27191.0,27191.0,27191.0,27191.0,0.0
1998-01-30,MIB,富时意大利MIB,27549.0,27549.0,27549.0,27549.0,0.0
1998-02-02,MIB,富时意大利MIB,27737.0,27737.0,27737.0,27737.0,0.0
1998-02-03,MIB,富时意大利MIB,27525.0,27525.0,27525.0,27525.0,0.0
1998-02-04,MIB,富时意大利MIB,27920.0,27920.0,27920.0,27920.0,0.0
1998-02-05,MIB,富时意大利MIB,28206.0,28206.0,28206.0,28206.0,0.0
1998-02-06,MIB,富时意大利MIB,28389.0,28389.0,28389.0,28389.0,0.0
1998-02-09,MIB,富时意大利MIB,28267.0,28267.0,28267.0,28267.0,0.0
1998-02-10,MIB,富时意大利MIB,28708.0,28708.0,28708.0,28708.0,0.0
1998-02-11,MIB,富时意大利MIB,28923.0,28923.0,28923.0,28923.0,0.0
1998-02-12,MIB,富时意大利MIB,28464.0,28464.0,28464.0,28464.0,0.0
1998-02-13,MIB,富时意大利MIB,28477.0,28477.0,28477.0,28477.0,0.0
1998-02-16,MIB,富时意大利MIB,28613.0,28613.0,28613.0,28613.0,0.0
1998-02-17,MIB,富时意大利MIB,28945.0,28945.0,28945.0,28945.0,0.0
1998-02-18,MIB,富时意大利MIB,28701.0,28701.0,28701.0,28701.0,0.0
1998-02-19,MIB,富时意大利MIB,28247.0,28247.0,28247.0,28247.0,0.0
1998-02-20,MIB,富时意大利MIB,27847.0,27847.0,27847.0,27847.0,0.0
1998-02-23,MIB,富时意大利MIB,27759.0,27759.0,27759.0,27759.0,0.0
1998-02-24,MIB,富时意大利MIB,27774.0,27774.0,27774.0,27774.0,0.0
1998-02-25,MIB,富时意大利MIB,28564.0,28564.0,28564.0,28564.0,0.0
1998-02-26,MIB,富时意大利MIB,28591.0,28591.0,28591.0,28591.0,0.0
1998-02-27,MIB,富时意大利MIB,28542.0,28542.0,28542.0,28542.0,0.0
1998-03-02,MIB,富时意大利MIB,29299.0,29299.0,29299.0,29299.0,0.0
1998-03-03,MIB,富时意大利MIB,29431.0,29431.0,29431.0,29431.0,0.0
1998-03-04,MIB,富时意大利MIB,29262.0,29262.0,29262.0,29262.0,0.0
1998-03-05,MIB,富时意大利MIB,29414.0,29414.0,29414.0,29414.0,0.0
1998-03-06,MIB,富时意大利MIB,29846.0,29846.0,29846.0,29846.0,0.0
1998-03-09,MIB,富时意大利MIB,30282.0,30282.0,30282.0,30282.0,0.0
1998-03-10,MIB,富时意大利MIB,30426.0,30426.0,30426.0,30426.0,0.0
1998-03-11,MIB,富时意大利MIB,30424.0,30424.0,30424.0,30424.0,0.0
