日期,代码,名称,今开,最新价,最高,最低,振幅
1999-08-31,STI,富时新加坡海峡时报,2185.45,2185.45,2185.45,2185.45,0.0
1999-09-01,STI,富时新加坡海峡时报,2184.44,2184.44,2184.44,2184.44,0.0
1999-09-02,STI,富时新加坡海峡时报,2185.97,2185.97,2185.97,2185.97,0.0
1999-09-03,STI,富时新加坡海峡时报,2160.39,2160.39,2160.39,2160.39,0.0
1999-09-06,STI,富时新加坡海峡时报,2163.86,2163.86,2163.86,2163.86,0.0
1999-09-07,STI,富时新加坡海峡时报,2175.52,2175.52,2175.52,2175.52,0.0
1999-09-08,STI,富时新加坡海峡时报,2167.47,2167.47,2167.47,2167.47,0.0
1999-09-09,STI,富时新加坡海峡时报,2215.27,2215.27,2215.27,2215.27,0.0
1999-09-10,STI,富时新加坡海峡时报,2219.54,2219.54,2219.54,2219.54,0.0
1999-09-13,STI,富时新加坡海峡时报,2224.02,2224.02,2224.02,2224.02,0.0
1999-09-14,STI,富时新加坡海峡时报,2217.07,2217.07,2217.07,2217.07,0.0
1999-09-15,STI,富时新加坡海峡时报,2183.66,2183.66,2183.66,2183.66,0.0
1999-09-16,STI,富时新加坡海峡时报,2148.04,2148.04,2148.04,2148.04,0.0
1999-09-17,STI,富时新加坡海峡时报,2184.31,2184.31,2184.31,2184.31,0.0
1999-09-20,STI,富时新加坡海峡时报,2162.66,2162.66,2162.66,2162.66,0.0
1999-09-21,STI,富时新加坡海峡时报,2139.73,2139.73,2139.73,2139.73,0.0
1999-09-22,STI,富时新加坡海峡时报,2098.78,2098.78,2098.78,2098.78,0.0
1999-09-23,STI,富时新加坡海峡时报,2104.48,2104.48,2104.48,2104.48,0.0
1999-09-24,STI,富时新加坡海峡时报,2057.43,2057.43,2057.43,2057.43,0.0
1999-09-27,STI,富时新加坡海峡时报,2027.9,2027.9,2027.9,2027.9,0.0
1999-09-28,STI,富时新加坡海峡时报,2080.61,2080.61,2080.61,2080.61,0.0
1999-09-29,STI,富时新加坡海峡时报,2069.89,2069.89,2069.89,2069.89,0.0
1999-09-30,STI,富时新加坡海峡时报,2074.68,2074.68,2074.68,2074.68,0.0
1999-10-01,STI,富时新加坡海峡时报,2111.9,2111.9,2111.9,2111.9,0.0
1999-10-04,STI,富时新加坡海峡时报,2103.85,2103.85,2103.85,2103.85,0.0
1999-10-05,STI,富时新加坡海峡时报,2124.04,2124.04,2124.04,2124.04,0.0
1999-10-06,STI,富时新加坡海峡时报,2170.98,2170.98,2170.98,2170.98,0.0
1999-10-07,STI,富时新加坡海峡时报,2183.08,2183.08,2183.08,2183.08,0.0
1999-10-08,STI,富时新加坡海峡时报,2176.81,2176.81,2176.81,2176.81,0.0
1999-10-11,STI,富时新加坡海峡时报,2197.65,2197.65,2197.65,2197.65,0.0
1999-10-12,STI,富时新加坡海峡时报,2184.83,2184.83,2184.83,2184.83,0.0
1999-10-13,STI,富时新加坡海峡时报,2162.21,2162.21,2162.21,2162.21,0.0
1999-10-14,STI,富时新加坡海峡时报,2177.13,2177.13,2177.13,2177.13,0.0
1999-10-15,STI,富时新加坡海峡时报,2122.2,2122.2,2122.2,2122.2,0.0
1999-10-18,STI,富时新加坡海峡时报,2045.03,2045.03,2045.03,2045.03,0.0
1999-10-19,STI,富时新加坡海峡时报,2020.77,2020.77,2020.77,2020.77,0.0
1999-10-20,STI,富时新加坡海峡时报,2065.78,2065.78,2065.78,2065.78,0.0
1999-10-21,STI,富时新加坡海峡时报,2052.89,2052.89,2052.89,2052.89,0.0
1999-10-22,STI,富时新加坡海峡时报,2053.13,2053.13,2053.13,2053.13,0.0
1999-10-25,STI,富时新加坡海峡时报,2055.67,2055.67,2055.67,2055.67,0.0
1999-10-26,STI,富时新加坡海峡时报,2060.98,2060.98,2060.98,2060.98,0.0
1999-10-27,STI,富时新加坡海峡时报,2053.15,2053.15,2053.15,2053.15,0.0
1999-10-28,STI,富时新加坡海峡时报,2057.91,2057.91,2057.91,2057.91,0.0
1999-10-29,STI,富时新加坡海峡时报,2107.83,2107.83,2107.83,2107.83,0.0
1999-11-01,STI,富时新加坡海峡时报,2127.38,2127.38,2127.38,2127.38,0.0
1999-11-02,STI,富时新加坡海峡时报,2110.25,2110.25,2110.25,2110.25,0.0
1999-11-03,STI,富时新加坡海峡时报,2155.25,2155.25,2155.25,2155.25,0.0
1999-11-04,STI,富时新加坡海峡时报,2170.76,2170.76,2170.76,2170.76,0.0
1999-11-05,STI,富时新加坡海峡时报,2175.52,2175.52,2175.52,2175.52,0.0
1999-11-09,STI,富时新加坡海峡时报,2199.31,2199.31,2199.31,2199.31,0.0
1999-11-10,STI,富时新加坡海峡时报,2211.28,2211.28,2211.28,2211.28,0.0
1999-11-11,STI,富时新加坡海峡时报,2232.92,2232.92,2232.92,2232.92,0.0
1999-11-12,STI,富时新加坡海峡时报,2243.19,2243.19,2243.19,2243.19,0.0
1999-11-15,STI,富时新加坡海峡时报,2263.92,2263.92,2263.92,2263.92,0.0
1999-11-16,STI,富时新加坡海峡时报,2273.93,2273.93,2273.93,2273.93,0.0
1999-11-17,STI,富时新加坡海峡时报,2285.68,2285.68,2285.68,2285.68,0.0
1999-11-18,STI,富时新加坡海峡时报,2278.05,2278.05,2278.05,2278.05,0.0
1999-11-19,STI,富时新加坡海峡时报,2282.88,2282.88,2282.88,2282.88,0.0
