日期,代码,名称,今开,最新价,最高,最低,振幅
1992-04-13,KLSE,富时马来西亚KLCI,571.82,567.51,574.35,567.51,0.0
1992-04-14,KLSE,富时马来西亚KLCI,567.55,564.51,568.71,564.36,0.77
1992-04-15,KLSE,富时马来西亚KLCI,566.53,568.19,568.63,566.41,0.39
1992-04-16,KLSE,富时马来西亚KLCI,570.11,575.83,575.83,570.11,1.01
1992-04-17,KLSE,富时马来西亚KLCI,575.95,575.75,576.58,575.75,0.14
1992-04-20,KLSE,富时马来西亚KLCI,575.52,572.46,575.54,572.46,0.53
1992-04-21,KLSE,富时马来西亚KLCI,572.48,572.57,572.57,570.99,0.28
1992-04-22,KLSE,富时马来西亚KLCI,572.49,573.95,574.31,572.32,0.35
1992-04-23,KLSE,富时马来西亚KLCI,573.82,582.9,582.9,573.82,1.58
1992-04-24,KLSE,富时马来西亚KLCI,583.59,583.71,585.38,583.58,0.31
1992-04-27,KLSE,富时马来西亚KLCI,583.64,581.02,583.64,581.02,0.45
1992-04-28,KLSE,富时马来西亚KLCI,580.88,583.62,583.62,580.65,0.51
1992-04-29,KLSE,富时马来西亚KLCI,583.51,585.12,585.33,583.4,0.33
1992-04-30,KLSE,富时马来西亚KLCI,585.64,591.63,591.63,585.64,1.02
1992-05-04,KLSE,富时马来西亚KLCI,591.52,597.47,597.47,591.52,1.01
1992-05-05,KLSE,富时马来西亚KLCI,600.32,603.02,605.41,600.32,0.85
1992-05-06,KLSE,富时马来西亚KLCI,604.39,604.46,604.61,601.82,0.46
1992-05-07,KLSE,富时马来西亚KLCI,604.2,603.56,604.28,601.71,0.43
1992-05-08,KLSE,富时马来西亚KLCI,603.22,605.71,605.71,602.84,0.48
1992-05-11,KLSE,富时马来西亚KLCI,605.73,603.97,606.37,603.22,0.52
1992-05-12,KLSE,富时马来西亚KLCI,604.07,603.31,606.26,603.31,0.49
1992-05-13,KLSE,富时马来西亚KLCI,603.07,598.65,603.07,597.33,0.95
1992-05-14,KLSE,富时马来西亚KLCI,598.62,593.03,598.62,593.03,0.93
1992-05-15,KLSE,富时马来西亚KLCI,592.79,590.34,593.03,590.34,0.45
1992-05-19,KLSE,富时马来西亚KLCI,590.64,590.91,591.38,590.12,0.21
1992-05-20,KLSE,富时马来西亚KLCI,591.51,594.09,594.51,591.51,0.51
1992-05-21,KLSE,富时马来西亚KLCI,594.19,592.86,596.23,591.65,0.77
1992-05-22,KLSE,富时马来西亚KLCI,592.6,592.48,593.37,590.67,0.46
1992-05-25,KLSE,富时马来西亚KLCI,592.51,591.93,592.76,591.02,0.29
1992-05-26,KLSE,富时马来西亚KLCI,591.88,592.52,592.52,588.8,0.63
1992-05-27,KLSE,富时马来西亚KLCI,592.5,591.2,592.5,590.44,0.35
1992-05-28,KLSE,富时马来西亚KLCI,591.23,600.17,600.17,591.23,1.51
1992-05-29,KLSE,富时马来西亚KLCI,599.93,589.09,599.93,589.09,1.81
1992-06-01,KLSE,富时马来西亚KLCI,588.46,585.33,588.46,584.39,0.69
1992-06-02,KLSE,富时马来西亚KLCI,585.28,586.74,588.01,584.05,0.68
1992-06-03,KLSE,富时马来西亚KLCI,586.88,588.43,588.74,586.88,0.32
1992-06-04,KLSE,富时马来西亚KLCI,588.55,586.23,588.65,586.21,0.41
1992-06-05,KLSE,富时马来西亚KLCI,587.47,587.16,587.82,585.65,0.37
1992-06-08,KLSE,富时马来西亚KLCI,587.02,585.39,587.81,585.11,0.46
1992-06-09,KLSE,富时马来西亚KLCI,585.49,584.67,586.96,584.67,0.39
1992-06-10,KLSE,富时马来西亚KLCI,585.26,589.52,589.52,584.96,0.78
1992-06-12,KLSE,富时马来西亚KLCI,589.88,590.55,591.75,588.76,0.51
1992-06-15,KLSE,富时马来西亚KLCI,590.53,600.17,600.3,590.53,1.65
1992-06-16,KLSE,富时马来西亚KLCI,602.09,602.15,604.68,602.09,0.43
1992-06-17,KLSE,富时马来西亚KLCI,602.44,603.19,603.19,601.68,0.25
1992-06-18,KLSE,富时马来西亚KLCI,601.44,596.5,601.44,595.95,0.91
1992-06-19,KLSE,富时马来西亚KLCI,596.68,596.58,597.31,595.5,0.3
1992-06-22,KLSE,富时马来西亚KLCI,596.57,594.05,596.57,592.98,0.6
1992-06-23,KLSE,富时马来西亚KLCI,594.09,593.52,594.09,590.91,0.54
1992-06-24,KLSE,富时马来西亚KLCI,593.79,594.0,595.6,593.79,0.3
