日期,代码,名称,今开,最新价,最高,最低,振幅
2013-06-27,KSE100,巴基斯坦卡拉奇,20959.64,21015.34,21211.61,20959.64,0.0
2013-06-28,KSE100,巴基斯坦卡拉奇,21054.06,21005.69,21171.47,20854.42,1.51
2013-07-01,KSE100,巴基斯坦卡拉奇,20942.34,21363.16,21381.62,20942.34,2.09
2013-07-02,KSE100,巴基斯坦卡拉奇,21400.75,21644.17,21724.01,21400.75,1.51
2013-07-03,KSE100,巴基斯坦卡拉奇,21646.04,21802.86,21828.53,21636.15,0.89
2013-07-04,KSE100,巴基斯坦卡拉奇,21857.59,21966.96,22110.42,21853.18,1.18
2013-07-05,KSE100,巴基斯坦卡拉奇,22027.7,22178.34,22237.44,22027.7,0.95
2013-07-08,KSE100,巴基斯坦卡拉奇,22216.44,22365.72,22397.43,22216.44,0.82
2013-07-09,KSE100,巴基斯坦卡拉奇,22375.13,22721.22,22757.93,22375.13,1.71
2013-07-10,KSE100,巴基斯坦卡拉奇,22722.89,22984.94,23074.85,22648.15,1.88
2013-07-11,KSE100,巴基斯坦卡拉奇,23016.69,22747.13,23049.65,22713.32,1.46
2013-07-12,KSE100,巴基斯坦卡拉奇,22776.15,23037.32,23070.85,22772.14,1.31
2013-07-15,KSE100,巴基斯坦卡拉奇,23133.04,23172.35,23388.68,23125.32,1.14
2013-07-16,KSE100,巴基斯坦卡拉奇,23225.09,23160.89,23264.0,23100.45,0.71
2013-07-17,KSE100,巴基斯坦卡拉奇,23159.41,22994.72,23320.35,22928.81,1.69
2013-07-18,KSE100,巴基斯坦卡拉奇,22996.04,23114.97,23156.75,22899.58,1.12
2013-07-19,KSE100,巴基斯坦卡拉奇,23136.88,23428.93,23464.11,23136.88,1.42
2013-07-22,KSE100,巴基斯坦卡拉奇,23545.68,23657.81,23760.7,23487.48,1.17
2013-07-23,KSE100,巴基斯坦卡拉奇,23686.39,23683.27,23717.31,23573.53,0.61
2013-07-24,KSE100,巴基斯坦卡拉奇,23709.8,23776.22,23944.99,23707.42,1.0
2013-07-25,KSE100,巴基斯坦卡拉奇,23838.48,23573.68,23869.67,23549.61,1.35
2013-07-26,KSE100,巴基斯坦卡拉奇,23607.32,23497.07,23702.26,23456.74,1.04
2013-07-29,KSE100,巴基斯坦卡拉奇,23523.11,23315.15,23577.09,23288.7,1.23
2013-07-30,KSE100,巴基斯坦卡拉奇,23345.18,23284.81,23467.09,23129.16,1.45
2013-07-31,KSE100,巴基斯坦卡拉奇,23369.37,23312.77,23398.39,23210.83,0.81
2013-08-01,KSE100,巴基斯坦卡拉奇,23335.79,23091.86,23399.35,23010.59,1.67
2013-08-05,KSE100,巴基斯坦卡拉奇,23102.16,22701.3,23123.35,22302.02,3.56
2013-08-06,KSE100,巴基斯坦卡拉奇,22732.67,22621.93,22967.47,22547.51,1.85
2013-08-07,KSE100,巴基斯坦卡拉奇,22649.46,23237.19,23275.55,22591.87,3.02
2013-08-12,KSE100,巴基斯坦卡拉奇,23242.68,23437.99,23470.05,23194.96,1.18
2013-08-13,KSE100,巴基斯坦卡拉奇,23498.78,23613.2,23658.01,23448.53,0.89
2013-08-15,KSE100,巴基斯坦卡拉奇,23619.17,23687.89,23748.5,23492.65,1.08
2013-08-16,KSE100,巴基斯坦卡拉奇,23676.19,23673.3,23820.22,23623.41,0.83
2013-08-19,KSE100,巴基斯坦卡拉奇,23687.79,23600.23,23702.87,23439.81,1.11
2013-08-20,KSE100,巴基斯坦卡拉奇,23603.41,23487.23,23808.18,23442.93,1.55
2013-08-21,KSE100,巴基斯坦卡拉奇,23489.38,23015.27,23489.38,22977.76,2.18
2013-08-22,KSE100,巴基斯坦卡拉奇,23048.34,22714.32,23099.67,22540.56,2.43
2013-08-23,KSE100,巴基斯坦卡拉奇,22722.02,22714.68,22937.12,22583.26,1.56
2013-08-26,KSE100,巴基斯坦卡拉奇,22825.37,22922.24,23134.3,22825.37,1.36
2013-08-27,KSE100,巴基斯坦卡拉奇,23016.81,22523.71,23062.46,22478.94,2.55
2013-08-28,KSE100,巴基斯坦卡拉奇,22517.01,22236.33,22517.01,21929.15,2.61
2013-08-29,KSE100,巴基斯坦卡拉奇,22258.5,22214.73,22350.89,22050.76,1.35
2013-08-30,KSE100,巴基斯坦卡拉奇,22216.02,22160.85,22346.62,21989.27,1.61
2013-09-02,KSE100,巴基斯坦卡拉奇,22130.87,21724.68,22130.87,21679.3,2.04
2013-09-03,KSE100,巴基斯坦卡拉奇,21698.48,21808.48,22082.81,21634.83,2.06
2013-09-04,KSE100,巴基斯坦卡拉奇,21856.38,21875.83,21964.66,21770.33,0.89
2013-09-05,KSE100,巴基斯坦卡拉奇,21964.12,22451.46,22503.89,21920.76,2.67
2013-09-06,KSE100,巴基斯坦卡拉奇,22491.18,22765.87,22839.62,22491.18,1.55
2013-09-09,KSE100,巴基斯坦卡拉奇,22768.84,22838.84,22997.94,22768.84,1.01
2013-09-10,KSE100,巴基斯坦卡拉奇,22901.69,22992.17,23091.65,22901.69,0.83
2013-09-11,KSE100,巴基斯坦卡拉奇,23016.75,23231.68,23261.63,22948.26,1.36
2013-09-12,KSE100,巴基斯坦卡拉奇,23243.68,23222.21,23379.7,23167.36,0.91
2013-09-13,KSE100,巴基斯坦卡拉奇,23223.68,23168.04,23268.04,23139.61,0.55
2013-09-16,KSE100,巴基斯坦卡拉奇,23175.56,23242.68,23323.67,23083.24,1.04
2013-09-17,KSE100,巴基斯坦卡拉奇,23279.42,23066.5,23380.36,23013.02,1.58
2013-09-18,KSE100,巴基斯坦卡拉奇,23067.05,22930.06,23110.52,22818.17,1.27
2013-09-19,KSE100,巴基斯坦卡拉奇,22978.66,23456.98,23503.24,22966.74,2.34
2013-09-20,KSE100,巴基斯坦卡拉奇,23471.78,23595.61,23663.2,23407.99,1.09
2013-09-23,KSE100,巴基斯坦卡拉奇,23585.26,23639.97,23680.37,23516.08,0.7
2013-09-24,KSE100,巴基斯坦卡拉奇,23680.39,23088.49,23726.9,23027.22,2.96
2013-09-25,KSE100,巴基斯坦卡拉奇,23093.72,23060.9,23219.35,22794.64,1.84
2013-09-26,KSE100,巴基斯坦卡拉奇,23106.97,22780.82,23136.01,22516.64,2.69
2013-09-27,KSE100,巴基斯坦卡拉奇,22858.3,22387.31,22929.65,22317.18,2.69
2013-09-30,KSE100,巴基斯坦卡拉奇,22149.16,21832.68,22149.16,21669.63,2.14
2013-10-01,KSE100,巴基斯坦卡拉奇,21782.03,21980.42,22018.76,21497.19,2.39
2013-10-02,KSE100,巴基斯坦卡拉奇,21985.83,22189.67,22290.02,21985.83,1.38
2013-10-03,KSE100,巴基斯坦卡拉奇,22190.49,22152.35,22294.73,22086.31,0.94
2013-10-04,KSE100,巴基斯坦卡拉奇,22166.85,22085.96,22331.51,22064.71,1.2
2013-10-07,KSE100,巴基斯坦卡拉奇,22092.18,21864.85,22104.37,21842.51,1.19
2013-10-08,KSE100,巴基斯坦卡拉奇,21874.38,22080.47,22095.08,21846.37,1.14
2013-10-09,KSE100,巴基斯坦卡拉奇,22092.82,21657.22,22150.3,21632.32,2.35
2013-10-10,KSE100,巴基斯坦卡拉奇,21653.31,21674.98,21734.67,21476.32,1.19
2013-10-11,KSE100,巴基斯坦卡拉奇,21711.66,21775.39,21944.85,21711.66,1.08
2013-10-14,KSE100,巴基斯坦卡拉奇,21796.77,21599.78,21815.17,21596.11,1.01
2013-10-21,KSE100,巴基斯坦卡拉奇,21615.68,21754.95,21979.37,21615.68,1.68
2013-10-22,KSE100,巴基斯坦卡拉奇,21762.9,22230.43,22283.7,21749.07,2.46
2013-10-23,KSE100,巴基斯坦卡拉奇,22383.98,22347.29,22539.36,22325.63,0.96
2013-10-24,KSE100,巴基斯坦卡拉奇,22364.46,22360.85,22472.51,22274.6,0.89
2013-10-25,KSE100,巴基斯坦卡拉奇,22357.08,22445.59,22578.96,22321.04,1.15
2013-10-28,KSE100,巴基斯坦卡拉奇,22442.88,22353.2,22601.07,22281.12,1.43
2013-10-29,KSE100,巴基斯坦卡拉奇,22360.33,22276.65,22461.05,22240.98,0.98
2013-10-30,KSE100,巴基斯坦卡拉奇,22287.1,22310.59,22399.74,22273.06,0.57
2013-10-31,KSE100,巴基斯坦卡拉奇,22319.58,22775.85,22820.11,22232.0,2.64
2013-11-01,KSE100,巴基斯坦卡拉奇,22774.71,22649.09,23013.46,22602.87,1.8
2013-11-04,KSE100,巴基斯坦卡拉奇,22490.5,22377.83,22490.5,22199.72,1.28
2013-11-05,KSE100,巴基斯坦卡拉奇,22412.19,22790.7,22833.92,22411.73,1.89
2013-11-06,KSE100,巴基斯坦卡拉奇,22802.58,23165.21,23218.72,22802.58,1.83
2013-11-07,KSE100,巴基斯坦卡拉奇,23224.92,23220.21,23350.13,23113.89,1.02
2013-11-08,KSE100,巴基斯坦卡拉奇,23208.79,23367.15,23392.11,23152.99,1.03
2013-11-11,KSE100,巴基斯坦卡拉奇,23371.83,23381.08,23588.52,23364.48,0.96
2013-11-12,KSE100,巴基斯坦卡拉奇,23385.03,23302.46,23530.76,23274.77,1.09
2013-11-13,KSE100,巴基斯坦卡拉奇,23320.57,23287.06,23419.53,23146.83,1.17
2013-11-18,KSE100,巴基斯坦卡拉奇,23312.67,23611.24,23675.31,23312.67,1.56
2013-11-19,KSE100,巴基斯坦卡拉奇,23628.07,23819.43,23880.08,23628.07,1.07
2013-11-20,KSE100,巴基斯坦卡拉奇,23857.42,23800.97,24007.12,23775.77,0.97
2013-11-21,KSE100,巴基斯坦卡拉奇,23813.63,23784.18,23914.56,23732.1,0.77
2013-11-22,KSE100,巴基斯坦卡拉奇,23809.55,23847.57,23874.82,23702.85,0.72
2013-11-25,KSE100,巴基斯坦卡拉奇,23908.48,23978.29,24089.85,23906.73,0.77
2013-11-26,KSE100,巴基斯坦卡拉奇,23997.36,23798.7,23997.36,23745.73,1.05
2013-11-27,KSE100,巴基斯坦卡拉奇,23784.98,23768.35,23849.01,23683.53,0.7
2013-11-28,KSE100,巴基斯坦卡拉奇,23817.88,24180.49,24204.48,23817.88,1.63
2013-11-29,KSE100,巴基斯坦卡拉奇,24195.75,24302.19,24338.89,24178.07,0.67
2013-12-02,KSE100,巴基斯坦卡拉奇,24337.76,24401.57,24461.79,24318.16,0.59
2013-12-03,KSE100,巴基斯坦卡拉奇,24453.62,24588.47,24618.69,24453.62,0.68
2013-12-04,KSE100,巴基斯坦卡拉奇,24616.44,24445.38,24750.13,24427.89,1.31
2013-12-05,KSE100,巴基斯坦卡拉奇,24466.0,24800.69,24866.04,24447.13,1.71
2013-12-06,KSE100,巴基斯坦卡拉奇,24855.34,24870.55,25007.66,24808.83,0.8
2013-12-09,KSE100,巴基斯坦卡拉奇,24875.26,24998.89,25125.81,24875.26,1.01
2013-12-10,KSE100,巴基斯坦卡拉奇,25070.49,24878.68,25102.14,24852.47,1.0
2013-12-11,KSE100,巴基斯坦卡拉奇,24912.21,24972.9,25020.17,24912.21,0.43
2013-12-12,KSE100,巴基斯坦卡拉奇,25033.99,25072.0,25103.41,24917.52,0.74
2013-12-13,KSE100,巴基斯坦卡拉奇,25088.49,25256.69,25285.62,25088.49,0.79
2013-12-16,KSE100,巴基斯坦卡拉奇,25290.85,25298.32,25407.48,25262.65,0.57
2013-12-17,KSE100,巴基斯坦卡拉奇,25313.56,25350.2,25399.2,25193.67,0.81
2013-12-18,KSE100,巴基斯坦卡拉奇,25393.57,25524.46,25551.09,25383.86,0.66
2013-12-19,KSE100,巴基斯坦卡拉奇,25530.75,25472.64,25711.23,25399.45,1.22
2013-12-20,KSE100,巴基斯坦卡拉奇,25474.75,25579.33,25639.94,25392.89,0.97
2013-12-23,KSE100,巴基斯坦卡拉奇,25596.58,25417.63,25631.48,25340.04,1.14
2013-12-24,KSE100,巴基斯坦卡拉奇,25431.4,25366.69,25469.78,25182.92,1.13
2013-12-26,KSE100,巴基斯坦卡拉奇,25399.98,25370.03,25497.58,25348.44,0.59
2013-12-27,KSE100,巴基斯坦卡拉奇,25375.03,25258.05,25415.06,25229.55,0.73
2013-12-30,KSE100,巴基斯坦卡拉奇,25270.02,25283.96,25378.82,25194.69,0.73
2013-12-31,KSE100,巴基斯坦卡拉奇,25299.97,25261.14,25319.58,25219.08,0.4
2014-01-01,KSE100,巴基斯坦卡拉奇,25273.11,25608.85,25628.41,25273.11,1.41
2014-01-02,KSE100,巴基斯坦卡拉奇,25615.12,25962.18,25978.71,25615.12,1.42
2014-01-03,KSE100,巴基斯坦卡拉奇,25968.76,26046.71,26136.28,25968.76,0.65
