日期,代码,名称,今开,最新价,最高,最低,振幅
1992-01-27,BVSP,巴西BOVESPA,1.14,1.14,1.14,1.14,0.0
1992-01-28,BVSP,巴西BOVESPA,1.21,1.21,1.21,1.21,0.0
1992-01-29,BVSP,巴西BOVESPA,1.18,1.18,1.18,1.18,0.0
1992-01-30,BVSP,巴西BOVESPA,1.1,1.1,1.1,1.1,0.0
1992-01-31,BVSP,巴西BOVESPA,1.12,1.12,1.12,1.12,0.0
1992-02-03,BVSP,巴西BOVESPA,1.05,1.05,1.05,1.05,0.0
1992-02-04,BVSP,巴西BOVESPA,1.07,1.07,1.07,1.07,0.0
1992-02-05,BVSP,巴西BOVESPA,1.01,1.01,1.01,1.01,0.0
1992-02-06,BVSP,巴西BOVESPA,0.98,0.98,0.98,0.98,0.0
1992-02-07,BVSP,巴西BOVESPA,1.07,1.07,1.07,1.07,0.0
1992-02-10,BVSP,巴西BOVESPA,1.05,1.05,1.05,1.05,0.0
1992-02-11,BVSP,巴西BOVESPA,1.12,1.12,1.12,1.12,0.0
1992-02-12,BVSP,巴西BOVESPA,1.12,1.12,1.12,1.12,0.0
1992-02-13,BVSP,巴西BOVESPA,1.04,1.04,1.04,1.04,0.0
1992-02-14,BVSP,巴西BOVESPA,1.09,1.09,1.09,1.09,0.0
1992-02-17,BVSP,巴西BOVESPA,1.08,1.08,1.08,1.08,0.0
1992-02-18,BVSP,巴西BOVESPA,1.15,1.15,1.15,1.15,0.0
1992-02-19,BVSP,巴西BOVESPA,1.26,1.26,1.26,1.26,0.0
1992-02-20,BVSP,巴西BOVESPA,1.31,1.31,1.31,1.31,0.0
1992-02-21,BVSP,巴西BOVESPA,1.38,1.38,1.38,1.38,0.0
1992-02-24,BVSP,巴西BOVESPA,1.36,1.36,1.36,1.36,0.0
1992-02-25,BVSP,巴西BOVESPA,1.38,1.38,1.38,1.38,0.0
1992-02-26,BVSP,巴西BOVESPA,1.37,1.37,1.37,1.37,0.0
1992-02-27,BVSP,巴西BOVESPA,1.42,1.42,1.42,1.42,0.0
1992-02-28,BVSP,巴西BOVESPA,1.45,1.45,1.45,1.45,0.0
1992-03-05,BVSP,巴西BOVESPA,1.52,1.52,1.52,1.52,0.0
1992-03-06,BVSP,巴西BOVESPA,1.53,1.53,1.53,1.53,0.0
1992-03-09,BVSP,巴西BOVESPA,1.47,1.47,1.47,1.47,0.0
1992-03-10,BVSP,巴西BOVESPA,1.46,1.46,1.46,1.46,0.0
1992-03-11,BVSP,巴西BOVESPA,1.51,1.51,1.51,1.51,0.0
1992-03-12,BVSP,巴西BOVESPA,1.54,1.54,1.54,1.54,0.0
1992-03-13,BVSP,巴西BOVESPA,1.55,1.55,1.55,1.55,0.0
1992-03-16,BVSP,巴西BOVESPA,1.59,1.59,1.59,1.59,0.0
1992-03-17,BVSP,巴西BOVESPA,1.57,1.57,1.57,1.57,0.0
1992-03-18,BVSP,巴西BOVESPA,1.59,1.59,1.59,1.59,0.0
1992-03-19,BVSP,巴西BOVESPA,1.58,1.58,1.58,1.58,0.0
1992-03-20,BVSP,巴西BOVESPA,1.66,1.66,1.66,1.66,0.0
1992-03-23,BVSP,巴西BOVESPA,1.64,1.64,1.64,1.64,0.0
1992-03-24,BVSP,巴西BOVESPA,1.64,1.64,1.64,1.64,0.0
1992-03-25,BVSP,巴西BOVESPA,1.54,1.54,1.54,1.54,0.0
1992-03-26,BVSP,巴西BOVESPA,1.54,1.54,1.54,1.54,0.0
1992-03-27,BVSP,巴西BOVESPA,1.6,1.6,1.6,1.6,0.0
1992-03-30,BVSP,巴西BOVESPA,1.64,1.64,1.64,1.64,0.0
1992-03-31,BVSP,巴西BOVESPA,1.73,1.73,1.73,1.73,0.0
1992-04-01,BVSP,巴西BOVESPA,1.8,1.8,1.8,1.8,0.0
1992-04-02,BVSP,巴西BOVESPA,1.8,1.8,1.8,1.8,0.0
1992-04-03,BVSP,巴西BOVESPA,1.88,1.88,1.88,1.88,0.0
1992-04-06,BVSP,巴西BOVESPA,2.02,2.02,2.02,2.02,0.0
1992-04-07,BVSP,巴西BOVESPA,2.1,2.1,2.1,2.1,0.0
1992-04-08,BVSP,巴西BOVESPA,2.07,2.07,2.07,2.07,0.0
1992-04-09,BVSP,巴西BOVESPA,2.02,2.02,2.02,2.02,0.0
1992-04-10,BVSP,巴西BOVESPA,2.13,2.13,2.13,2.13,0.0
