日期,代码,名称,今开,最新价,最高,最低,振幅
2010-09-20,PX,布拉格指数,1126.6,1133.4,1134.6,1126.6,0.0
2010-09-21,PX,布拉格指数,1136.1,1137.6,1140.7,1135.3,0.48
2010-09-22,PX,布拉格指数,1141.3,1129.2,1141.3,1127.0,1.26
2010-09-23,PX,布拉格指数,1130.6,1129.4,1133.9,1122.3,1.03
2010-09-24,PX,布拉格指数,1127.2,1135.8,1135.8,1124.1,1.04
2010-09-27,PX,布拉格指数,1139.7,1130.8,1139.7,1126.1,1.2
2010-09-28,PX,布拉格指数,1139.7,1130.8,1144.0,1126.1,1.58
2010-09-29,PX,布拉格指数,1140.2,1120.6,1140.2,1120.6,1.73
2010-09-30,PX,布拉格指数,1120.9,1131.6,1132.4,1116.2,1.45
2010-10-01,PX,布拉格指数,1130.7,1126.7,1133.8,1121.8,1.06
2010-10-04,PX,布拉格指数,1131.7,1128.4,1131.7,1119.8,1.06
2010-10-05,PX,布拉格指数,1126.2,1129.5,1129.5,1119.4,0.9
2010-10-06,PX,布拉格指数,1135.6,1143.1,1144.9,1135.6,0.82
2010-10-07,PX,布拉格指数,1146.0,1145.7,1148.9,1134.4,1.27
2010-10-08,PX,布拉格指数,1146.8,1141.6,1146.8,1134.4,1.08
2010-10-11,PX,布拉格指数,1147.0,1151.5,1151.9,1143.4,0.74
2010-10-12,PX,布拉格指数,1145.7,1140.0,1145.7,1136.9,0.76
2010-10-13,PX,布拉格指数,1141.6,1151.9,1154.3,1141.6,1.11
2010-10-14,PX,布拉格指数,1157.7,1142.3,1157.7,1142.3,1.34
2010-10-15,PX,布拉格指数,1145.6,1142.1,1145.6,1134.1,1.01
2010-10-18,PX,布拉格指数,1138.7,1133.6,1138.7,1130.7,0.7
2010-10-19,PX,布拉格指数,1134.9,1136.5,1148.5,1134.5,1.24
2010-10-20,PX,布拉格指数,1135.2,1131.7,1140.3,1131.6,0.77
2010-10-21,PX,布拉格指数,1135.5,1140.0,1140.0,1131.5,0.75
2010-10-22,PX,布拉格指数,1144.0,1138.1,1144.2,1136.9,0.64
2010-10-25,PX,布拉格指数,1144.4,1158.1,1158.1,1144.4,1.2
2010-10-26,PX,布拉格指数,1157.0,1154.5,1162.8,1149.6,1.14
2010-10-27,PX,布拉格指数,1154.0,1163.9,1163.9,1154.0,0.86
2010-10-28,PX,布拉格指数,1154.0,1163.9,1163.9,1154.0,0.85
2010-10-29,PX,布拉格指数,1162.4,1156.0,1162.4,1146.0,1.41
2010-11-01,PX,布拉格指数,1151.7,1157.5,1159.0,1151.6,0.64
2010-11-02,PX,布拉格指数,1154.5,1160.8,1160.8,1153.0,0.67
2010-11-03,PX,布拉格指数,1164.9,1168.3,1170.1,1160.6,0.82
2010-11-04,PX,布拉格指数,1169.2,1173.6,1177.6,1168.6,0.77
2010-11-05,PX,布拉格指数,1180.0,1166.2,1182.5,1164.6,1.53
2010-11-08,PX,布拉格指数,1164.9,1164.1,1171.1,1159.4,1.0
2010-11-09,PX,布拉格指数,1162.4,1172.0,1173.4,1162.4,0.94
2010-11-10,PX,布拉格指数,1167.9,1157.4,1167.9,1157.4,0.9
2010-11-11,PX,布拉格指数,1164.1,1140.6,1166.1,1137.6,2.46
2010-11-12,PX,布拉格指数,1133.3,1146.9,1146.9,1127.4,1.71
2010-11-14,PX,布拉格指数,1133.3,1155.6,1155.6,1127.4,2.46
2010-11-15,PX,布拉格指数,1151.9,1147.1,1154.2,1146.7,0.65
2010-11-16,PX,布拉格指数,1146.2,1143.5,1149.2,1137.6,1.01
2010-11-18,PX,布拉格指数,1150.5,1150.9,1151.8,1145.6,0.54
2010-11-19,PX,布拉格指数,1151.2,1147.1,1151.2,1144.0,0.63
2010-11-22,PX,布拉格指数,1156.4,1141.5,1156.7,1141.5,1.33
2010-11-23,PX,布拉格指数,1137.2,1122.0,1139.2,1121.9,1.52
2010-11-24,PX,布拉格指数,1122.8,1125.5,1129.6,1115.6,1.25
2010-11-25,PX,布拉格指数,1130.4,1132.2,1135.7,1128.2,0.67
2010-11-26,PX,布拉格指数,1130.1,1126.5,1130.2,1117.6,1.11
2010-11-29,PX,布拉格指数,1125.2,1119.0,1138.2,1119.0,1.7
2010-11-30,PX,布拉格指数,1121.7,1107.2,1124.3,1107.2,1.53
