日期,代码,名称,今开,最新价,最高,最低,振幅
1987-01-05,ASE,希腊雅典ASE,98.51,98.51,98.51,98.51,0.0
1987-01-07,ASE,希腊雅典ASE,99.76,99.76,99.76,99.76,0.0
1987-01-08,ASE,希腊雅典ASE,101.33,101.33,101.33,101.33,0.0
1987-01-09,ASE,希腊雅典ASE,103.23,103.23,103.23,103.23,0.0
1987-01-12,ASE,希腊雅典ASE,105.88,105.88,105.88,105.88,0.0
1987-01-13,ASE,希腊雅典ASE,108.31,108.31,108.31,108.31,0.0
1987-01-14,ASE,希腊雅典ASE,106.29,106.29,106.29,106.29,0.0
1987-01-15,ASE,希腊雅典ASE,106.99,106.99,106.99,106.99,0.0
1987-01-16,ASE,希腊雅典ASE,109.17,109.17,109.17,109.17,0.0
1987-01-19,ASE,希腊雅典ASE,111.49,111.49,111.49,111.49,0.0
1987-01-20,ASE,希腊雅典ASE,114.73,114.73,114.73,114.73,0.0
1987-01-21,ASE,希腊雅典ASE,118.14,118.14,118.14,118.14,0.0
1987-01-22,ASE,希腊雅典ASE,121.15,121.15,121.15,121.15,0.0
1987-01-23,ASE,希腊雅典ASE,118.2,118.2,118.2,118.2,0.0
1987-01-26,ASE,希腊雅典ASE,116.82,116.82,116.82,116.82,0.0
1987-01-27,ASE,希腊雅典ASE,114.72,114.72,114.72,114.72,0.0
1987-01-28,ASE,希腊雅典ASE,118.6,118.6,118.6,118.6,0.0
1987-01-29,ASE,希腊雅典ASE,118.81,118.81,118.81,118.81,0.0
1987-01-30,ASE,希腊雅典ASE,116.69,116.69,116.69,116.69,0.0
1987-02-02,ASE,希腊雅典ASE,116.12,116.12,116.12,116.12,0.0
1987-02-03,ASE,希腊雅典ASE,114.68,114.68,114.68,114.68,0.0
1987-02-04,ASE,希腊雅典ASE,113.52,113.52,113.52,113.52,0.0
1987-02-05,ASE,希腊雅典ASE,112.59,112.59,112.59,112.59,0.0
1987-02-06,ASE,希腊雅典ASE,113.63,113.63,113.63,113.63,0.0
1987-02-09,ASE,希腊雅典ASE,115.54,115.54,115.54,115.54,0.0
1987-02-10,ASE,希腊雅典ASE,114.81,114.81,114.81,114.81,0.0
1987-02-11,ASE,希腊雅典ASE,114.04,114.04,114.04,114.04,0.0
1987-02-12,ASE,希腊雅典ASE,113.36,113.36,113.36,113.36,0.0
1987-02-13,ASE,希腊雅典ASE,113.34,113.34,113.34,113.34,0.0
1987-02-16,ASE,希腊雅典ASE,116.03,116.03,116.03,116.03,0.0
1987-02-17,ASE,希腊雅典ASE,118.22,118.22,118.22,118.22,0.0
1987-02-18,ASE,希腊雅典ASE,118.92,118.92,118.92,118.92,0.0
1987-02-19,ASE,希腊雅典ASE,118.5,118.5,118.5,118.5,0.0
1987-02-20,ASE,希腊雅典ASE,118.73,118.73,118.73,118.73,0.0
1987-02-23,ASE,希腊雅典ASE,119.0,119.0,119.0,119.0,0.0
1987-02-24,ASE,希腊雅典ASE,119.32,119.32,119.32,119.32,0.0
1987-02-25,ASE,希腊雅典ASE,120.7,120.7,120.7,120.7,0.0
1987-02-26,ASE,希腊雅典ASE,121.38,121.38,121.38,121.38,0.0
1987-02-27,ASE,希腊雅典ASE,124.02,124.02,124.02,124.02,0.0
1987-03-03,ASE,希腊雅典ASE,126.94,126.94,126.94,126.94,0.0
1987-03-04,ASE,希腊雅典ASE,129.74,129.74,129.74,129.74,0.0
1987-03-05,ASE,希腊雅典ASE,133.09,133.09,133.09,133.09,0.0
1987-03-06,ASE,希腊雅典ASE,136.56,136.56,136.56,136.56,0.0
1987-03-09,ASE,希腊雅典ASE,140.06,140.06,140.06,140.06,0.0
1987-03-10,ASE,希腊雅典ASE,147.72,147.72,147.72,147.72,0.0
1987-03-11,ASE,希腊雅典ASE,144.22,144.22,144.22,144.22,0.0
1987-03-12,ASE,希腊雅典ASE,142.06,142.06,142.06,142.06,0.0
1987-03-13,ASE,希腊雅典ASE,144.86,144.86,144.86,144.86,0.0
1987-03-16,ASE,希腊雅典ASE,148.82,148.82,148.82,148.82,0.0
1987-03-17,ASE,希腊雅典ASE,152.31,152.31,152.31,152.31,0.0
