日期,代码,名称,今开,最新价,最高,最低,振幅
1991-07-03,GDAXI,德国DAX30,1606.51,1606.51,1606.51,1606.51,0.0
1991-07-04,GDAXI,德国DAX30,1621.04,1621.04,1621.04,1621.04,0.0
1991-07-05,GDAXI,德国DAX30,1618.16,1618.16,1618.16,1618.16,0.0
1991-07-08,GDAXI,德国DAX30,1610.61,1610.61,1610.61,1610.61,0.0
1991-07-09,GDAXI,德国DAX30,1630.75,1630.75,1630.75,1630.75,0.0
1991-07-10,GDAXI,德国DAX30,1640.17,1640.17,1640.17,1640.17,0.0
1991-07-11,GDAXI,德国DAX30,1635.47,1635.47,1635.47,1635.47,0.0
1991-07-12,GDAXI,德国DAX30,1645.89,1645.89,1645.89,1645.89,0.0
1991-07-15,GDAXI,德国DAX30,1647.84,1647.84,1647.84,1647.84,0.0
1991-07-16,GDAXI,德国DAX30,1638.35,1638.35,1638.35,1638.35,0.0
1991-07-17,GDAXI,德国DAX30,1629.93,1629.93,1629.93,1629.93,0.0
1991-07-18,GDAXI,德国DAX30,1621.49,1621.49,1621.49,1621.49,0.0
1991-07-19,GDAXI,德国DAX30,1624.74,1624.74,1624.74,1624.74,0.0
1991-07-22,GDAXI,德国DAX30,1627.63,1627.63,1627.63,1627.63,0.0
1991-07-23,GDAXI,德国DAX30,1631.99,1631.99,1631.99,1631.99,0.0
1991-07-24,GDAXI,德国DAX30,1621.18,1621.18,1621.18,1621.18,0.0
1991-07-25,GDAXI,德国DAX30,1613.42,1613.42,1613.42,1613.42,0.0
1991-07-26,GDAXI,德国DAX30,1604.95,1604.95,1604.95,1604.95,0.0
1991-07-29,GDAXI,德国DAX30,1605.75,1605.75,1605.75,1605.75,0.0
1991-07-30,GDAXI,德国DAX30,1616.67,1616.67,1616.67,1616.67,0.0
1991-07-31,GDAXI,德国DAX30,1619.29,1619.29,1619.29,1619.29,0.0
1991-08-01,GDAXI,德国DAX30,1620.49,1620.49,1620.49,1620.49,0.0
1991-08-02,GDAXI,德国DAX30,1619.67,1619.67,1619.67,1619.67,0.0
1991-08-05,GDAXI,德国DAX30,1623.07,1623.07,1623.07,1623.07,0.0
1991-08-06,GDAXI,德国DAX30,1613.98,1613.98,1613.98,1613.98,0.0
1991-08-07,GDAXI,德国DAX30,1631.87,1631.87,1631.87,1631.87,0.0
1991-08-08,GDAXI,德国DAX30,1630.37,1630.37,1630.37,1630.37,0.0
1991-08-09,GDAXI,德国DAX30,1633.47,1633.47,1633.47,1633.47,0.0
1991-08-12,GDAXI,德国DAX30,1626.55,1626.55,1626.55,1626.55,0.0
1991-08-13,GDAXI,德国DAX30,1650.43,1650.43,1650.43,1650.43,0.0
1991-08-14,GDAXI,德国DAX30,1650.06,1650.06,1650.06,1650.06,0.0
1991-08-15,GDAXI,德国DAX30,1654.11,1654.11,1654.11,1654.11,0.0
1991-08-16,GDAXI,德国DAX30,1653.6,1653.6,1653.6,1653.6,0.0
1991-08-19,GDAXI,德国DAX30,1501.82,1501.82,1501.82,1501.82,0.0
1991-08-20,GDAXI,德国DAX30,1524.28,1524.28,1524.28,1524.28,0.0
1991-08-21,GDAXI,德国DAX30,1603.65,1603.65,1603.65,1603.65,0.0
1991-08-22,GDAXI,德国DAX30,1622.49,1622.49,1622.49,1622.49,0.0
1991-08-23,GDAXI,德国DAX30,1636.68,1636.68,1636.68,1636.68,0.0
1991-08-26,GDAXI,德国DAX30,1652.1,1652.1,1652.1,1652.1,0.0
1991-08-27,GDAXI,德国DAX30,1645.81,1645.81,1645.81,1645.81,0.0
1991-08-28,GDAXI,德国DAX30,1650.36,1650.36,1650.36,1650.36,0.0
1991-08-29,GDAXI,德国DAX30,1651.55,1651.55,1651.55,1651.55,0.0
1991-08-30,GDAXI,德国DAX30,1649.88,1649.88,1649.88,1649.88,0.0
1991-09-02,GDAXI,德国DAX30,1653.52,1653.52,1653.52,1653.52,0.0
1991-09-03,GDAXI,德国DAX30,1657.51,1657.51,1657.51,1657.51,0.0
1991-09-04,GDAXI,德国DAX30,1649.55,1649.55,1649.55,1649.55,0.0
1991-09-05,GDAXI,德国DAX30,1649.09,1649.09,1649.09,1649.09,0.0
1991-09-06,GDAXI,德国DAX30,1646.41,1646.41,1646.41,1646.41,0.0
1991-09-09,GDAXI,德国DAX30,1638.65,1638.65,1638.65,1638.65,0.0
1991-09-10,GDAXI,德国DAX30,1625.8,1625.8,1625.8,1625.8,0.0
