日期,代码,名称,今开,最新价,最高,最低,振幅
1990-05-14,HSI,恒生指数,2963.51,2976.44,2988.81,2963.51,0.0
1990-05-15,HSI,恒生指数,2978.0,2965.09,2990.15,2960.7,0.99
1990-05-16,HSI,恒生指数,2964.0,2948.89,2964.05,2931.93,1.08
1990-05-17,HSI,恒生指数,2948.0,2917.63,2949.01,2906.74,1.43
1990-05-18,HSI,恒生指数,2909.33,2925.89,2941.54,2909.33,1.1
1990-05-21,HSI,恒生指数,2925.04,2930.83,2938.47,2925.04,0.46
1990-05-22,HSI,恒生指数,2925.4,2970.87,2971.58,2925.4,1.58
1990-05-23,HSI,恒生指数,2970.87,3028.31,3034.6,2970.87,2.15
1990-05-24,HSI,恒生指数,3028.31,3048.01,3054.15,3028.31,0.85
1990-05-25,HSI,恒生指数,3049.0,3059.5,3068.68,3037.1,1.04
1990-05-29,HSI,恒生指数,3059.0,3048.55,3059.5,3024.61,1.14
1990-05-30,HSI,恒生指数,3048.48,3083.35,3087.16,3048.48,1.27
1990-05-31,HSI,恒生指数,3084.2,3132.32,3137.69,3084.2,1.73
1990-06-01,HSI,恒生指数,3139.57,3159.17,3166.72,3139.57,0.87
1990-06-04,HSI,恒生指数,3159.0,3153.22,3200.33,3150.57,1.58
1990-06-05,HSI,恒生指数,3153.0,3159.06,3179.0,3152.69,0.83
1990-06-06,HSI,恒生指数,3159.0,3172.49,3172.49,3138.88,1.06
1990-06-07,HSI,恒生指数,3172.0,3145.3,3172.49,3143.91,0.9
1990-06-08,HSI,恒生指数,3144.0,3174.33,3179.44,3136.23,1.37
1990-06-11,HSI,恒生指数,3174.0,3154.99,3174.33,3148.81,0.8
1990-06-12,HSI,恒生指数,3157.93,3203.0,3207.54,3157.93,1.57
1990-06-13,HSI,恒生指数,3203.0,3185.14,3226.92,3184.61,1.32
1990-06-14,HSI,恒生指数,3185.0,3191.55,3199.39,3180.38,0.6
1990-06-15,HSI,恒生指数,3189.0,3201.52,3205.29,3176.08,0.92
1990-06-19,HSI,恒生指数,3200.0,3229.02,3229.33,3185.21,1.38
1990-06-20,HSI,恒生指数,3229.0,3234.39,3250.04,3214.71,1.09
1990-06-21,HSI,恒生指数,3234.0,3246.21,3259.47,3230.45,0.9
1990-06-22,HSI,恒生指数,3246.0,3250.44,3253.17,3226.69,0.82
1990-06-25,HSI,恒生指数,3250.0,3276.44,3276.47,3246.63,0.92
1990-06-26,HSI,恒生指数,3278.15,3292.35,3305.28,3278.15,0.83
1990-06-27,HSI,恒生指数,3292.0,3284.47,3293.5,3258.98,1.05
1990-06-28,HSI,恒生指数,3284.0,3273.28,3284.47,3266.5,0.55
1990-06-29,HSI,恒生指数,3272.0,3278.24,3281.12,3255.94,0.77
1990-07-02,HSI,恒生指数,3278.24,3319.47,3323.44,3278.24,1.38
1990-07-03,HSI,恒生指数,3319.47,3356.55,3365.54,3319.47,1.39
1990-07-04,HSI,恒生指数,3356.0,3363.49,3366.7,3338.31,0.85
1990-07-05,HSI,恒生指数,3363.0,3356.44,3369.98,3338.31,0.94
1990-07-06,HSI,恒生指数,3345.0,3357.61,3360.95,3325.74,1.05
1990-07-09,HSI,恒生指数,3359.89,3385.15,3389.17,3359.89,0.87
1990-07-10,HSI,恒生指数,3385.0,3408.16,3413.36,3378.46,1.03
1990-07-11,HSI,恒生指数,3407.94,3440.93,3450.11,3407.94,1.24
1990-07-12,HSI,恒生指数,3448.0,3468.59,3472.44,3443.85,0.83
1990-07-13,HSI,恒生指数,3468.59,3507.16,3515.73,3468.59,1.36
1990-07-16,HSI,恒生指数,3507.0,3488.85,3513.48,3468.66,1.28
1990-07-17,HSI,恒生指数,3488.0,3463.94,3490.94,3463.94,0.77
1990-07-18,HSI,恒生指数,3463.94,3528.29,3529.34,3463.94,1.89
1990-07-19,HSI,恒生指数,3528.0,3523.58,3530.09,3515.51,0.41
1990-07-20,HSI,恒生指数,3523.0,3540.43,3542.88,3504.69,1.08
1990-07-23,HSI,恒生指数,3540.0,3559.89,3559.89,3528.55,0.89
1990-07-24,HSI,恒生指数,3541.0,3495.87,3541.8,3479.89,1.74
1990-07-25,HSI,恒生指数,3497.0,3520.54,3535.44,3495.87,1.13
1990-07-26,HSI,恒生指数,3520.0,3483.59,3521.36,3474.64,1.33
1990-07-27,HSI,恒生指数,3479.0,3485.8,3492.11,3443.61,1.39
1990-07-30,HSI,恒生指数,3481.0,3445.41,3481.88,3444.74,1.07
1990-07-31,HSI,恒生指数,3445.0,3438.49,3456.45,3429.07,0.79
1990-08-01,HSI,恒生指数,3438.0,3468.64,3488.7,3437.95,1.48
1990-08-02,HSI,恒生指数,3468.0,3415.18,3479.48,3397.35,2.37
1990-08-03,HSI,恒生指数,3410.0,3356.95,3410.97,3341.79,2.03
1990-08-06,HSI,恒生指数,3346.0,3107.98,3346.72,3107.98,7.11
1990-08-07,HSI,恒生指数,3075.0,3098.69,3146.67,2909.11,7.64
1990-08-08,HSI,恒生指数,3098.0,3145.57,3171.02,3081.95,2.87
1990-08-09,HSI,恒生指数,3144.0,3091.12,3144.53,3089.56,1.75
1990-08-10,HSI,恒生指数,3091.0,3078.97,3122.4,3059.1,2.05
1990-08-13,HSI,恒生指数,3076.0,3040.28,3078.97,3040.28,1.26
1990-08-14,HSI,恒生指数,3042.18,3067.53,3079.87,3042.18,1.24
1990-08-15,HSI,恒生指数,3067.53,3178.27,3178.27,3067.53,3.61
1990-08-16,HSI,恒生指数,3173.0,3183.29,3183.29,3137.77,1.43
1990-08-17,HSI,恒生指数,3175.0,3122.64,3175.48,3102.2,2.3
1990-08-20,HSI,恒生指数,3120.0,3052.84,3120.03,3040.55,2.55
