日期,代码,名称,今开,最新价,最高,最低,振幅
2001-03-02,OSEBX,挪威OSEBX,196.45,196.45,196.45,196.45,0.0
2001-03-05,OSEBX,挪威OSEBX,199.53,199.53,199.53,199.53,0.0
2001-03-06,OSEBX,挪威OSEBX,204.11,204.11,204.11,204.11,0.0
2001-03-07,OSEBX,挪威OSEBX,202.69,202.69,202.69,202.69,0.0
2001-03-08,OSEBX,挪威OSEBX,202.64,202.64,202.64,202.64,0.0
2001-03-09,OSEBX,挪威OSEBX,201.37,201.37,201.37,201.37,0.0
2001-03-12,OSEBX,挪威OSEBX,197.27,197.27,197.27,197.27,0.0
2001-03-13,OSEBX,挪威OSEBX,193.37,193.37,193.37,193.37,0.0
2001-03-14,OSEBX,挪威OSEBX,186.78,186.78,186.78,186.78,0.0
2001-03-15,OSEBX,挪威OSEBX,190.0,190.0,190.0,190.0,0.0
2001-03-16,OSEBX,挪威OSEBX,188.01,188.01,188.01,188.01,0.0
2001-03-19,OSEBX,挪威OSEBX,192.09,192.09,192.09,192.09,0.0
2001-03-20,OSEBX,挪威OSEBX,194.75,194.75,194.75,194.75,0.0
2001-03-21,OSEBX,挪威OSEBX,191.66,191.66,191.66,191.66,0.0
2001-03-22,OSEBX,挪威OSEBX,185.81,185.81,185.81,185.81,0.0
2001-03-23,OSEBX,挪威OSEBX,185.16,185.16,185.16,185.16,0.0
2001-03-26,OSEBX,挪威OSEBX,187.85,187.85,187.85,187.85,0.0
2001-03-27,OSEBX,挪威OSEBX,190.18,190.18,190.18,190.18,0.0
2001-03-28,OSEBX,挪威OSEBX,188.7,188.7,188.7,188.7,0.0
2001-03-29,OSEBX,挪威OSEBX,188.72,188.72,188.72,188.72,0.0
2001-03-30,OSEBX,挪威OSEBX,191.42,191.42,191.42,191.42,0.0
2001-04-02,OSEBX,挪威OSEBX,191.06,191.06,191.06,191.06,0.0
2001-04-03,OSEBX,挪威OSEBX,187.49,187.49,187.49,187.49,0.0
2001-04-04,OSEBX,挪威OSEBX,186.63,186.63,186.63,186.63,0.0
2001-04-05,OSEBX,挪威OSEBX,191.07,191.07,191.07,191.07,0.0
2001-04-06,OSEBX,挪威OSEBX,190.49,190.49,190.49,190.49,0.0
2001-04-09,OSEBX,挪威OSEBX,190.66,190.66,190.66,190.66,0.0
2001-04-10,OSEBX,挪威OSEBX,194.27,194.27,194.27,194.27,0.0
2001-04-11,OSEBX,挪威OSEBX,196.2,196.2,196.2,196.2,0.0
2001-04-17,OSEBX,挪威OSEBX,194.65,194.65,194.65,194.65,0.0
2001-04-18,OSEBX,挪威OSEBX,196.49,196.49,196.49,196.49,0.0
2001-04-19,OSEBX,挪威OSEBX,196.0,196.0,196.0,196.0,0.0
2001-04-20,OSEBX,挪威OSEBX,195.32,195.32,195.32,195.32,0.0
2001-04-23,OSEBX,挪威OSEBX,195.8,195.8,195.8,195.8,0.0
2001-04-24,OSEBX,挪威OSEBX,197.95,197.95,197.95,197.95,0.0
2001-04-25,OSEBX,挪威OSEBX,197.55,197.55,197.55,197.55,0.0
2001-04-26,OSEBX,挪威OSEBX,197.78,197.78,197.78,197.78,0.0
2001-04-27,OSEBX,挪威OSEBX,200.95,200.95,200.95,200.95,0.0
2001-04-30,OSEBX,挪威OSEBX,202.44,202.44,202.44,202.44,0.0
2001-05-02,OSEBX,挪威OSEBX,202.58,202.58,202.58,202.58,0.0
2001-05-03,OSEBX,挪威OSEBX,200.23,200.23,200.23,200.23,0.0
2001-05-04,OSEBX,挪威OSEBX,200.58,200.58,200.58,200.58,0.0
2001-05-07,OSEBX,挪威OSEBX,202.71,202.71,202.71,202.71,0.0
2001-05-08,OSEBX,挪威OSEBX,203.39,203.39,203.39,203.39,0.0
2001-05-09,OSEBX,挪威OSEBX,202.59,202.59,202.59,202.59,0.0
2001-05-10,OSEBX,挪威OSEBX,205.87,205.87,205.87,205.87,0.0
2001-05-11,OSEBX,挪威OSEBX,206.07,206.07,206.07,206.07,0.0
2001-05-14,OSEBX,挪威OSEBX,201.53,201.53,201.53,201.53,0.0
2001-05-15,OSEBX,挪威OSEBX,203.01,203.01,203.01,203.01,0.0
