日期,代码,名称,今开,最新价,最高,最低,振幅
2010-09-20,CSEALL,斯里兰卡科伦坡,6458.55,6537.65,6589.21,6458.55,0.0
2010-09-21,CSEALL,斯里兰卡科伦坡,6522.28,6684.79,6689.55,6494.67,2.98
2010-09-22,CSEALL,斯里兰卡科伦坡,6522.28,6684.79,6689.55,6494.67,2.92
2010-09-23,CSEALL,斯里兰卡科伦坡,6703.46,6779.04,6801.46,6703.46,1.47
2010-09-24,CSEALL,斯里兰卡科伦坡,6768.14,6890.9,6905.76,6768.14,2.03
2010-09-26,CSEALL,斯里兰卡科伦坡,6768.14,6890.9,6905.76,6768.14,2.0
2010-09-27,CSEALL,斯里兰卡科伦坡,6888.96,6881.54,7008.15,6826.78,2.63
2010-09-28,CSEALL,斯里兰卡科伦坡,6880.81,6845.77,6905.5,6798.43,1.56
2010-09-29,CSEALL,斯里兰卡科伦坡,6845.8,6930.9,6943.78,6844.74,1.45
2010-09-30,CSEALL,斯里兰卡科伦坡,6929.9,6997.22,7015.67,6929.9,1.24
2010-10-01,CSEALL,斯里兰卡科伦坡,6997.25,7147.77,7166.75,6997.25,2.42
2010-10-04,CSEALL,斯里兰卡科伦坡,7147.86,7089.69,7207.75,7077.87,1.82
2010-10-05,CSEALL,斯里兰卡科伦坡,7089.52,6991.06,7114.2,6958.77,2.19
2010-10-06,CSEALL,斯里兰卡科伦坡,6991.06,6862.67,7040.29,6861.29,2.56
2010-10-07,CSEALL,斯里兰卡科伦坡,6863.13,6770.74,6877.28,6698.32,2.61
2010-10-08,CSEALL,斯里兰卡科伦坡,6770.74,6833.61,6852.91,6660.76,2.84
2010-10-11,CSEALL,斯里兰卡科伦坡,6833.73,6834.61,6948.64,6826.8,1.78
2010-10-12,CSEALL,斯里兰卡科伦坡,6834.61,6534.02,6841.45,6517.91,4.73
2010-10-13,CSEALL,斯里兰卡科伦坡,6533.6,6628.83,6683.0,6159.33,8.01
2010-10-14,CSEALL,斯里兰卡科伦坡,6630.15,6622.08,6822.99,6615.23,3.13
2010-10-15,CSEALL,斯里兰卡科伦坡,6622.08,6626.86,6655.68,6565.77,1.36
2010-10-18,CSEALL,斯里兰卡科伦坡,6626.67,6622.59,6677.8,6603.95,1.11
2010-10-19,CSEALL,斯里兰卡科伦坡,6624.47,6703.61,6720.42,6623.53,1.46
