日期,代码,名称,今开,最新价,最高,最低,振幅
2001-01-03,NZ50,新西兰50,1673.77,1673.77,1673.77,1673.77,0.0
2001-01-04,NZ50,新西兰50,1702.54,1702.54,1702.54,1702.54,0.0
2001-01-05,NZ50,新西兰50,1721.08,1721.08,1721.08,1721.08,0.0
2001-01-08,NZ50,新西兰50,1713.83,1713.83,1713.83,1713.83,0.0
2001-01-09,NZ50,新西兰50,1727.34,1727.34,1727.34,1727.34,0.0
2001-01-10,NZ50,新西兰50,1706.58,1706.58,1706.58,1706.58,0.0
2001-01-11,NZ50,新西兰50,1709.53,1709.53,1709.53,1709.53,0.0
2001-01-12,NZ50,新西兰50,1735.35,1735.35,1735.35,1735.35,0.0
2001-01-15,NZ50,新西兰50,1752.82,1752.82,1752.82,1752.82,0.0
2001-01-16,NZ50,新西兰50,1772.9,1772.9,1772.9,1772.9,0.0
2001-01-17,NZ50,新西兰50,1787.4,1787.4,1787.4,1787.4,0.0
2001-01-18,NZ50,新西兰50,1792.42,1792.42,1792.42,1792.42,0.0
2001-01-19,NZ50,新西兰50,1818.54,1818.54,1818.54,1818.54,0.0
2001-01-22,NZ50,新西兰50,1840.2,1840.2,1840.2,1840.2,0.0
2001-01-23,NZ50,新西兰50,1824.14,1824.14,1824.14,1824.14,0.0
2001-01-24,NZ50,新西兰50,1795.7,1795.7,1795.7,1795.7,0.0
2001-01-25,NZ50,新西兰50,1791.14,1791.14,1791.14,1791.14,0.0
2001-01-26,NZ50,新西兰50,1792.45,1792.45,1792.45,1792.45,0.0
2001-01-29,NZ50,新西兰50,1794.97,1794.97,1794.97,1794.97,0.0
2001-01-30,NZ50,新西兰50,1810.32,1810.32,1810.32,1810.32,0.0
2001-01-31,NZ50,新西兰50,1830.84,1830.84,1830.84,1830.84,0.0
2001-02-01,NZ50,新西兰50,1837.28,1837.28,1837.28,1837.28,0.0
2001-02-02,NZ50,新西兰50,1827.35,1827.35,1827.35,1827.35,0.0
2001-02-05,NZ50,新西兰50,1799.16,1799.16,1799.16,1799.16,0.0
2001-02-07,NZ50,新西兰50,1795.74,1795.74,1795.74,1795.74,0.0
2001-02-08,NZ50,新西兰50,1805.52,1805.52,1805.52,1805.52,0.0
