日期,代码,名称,今开,最新价,最高,最低,振幅
1987-04-21,N225,日经225,23885.72,23886.1,24026.79,23762.23,0.0
1987-04-22,N225,日经225,23899.55,24097.79,24123.63,23899.55,0.94
1987-04-23,N225,日经225,24091.99,24024.61,24256.2,23950.58,1.27
1987-04-24,N225,日经225,24019.1,24006.37,24210.11,24006.37,0.85
1987-04-27,N225,日经225,23914.76,23072.41,23954.67,23071.65,3.68
1987-04-28,N225,日经225,23073.36,22889.86,23120.78,22005.51,4.83
1987-04-30,N225,日经225,22892.62,23274.83,23276.25,22892.62,1.68
1987-05-01,N225,日经225,23293.55,23680.89,23687.92,23293.55,1.69
1987-05-06,N225,日经225,24014.73,23918.56,24161.27,23786.47,1.58
1987-05-07,N225,日经225,23940.7,24207.55,24218.09,23940.7,1.16
1987-05-08,N225,日经225,24231.84,24589.23,24610.98,24231.84,1.57
1987-05-11,N225,日经225,24604.62,24608.22,24742.81,24581.73,0.66
1987-05-12,N225,日经225,24609.55,24535.85,24624.18,24523.22,0.41
1987-05-13,N225,日经225,24527.12,24363.19,24607.75,24128.79,1.95
1987-05-14,N225,日经225,24356.25,24651.44,24683.45,24356.25,1.34
1987-05-15,N225,日经225,24660.37,24729.03,24842.53,24596.35,1.0
1987-05-18,N225,日经225,24728.94,24298.98,24728.94,24297.56,1.74
1987-05-19,N225,日经225,24294.52,24077.88,24344.57,24077.88,1.1
1987-05-20,N225,日经225,24079.59,23419.6,24079.59,23368.13,2.95
1987-05-21,N225,日经225,23439.74,23754.01,23776.52,23439.74,1.44
1987-05-22,N225,日经225,23784.97,24156.71,24172.19,23784.97,1.63
1987-05-25,N225,日经225,24538.61,24582.77,24711.75,24483.71,0.94
1987-05-26,N225,日经225,24582.68,24580.87,24659.42,24536.33,0.5
1987-05-27,N225,日经225,24600.46,24539.75,24600.46,24493.11,0.44
1987-05-28,N225,日经225,24548.97,24433.65,24608.53,24428.04,0.74
1987-05-29,N225,日经225,24452.84,24772.39,24797.76,24452.84,1.41
1987-06-01,N225,日经225,24905.48,24992.78,25097.46,24905.48,0.77
1987-06-02,N225,日经225,25000.66,24902.63,25051.96,24862.07,0.76
1987-06-03,N225,日经225,24894.94,25049.4,25050.35,24829.11,0.89
1987-06-04,N225,日经225,25069.16,25366.11,25445.62,25069.16,1.5
1987-06-05,N225,日经225,25389.57,25271.3,25537.0,25261.23,1.09
1987-06-08,N225,日经225,25381.02,25523.89,25528.64,25369.91,0.63
1987-06-09,N225,日经225,25551.15,25379.88,25666.57,25370.95,1.16
1987-06-10,N225,日经225,25375.89,25738.96,25745.42,25375.89,1.46
1987-06-11,N225,日经225,25741.52,25890.95,25932.65,25741.52,0.74
1987-06-12,N225,日经225,25909.0,25894.27,26000.28,25892.09,0.42
1987-06-15,N225,日经225,25899.69,25756.44,25985.85,25736.96,0.96
1987-06-16,N225,日经225,25772.01,25738.86,25873.75,25734.59,0.54
1987-06-17,N225,日经225,25756.72,25929.42,25939.2,25756.72,0.71
1987-06-18,N225,日经225,25909.47,25750.55,25919.64,25427.47,1.9
1987-06-19,N225,日经225,25759.76,25288.12,25794.24,25194.93,2.33
1987-06-22,N225,日经225,25288.88,24640.35,25293.63,24639.31,2.59
1987-06-23,N225,日经225,24625.25,24794.91,24980.05,24619.26,1.46
1987-06-24,N225,日经225,24810.58,24892.75,24999.24,24806.97,0.78
1987-06-25,N225,日经225,24900.92,25031.35,25135.46,24900.92,0.94
1987-06-26,N225,日经225,25047.17,25049.83,25311.14,25010.46,1.2
1987-06-29,N225,日经225,24910.8,24509.41,24949.7,24411.09,2.15
1987-06-30,N225,日经225,24488.78,24176.4,24488.78,23893.59,2.43
1987-07-01,N225,日经225,24174.4,24252.38,24288.32,23733.07,2.3
1987-07-02,N225,日经225,24267.97,24636.46,24667.55,24256.94,1.69
1987-07-03,N225,日经225,24658.62,24465.48,24860.88,24424.4,1.77
