日期,代码,名称,今开,最新价,最高,最低,振幅
1986-03-17,SPX,标普500,236.55,234.67,236.55,233.69,0.0
1986-03-18,SPX,标普500,234.67,235.78,236.53,234.14,1.02
1986-03-19,SPX,标普500,235.78,235.6,236.52,235.13,0.59
1986-03-20,SPX,标普500,235.6,236.54,237.09,235.6,0.63
1986-03-21,SPX,标普500,236.54,233.34,237.35,233.29,1.72
1986-03-24,SPX,标普500,233.34,235.33,235.33,232.92,1.03
1986-03-25,SPX,标普500,235.33,234.72,235.33,233.62,0.73
1986-03-26,SPX,标普500,234.72,237.3,237.79,234.71,1.31
1986-03-27,SPX,标普500,237.3,238.97,240.11,237.3,1.18
1986-03-28,SPX,标普500,238.97,238.97,238.97,238.97,0.0
1986-03-31,SPX,标普500,238.97,238.9,239.86,238.08,0.74
1986-04-01,SPX,标普500,238.9,235.14,239.1,234.57,1.9
1986-04-02,SPX,标普500,235.14,235.71,235.71,233.4,0.98
1986-04-03,SPX,标普500,235.71,232.47,236.42,232.07,1.85
1986-04-04,SPX,标普500,232.47,228.69,232.56,228.32,1.82
1986-04-07,SPX,标普500,228.69,228.63,228.83,226.3,1.11
1986-04-08,SPX,标普500,228.63,233.52,233.7,228.63,2.22
1986-04-09,SPX,标普500,233.52,233.75,235.57,232.13,1.47
1986-04-10,SPX,标普500,233.75,236.44,236.54,233.75,1.19
1986-04-11,SPX,标普500,236.44,235.97,237.85,235.13,1.15
1986-04-14,SPX,标普500,235.97,237.28,237.48,235.43,0.87
1986-04-15,SPX,标普500,237.28,237.73,238.09,236.64,0.61
1986-04-16,SPX,标普500,237.73,242.22,242.57,237.73,2.04
1986-04-17,SPX,标普500,242.22,243.03,243.36,241.89,0.61
1986-04-18,SPX,标普500,243.03,242.38,243.47,241.74,0.71
1986-04-21,SPX,标普500,242.38,244.74,244.78,241.88,1.2
1986-04-22,SPX,标普500,244.74,242.42,245.47,241.3,1.7
1986-04-23,SPX,标普500,242.42,241.75,242.42,240.08,0.97
1986-04-24,SPX,标普500,241.75,242.02,243.13,241.65,0.61
1986-04-25,SPX,标普500,242.02,242.29,242.8,240.91,0.78
1986-04-28,SPX,标普500,242.29,243.08,243.08,241.23,0.76
1986-04-29,SPX,标普500,243.08,240.51,243.57,239.23,1.79
1986-04-30,SPX,标普500,240.51,235.52,240.52,235.26,2.19
