日期,代码,名称,今开,最新价,最高,最低,振幅
1986-12-31,SX5E,欧洲斯托克50,900.82,900.82,900.82,900.82,0.0
1987-01-01,SX5E,欧洲斯托克50,900.82,900.82,900.82,900.82,0.0
1987-01-02,SX5E,欧洲斯托克50,891.78,891.78,891.78,891.78,0.0
1987-01-05,SX5E,欧洲斯托克50,898.33,898.33,898.33,898.33,0.0
1987-01-06,SX5E,欧洲斯托克50,902.32,902.32,902.32,902.32,0.0
1987-01-07,SX5E,欧洲斯托克50,899.15,899.15,899.15,899.15,0.0
1987-01-08,SX5E,欧洲斯托克50,887.37,887.37,887.37,887.37,0.0
1987-01-09,SX5E,欧洲斯托克50,868.31,868.31,868.31,868.31,0.0
1987-01-12,SX5E,欧洲斯托克50,879.41,879.41,879.41,879.41,0.0
1987-01-13,SX5E,欧洲斯托克50,872.74,872.74,872.74,872.74,0.0
1987-01-14,SX5E,欧洲斯托克50,876.39,876.39,876.39,876.39,0.0
1987-01-15,SX5E,欧洲斯托克50,884.37,884.37,884.37,884.37,0.0
1987-01-16,SX5E,欧洲斯托克50,883.78,883.78,883.78,883.78,0.0
1987-01-19,SX5E,欧洲斯托克50,876.15,876.15,876.15,876.15,0.0
1987-01-20,SX5E,欧洲斯托克50,875.1,875.1,875.1,875.1,0.0
1987-01-21,SX5E,欧洲斯托克50,872.47,872.47,872.47,872.47,0.0
1987-01-22,SX5E,欧洲斯托克50,876.69,876.69,876.69,876.69,0.0
1987-01-23,SX5E,欧洲斯托克50,883.62,883.62,883.62,883.62,0.0
1987-01-26,SX5E,欧洲斯托克50,870.96,870.96,870.96,870.96,0.0
1987-01-27,SX5E,欧洲斯托克50,868.19,868.19,868.19,868.19,0.0
1987-01-28,SX5E,欧洲斯托克50,838.6,838.6,838.6,838.6,0.0
1987-01-29,SX5E,欧洲斯托克50,847.38,847.38,847.38,847.38,0.0
1987-01-30,SX5E,欧洲斯托克50,859.08,859.08,859.08,859.08,0.0
1987-02-02,SX5E,欧洲斯托克50,849.03,849.03,849.03,849.03,0.0
1987-02-03,SX5E,欧洲斯托克50,839.6,839.6,839.6,839.6,0.0
1987-02-04,SX5E,欧洲斯托克50,838.53,838.53,838.53,838.53,0.0
1987-02-05,SX5E,欧洲斯托克50,833.03,833.03,833.03,833.03,0.0
1987-02-06,SX5E,欧洲斯托克50,842.23,842.23,842.23,842.23,0.0
1987-02-09,SX5E,欧洲斯托克50,844.73,844.73,844.73,844.73,0.0
1987-02-10,SX5E,欧洲斯托克50,837.91,837.91,837.91,837.91,0.0
1987-02-11,SX5E,欧洲斯托克50,837.56,837.56,837.56,837.56,0.0
1987-02-12,SX5E,欧洲斯托克50,840.53,840.53,840.53,840.53,0.0
1987-02-13,SX5E,欧洲斯托克50,841.54,841.54,841.54,841.54,0.0
1987-02-16,SX5E,欧洲斯托克50,844.11,844.11,844.11,844.11,0.0
1987-02-17,SX5E,欧洲斯托克50,833.81,833.81,833.81,833.81,0.0
1987-02-18,SX5E,欧洲斯托克50,834.15,834.15,834.15,834.15,0.0
1987-02-19,SX5E,欧洲斯托克50,844.07,844.07,844.07,844.07,0.0
1987-02-20,SX5E,欧洲斯托克50,845.11,845.11,845.11,845.11,0.0
1987-02-23,SX5E,欧洲斯托克50,839.36,839.36,839.36,839.36,0.0
1987-02-24,SX5E,欧洲斯托克50,837.9,837.9,837.9,837.9,0.0
1987-02-25,SX5E,欧洲斯托克50,833.39,833.39,833.39,833.39,0.0
1987-02-26,SX5E,欧洲斯托克50,838.23,838.23,838.23,838.23,0.0
1987-02-27,SX5E,欧洲斯托克50,840.97,840.97,840.97,840.97,0.0
1987-03-02,SX5E,欧洲斯托克50,842.7,842.7,842.7,842.7,0.0
1987-03-03,SX5E,欧洲斯托克50,836.22,836.22,836.22,836.22,0.0
1987-03-04,SX5E,欧洲斯托克50,848.78,848.78,848.78,848.78,0.0
1987-03-05,SX5E,欧洲斯托克50,855.04,855.04,855.04,855.04,0.0
1987-03-06,SX5E,欧洲斯托克50,854.82,854.82,854.82,854.82,0.0
1987-03-09,SX5E,欧洲斯托克50,856.93,856.93,856.93,856.93,0.0
1987-03-10,SX5E,欧洲斯托克50,850.99,850.99,850.99,850.99,0.0
1987-03-11,SX5E,欧洲斯托克50,844.78,844.78,844.78,844.78,0.0
1987-03-12,SX5E,欧洲斯托克50,851.62,851.62,851.62,851.62,0.0
1987-03-13,SX5E,欧洲斯托克50,855.0,855.0,855.0,855.0,0.0
1987-03-16,SX5E,欧洲斯托克50,855.21,855.21,855.21,855.21,0.0
1987-03-17,SX5E,欧洲斯托克50,848.47,848.47,848.47,848.47,0.0
1987-03-18,SX5E,欧洲斯托克50,854.69,854.69,854.69,854.69,0.0
1987-03-19,SX5E,欧洲斯托克50,842.48,842.48,842.48,842.48,0.0
1987-03-20,SX5E,欧洲斯托克50,848.13,848.13,848.13,848.13,0.0
1987-03-23,SX5E,欧洲斯托克50,860.44,860.44,860.44,860.44,0.0
1987-03-24,SX5E,欧洲斯托克50,866.76,866.76,866.76,866.76,0.0
1987-03-25,SX5E,欧洲斯托克50,868.3,868.3,868.3,868.3,0.0
1987-03-26,SX5E,欧洲斯托克50,874.75,874.75,874.75,874.75,0.0
1987-03-27,SX5E,欧洲斯托克50,882.89,882.89,882.89,882.89,0.0
1987-03-30,SX5E,欧洲斯托克50,877.3,877.3,877.3,877.3,0.0
1987-03-31,SX5E,欧洲斯托克50,869.44,869.44,869.44,869.44,0.0
1987-04-01,SX5E,欧洲斯托克50,883.95,883.95,883.95,883.95,0.0
1987-04-02,SX5E,欧洲斯托克50,888.39,888.39,888.39,888.39,0.0
1987-04-03,SX5E,欧洲斯托克50,888.97,888.97,888.97,888.97,0.0
1987-04-06,SX5E,欧洲斯托克50,900.79,900.79,900.79,900.79,0.0
1987-04-07,SX5E,欧洲斯托克50,896.33,896.33,896.33,896.33,0.0
1987-04-08,SX5E,欧洲斯托克50,895.42,895.42,895.42,895.42,0.0
1987-04-09,SX5E,欧洲斯托克50,895.62,895.62,895.62,895.62,0.0
1987-04-10,SX5E,欧洲斯托克50,884.61,884.61,884.61,884.61,0.0
1987-04-13,SX5E,欧洲斯托克50,875.19,875.19,875.19,875.19,0.0
1987-04-14,SX5E,欧洲斯托克50,881.0,881.0,881.0,881.0,0.0
1987-04-15,SX5E,欧洲斯托克50,888.71,888.71,888.71,888.71,0.0
1987-04-16,SX5E,欧洲斯托克50,895.48,895.48,895.48,895.48,0.0
1987-04-17,SX5E,欧洲斯托克50,896.06,896.06,896.06,896.06,0.0
1987-04-20,SX5E,欧洲斯托克50,893.33,893.33,893.33,893.33,0.0
1987-04-21,SX5E,欧洲斯托克50,889.55,889.55,889.55,889.55,0.0
1987-04-22,SX5E,欧洲斯托克50,900.5,900.5,900.5,900.5,0.0
1987-04-23,SX5E,欧洲斯托克50,896.53,896.53,896.53,896.53,0.0
1987-04-24,SX5E,欧洲斯托克50,890.62,890.62,890.62,890.62,0.0
1987-04-27,SX5E,欧洲斯托克50,871.69,871.69,871.69,871.69,0.0
1987-04-28,SX5E,欧洲斯托克50,879.07,879.07,879.07,879.07,0.0
1987-04-29,SX5E,欧洲斯托克50,884.37,884.37,884.37,884.37,0.0
1987-04-30,SX5E,欧洲斯托克50,881.46,881.46,881.46,881.46,0.0
1987-05-01,SX5E,欧洲斯托克50,883.32,883.32,883.32,883.32,0.0
1987-05-04,SX5E,欧洲斯托克50,880.31,880.31,880.31,880.31,0.0
