日期,代码,名称,今开,最新价,最高,最低,振幅
1991-01-02,BFX,比利时BFX,984.31,984.31,984.31,984.31,0.0
1991-01-03,BFX,比利时BFX,989.93,989.93,989.93,989.93,0.0
1991-01-04,BFX,比利时BFX,980.22,980.22,980.22,980.22,0.0
1991-01-07,BFX,比利时BFX,964.62,964.62,964.62,964.62,0.0
1991-01-08,BFX,比利时BFX,953.17,953.17,953.17,953.17,0.0
1991-01-09,BFX,比利时BFX,982.33,982.33,982.33,982.33,0.0
1991-01-10,BFX,比利时BFX,957.12,957.12,957.12,957.12,0.0
1991-01-11,BFX,比利时BFX,959.15,959.15,959.15,959.15,0.0
1991-01-14,BFX,比利时BFX,931.98,931.98,931.98,931.98,0.0
1991-01-15,BFX,比利时BFX,932.84,932.84,932.84,932.84,0.0
1991-01-16,BFX,比利时BFX,928.57,928.57,928.57,928.57,0.0
1991-01-17,BFX,比利时BFX,988.17,988.17,988.17,988.17,0.0
1991-01-18,BFX,比利时BFX,975.67,975.67,975.67,975.67,0.0
1991-01-21,BFX,比利时BFX,969.24,969.24,969.24,969.24,0.0
1991-01-22,BFX,比利时BFX,960.03,960.03,960.03,960.03,0.0
1991-01-23,BFX,比利时BFX,946.89,946.89,946.89,946.89,0.0
1991-01-24,BFX,比利时BFX,958.18,958.18,958.18,958.18,0.0
1991-01-25,BFX,比利时BFX,960.47,960.47,960.47,960.47,0.0
1991-01-28,BFX,比利时BFX,956.82,956.82,956.82,956.82,0.0
1991-01-29,BFX,比利时BFX,956.47,956.47,956.47,956.47,0.0
1991-01-30,BFX,比利时BFX,967.21,967.21,967.21,967.21,0.0
1991-01-31,BFX,比利时BFX,974.86,974.86,974.86,974.86,0.0
1991-02-01,BFX,比利时BFX,978.18,978.18,978.18,978.18,0.0
1991-02-04,BFX,比利时BFX,979.58,979.58,979.58,979.58,0.0
1991-02-05,BFX,比利时BFX,1001.03,1001.03,1001.03,1001.03,0.0
1991-02-06,BFX,比利时BFX,1006.93,1006.93,1006.93,1006.93,0.0
1991-02-07,BFX,比利时BFX,1017.02,1017.02,1017.02,1017.02,0.0
1991-02-08,BFX,比利时BFX,1029.28,1029.28,1029.28,1029.28,0.0
1991-02-11,BFX,比利时BFX,1047.82,1047.82,1047.82,1047.82,0.0
1991-02-12,BFX,比利时BFX,1057.41,1057.41,1057.41,1057.41,0.0
1991-02-13,BFX,比利时BFX,1055.45,1055.45,1055.45,1055.45,0.0
1991-02-14,BFX,比利时BFX,1059.22,1059.22,1059.22,1059.22,0.0
1991-02-15,BFX,比利时BFX,1080.14,1080.14,1080.14,1080.14,0.0
1991-02-18,BFX,比利时BFX,1098.65,1098.65,1098.65,1098.65,0.0
1991-02-19,BFX,比利时BFX,1125.5,1125.5,1125.5,1125.5,0.0
1991-02-20,BFX,比利时BFX,1103.69,1103.69,1103.69,1103.69,0.0
1991-02-21,BFX,比利时BFX,1114.21,1114.21,1114.21,1114.21,0.0
1991-02-22,BFX,比利时BFX,1115.22,1115.22,1115.22,1115.22,0.0
1991-02-25,BFX,比利时BFX,1136.42,1136.42,1136.42,1136.42,0.0
1991-02-26,BFX,比利时BFX,1120.33,1120.33,1120.33,1120.33,0.0
1991-02-27,BFX,比利时BFX,1120.81,1120.81,1120.81,1120.81,0.0
1991-02-28,BFX,比利时BFX,1141.83,1141.83,1141.83,1141.83,0.0
1991-03-01,BFX,比利时BFX,1127.36,1127.36,1127.36,1127.36,0.0
1991-03-04,BFX,比利时BFX,1139.87,1139.87,1139.87,1139.87,0.0
1991-03-05,BFX,比利时BFX,1154.41,1154.41,1154.41,1154.41,0.0
1991-03-06,BFX,比利时BFX,1182.87,1182.87,1182.87,1182.87,0.0
1991-03-07,BFX,比利时BFX,1181.11,1181.11,1181.11,1181.11,0.0
1991-03-08,BFX,比利时BFX,1197.96,1197.96,1197.96,1197.96,0.0
1991-03-11,BFX,比利时BFX,1193.75,1193.75,1193.75,1193.75,0.0
1991-03-12,BFX,比利时BFX,1188.88,1188.88,1188.88,1188.88,0.0
1991-03-13,BFX,比利时BFX,1177.12,1177.12,1177.12,1177.12,0.0
1991-03-14,BFX,比利时BFX,1183.77,1183.77,1183.77,1183.77,0.0
1991-03-15,BFX,比利时BFX,1184.28,1184.28,1184.28,1184.28,0.0
1991-03-18,BFX,比利时BFX,1179.06,1180.47,1189.52,1179.06,0.88
1991-03-19,BFX,比利时BFX,1167.28,1171.44,1186.01,1167.28,1.59
1991-03-20,BFX,比利时BFX,1156.23,1162.7,1171.84,1156.23,1.33
1991-03-21,BFX,比利时BFX,1165.39,1176.61,1176.88,1165.39,0.99
1991-03-22,BFX,比利时BFX,1168.09,1178.38,1179.71,1168.09,0.99
1991-03-25,BFX,比利时BFX,1178.33,1184.11,1186.05,1178.33,0.66
1991-03-26,BFX,比利时BFX,1181.79,1190.26,1191.06,1181.79,0.78
1991-03-27,BFX,比利时BFX,1190.26,1200.85,1201.85,1190.26,0.97
1991-03-28,BFX,比利时BFX,1196.33,1197.55,1202.01,1196.33,0.47
1991-04-02,BFX,比利时BFX,1192.91,1193.91,1198.49,1192.91,0.47
1991-04-03,BFX,比利时BFX,1193.71,1202.31,1203.7,1193.71,0.84
1991-04-04,BFX,比利时BFX,1195.84,1198.59,1202.31,1195.84,0.54
1991-04-05,BFX,比利时BFX,1198.04,1200.52,1202.83,1198.04,0.4
1991-04-08,BFX,比利时BFX,1196.77,1199.19,1200.92,1196.77,0.35
1991-04-09,BFX,比利时BFX,1198.71,1201.72,1203.0,1198.71,0.36
1991-04-10,BFX,比利时BFX,1193.43,1197.58,1201.72,1193.43,0.69
1991-04-11,BFX,比利时BFX,1191.73,1198.93,1199.21,1191.73,0.62
1991-04-12,BFX,比利时BFX,1196.29,1206.56,1207.28,1196.29,0.92
1991-04-15,BFX,比利时BFX,1202.86,1208.07,1210.7,1202.86,0.65
1991-04-16,BFX,比利时BFX,1207.96,1209.4,1211.89,1207.96,0.33
1991-04-17,BFX,比利时BFX,1208.36,1212.15,1214.58,1208.36,0.51
1991-04-18,BFX,比利时BFX,1209.61,1211.41,1215.78,1209.61,0.51
1991-04-19,BFX,比利时BFX,1210.32,1210.83,1214.25,1210.32,0.32
1991-04-22,BFX,比利时BFX,1202.84,1203.29,1211.25,1202.84,0.69
1991-04-23,BFX,比利时BFX,1203.22,1209.04,1210.0,1203.22,0.56
1991-04-24,BFX,比利时BFX,1207.63,1208.5,1211.55,1207.63,0.32
1991-04-25,BFX,比利时BFX,1207.9,1208.88,1213.3,1207.9,0.45
1991-04-26,BFX,比利时BFX,1200.02,1202.85,1208.88,1200.02,0.73
1991-04-29,BFX,比利时BFX,1198.14,1198.99,1202.85,1198.14,0.39
1991-04-30,BFX,比利时BFX,1175.92,1188.35,1199.46,1175.92,1.96
1991-05-02,BFX,比利时BFX,1187.29,1192.54,1193.77,1187.29,0.55
1991-05-03,BFX,比利时BFX,1182.34,1185.07,1192.54,1182.34,0.86
1991-05-06,BFX,比利时BFX,1175.91,1177.27,1185.27,1175.91,0.79
1991-05-07,BFX,比利时BFX,1169.78,1176.0,1177.75,1169.78,0.68
1991-05-08,BFX,比利时BFX,1171.5,1174.71,1176.18,1171.5,0.4
1991-05-09,BFX,比利时BFX,1172.5,1179.39,1180.19,1172.5,0.65
1991-05-14,BFX,比利时BFX,1179.39,1181.76,1186.28,1179.39,0.58
1991-05-15,BFX,比利时BFX,1175.85,1178.19,1181.76,1175.85,0.5
1991-05-16,BFX,比利时BFX,1172.05,1175.52,1178.19,1172.05,0.52
1991-05-17,BFX,比利时BFX,1171.2,1171.8,1179.19,1171.2,0.68
1991-05-21,BFX,比利时BFX,1167.96,1171.1,1173.82,1167.96,0.5
1991-05-22,BFX,比利时BFX,1167.24,1172.27,1172.27,1167.24,0.43
1991-05-23,BFX,比利时BFX,1161.05,1167.82,1174.01,1161.05,1.11
1991-05-24,BFX,比利时BFX,1165.32,1166.56,1174.4,1165.32,0.78
1991-05-27,BFX,比利时BFX,1162.24,1163.94,1167.16,1162.24,0.42
1991-05-28,BFX,比利时BFX,1156.62,1158.89,1163.94,1156.62,0.63
1991-05-29,BFX,比利时BFX,1158.89,1163.22,1164.8,1158.89,0.51
1991-05-30,BFX,比利时BFX,1161.73,1163.75,1165.2,1161.73,0.3
1991-05-31,BFX,比利时BFX,1163.35,1171.68,1171.68,1163.35,0.72
1991-06-03,BFX,比利时BFX,1170.92,1175.92,1177.9,1170.92,0.6
1991-06-04,BFX,比利时BFX,1175.01,1176.84,1180.48,1175.01,0.47
1991-06-05,BFX,比利时BFX,1176.14,1181.32,1181.88,1176.14,0.49
1991-06-06,BFX,比利时BFX,1178.59,1186.58,1187.59,1178.59,0.76
1991-06-07,BFX,比利时BFX,1181.81,1184.31,1187.37,1181.81,0.47
1991-06-10,BFX,比利时BFX,1176.78,1178.83,1184.31,1176.78,0.64
1991-06-11,BFX,比利时BFX,1178.66,1181.28,1182.85,1178.66,0.36
1991-06-12,BFX,比利时BFX,1177.77,1181.12,1182.79,1177.77,0.42
1991-06-13,BFX,比利时BFX,1179.53,1180.83,1184.47,1179.53,0.42
1991-06-14,BFX,比利时BFX,1180.83,1185.95,1186.75,1180.83,0.5
1991-06-17,BFX,比利时BFX,1181.49,1184.2,1186.43,1181.49,0.42
1991-06-18,BFX,比利时BFX,1179.07,1180.63,1184.2,1179.07,0.43
1991-06-19,BFX,比利时BFX,1169.3,1171.76,1180.97,1169.3,0.99
1991-06-20,BFX,比利时BFX,1166.2,1169.14,1173.28,1166.2,0.6
1991-06-21,BFX,比利时BFX,1164.2,1166.3,1169.35,1164.2,0.44
1991-06-24,BFX,比利时BFX,1157.06,1159.2,1166.74,1157.06,0.83
1991-06-25,BFX,比利时BFX,1151.94,1155.93,1159.2,1151.94,0.63
1991-06-26,BFX,比利时BFX,1155.93,1160.32,1162.08,1155.93,0.53
1991-06-27,BFX,比利时BFX,1153.77,1159.86,1160.32,1153.77,0.56
1991-06-28,BFX,比利时BFX,1154.23,1162.54,1162.68,1154.23,0.73
1991-07-01,BFX,比利时BFX,1157.5,1160.28,1162.54,1157.5,0.43
1991-07-02,BFX,比利时BFX,1157.66,1158.4,1165.83,1157.66,0.7
1991-07-03,BFX,比利时BFX,1150.03,1152.6,1158.4,1150.03,0.72
1991-07-04,BFX,比利时BFX,1147.52,1154.98,1154.98,1147.52,0.65
1991-07-05,BFX,比利时BFX,1147.2,1150.15,1155.6,1147.2,0.73
1991-07-08,BFX,比利时BFX,1140.17,1141.95,1150.15,1140.17,0.87
1991-07-09,BFX,比利时BFX,1141.95,1146.59,1147.27,1141.95,0.47
1991-07-10,BFX,比利时BFX,1143.14,1147.37,1147.51,1143.14,0.38
1991-07-11,BFX,比利时BFX,1146.84,1148.92,1150.51,1146.84,0.32
1991-07-12,BFX,比利时BFX,1147.99,1150.24,1150.24,1147.99,0.2
1991-07-15,BFX,比利时BFX,1145.93,1146.82,1150.24,1145.93,0.37
1991-07-16,BFX,比利时BFX,1144.89,1146.47,1147.19,1144.89,0.2
1991-07-17,BFX,比利时BFX,1141.51,1143.31,1146.47,1141.51,0.43
1991-07-18,BFX,比利时BFX,1139.07,1140.14,1143.58,1139.07,0.39
1991-07-19,BFX,比利时BFX,1139.33,1139.33,1142.02,1139.33,0.24
1991-07-23,BFX,比利时BFX,1132.39,1135.92,1139.81,1132.39,0.65
1991-07-24,BFX,比利时BFX,1131.23,1134.11,1135.92,1131.23,0.41
1991-07-25,BFX,比利时BFX,1125.56,1128.95,1134.11,1125.56,0.75
1991-07-26,BFX,比利时BFX,1124.48,1126.85,1128.95,1124.48,0.4
1991-07-29,BFX,比利时BFX,1122.82,1124.21,1126.85,1122.82,0.36
1991-07-30,BFX,比利时BFX,1123.24,1129.76,1129.76,1123.24,0.58
1991-07-31,BFX,比利时BFX,1128.8,1136.69,1140.0,1128.8,0.99
1991-08-01,BFX,比利时BFX,1138.81,1141.67,1141.99,1138.81,0.28
1991-08-02,BFX,比利时BFX,1141.67,1146.15,1148.29,1141.67,0.58
1991-08-05,BFX,比利时BFX,1144.33,1147.2,1147.2,1144.33,0.25
1991-08-06,BFX,比利时BFX,1145.39,1147.33,1148.93,1145.39,0.31
1991-08-07,BFX,比利时BFX,1147.33,1151.27,1153.29,1147.33,0.52
1991-08-08,BFX,比利时BFX,1146.99,1147.41,1151.27,1146.99,0.37
1991-08-09,BFX,比利时BFX,1146.0,1148.77,1148.77,1146.0,0.24
1991-08-12,BFX,比利时BFX,1141.4,1142.53,1148.77,1141.4,0.64
1991-08-13,BFX,比利时BFX,1139.03,1140.61,1142.53,1139.03,0.31
