日期,代码,名称,今开,最新价,最高,最低,振幅
2005-01-04,000300,沪深300,994.77,982.79,994.77,980.66,0.0
2005-01-05,000300,沪深300,981.58,992.56,997.32,979.88,1.77
2005-01-06,000300,沪深300,993.33,983.17,993.79,980.33,1.36
2005-01-07,000300,沪深300,983.05,983.96,995.71,979.81,1.62
2005-01-10,000300,沪深300,983.76,993.88,993.96,979.79,1.44
2005-01-11,000300,沪深300,994.19,997.14,999.55,991.09,0.85
2005-01-12,000300,沪深300,996.65,996.75,996.98,989.26,0.77
2005-01-13,000300,沪深300,996.08,996.88,999.47,992.7,0.68
2005-01-14,000300,沪深300,996.62,988.31,1006.46,987.23,1.93
2005-01-17,000300,沪深300,979.11,967.45,981.53,965.08,1.66
2005-01-18,000300,沪深300,967.37,974.69,974.87,960.29,1.51
2005-01-19,000300,沪深300,974.33,967.21,974.33,965.26,0.93
2005-01-20,000300,沪深300,963.21,956.24,963.21,952.23,1.14
2005-01-21,000300,沪深300,954.46,982.6,984.27,943.44,4.27
2005-01-24,000300,沪深300,1001.85,998.13,1001.85,986.24,1.59
2005-01-25,000300,沪深300,995.64,997.78,997.95,985.24,1.27
2005-01-26,000300,沪深300,995.78,989.93,999.47,988.48,1.1
2005-01-27,000300,沪深300,987.34,974.63,987.7,973.77,1.41
2005-01-28,000300,沪深300,974.63,969.21,975.62,965.21,1.07
2005-01-31,000300,沪深300,965.79,954.88,965.79,953.14,1.31
2005-02-01,000300,沪深300,953.33,955.95,965.48,952.74,1.33
2005-02-02,000300,沪深300,956.7,1006.91,1006.93,956.7,5.25
2005-02-03,000300,沪深300,1005.56,993.22,1014.19,992.16,2.19
2005-02-04,000300,沪深300,992.25,1016.86,1021.03,989.94,3.13
2005-02-16,000300,沪深300,1023.32,1023.58,1033.25,1018.49,1.45
2005-02-17,000300,沪深300,1024.43,1020.61,1024.43,1010.48,1.36
2005-02-18,000300,沪深300,1020.12,1006.05,1021.2,1005.63,1.53
2005-02-21,000300,沪深300,1006.69,1025.63,1025.66,1006.69,1.89
2005-02-22,000300,沪深300,1026.84,1046.74,1048.68,1024.53,2.35
2005-02-23,000300,沪深300,1046.81,1043.94,1049.61,1036.63,1.24
2005-02-24,000300,沪深300,1042.25,1045.46,1045.96,1034.73,1.08
2005-02-25,000300,沪深300,1046.27,1046.76,1059.48,1045.98,1.29
2005-02-28,000300,沪深300,1046.21,1039.99,1048.28,1035.04,1.26
2005-03-01,000300,沪深300,1039.35,1035.93,1042.74,1031.17,1.11
2005-03-02,000300,沪深300,1036.37,1021.32,1045.76,1021.0,2.39
2005-03-03,000300,沪深300,1019.88,1027.71,1028.4,1014.75,1.34
2005-03-04,000300,沪深300,1027.93,1023.67,1031.85,1022.18,0.94
2005-03-07,000300,沪深300,1024.48,1029.87,1031.34,1024.48,0.67
2005-03-08,000300,沪深300,1033.79,1048.99,1049.29,1032.85,1.6
2005-03-09,000300,沪深300,1051.26,1046.54,1054.64,1041.98,1.21
2005-03-10,000300,沪深300,1046.69,1022.41,1046.69,1019.63,2.59
2005-03-11,000300,沪深300,1021.08,1027.43,1028.12,1016.93,1.09
2005-03-14,000300,沪深300,1027.18,1031.03,1041.57,1014.93,2.59
2005-03-15,000300,沪深300,1030.86,1013.52,1030.94,1011.64,1.87
2005-03-16,000300,沪深300,1011.85,1003.07,1012.2,995.97,1.6
2005-03-17,000300,沪深300,1001.97,992.86,1004.82,992.12,1.27
2005-03-18,000300,沪深300,991.89,978.66,996.4,975.71,2.08
2005-03-21,000300,沪深300,977.3,981.89,983.18,973.0,1.04
2005-03-22,000300,沪深300,981.71,964.02,982.14,959.56,2.3
2005-03-23,000300,沪深300,962.82,959.01,975.36,955.99,2.01
2005-03-24,000300,沪深300,957.43,964.8,965.06,948.53,1.72
2005-03-25,000300,沪深300,964.25,962.96,966.97,959.06,0.82
2005-03-28,000300,沪深300,961.65,960.7,961.65,948.81,1.33
2005-03-29,000300,沪深300,960.42,955.19,968.12,954.74,1.39
2005-03-30,000300,沪深300,952.71,937.03,952.71,936.38,1.71
2005-03-31,000300,沪深300,934.85,942.2,942.37,928.34,1.5
2005-04-01,000300,沪深300,941.43,978.15,989.9,937.55,5.56
2005-04-04,000300,沪深300,968.49,962.17,974.06,956.13,1.83
2005-04-05,000300,沪深300,960.54,955.6,967.75,953.59,1.47
2005-04-06,000300,沪深300,955.6,973.67,977.86,948.95,3.03
2005-04-07,000300,沪深300,975.97,984.73,1000.27,974.31,2.67
2005-04-08,000300,沪深300,984.66,1003.45,1003.7,979.53,2.45
2005-04-11,000300,沪深300,1003.88,995.42,1008.73,992.77,1.59
2005-04-12,000300,沪深300,993.71,978.7,993.71,978.2,1.56
2005-04-13,000300,沪深300,987.95,1000.9,1006.5,987.95,1.9
2005-04-14,000300,沪深300,1004.64,986.97,1006.42,985.58,2.08
2005-04-15,000300,沪深300,982.61,974.08,982.61,971.93,1.08
2005-04-18,000300,沪深300,970.91,963.77,970.91,958.65,1.26
2005-04-19,000300,沪深300,962.92,965.89,968.87,957.91,1.14
2005-04-20,000300,沪深300,964.15,950.87,964.15,946.2,1.86
2005-04-21,000300,沪深300,948.86,943.98,955.55,938.59,1.78
