日期,代码,名称,今开,最新价,最高,最低,振幅
1990-09-11,FCHI,法国CAC40,1645.09,1653.94,1655.03,1641.54,0.0
1990-09-12,FCHI,法国CAC40,1672.36,1648.09,1687.49,1639.5,2.9
1990-09-13,FCHI,法国CAC40,1662.28,1646.27,1662.28,1623.8,2.33
1990-09-14,FCHI,法国CAC40,1623.11,1614.93,1629.84,1602.71,1.65
1990-09-17,FCHI,法国CAC40,1596.47,1604.02,1605.35,1590.34,0.93
1990-09-18,FCHI,法国CAC40,1593.36,1579.93,1595.45,1571.63,1.49
1990-09-19,FCHI,法国CAC40,1585.89,1570.28,1585.89,1560.12,1.63
1990-09-20,FCHI,法国CAC40,1570.53,1540.6,1570.74,1536.74,2.17
1990-09-21,FCHI,法国CAC40,1523.31,1543.53,1543.53,1502.99,2.63
1990-09-24,FCHI,法国CAC40,1526.0,1502.8,1538.49,1489.97,3.14
1990-09-25,FCHI,法国CAC40,1503.28,1485.39,1517.24,1472.91,2.95
1990-09-26,FCHI,法国CAC40,1483.0,1499.17,1515.66,1471.71,2.96
1990-09-27,FCHI,法国CAC40,1500.9,1523.95,1531.26,1498.68,2.17
1990-09-28,FCHI,法国CAC40,1514.21,1491.76,1514.21,1475.65,2.53
1990-10-01,FCHI,法国CAC40,1515.54,1540.81,1542.8,1513.34,1.97
1990-10-02,FCHI,法国CAC40,1592.61,1572.94,1592.79,1568.21,1.6
1990-10-03,FCHI,法国CAC40,1560.1,1567.48,1568.31,1555.17,0.84
1990-10-04,FCHI,法国CAC40,1558.25,1552.74,1560.89,1542.18,1.19
1990-10-05,FCHI,法国CAC40,1538.83,1551.93,1555.86,1511.63,2.85
1990-10-08,FCHI,法国CAC40,1577.66,1586.16,1598.18,1576.2,1.42
1990-10-09,FCHI,法国CAC40,1574.73,1551.46,1575.07,1547.59,1.73
1990-10-10,FCHI,法国CAC40,1539.01,1540.12,1544.34,1517.97,1.7
1990-10-11,FCHI,法国CAC40,1541.8,1541.76,1552.43,1530.42,1.43
1990-10-12,FCHI,法国CAC40,1543.6,1575.7,1582.34,1541.45,2.65
1990-10-15,FCHI,法国CAC40,1600.6,1598.91,1613.32,1584.24,1.85
1990-10-16,FCHI,法国CAC40,1608.6,1601.92,1612.04,1592.11,1.25
1990-10-17,FCHI,法国CAC40,1606.44,1616.0,1617.72,1588.51,1.82
1990-10-18,FCHI,法国CAC40,1619.99,1647.67,1647.67,1611.48,2.24
1990-10-19,FCHI,法国CAC40,1650.69,1644.7,1663.15,1638.45,1.5
1990-10-22,FCHI,法国CAC40,1643.13,1639.95,1643.83,1632.08,0.71
1990-10-23,FCHI,法国CAC40,1644.2,1676.17,1678.16,1643.41,2.12
1990-10-24,FCHI,法国CAC40,1679.95,1667.24,1681.8,1657.23,1.47
1990-10-25,FCHI,法国CAC40,1671.21,1645.99,1671.92,1643.39,1.71
