日期,代码,名称,今开,最新价,最高,最低,振幅
2013-06-27,WIG,波兰WIG,43329.16,43491.28,45114.75,43329.16,0.0
2013-06-28,WIG,波兰WIG,43751.8,44427.07,44444.7,43509.66,2.15
2013-07-01,WIG,波兰WIG,44577.75,44769.0,44991.35,44577.75,0.93
2013-07-02,WIG,波兰WIG,44929.52,45533.94,45653.43,44727.49,2.07
2013-07-03,WIG,波兰WIG,44761.05,45184.98,45378.8,44761.05,1.36
2013-07-04,WIG,波兰WIG,45140.93,45613.75,45621.14,45140.93,1.06
2013-07-05,WIG,波兰WIG,45721.56,45110.89,45766.72,44965.33,1.76
2013-07-08,WIG,波兰WIG,44534.34,44534.34,45190.41,44534.34,1.45
2013-07-09,WIG,波兰WIG,44743.22,44342.23,44752.54,44099.12,1.47
2013-07-10,WIG,波兰WIG,44423.23,45068.55,45068.55,44363.28,1.59
2013-07-11,WIG,波兰WIG,45551.3,45712.72,45747.94,45515.72,0.52
2013-07-12,WIG,波兰WIG,45742.96,46150.78,46189.6,45628.81,1.23
2013-07-15,WIG,波兰WIG,46115.63,46218.05,46222.99,45927.79,0.64
2013-07-16,WIG,波兰WIG,46291.4,46155.1,46306.83,46046.89,0.56
2013-07-17,WIG,波兰WIG,46104.19,46287.08,46428.38,45950.17,1.04
2013-07-18,WIG,波兰WIG,46305.71,46221.23,46332.4,45860.0,1.02
2013-07-19,WIG,波兰WIG,46099.43,46399.74,46432.6,45990.55,0.96
2013-07-22,WIG,波兰WIG,46478.98,46361.7,46550.75,46275.18,0.59
2013-07-23,WIG,波兰WIG,46458.8,46714.43,46714.43,46423.06,0.63
2013-07-24,WIG,波兰WIG,46651.67,46835.98,46903.79,46556.77,0.74
2013-07-25,WIG,波兰WIG,46819.28,46713.02,46838.61,46415.3,0.9
2013-07-26,WIG,波兰WIG,46562.04,46258.91,46588.81,46251.22,0.72
2013-07-29,WIG,波兰WIG,46313.53,46480.62,46480.62,46155.96,0.7
2013-07-30,WIG,波兰WIG,46584.53,46663.41,46663.5,46417.3,0.53
2013-07-31,WIG,波兰WIG,46598.7,46925.65,47239.85,46572.91,1.43
2013-08-01,WIG,波兰WIG,47210.72,47370.81,47496.81,47149.82,0.74
2013-08-02,WIG,波兰WIG,47515.42,48325.33,48424.67,47512.99,1.92
2013-08-05,WIG,波兰WIG,48436.26,48458.44,48486.69,48235.72,0.52
2013-08-06,WIG,波兰WIG,48416.0,47942.81,48431.85,47874.0,1.15
2013-08-07,WIG,波兰WIG,47861.12,48306.55,48306.55,47708.32,1.25
2013-08-08,WIG,波兰WIG,48396.72,48862.88,49162.29,48396.72,1.58
2013-08-09,WIG,波兰WIG,49016.62,49125.36,49125.36,48639.47,0.99
2013-08-12,WIG,波兰WIG,49154.84,49580.16,49646.03,48982.65,1.35
2013-08-13,WIG,波兰WIG,49732.37,49747.66,49868.6,49474.33,0.8
2013-08-14,WIG,波兰WIG,49701.32,50223.95,50359.55,49700.15,1.33
2013-08-16,WIG,波兰WIG,50146.48,49976.48,50228.44,49920.25,0.61
2013-08-19,WIG,波兰WIG,50018.45,49772.46,50018.45,49430.57,1.18
2013-08-20,WIG,波兰WIG,49349.23,49162.16,49363.26,49032.18,0.67
2013-08-21,WIG,波兰WIG,49369.85,49128.05,49546.68,49128.05,0.85
2013-08-22,WIG,波兰WIG,49253.68,49846.48,49847.41,49253.68,1.21
2013-08-23,WIG,波兰WIG,49852.41,49895.1,50086.52,49718.57,0.74
2013-08-26,WIG,波兰WIG,50107.3,49818.48,50257.98,49818.48,0.88
2013-08-27,WIG,波兰WIG,49683.87,48833.58,49701.1,48816.29,1.78
2013-08-28,WIG,波兰WIG,48681.3,48537.65,48812.94,48307.58,1.03
2013-08-29,WIG,波兰WIG,48860.13,48676.45,48948.18,48524.9,0.87
2013-08-30,WIG,波兰WIG,48834.98,48871.98,48872.28,48469.42,0.83
2013-09-02,WIG,波兰WIG,49250.57,49187.22,49389.13,49142.13,0.51
2013-09-03,WIG,波兰WIG,49299.3,48968.87,49399.47,48917.76,0.98
2013-09-04,WIG,波兰WIG,49037.98,47919.09,49243.71,47844.92,2.86
2013-09-05,WIG,波兰WIG,47417.78,45830.66,47417.78,45017.11,5.01
2013-09-06,WIG,波兰WIG,45963.46,46717.04,47021.09,45958.41,2.32
2013-09-09,WIG,波兰WIG,47096.14,47808.9,47808.9,46944.08,1.85
2013-09-10,WIG,波兰WIG,48244.34,48961.51,48961.51,48187.61,1.62
2013-09-11,WIG,波兰WIG,49017.77,49437.02,49437.02,48622.86,1.66
2013-09-12,WIG,波兰WIG,49304.57,49771.55,49771.55,49243.25,1.07
2013-09-13,WIG,波兰WIG,49622.41,49348.61,49661.13,49348.03,0.63
2013-09-16,WIG,波兰WIG,49871.66,48917.85,49878.41,48862.18,2.06
2013-09-17,WIG,波兰WIG,49007.42,49434.46,49434.46,48889.3,1.11
2013-09-18,WIG,波兰WIG,49372.36,49413.33,49567.99,49209.11,0.73
2013-09-19,WIG,波兰WIG,50359.86,50300.53,50484.96,49988.82,1.0
2013-09-20,WIG,波兰WIG,50284.87,50308.19,50335.62,49911.43,0.84
2013-09-23,WIG,波兰WIG,50182.15,49955.87,50379.21,49821.46,1.11
2013-09-24,WIG,波兰WIG,50059.2,49979.47,50177.8,49835.34,0.69
2013-09-25,WIG,波兰WIG,49912.36,50301.69,50397.98,49776.84,1.24
2013-09-26,WIG,波兰WIG,50497.28,50936.34,50972.77,50446.51,1.05
2013-09-27,WIG,波兰WIG,51053.71,50819.81,51149.71,50723.71,0.84
2013-09-30,WIG,波兰WIG,50503.7,50301.85,50583.02,50289.23,0.58
2013-10-01,WIG,波兰WIG,50087.47,50782.48,50782.48,50087.47,1.38
2013-10-02,WIG,波兰WIG,50691.13,50803.4,50827.69,50450.73,0.74
2013-10-03,WIG,波兰WIG,50847.32,50982.03,51096.21,50847.32,0.49
2013-10-04,WIG,波兰WIG,50926.83,50601.24,50949.04,50535.26,0.81
2013-10-07,WIG,波兰WIG,50453.02,50338.71,50480.54,50049.74,0.85
2013-10-08,WIG,波兰WIG,50360.47,50137.88,50400.65,50089.38,0.62
2013-10-09,WIG,波兰WIG,50101.18,50335.02,50353.66,49899.25,0.91
2013-10-10,WIG,波兰WIG,50543.9,51806.83,51835.81,50543.9,2.57
2013-10-11,WIG,波兰WIG,52046.56,52230.47,52332.04,51839.84,0.95
2013-10-14,WIG,波兰WIG,52072.73,52520.91,52612.83,52022.86,1.13
2013-10-15,WIG,波兰WIG,52815.48,52590.73,53345.22,52590.73,1.44
2013-10-16,WIG,波兰WIG,52618.67,52861.41,53031.33,52545.04,0.92
2013-10-17,WIG,波兰WIG,52865.03,52573.59,53064.73,52563.02,0.95
2013-10-18,WIG,波兰WIG,52617.6,52587.24,52619.96,51859.92,1.45
2013-10-21,WIG,波兰WIG,52746.85,53853.55,53853.55,52746.85,2.1
2013-10-22,WIG,波兰WIG,53958.11,53781.81,54048.28,53629.11,0.78
2013-10-23,WIG,波兰WIG,53639.2,53389.74,53639.2,53318.08,0.6
2013-10-24,WIG,波兰WIG,53640.26,53994.46,53994.46,53640.26,0.66
