日期,代码,名称,今开,最新价,最高,最低,振幅
1985-05-16,BDI,波罗的海BDI指数,999.5,999.5,999.5,999.5,0.0
1985-05-17,BDI,波罗的海BDI指数,990.5,990.5,990.5,990.5,0.0
1985-05-20,BDI,波罗的海BDI指数,989.5,989.5,989.5,989.5,0.0
1985-05-21,BDI,波罗的海BDI指数,984.0,984.0,984.0,984.0,0.0
1985-05-22,BDI,波罗的海BDI指数,979.0,979.0,979.0,979.0,0.0
1985-05-23,BDI,波罗的海BDI指数,974.5,974.5,974.5,974.5,0.0
1985-05-24,BDI,波罗的海BDI指数,968.0,968.0,968.0,968.0,0.0
1985-05-28,BDI,波罗的海BDI指数,954.5,954.5,954.5,954.5,0.0
1985-05-29,BDI,波罗的海BDI指数,950.0,950.0,950.0,950.0,0.0
1985-05-30,BDI,波罗的海BDI指数,942.0,942.0,942.0,942.0,0.0
1985-05-31,BDI,波罗的海BDI指数,931.5,931.5,931.5,931.5,0.0
1985-06-03,BDI,波罗的海BDI指数,931.0,931.0,931.0,931.0,0.0
1985-06-04,BDI,波罗的海BDI指数,929.5,929.5,929.5,929.5,0.0
1985-06-05,BDI,波罗的海BDI指数,931.0,931.0,931.0,931.0,0.0
1985-06-06,BDI,波罗的海BDI指数,931.5,931.5,931.5,931.5,0.0
1985-06-07,BDI,波罗的海BDI指数,930.5,930.5,930.5,930.5,0.0
1985-06-10,BDI,波罗的海BDI指数,926.0,926.0,926.0,926.0,0.0
1985-06-11,BDI,波罗的海BDI指数,922.5,922.5,922.5,922.5,0.0
1985-06-12,BDI,波罗的海BDI指数,919.0,919.0,919.0,919.0,0.0
1985-06-13,BDI,波罗的海BDI指数,917.0,917.0,917.0,917.0,0.0
1985-06-14,BDI,波罗的海BDI指数,926.0,926.0,926.0,926.0,0.0
1985-06-18,BDI,波罗的海BDI指数,925.0,925.0,925.0,925.0,0.0
1985-06-19,BDI,波罗的海BDI指数,918.0,918.0,918.0,918.0,0.0
1985-06-20,BDI,波罗的海BDI指数,911.0,911.0,911.0,911.0,0.0
1985-06-21,BDI,波罗的海BDI指数,896.0,896.0,896.0,896.0,0.0
1985-06-24,BDI,波罗的海BDI指数,892.5,892.5,892.5,892.5,0.0
1985-06-25,BDI,波罗的海BDI指数,891.0,891.0,891.0,891.0,0.0
1985-06-26,BDI,波罗的海BDI指数,890.0,890.0,890.0,890.0,0.0
1985-06-27,BDI,波罗的海BDI指数,883.5,883.5,883.5,883.5,0.0
1985-06-28,BDI,波罗的海BDI指数,872.5,872.5,872.5,872.5,0.0
1985-07-01,BDI,波罗的海BDI指数,864.5,864.5,864.5,864.5,0.0
1985-07-02,BDI,波罗的海BDI指数,854.0,854.0,854.0,854.0,0.0
1985-07-03,BDI,波罗的海BDI指数,838.0,838.0,838.0,838.0,0.0
1985-07-04,BDI,波罗的海BDI指数,817.5,817.5,817.5,817.5,0.0
1985-07-05,BDI,波罗的海BDI指数,807.0,807.0,807.0,807.0,0.0
