日期,代码,名称,今开,最新价,最高,最低,振幅
1992-01-02,SET,泰国SET,711.36,712.02,715.11,708.9,0.0
1992-01-03,SET,泰国SET,712.02,711.81,712.74,704.72,1.13
1992-01-06,SET,泰国SET,711.81,719.5,719.5,711.81,1.08
1992-01-07,SET,泰国SET,719.5,728.93,728.93,718.35,1.47
1992-01-08,SET,泰国SET,728.93,723.96,732.12,721.36,1.48
1992-01-09,SET,泰国SET,723.96,725.7,727.58,722.58,0.69
1992-01-10,SET,泰国SET,725.7,727.63,732.37,723.7,1.19
1992-01-13,SET,泰国SET,727.63,727.85,730.17,726.18,0.55
1992-01-14,SET,泰国SET,727.85,732.1,732.1,727.85,0.58
1992-01-15,SET,泰国SET,732.1,742.99,742.99,732.1,1.49
1992-01-16,SET,泰国SET,742.99,758.33,758.33,742.99,2.06
1992-01-17,SET,泰国SET,758.33,770.83,779.68,758.33,2.82
1992-01-20,SET,泰国SET,770.83,779.82,781.02,770.83,1.32
1992-01-21,SET,泰国SET,779.82,776.01,794.82,771.48,2.99
1992-01-22,SET,泰国SET,779.82,772.71,794.82,770.79,3.1
1992-01-23,SET,泰国SET,773.31,780.26,780.83,772.71,1.05
1992-01-24,SET,泰国SET,780.26,781.63,789.67,779.64,1.29
1992-01-27,SET,泰国SET,781.63,771.93,786.4,770.63,2.02
1992-01-28,SET,泰国SET,771.93,766.73,777.19,763.5,1.77
1992-01-29,SET,泰国SET,766.73,768.57,770.95,762.89,1.05
1992-01-30,SET,泰国SET,768.57,764.7,772.12,762.9,1.2
1992-01-31,SET,泰国SET,764.7,763.45,771.04,761.75,1.21
1992-02-03,SET,泰国SET,763.45,767.19,767.19,761.98,0.68
1992-02-04,SET,泰国SET,767.19,769.72,773.69,767.19,0.85
1992-02-05,SET,泰国SET,769.72,763.41,771.88,761.86,1.3
1992-02-06,SET,泰国SET,763.41,771.09,771.17,760.99,1.33
1992-02-07,SET,泰国SET,771.09,780.08,782.39,771.06,1.47
1992-02-10,SET,泰国SET,780.08,780.26,786.97,777.86,1.17
1992-02-11,SET,泰国SET,780.26,784.8,787.01,780.26,0.87
1992-02-12,SET,泰国SET,786.91,801.44,805.58,786.91,2.38
