日期,代码,名称,今开,最新价,最高,最低,振幅
1991-04-03,399001,深证成指,988.05,988.05,988.05,988.05,0.0
1991-04-04,399001,深证成指,983.11,983.11,983.11,983.11,0.0
1991-04-05,399001,深证成指,978.27,978.27,978.27,978.27,0.0
1991-04-06,399001,深证成指,973.42,973.42,973.42,973.42,0.0
1991-04-08,399001,深证成指,968.57,968.57,968.57,968.57,0.0
1991-04-09,399001,深证成指,963.73,963.73,963.73,963.73,0.0
1991-04-10,399001,深证成指,958.88,958.88,958.88,958.88,0.0
1991-04-11,399001,深证成指,954.03,954.03,954.03,954.03,0.0
1991-04-12,399001,深证成指,949.31,949.31,949.31,949.31,0.0
1991-04-13,399001,深证成指,944.58,944.58,944.58,944.58,0.0
1991-04-15,399001,深证成指,939.98,939.98,939.98,939.98,0.0
1991-04-16,399001,深证成指,935.38,935.38,935.38,935.38,0.0
1991-04-17,399001,深证成指,930.78,930.78,930.78,930.78,0.0
1991-04-18,399001,深证成指,926.18,926.18,926.18,926.18,0.0
1991-04-19,399001,深证成指,921.58,921.58,921.58,921.58,0.0
1991-04-20,399001,深证成指,916.98,916.98,916.98,916.98,0.0
1991-04-22,399001,深证成指,912.38,912.38,912.38,912.38,0.0
1991-04-23,399001,深证成指,907.78,907.78,907.78,907.78,0.0
1991-04-24,399001,深证成指,903.31,903.31,903.31,903.31,0.0
1991-04-25,399001,深证成指,898.84,898.84,898.84,898.84,0.0
1991-04-26,399001,深证成指,894.36,894.36,894.36,894.36,0.0
1991-04-27,399001,深证成指,889.89,889.89,889.89,889.89,0.0
1991-04-29,399001,深证成指,885.43,885.43,885.43,885.43,0.0
1991-04-30,399001,深证成指,880.98,880.98,880.98,880.98,0.0
1991-05-02,399001,深证成指,876.57,876.57,876.57,876.57,0.0
1991-05-03,399001,深证成指,872.16,872.16,872.16,872.16,0.0
1991-05-04,399001,深证成指,867.75,867.75,867.75,867.75,0.0
1991-05-06,399001,深证成指,863.35,863.35,863.35,863.35,0.0
1991-05-07,399001,深证成指,859.06,859.06,859.06,859.06,0.0
1991-05-08,399001,深证成指,854.78,854.78,854.78,854.78,0.0
1991-05-09,399001,深证成指,850.5,850.5,850.5,850.5,0.0
1991-05-10,399001,深证成指,846.22,846.22,846.22,846.22,0.0
1991-05-11,399001,深证成指,841.94,841.94,841.94,841.94,0.0
1991-05-13,399001,深证成指,837.66,837.66,837.66,837.66,0.0
1991-05-14,399001,深证成指,834.44,835.01,835.01,833.38,0.19
1991-05-15,399001,深证成指,832.36,832.54,832.54,832.36,0.02
1991-05-16,399001,深证成指,830.06,830.06,830.06,830.06,0.0
1991-05-17,399001,深证成指,827.72,827.72,827.72,827.72,0.0
1991-05-18,399001,深证成指,825.37,825.2,825.37,825.2,0.02
1991-05-20,399001,深证成指,822.67,822.67,822.67,822.67,0.0
1991-05-21,399001,深证成指,820.15,820.15,820.15,820.15,0.0
1991-05-22,399001,深证成指,817.63,817.63,817.63,817.63,0.0
1991-05-23,399001,深证成指,814.16,813.59,815.22,813.59,0.2
1991-05-24,399001,深证成指,809.56,809.56,809.56,809.56,0.0
1991-05-25,399001,深证成指,805.52,805.52,805.52,805.52,0.0
1991-05-27,399001,深证成指,801.48,801.48,801.48,801.48,0.0
1991-05-28,399001,深证成指,797.98,797.98,797.98,797.98,0.0
1991-05-29,399001,深证成指,794.61,794.61,794.61,794.61,0.0
1991-05-30,399001,深证成指,791.23,791.23,791.23,791.23,0.0
1991-05-31,399001,深证成指,787.85,787.85,787.85,787.85,0.0
1991-06-01,399001,深证成指,784.48,784.48,784.48,784.48,0.0
1991-06-03,399001,深证成指,781.1,781.1,781.1,781.1,0.0
1991-06-04,399001,深证成指,777.72,777.72,777.72,777.72,0.0
1991-06-05,399001,深证成指,774.35,774.35,774.35,774.35,0.0
1991-06-06,399001,深证成指,771.26,771.26,771.26,771.26,0.0
1991-06-07,399001,深证成指,768.16,768.16,768.16,768.16,0.0
1991-06-08,399001,深证成指,765.36,758.74,765.36,757.27,1.05
1991-06-10,399001,深证成指,754.25,733.65,754.25,733.65,2.72
1991-06-11,399001,深证成指,733.7,756.51,756.51,732.23,3.31
1991-06-12,399001,深证成指,755.26,753.06,758.21,751.41,0.9
1991-06-13,399001,深证成指,751.07,745.92,751.07,745.92,0.68
1991-06-14,399001,深证成指,743.2,735.67,743.2,734.2,1.21
1991-06-15,399001,深证成指,732.78,728.36,734.25,726.89,1.0
1991-06-17,399001,深证成指,716.99,721.0,721.18,715.14,0.83
1991-06-18,399001,深证成指,717.13,721.21,721.94,716.4,0.77
1991-06-19,399001,深证成指,717.71,717.33,721.37,715.88,0.76
1991-06-20,399001,深证成指,714.18,710.12,714.18,707.56,0.92
1991-06-21,399001,深证成指,706.97,704.41,707.35,703.66,0.52
1991-06-22,399001,深证成指,700.89,698.33,702.72,697.23,0.78
1991-06-24,399001,深证成指,694.2,689.79,696.76,687.18,1.37
1991-06-25,399001,深证成指,685.3,690.09,691.55,684.93,0.96
1991-06-26,399001,深证成指,686.21,693.96,695.28,683.89,1.65
1991-06-27,399001,深证成指,690.66,694.9,697.46,687.67,1.41
1991-06-28,399001,深证成指,691.45,691.41,693.37,686.53,0.98
1991-06-29,399001,深证成指,689.11,690.48,691.31,684.19,1.03
1991-07-01,399001,深证成指,685.65,684.01,687.48,680.83,0.96
1991-07-02,399001,深证成指,680.4,670.15,683.34,665.39,2.62
1991-07-03,399001,深证成指,666.81,669.06,671.95,660.93,1.64
1991-07-04,399001,深证成指,665.85,661.61,667.54,660.42,1.06
